Municipality,numbered,Comptroller Town Code,County,Total Units,1 Unit,2 Unit,3 and 4 Units,5 Units or More,Demolitions,Net Gain,Net Gain Ranking
"GROTON",5.9000000000000000e+01,5.9000000000000000e+01,"New London",8.2000000000000000e+01,6.2000000000000000e+01,2.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,8.0000000000000000e+00,7.4000000000000000e+01,"14"
"GUILFORD",6.1000000000000000e+01,6.0000000000000000e+01,"New Haven",4.2000000000000000e+01,4.2000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.4000000000000000e+01,2.8000000000000000e+01,"26"
"HADDAM",6.2000000000000000e+01,6.1000000000000000e+01,"Middlesex",2.8000000000000000e+01,2.8000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,"NR"
"HAMDEN",6.3000000000000000e+01,6.2000000000000000e+01,"New Haven",1.6000000000000000e+01,8.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.0000000000000000e+00,5.0000000000000000e+00,1.1000000000000000e+01,"42"
"HAMPTON",6.4000000000000000e+01,6.3000000000000000e+01,"Windham",9.0000000000000000e+00,9.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,"NR"
"HARTFORD",6.5000000000000000e+01,6.4000000000000000e+01,"Hartford",5.6000000000000000e+01,8.0000000000000000e+00,4.8000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,3.2000000000000000e+01,2.4000000000000000e+01,"29"
"NEWTOWN",9.8000000000000000e+01,9.7000000000000000e+01,"Fairfield",2.0000000000000000e+01,2.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.1000000000000000e+01,9.0000000000000000e+00,"44"
"NORFOLK",9.9000000000000000e+01,9.8000000000000000e+01,"Litchfield",3.0000000000000000e+00,3.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,2.0000000000000000e+00,"51"
"NORTH BRANFORD",1.0000000000000000e+02,9.9000000000000000e+01,"New Haven",2.0000000000000000e+00,2.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,"NR"
"NORTH CANAAN",1.0100000000000000e+02,1.0000000000000000e+02,"Litchfield",5.0000000000000000e+00,5.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,4.0000000000000000e+00,"49"
"NORTH HAVEN",1.0200000000000000e+02,1.0100000000000000e+02,"New Haven",4.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.0000000000000000e+00,"49"
"NORTH STONINGTON",1.0300000000000000e+02,1.0200000000000000e+02,"New London",4.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,"NR"
"NORWALK",1.0400000000000000e+02,1.0300000000000000e+02,"Fairfield",2.0500000000000000e+02,2.4000000000000000e+01,2.0000000000000000e+00,0.0000000000000000e+00,1.7900000000000000e+02,4.2000000000000000e+01,1.6300000000000000e+02,"3"
"NORWICH",1.0500000000000000e+02,1.0400000000000000e+02,"New London",1.7000000000000000e+01,9.0000000000000000e+00,8.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.3000000000000000e+02,-1.1300000000000000e+02,"57"
"OLD LYME",1.0600000000000000e+02,1.0500000000000000e+02,"New London",8.0000000000000000e+00,8.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.0000000000000000e+00,"45"
"OLD SAYBROOK",1.0700000000000000e+02,1.0600000000000000e+02,"Middlesex",1.2000000000000000e+01,1.2000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,2.0000000000000000e+00,"51"
