Municipality,Fisc_Year_End,numbered,Comptroller Town Code,County_Identifier,Inter_Gov_Rev,Tax_Rev,Total_Revenue,Education,Debt_Service,Total_Expenditures,TOTAL_Trans_to_Genl_Fund,Other_Financing_Sources,TOTAL_Trans_from_Genl_Fund,Other_Financing_Uses,Operating_Surplus_(Deficit)_Including_Transfers,Prior_Yr_OP_Surplus_(Def)_including_sources_and_uses,Operating_Surplus_(Deficit)_Including_Sources_And_Uses,RSD_DEBT,TOWN_Bonded_Long_Term_Debt,Total_Bonded_Long_Term_Debt_(RSD_+_Town),Reserv_Fund_Bal,Design_Fund_Bal,Total_Fund_Bal,Unreserved_Fund_Bal,Fund_Equity_Enterprise,Fund_Equity_Internal_Service,Curr_Year_Adjusted_Taxes_Collectible,Curr_Year_Taxes_Collected,Curr_Year_Tax_Collection_Rate,Total_Adjusted_Taxes_Collectible,Total_Taxes_Collected,Overal_Total_Tax_Collection_Rate,Moody's_Bond_Ratings_July_2001,area lmt,ACGLFY01,EGL,TANF01 Recipients,Empl,ACMR,Enrollmt,2001 Population
"PRESTON",2.0010000000000000e+03,1.1500000000000000e+02,1.1400000000000000e+02,"NL",4972493.0000,4539154.0000,10364283.0000,7880111.0000,838948.0000,10116508.0000,133556.0000,133556.0000,194190.0000,194190.0000,187141.0000,-23477.0000,187141.0000,,5849979.0000,5849979.0000,484923.0000,0.0000,1876660.0000,1391737.0000,,,4379538.0000,4288680.0000,9.7925397610432885e-01,4622649.0000,4404408.0000,9.5278875813413477e-01,"A3",3.0890000000000001e+01,200841572.0000,313848232.0000,1.2000000000000000e+01,2.1681247622670218e-02,2.1000000000000000e+01,7.4906000000000006e+02,4744
"PROSPECT",2.0010000000000000e+03,1.1600000000000000e+02,1.1500000000000000e+02,"NH",4519769.0000,11838618.0000,16889964.0000,11653135.0000,1409340.0000,17257824.0000,36000.0000,541000.0000,85000.0000,85000.0000,-416860.0000,102649.0000,88140.0000,29192741.4230,5499979.0000,34692720.4230,0.0000,0.0000,466222.0000,466222.0000,,,11774350.0000,11517676.0000,9.7820058007448396e-01,12317675.0000,11695888.0000,9.4952074965445998e-01,"A3",1.4320000000000000e+01,394400279.0000,714504268.0000,1.2000000000000000e+01,2.8896857203121705e-02,2.9300000000000001e+01,1.4347400000000000e+03,9036
"PUTNAM",2.0010000000000000e+03,1.1700000000000000e+02,1.1600000000000000e+02,"W",9375398.0000,5397835.0000,17154087.0000,11731372.0000,1861866.0000,16956820.0000,40598.0000,40598.0000,461137.0000,461137.0000,-223272.0000,710083.0000,-223272.0000,,4135000.0000,4135000.0000,0.0000,395000.0000,2485344.0000,2485344.0000,11197788.0000,,5349436.0000,5175778.0000,9.6753713849460021e-01,5548297.0000,5307389.0000,9.5657982981084111e-01,"A3",2.0289999999999999e+01,321404432.0000,481527474.0000,2.0200000000000000e+02,3.8572014772260979e-02,1.6500000000000000e+01,1.3759100000000001e+03,9159
"REDDING",2.0010000000000000e+03,1.1800000000000000e+02,1.1700000000000000e+02,"F",976903.0000,23515902.0000,26627033.0000,19067385.0000,1781139.0000,24841530.0000,0.0000,0.0000,1817392.0000,1817392.0000,-31889.0000,472631.0000,-31889.0000,1092503.9678,15673102.0000,16765605.9678,0.0000,800000.0000,3524714.0000,3524714.0000,1152493.0000,-126845.0000,23641063.0000,23204720.0000,9.8154300422108764e-01,24615917.0000,23392826.0000,9.5031300276158714e-01,"Aa1",3.1500000000000000e+01,949689922.0000,1618274789.0000,2.0000000000000000e+00,2.1210782147591693e-02,2.5400000000000002e+01,1.6584000000000001e+03,8436
"RIDGEFIELD",2.0010000000000000e+03,1.1900000000000000e+02,1.1800000000000000e+02,"F",3821053.0000,60909459.0000,70941581.0000,46156718.0000,4243692.0000,68786305.0000,732077.0000,732077.0000,944535.0000,2099535.0000,1942818.0000,-1629187.0000,787818.0000,,59021579.0000,59021579.0000,449875.0000,0.0000,5409286.0000,4959411.0000,,1478703.0000,59975066.0000,59039526.0000,9.8440118431883006e-01,62398434.0000,60010104.0000,9.6172452020190125e-01,"Aaa",3.4430000000000000e+01,2597229631.0000,4841280493.0000,1.5000000000000000e+01,1.7904456041750300e-02,2.3250000000000000e+01,4.9710400000000000e+03,24232
"ROCKY HILL",2.0010000000000000e+03,1.2000000000000000e+02,1.1900000000000000e+02,"H",5969040.0000,30905384.0000,39050251.0000,19193184.0000,1334693.0000,38388938.0000,208674.0000,208674.0000,0.0000,0.0000,869987.0000,-1095230.0000,869987.0000,,10409937.0000,10409937.0000,665756.0000,1497186.0000,5184910.0000,4519154.0000,,,30876807.0000,30625903.0000,9.9187403023894283e-01,31853953.0000,30775527.0000,9.6614467284484284e-01,"A1",1.3450000000000001e+01,1140262870.0000,1646900071.0000,5.5000000000000000e+01,2.2820302906262791e-02,2.6800000000000001e+01,2.4447100000000000e+03,17683
"ROXBURY",2.0010000000000000e+03,1.2100000000000000e+02,1.2000000000000000e+02,"L",473744.0000,5626860.0000,6660381.0000,3710242.0000,158498.0000,5640560.0000,0.0000,0.0000,704819.0000,704819.0000,315002.0000,-21237.0000,315002.0000,1554346.2365,665000.0000,2219346.2365,0.0000,248433.0000,1583695.0000,1583695.0000,,,5596033.0000,5554513.0000,9.9258045833539577e-01,5668875.0000,5614953.0000,9.9048805980022492e-01,"Aa3",2.6219999999999999e+01,284127287.0000,511144246.0000,0.0000000000000000e+00,1.4084507042253521e-02,1.9539999999999999e+01,3.2444000000000000e+02,2200
"SALEM",2.0010000000000000e+03,1.2200000000000000e+02,1.2100000000000000e+02,"NL",3345545.0000,5965133.0000,9907890.0000,6764734.0000,935121.0000,10055084.0000,119501.0000,119501.0000,103467.0000,103467.0000,-131160.0000,136233.0000,-131160.0000,,3311712.0000,3311712.0000,128088.0000,285492.0000,1602485.0000,1474397.0000,,,5896724.0000,5804665.0000,9.8438811109354962e-01,6051581.0000,5916761.0000,9.7772152434215120e-01,"A3",2.8949999999999999e+01,193501420.0000,309776071.0000,1.0000000000000000e+01,2.4216524216524215e-02,3.0250000000000000e+01,8.2326999999999998e+02,3880
"SALISBURY",2.0010000000000000e+03,1.2300000000000000e+02,1.2200000000000000e+02,"L",681258.0000,7866078.0000,9406173.0000,5569464.0000,489600.0000,8765191.0000,0.0000,0.0000,519713.0000,519713.0000,121269.0000,9325.0000,121269.0000,295812.5451,2940000.0000,3235812.5451,22239.0000,349335.0000,1254059.0000,1231820.0000,,,7832742.0000,7683777.0000,9.8098175581424740e-01,8226965.0000,7858333.0000,9.5519222459315190e-01,,5.7320000000000000e+01,502663817.0000,732007382.0000,7.0000000000000000e+00,1.3213981244671782e-02,1.5500000000000000e+01,5.3272000000000003e+02,3769
"SCOTLAND",2.0010000000000000e+03,1.2400000000000000e+02,1.2300000000000000e+02,"W",1718594.0000,2068180.0000,3914452.0000,2974327.0000,261468.0000,3893026.0000,1729.0000,1729.0000,19500.0000,19500.0000,3655.0000,158076.0000,3655.0000,31009.6056,1940000.0000,1971009.6056,271816.0000,0.0000,902945.0000,631129.0000,,,2094443.0000,1982533.0000,9.4656813291170971e-01,2267824.0000,2028224.0000,8.9434806228349295e-01,"A3",1.8609999999999999e+01,66037857.0000,95794444.0000,1.0000000000000000e+00,1.7897091722595078e-02,3.1199999999999999e+01,2.7356999999999999e+02,1601
"SEYMOUR",2.0010000000000000e+03,1.2500000000000000e+02,1.2400000000000000e+02,"NH",12730476.0000,20105013.0000,34606399.0000,20953750.0000,3052300.0000,33418046.0000,0.0000,0.0000,0.0000,0.0000,1188353.0000,-241914.0000,1188353.0000,,19521306.0000,19521306.0000,15958.0000,0.0000,-48059.0000,-64017.0000,,,19299038.0000,18793040.0000,9.7378118018110538e-01,20102544.0000,19055824.0000,9.4793096833913160e-01,"A3",1.4570000000000000e+01,648429456.0000,1108466566.0000,1.1900000000000000e+02,3.8211692777990067e-02,3.0800000000000001e+01,2.5849500000000003e+03,15498
"SHARON",2.0010000000000000e+03,1.2600000000000000e+02,1.2500000000000000e+02,"L",631474.0000,5670746.0000,6659704.0000,4196259.0000,544723.0000,6553594.0000,10050.0000,10050.0000,113796.0000,113796.0000,2364.0000,82127.0000,2364.0000,229796.0906,2510651.0000,2740447.0906,111890.0000,50000.0000,511323.0000,399433.0000,2879946.0000,,5604715.0000,5502008.0000,9.8167489337102776e-01,5880537.0000,5615221.0000,9.5488235173080283e-01,"A1",5.8689999999999998e+01,342018170.0000,489266471.0000,3.0000000000000000e+00,1.0193679918450561e-02,1.6399999999999999e+01,3.7178000000000003e+02,2914
"SHELTON",2.0010000000000000e+03,1.2700000000000000e+02,1.2600000000000000e+02,"F",10372623.0000,61382626.0000,76938772.0000,47463937.0000,5239668.0000,74501418.0000,2460437.0000,2460437.0000,3745194.0000,3745194.0000,1152597.0000,-678771.0000,1152597.0000,,23705000.0000,23705000.0000,1064149.0000,4281000.0000,8045835.0000,6981686.0000,,-1382445.0000,59971534.0000,59303734.0000,9.8886471705059276e-01,61399929.0000,60054858.0000,9.7809328085705116e-01,"A1",3.0550000000000001e+01,2412471940.0000,4385846758.0000,1.3700000000000000e+02,3.4203068503860061e-02,2.4600000000000001e+01,5.5358400000000001e+03,37456
"SHERMAN",2.0010000000000000e+03,1.2800000000000000e+02,1.2700000000000000e+02,"F",561776.0000,6803498.0000,8044065.0000,4921071.0000,1064090.0000,7803933.0000,46293.0000,46293.0000,6512973.0000,6512973.0000,-6226548.0000,6704848.0000,-6226548.0000,,8790000.0000,8790000.0000,90444.0000,0.0000,715883.0000,625439.0000,,,6779936.0000,6741827.0000,9.9437915048165648e-01,6812351.0000,6769984.0000,9.9378085480328304e-01,"A1",2.1789999999999999e+01,366411000.0000,524054643.0000,1.1000000000000000e+01,1.7513134851138354e-02,1.8400000000000002e+01,6.1913000000000000e+02,3832
"SIMSBURY",2.0010000000000000e+03,1.2900000000000000e+02,1.2800000000000000e+02,"H",5227301.0000,51106047.0000,58866992.0000,42262781.0000,2527996.0000,57198963.0000,216052.0000,216052.0000,1954934.0000,1954934.0000,-70853.0000,98783.0000,-70853.0000,,16187104.0000,16187104.0000,604350.0000,200000.0000,5189714.0000,4585364.0000,,320228.0000,51066897.0000,50626552.0000,9.9137709502889904e-01,51782450.0000,50953998.0000,9.8400129773697464e-01,"Aa1",3.3880000000000003e+01,1466389867.0000,2543165654.0000,1.5000000000000000e+01,1.5273725759395916e-02,3.4399999999999999e+01,4.8866999999999998e+03,23740
"SOMERS",2.0010000000000000e+03,1.3000000000000000e+02,1.2900000000000000e+02,"T",9125109.0000,10847168.0000,20881506.0000,13753549.0000,2587611.0000,20344857.0000,126313.0000,205313.0000,456289.0000,456289.0000,206673.0000,1249339.0000,285673.0000,,20396200.0000,20396200.0000,0.0000,763872.0000,3188871.0000,3188871.0000,,,10841878.0000,10725450.0000,9.8926127004934017e-01,11169887.0000,10785717.0000,9.6560663505369393e-01,"A1",2.8330000000000002e+01,439741059.0000,726297767.0000,2.1000000000000000e+01,2.3272727272727271e-02,2.4260000000000002e+01,1.6192500000000000e+03,10502
"SOUTH WINDSOR",2.0010000000000000e+03,1.3100000000000000e+02,1.3200000000000000e+02,"H",13076664.0000,47441935.0000,62502191.0000,41142085.0000,4432638.0000,60280279.0000,68082.0000,68082.0000,1549510.0000,1549510.0000,740484.0000,768617.0000,740484.0000,,37722790.0000,37722790.0000,717105.0000,1200000.0000,6118983.0000,5401878.0000,,,47276162.0000,46594955.0000,9.8559089885511431e-01,49122088.0000,47181491.0000,9.6049441139391301e-01,"Aa3",2.7960000000000001e+01,1358842325.0000,2175198717.0000,6.2000000000000000e+01,2.1978835195737439e-02,3.4680000000000000e+01,5.0252900000000000e+03,24773
"SOUTHBURY",2.0010000000000000e+03,1.3200000000000000e+02,1.3000000000000000e+02,"NH",2129144.0000,33923248.0000,38228691.0000,26477656.0000,169783.0000,35830434.0000,0.0000,0.0000,1673966.0000,1673966.0000,724291.0000,369012.0000,724291.0000,12797276.5927,530988.0000,13328264.5927,1480147.0000,1330000.0000,9208298.0000,7728151.0000,,171336.0000,33700523.0000,33418926.0000,9.9164413561178266e-01,34565241.0000,33736068.0000,9.7601136355450258e-01,,3.9050000000000004e+01,1446480112.0000,2481592974.0000,2.6000000000000000e+01,2.9608127721335267e-02,2.3199999999999999e+01,3.1834000000000001e+03,18471
"SOUTHINGTON",2.0010000000000000e+03,1.3300000000000000e+02,1.3100000000000000e+02,"H",22259151.0000,56329015.0000,85166565.0000,56549891.0000,3864142.0000,82474670.0000,189584.0000,189584.0000,3089570.0000,3089570.0000,-208091.0000,762751.0000,-208091.0000,,35887891.0000,35887891.0000,818388.0000,990116.0000,7094176.0000,6275788.0000,31187981.0000,478837.0000,55877659.0000,54782058.0000,9.8039286148333449e-01,57703636.0000,55712057.0000,9.6548607439572787e-01,"A1",3.5980000000000004e+01,2064002386.0000,3300924101.0000,1.7100000000000000e+02,2.9292031257311311e-02,2.6900000000000002e+01,6.6196599999999999e+03,40227
"SPRAGUE",2.0010000000000000e+03,1.3400000000000000e+02,1.3300000000000000e+02,"NL",2871756.0000,3001060.0000,6090274.0000,4376136.0000,1976185.0000,5720462.0000,54608.0000,54608.0000,218250.0000,218250.0000,206170.0000,-69117.0000,206170.0000,,2164764.0000,2164764.0000,272285.0000,992084.0000,1354636.0000,1082351.0000,1556414.0000,,3003699.0000,2909808.0000,9.6874154167910964e-01,3255249.0000,2975163.0000,9.1395865569730605e-01,"A3",1.3210000000000001e+01,128327058.0000,200946964.0000,5.4000000000000000e+01,4.6847888953152110e-02,2.3250000000000000e+01,5.5774000000000001e+02,2799
"STAFFORD",2.0010000000000000e+03,1.3500000000000000e+02,1.3400000000000000e+02,"T",12449936.0000,12824213.0000,26144237.0000,18184669.0000,2877174.0000,26730142.0000,4438105.0000,4438105.0000,4429044.0000,4429044.0000,-576844.0000,438986.0000,-576844.0000,,19089522.0000,19089522.0000,154882.0000,0.0000,2595341.0000,2440459.0000,2279212.0000,,12669242.0000,12237127.0000,9.6589259246922587e-01,13828672.0000,12613199.0000,9.1210486444396111e-01,"A3",5.7950000000000003e+01,503318227.0000,705909346.0000,8.5000000000000000e+01,3.3451000168095477e-02,2.4980000000000000e+01,2.0255100000000000e+03,11419
"STAMFORD",2.0010000000000000e+03,1.3600000000000000e+02,1.3500000000000000e+02,"F",29473972.0000,258701998.0000,313343549.0000,153158511.0000,32213715.0000,284891596.0000,712625.0000,712625.0000,27967328.0000,27967328.0000,1197250.0000,-241429.0000,1197250.0000,,279115082.0000,279115082.0000,5916300.0000,9055317.0000,14971617.0000,9055317.0000,-1091507.0000,-2401367.0000,255724838.0000,250184667.0000,9.7833542082447222e-01,271835220.0000,255690092.0000,9.4060693091940040e-01,"Aaa",3.7710000000000001e+01,10662714879.0000,15420005199.0000,9.7700000000000000e+02,2.7264035376019600e-02,2.3870000000000001e+01,1.5095470000000001e+04,117267
"STERLING",2.0010000000000000e+03,1.3700000000000000e+02,1.3600000000000000e+02,"W",3167218.0000,2819786.0000,6158314.0000,4723351.0000,218047.0000,6015510.0000,194.0000,194.0000,212676.0000,212676.0000,-69678.0000,276711.0000,-69678.0000,,1025000.0000,1025000.0000,0.0000,0.0000,1101117.0000,1101117.0000,1529553.0000,148516.0000,2707342.0000,2562472.0000,9.4648995213755782e-01,3060517.0000,2737929.0000,8.9459689326999325e-01,,2.7230000000000000e+01,115773017.0000,182574183.0000,1.6000000000000000e+01,4.1441441441441441e-02,2.3000000000000000e+01,5.6272000000000003e+02,3224
"STONINGTON",2.0010000000000000e+03,1.3800000000000000e+02,1.3700000000000000e+02,"NL",6042865.0000,31721444.0000,40683771.0000,23093940.0000,3385873.0000,40617676.0000,608208.0000,4458208.0000,207318.0000,4057318.0000,466985.0000,-263025.0000,466985.0000,,28194166.0000,28194166.0000,2152999.0000,0.0000,2923290.0000,770291.0000,56336489.0000,1096968.0000,31229552.0000,30818101.0000,9.8682494708857815e-01,31780817.0000,31199262.0000,9.8170106828908776e-01,"Aa3",3.8680000000000000e+01,1213662487.0000,2199231845.0000,1.2600000000000000e+02,1.8503780342220454e-02,2.5710000000000001e+01,2.4622700000000000e+03,17767
"STRATFORD",2.0010000000000000e+03,1.3900000000000000e+02,1.3800000000000000e+02,"F",24438264.0000,94575861.0000,122956223.0000,64201240.0000,20526397.0000,122894338.0000,266244.0000,353627.0000,2104917.0000,2104917.0000,-1776788.0000,-219039.0000,-1689405.0000,,181192990.0000,181192990.0000,603584.0000,10871770.0000,11475354.0000,10871770.0000,11253561.0000,-2545723.0000,93736863.0000,90606231.0000,9.6660191199272372e-01,99464163.0000,92956905.0000,9.3457685860182627e-01,"A1",1.7580000000000002e+01,2671411877.0000,4415836479.0000,3.7600000000000000e+02,3.8634177621032384e-02,3.5270000000000003e+01,7.5370400000000000e+03,49326
"SUFFIELD",2.0010000000000000e+03,1.4000000000000000e+02,1.3900000000000000e+02,"H",8476926.0000,19055229.0000,30713006.0000,17406028.0000,2080321.0000,27494087.0000,469515.0000,469515.0000,1944368.0000,1944368.0000,1744066.0000,-67955.0000,1744066.0000,,38057991.0000,38057991.0000,1231292.0000,939571.0000,8854515.0000,7623223.0000,21052482.0000,12804.0000,18988820.0000,18765233.0000,9.8822533469694274e-01,19448335.0000,18925274.0000,9.7310510128502004e-01,"Aa3",4.2210000000000001e+01,707380057.0000,1017878100.0000,2.0000000000000000e+01,2.6881720430107527e-02,2.6539999999999999e+01,2.1577100000000000e+03,13990
"THOMASTON",2.0010000000000000e+03,1.4100000000000000e+02,1.4000000000000000e+02,"L",6366535.0000,10985990.0000,18032181.0000,10239710.0000,1871789.0000,16632934.0000,616906.0000,618414.0000,1923505.0000,1942505.0000,92648.0000,-138059.0000,75156.0000,,10848958.0000,10848958.0000,0.0000,500000.0000,2291664.0000,2291664.0000,,0.0000,10904055.0000,10642688.0000,9.7603029331748603e-01,11414614.0000,10865625.0000,9.5190472494295475e-01,"A2",1.2010000000000000e+01,352788554.0000,531012431.0000,3.7000000000000000e+01,3.9672998316903102e-02,3.0600000000000001e+01,1.3331600000000001e+03,7538
"THOMPSON",2.0010000000000000e+03,1.4200000000000000e+02,1.4100000000000000e+02,"W",8278000.0000,7272610.0000,16363198.0000,11157726.0000,1041063.0000,14765224.0000,179891.0000,179891.0000,1139719.0000,1139719.0000,638146.0000,485633.0000,638146.0000,,2855000.0000,2855000.0000,121033.0000,331943.0000,1993449.0000,1872416.0000,,,7267756.0000,7116567.0000,9.7919729280949996e-01,7499661.0000,7193814.0000,9.5921855667876188e-01,"A3",4.6939999999999998e+01,363687174.0000,531637920.0000,6.0000000000000000e+01,3.4218916046758766e-02,1.9890000000000001e+01,1.4161800000000001e+03,8958
"TOLLAND",2.0010000000000000e+03,1.4300000000000000e+02,1.4200000000000000e+02,"T",9623727.0000,20403106.0000,31166356.0000,21250799.0000,1873711.0000,30314269.0000,0.0000,0.0000,779245.0000,779245.0000,72842.0000,-15710.0000,72842.0000,,12130817.0000,12130817.0000,1080611.0000,0.0000,3337759.0000,2257148.0000,2216212.0000,,20244959.0000,20061750.0000,9.9095038918083267e-01,20498669.0000,20262596.0000,9.8848349617236120e-01,"A1",3.9710000000000001e+01,657278453.0000,1077785794.0000,1.5000000000000000e+01,1.9262749445676276e-02,3.0370000000000001e+01,2.7895799999999999e+03,13788
"TORRINGTON",2.0010000000000000e+03,1.4400000000000000e+02,1.4300000000000000e+02,"L",30215589.0000,48636375.0000,82408186.0000,42519379.0000,8036346.0000,80308816.0000,0.0000,0.0000,800232.0000,800232.0000,1299138.0000,1816622.0000,1299138.0000,,65113295.0000,65113295.0000,3219691.0000,1326815.0000,8666620.0000,5446929.0000,,1912727.0000,48465969.0000,48465969.0000,1.0000000000000000e+00,48465969.0000,48465969.0000,1.0000000000000000e+00,"A1",3.9780000000000001e+01,1406151717.0000,2067407460.0000,5.2500000000000000e+02,4.0058227302134999e-02,3.4280000000000001e+01,5.0534700000000003e+03,35434
"TRUMBULL",2.0010000000000000e+03,1.4500000000000000e+02,1.4400000000000000e+02,"F",5059247.0000,75634940.0000,87509488.0000,53245075.0000,6602447.0000,85575183.0000,350000.0000,350000.0000,1000000.0000,1000000.0000,1284305.0000,1182936.0000,1284305.0000,,52583772.0000,52583772.0000,157323.0000,610906.0000,4777016.0000,4619693.0000,10464459.0000,-47538.0000,75110564.0000,73948539.0000,9.8452914026847138e-01,77174400.0000,75079112.0000,9.7284996060869922e-01,"Aa2",2.3300000000000001e+01,2799552105.0000,4801965294.0000,3.8000000000000000e+01,2.8401740562154533e-02,2.6699999999999999e+01,6.2510100000000002e+03,34547
"UNION",2.0010000000000000e+03,1.4600000000000000e+02,1.4500000000000000e+02,"T",497318.0000,1039700.0000,1639303.0000,850179.0000,107800.0000,1605692.0000,0.0000,0.0000,52815.0000,52815.0000,-19204.0000,48357.0000,-19204.0000,,822792.0000,822792.0000,0.0000,134292.0000,391128.0000,391128.0000,,,1034794.0000,1007560.0000,9.7368171829368932e-01,1081819.0000,1029393.0000,9.5153902824779379e-01,,2.8699999999999999e+01,46165328.0000,66202397.0000,2.0000000000000000e+00,2.4449877750611249e-02,2.2660000000000000e+01,9.2000000000000000e+01,713
"VERNON",2.0010000000000000e+03,1.4700000000000000e+02,1.4600000000000000e+02,"T",21826030.0000,35562024.0000,60114823.0000,38339830.0000,3784535.0000,58905905.0000,398511.0000,398511.0000,1965919.0000,1965919.0000,-358490.0000,-281446.0000,-358490.0000,,33015230.0000,33015230.0000,697994.0000,100000.0000,6141252.0000,5443258.0000,10024172.0000,1886599.0000,35316170.0000,34770103.0000,9.8453776273021676e-01,37305180.0000,35220383.0000,9.4411507999693345e-01,"A1",1.7730000000000000e+01,1162324970.0000,1605826710.0000,4.4200000000000000e+02,2.5536261491317672e-02,3.0109999999999999e+01,4.1286599999999999e+03,27861
"VOLUNTOWN",2.0010000000000000e+03,1.4800000000000000e+02,1.4700000000000000e+02,"NL",3178757.0000,2570731.0000,5880781.0000,4473472.0000,343488.0000,5830643.0000,21718.0000,21718.0000,542873.0000,542873.0000,-471017.0000,166559.0000,-471017.0000,,2155060.0000,2155060.0000,62037.0000,235675.0000,867909.0000,805872.0000,,,2533888.0000,2434520.0000,9.6078437563144070e-01,2763737.0000,2520344.0000,9.1193337137361474e-01,"A3",3.9009999999999998e+01,102166029.0000,156995100.0000,1.7000000000000000e+01,4.2203147353361947e-02,2.4500000000000000e+01,5.1765999999999997e+02,2436
"WALLINGFORD",2.0010000000000000e+03,1.4900000000000000e+02,1.4800000000000000e+02,"NH",24583162.0000,68853748.0000,99779336.0000,60683291.0000,5113948.0000,95561239.0000,1902212.0000,1902212.0000,3802131.0000,3802131.0000,2318178.0000,2300571.0000,2318178.0000,,26760000.0000,26760000.0000,6342106.0000,3975206.0000,22804233.0000,16462127.0000,137762206.0000,,63600566.0000,62331053.0000,9.8003928141142649e-01,66646480.0000,63598633.0000,9.5426844748589879e-01,"Aa1",3.9009999999999998e+01,2439438118.0000,3723201366.0000,2.2400000000000000e+02,3.0442962202839062e-02,2.5900000000000002e+01,7.1825299999999997e+03,43100
"WARREN",2.0010000000000000e+03,1.5000000000000000e+02,1.4900000000000000e+02,"L",117745.0000,2592800.0000,2908954.0000,1909550.0000,0.0000,2798273.0000,0.0000,0.0000,47000.0000,47000.0000,63681.0000,-10711.0000,63681.0000,1675155.2444,0.0000,1675155.2444,0.0000,0.0000,910070.0000,910070.0000,,,2579875.0000,2550692.0000,9.8868821163816079e-01,2628123.0000,2583491.0000,9.8301753761144361e-01,,2.6310000000000002e+01,118117183.0000,291140240.0000,0.0000000000000000e+00,2.0378457059679767e-02,2.1750000000000000e+01,1.7800000000000000e+02,1291
"WASHINGTON",2.0010000000000000e+03,1.5100000000000000e+02,1.5000000000000000e+02,"L",277672.0000,8904850.0000,9994845.0000,6287890.0000,88784.0000,9096363.0000,0.0000,0.0000,1673000.0000,1673000.0000,-774518.0000,873997.0000,-774518.0000,2634210.4254,715000.0000,3349210.4254,0.0000,1013049.0000,2677912.0000,2677912.0000,,,8864741.0000,8721970.0000,9.8389450972115255e-01,9091321.0000,8835543.0000,9.7186569476537021e-01,"Aa3",3.8180000000000000e+01,578447420.0000,827183829.0000,1.1000000000000000e+01,1.9093078758949882e-02,1.5250000000000000e+01,5.0882999999999998e+02,3645
"WATERBURY",2.0010000000000000e+03,1.5200000000000000e+02,1.5100000000000000e+02,"NH",116969000.0000,129139000.0000,255849000.0000,118138000.0000,10441000.0000,279497000.0000,2134000.0000,2134000.0000,30196000.0000,30196000.0000,-51710000.0000,-15214830.0000,-51710000.0000,,74430000.0000,74430000.0000,2712000.0000,0.0000,-70737000.0000,-73449000.0000,108358000.0000,-12327000.0000,135396000.0000,124883000.0000,9.2235368843983578e-01,159565000.0000,129989000.0000,8.1464606900009395e-01,"Baa3",2.8550000000000001e+01,1649997895.0000,4567623093.0000,4.7510000000000000e+03,6.0278679137239929e-02,8.0522000000000006e+01,1.6119940000000001e+04,109019
"WATERFORD",2.0010000000000000e+03,1.5300000000000000e+02,1.5200000000000000e+02,"NL",3467552.0000,52434112.0000,60339182.0000,31551255.0000,410700.0000,52761744.0000,0.0000,84148.0000,7349472.0000,7349472.0000,227966.0000,-601181.0000,312114.0000,,71402.0000,71402.0000,998577.0000,0.0000,16960184.0000,15961607.0000,83925275.0000,1406880.0000,52547786.0000,52213220.0000,9.9363310949009342e-01,53157531.0000,52496215.0000,9.8755931685389975e-01,,3.2740000000000002e+01,3202199070.0000,4753053545.0000,5.7000000000000000e+01,2.4278215223097113e-02,1.6399999999999999e+01,3.0706700000000001e+03,19139
"WATERTOWN",2.0010000000000000e+03,1.5400000000000000e+02,1.5300000000000000e+02,"L",14971197.0000,27140390.0000,44747583.0000,28236222.0000,4610733.0000,45648090.0000,247824.0000,247824.0000,244386.0000,244386.0000,-897069.0000,132445.0000,-897069.0000,,27438088.0000,27438088.0000,801763.0000,450000.0000,4099552.0000,3297789.0000,15166670.0000,2247292.0000,26946843.0000,26564274.0000,9.8580282669847452e-01,27470654.0000,26911384.0000,9.7964118364273378e-01,"Aa3",2.9150000000000002e+01,1133263475.0000,1700124224.0000,7.4000000000000000e+01,3.4145546410235518e-02,2.3559999999999999e+01,3.6416800000000003e+03,21915
"WEST HARTFORD",2.0010000000000000e+03,1.5500000000000000e+02,1.5500000000000000e+02,"H",14926000.0000,122570000.0000,142892000.0000,83474000.0000,10903000.0000,144736000.0000,2529000.0000,2529000.0000,1251000.0000,1251000.0000,-566000.0000,-1669000.0000,-566000.0000,,81500000.0000,81500000.0000,371000.0000,0.0000,11048000.0000,10677000.0000,6297000.0000,26950000.0000,122520000.0000,121285000.0000,9.8992001305909239e-01,124040000.0000,122072000.0000,9.8413415027410511e-01,"Aaa",2.1980000000000000e+01,3559024147.0000,5124372924.0000,3.5100000000000000e+02,2.1943136228850513e-02,3.4359999999999999e+01,9.4439300000000003e+03,61578
"WEST HAVEN",2.0010000000000000e+03,1.5600000000000000e+02,1.5600000000000000e+02,"NH",45990958.0000,62880074.0000,113746352.0000,66583850.0000,10952069.0000,113898958.0000,545883.0000,545883.0000,339947.0000,339947.0000,53330.0000,1255924.0000,53330.0000,,70410011.0000,70410011.0000,892134.0000,3300750.0000,12446782.0000,11554648.0000,,2475290.0000,62413440.0000,57405862.0000,9.1976763338152812e-01,75527497.0000,61471152.0000,8.1389102567505978e-01,"A3",1.0830000000000000e+01,1807459801.0000,2657736092.0000,1.3930000000000000e+03,3.6267276317156809e-02,3.4280000000000001e+01,7.7455200000000004e+03,52212
