Municipality,Initials,Fisc_Year_End,numbered,Comptroller Town Code,County_Identifier,Net Investment In Capital Assets,Unrestricted Net Position,Total Net Position,Change In Net Position,Nonspendable_Fund_Bal,Restricted_Fund_Bal,Committed_Fund_Bal,Assigned_Fund_Bal,Total_Fund_Bal,Unassigned_Fund_Bal,Unrestricted_Fund_Bal,Restatement of Fund Balance (Y or N),Inter_Gov_Rev,Tax_Rev,Total_Revenue,Education,Debt_Service,Total_Expenditures,TOTAL_Trans_to_Genl_Fund,Other_Financing_Sources,TOTAL_Trans_from_Genl_Fund,Other_Financing_Uses,Operating_Surplus_(Deficit)_Including_Transfers,Prior_Yr_OP_Surplus_(Def)_including_sources_and_uses,Operating_Surplus_(Deficit)_Including_Sources_And_Uses,Special / Extraordinary Items,Deficit - Individual Enterprise Funds (Y or N),Deficit - Individual Internal Service Funds (Y or N),RSD_DEBT,TOWN_Bonded_Long_Term_Debt,Total_Bonded_Long_Term_Debt_(RSD_+_Town),Curr_Year_Adjusted_Taxes_Collectible,Curr_Year_Taxes_Collected,Curr_Year_Tax_Collection_Rate,Total_Adjusted_Taxes_Collectible,Total_Taxes_Collected,Overal_Total_Tax_Collection_Rate,2013 Population,Moody's_Bond_Ratings_July_2013,area lmt,ACGLFY13,EGL,TANF13 Recipients,empl,ACMR,enrollmt
"KENT","JG",2.0130000000000000e+03,6.9000000000000000e+01,6.8000000000000000e+01,"L",9682477.0000,4765489.0000,14505345.0000,570382.0000,0.0000,0.0000,0.0000,350000.0000,2545230.0000,2195230.0000,2545230.0000,"N",1012520.0000,9553319.0000,10946660.0000,7045914.0000,714354.0000,10476076.0000,37836.0000,37836.0000,923474.0000,923474.0000,-415054.0000,17340.0000,-415054.0000,0.0000,"N","N",909238.9479,4295000.0000,5204238.9479,9440500.0000,9346185.0000,9.9000953339335840e-01,9755286.0000,9464030.0000,9.7014377641004068e-01,2.9390000000000000e+03,"Aa2",4.8469999999999999e+01,665620489.0000,686205493.7900,1.0000000000000000e+00,5.5888223552894210e-02,1.4270000000000000e+01,3.1655000000000001e+02
"KILLINGLY","JG",2.0130000000000000e+03,7.0000000000000000e+01,6.9000000000000000e+01,"W",101541317.0000,13674955.0000,115866063.0000,192741.0000,0.0000,0.0000,456544.0000,1008783.0000,8427717.0000,6962390.0000,8427717.0000,"N",22056094.0000,28731952.0000,54327437.0000,42666655.0000,2756361.0000,54632300.0000,503571.0000,503571.0000,1245800.0000,1245800.0000,-1047092.0000,-1418985.0000,-1047092.0000,0.0000,"N","N",,32201022.0000,32201022.0000,28651840.0000,27961980.0000,9.7592266325653076e-01,29669468.0000,28440420.0000,9.5857532733650630e-01,1.7233000000000000e+04,"Aa2",4.8520000000000003e+01,1365179309.0000,1491814232.4200,1.8400000000000000e+02,9.5031253310732075e-02,1.9699999999999999e+01,2.4875900000000001e+03
"KILLINGWORTH","BP",2.0130000000000000e+03,7.1000000000000000e+01,7.0000000000000000e+01,"M",23557569.0000,5496375.0000,29053944.0000,-928616.0000,0.0000,0.0000,0.0000,0.0000,3409819.0000,3409819.0000,3409819.0000,"N",2869250.0000,17782133.0000,21038483.0000,16611324.0000,274341.0000,20384796.0000,0.0000,0.0000,418271.0000,418271.0000,235416.0000,622761.0000,235416.0000,0.0000,"N","N",6565622.9742,2395000.0000,8960622.9742,17712046.0000,17593822.0000,9.9332522058716421e-01,17874444.0000,17704162.0000,9.9047343794302078e-01,6.4900000000000000e+03,"Aa2",3.5320000000000000e+01,714579555.0000,1021230811.4300,4.0000000000000000e+00,5.6654195617316945e-02,2.4780000000000001e+01,9.8432000000000005e+02
"LEBANON","BP",2.0130000000000000e+03,7.2000000000000000e+01,7.1000000000000000e+01,"NL",33482744.0000,2786363.0000,40373256.0000,1734119.0000,96021.0000,0.0000,0.0000,0.0000,3885986.0000,3789965.0000,3789965.0000,"N",7708327.0000,15528089.0000,24353640.0000,18810571.0000,5748840.0000,22374399.0000,262.0000,262.0000,807130.0000,907130.0000,1172373.0000,739624.0000,1072373.0000,0.0000,"Y","N",,8469081.0000,8469081.0000,15807401.0000,15476522.0000,9.7906809601401268e-01,16245740.0000,15763985.0000,9.7034576448964471e-01,7.3190000000000000e+03,,5.4100000000000001e+01,665504785.0000,839856300.0000,3.3000000000000000e+01,6.8444891796678411e-02,2.3600000000000001e+01,1.1420000000000000e+03
"LEDYARD","JG",2.0130000000000000e+03,7.3000000000000000e+01,7.2000000000000000e+01,"NL",43235275.0000,3780534.0000,47289291.0000,-818209.0000,0.0000,0.0000,0.0000,100000.0000,4182361.0000,4082361.0000,4182361.0000,"N",18857628.0000,30453940.0000,52592944.0000,32958749.0000,1628076.0000,50964858.0000,485980.0000,485980.0000,1793876.0000,1793876.0000,320190.0000,335298.0000,320190.0000,0.0000,"N","N",,17025911.0000,17025911.0000,30378451.0000,29935084.0000,9.8540521371547218e-01,30795500.0000,30166885.0000,9.7958743972333617e-01,1.5094000000000000e+04,"Aa2",3.8140000000000001e+01,1099086255.0000,1495867237.4700,6.7000000000000000e+01,6.7694622038360283e-02,2.7930000000000000e+01,2.5260799999999999e+03
"LISBON","BP",2.0130000000000000e+03,7.4000000000000000e+01,7.3000000000000000e+01,"NL",7857035.0000,2406909.0000,10742794.0000,436839.0000,0.0000,47346.0000,0.0000,22753.0000,2407496.0000,2337397.0000,2360150.0000,"N",4920021.0000,7309881.0000,13571166.0000,10327874.0000,561314.0000,13185087.0000,0.0000,0.0000,208123.0000,208123.0000,177956.0000,295506.0000,177956.0000,0.0000,"N","N",,4342031.0000,4342031.0000,7211327.0000,7089107.0000,9.8305166302956448e-01,7406855.0000,7217476.0000,9.7443192826105007e-01,4.3480000000000000e+03,"Aa3",1.6250000000000000e+01,367489421.0000,548596972.8600,2.6000000000000000e+01,7.2525597269624570e-02,1.9600000000000001e+01,6.2538000000000000e+02
"LITCHFIELD","JG",2.0130000000000000e+03,7.5000000000000000e+01,7.4000000000000000e+01,"L",37713000.0000,14903000.0000,52626000.0000,-350000.0000,61000.0000,0.0000,0.0000,245000.0000,5554000.0000,5248000.0000,5493000.0000,"N",3502000.0000,24794000.0000,28877000.0000,18545000.0000,3293000.0000,28631000.0000,438000.0000,438000.0000,25000.0000,25000.0000,659000.0000,718000.0000,659000.0000,0.0000,"N","N",,29594000.0000,29594000.0000,24668000.0000,24186000.0000,9.8046051564780279e-01,25366000.0000,24598000.0000,9.6972325159662542e-01,8.3330000000000000e+03,"Aa2",5.6060000000000002e+01,1108810149.0000,1425894469.0700,1.3000000000000000e+01,5.6995928862224127e-02,2.2199999999999999e+01,1.0601099999999999e+03
"LYME","JG",2.0130000000000000e+03,7.6000000000000000e+01,7.5000000000000000e+01,"NL",7726069.0000,2136650.0000,9918719.0000,1298148.0000,0.0000,0.0000,0.0000,277783.0000,1238769.0000,960986.0000,1238769.0000,"N",375371.0000,8085643.0000,8648469.0000,5885453.0000,0.0000,8247393.0000,3750.0000,3750.0000,250000.0000,250000.0000,154826.0000,-94709.0000,154826.0000,0.0000,"N","N",7432237.8134,0.0000,7432237.8134,8145402.0000,8035201.0000,9.8647077209940037e-01,8288229.0000,8049498.0000,9.7119637982975615e-01,2.4010000000000000e+03,,3.1850000000000001e+01,608241038.0000,681950152.8099,0.0000000000000000e+00,5.4076539101497505e-02,1.3500000000000000e+01,3.1119000000000000e+02
"MADISON","BP",2.0130000000000000e+03,7.7000000000000000e+01,7.6000000000000000e+01,"NH",82100206.0000,12143122.0000,94698102.0000,1215913.0000,0.0000,0.0000,0.0000,1170334.0000,8971912.0000,7801578.0000,8971912.0000,"N",8608695.0000,67821393.0000,78692957.0000,53737674.0000,4293583.0000,75756559.0000,58100.0000,9692403.0000,4200177.0000,13685781.0000,-1205679.0000,498614.0000,-1056980.0000,0.0000,"N","N",,36280000.0000,36280000.0000,67926142.0000,67571381.0000,9.9477725380016435e-01,68673133.0000,67874523.0000,9.8837085239725408e-01,1.8297000000000000e+04,"Aaa",3.6180000000000000e+01,3453481910.0000,4169051044.8300,1.4000000000000000e+01,5.6509945750452081e-02,1.9770000000000000e+01,3.3796700000000001e+03
"MANCHESTER","BP",2.0130000000000000e+03,7.8000000000000000e+01,7.7000000000000000e+01,"H",100236000.0000,6314000.0000,108860000.0000,235000.0000,37000.0000,0.0000,24000.0000,2764000.0000,14648000.0000,11823000.0000,14611000.0000,"N",46708000.0000,122293000.0000,172932000.0000,113067000.0000,9574000.0000,172113000.0000,2746000.0000,2746000.0000,3042000.0000,3042000.0000,523000.0000,-1522000.0000,523000.0000,0.0000,"Y","N",,79375000.0000,79375000.0000,127784000.0000,125048000.0000,9.7858886871595818e-01,132245000.0000,126487000.0000,9.5645960149722109e-01,5.8211000000000000e+04,"Aa1",2.7250000000000000e+01,3887671584.0000,5558448948.5700,6.3600000000000000e+02,7.5146298417809704e-02,3.5829999999999998e+01,7.1465200000000004e+03
"MANSFIELD","JG",2.0130000000000000e+03,7.9000000000000000e+01,7.8000000000000000e+01,"T",79677678.0000,8673559.0000,88625521.0000,-364431.0000,0.0000,0.0000,0.0000,424907.0000,3174663.0000,2749756.0000,3174663.0000,"N",20156961.0000,26975001.0000,48026600.0000,32224464.0000,842086.0000,44740096.0000,60500.0000,60500.0000,2667436.0000,2667436.0000,679568.0000,298338.0000,679568.0000,0.0000,"N","N",5458173.6993,3203947.0000,8662120.6993,26865483.0000,26430170.0000,9.8379656900268642e-01,27477208.0000,26690783.0000,9.7137900619306006e-01,2.5774000000000000e+04,"Aa2",4.4460000000000001e+01,980397735.0000,1339347646.3900,3.2000000000000000e+01,7.6340848050785379e-02,2.7160000000000000e+01,1.9717600000000000e+03
"MARLBOROUGH","BP",2.0130000000000000e+03,8.0000000000000000e+01,7.9000000000000000e+01,"H",26697893.0000,7512132.0000,34210025.0000,1373788.0000,0.0000,0.0000,0.0000,713024.0000,3276646.0000,2563622.0000,3276646.0000,"N",4242806.0000,17705831.0000,22295152.0000,15213918.0000,2387896.0000,21755631.0000,296936.0000,296936.0000,273414.0000,273414.0000,563043.0000,229086.0000,563043.0000,0.0000,"N","N",6324802.8792,18455552.0000,24780354.8792,17659929.0000,17483173.0000,9.8999112623838970e-01,17895373.0000,17606378.0000,9.8385085351392232e-01,6.4310000000000000e+03,"Aa2",2.3280000000000001e+01,564965100.0000,807409860.0000,9.0000000000000000e+00,5.6782334384858045e-02,3.1030000000000001e+01,1.1884000000000001e+03
"MERIDEN","JG",2.0130000000000000e+03,8.1000000000000000e+01,8.0000000000000000e+01,"NH",130773289.0000,-69408665.0000,62720484.0000,1863758.0000,125508.0000,1009817.0000,636972.0000,0.0000,17497456.0000,15725159.0000,16362131.0000,"N",73706875.0000,113886618.0000,196860010.0000,111411471.0000,11610000.0000,196901495.0000,281134.0000,6826102.0000,90928.0000,6544401.0000,148721.0000,-1009021.0000,240216.0000,0.0000,"Y","Y",,87042203.0000,87042203.0000,113481335.0000,110334477.0000,9.7226981864462558e-01,121852569.0000,112614880.0000,9.2418962459461973e-01,6.0456000000000000e+04,"A1",2.3739999999999998e+01,3246242290.0000,4644224171.4300,1.3310000000000000e+03,9.7648961313596225e-02,3.4700000000000003e+01,9.0700699999999997e+03
"MIDDLEBURY","JG",2.0130000000000000e+03,8.2000000000000000e+01,8.1000000000000000e+01,"NH",33836171.0000,12562913.0000,46399084.0000,-1144716.0000,806309.0000,0.0000,0.0000,648327.0000,4179942.0000,2725306.0000,3373633.0000,"N",1367670.0000,26103267.0000,28382195.0000,19093395.0000,708300.0000,28622563.0000,328549.0000,3649720.0000,107984.0000,3318306.0000,-19803.0000,518013.0000,91046.0000,0.0000,"N","N",6484930.5009,8196808.0000,14681738.5009,25992390.0000,25585860.0000,9.8435965295996253e-01,26657079.0000,25827833.0000,9.6889209054000247e-01,7.5710000000000000e+03,"Aa2",1.7750000000000000e+01,920245661.0000,1314965601.4300,7.0000000000000000e+00,5.8005880780539962e-02,2.8070000000000000e+01,1.3320699999999999e+03
"MIDDLEFIELD","BP",2.0130000000000000e+03,8.3000000000000000e+01,8.2000000000000000e+01,"M",7134578.0000,4328465.0000,11463043.0000,619671.0000,0.0000,0.0000,0.0000,253075.0000,1863766.0000,1610691.0000,1863766.0000,"N",2487016.0000,12943264.0000,15758355.0000,11549668.0000,524670.0000,15320258.0000,295423.0000,295423.0000,526714.0000,526714.0000,206806.0000,214810.0000,206806.0000,0.0000,"N","N",4382378.0000,4339922.0000,8722300.0000,12872610.0000,12664082.0000,9.8380064338156747e-01,13163370.0000,12811138.0000,9.7324150274587740e-01,4.4250000000000000e+03,,1.2699999999999999e+01,401114270.0000,573588857.1400,6.0000000000000000e+00,6.0236060236060235e-02,3.2149999999999999e+01,6.8779999999999995e+02
"MIDDLETOWN","JG",2.0130000000000000e+03,8.4000000000000000e+01,8.3000000000000000e+01,"M",284417000.0000,9309000.0000,294943000.0000,-6521000.0000,0.0000,0.0000,0.0000,6363000.0000,21418000.0000,15055000.0000,21418000.0000,"N",35322000.0000,95674000.0000,140113000.0000,79052000.0000,13149000.0000,127080000.0000,495000.0000,4142000.0000,12615000.0000,12615000.0000,913000.0000,1411000.0000,4560000.0000,0.0000,"N","N",,78820000.0000,78820000.0000,103264000.0000,100977000.0000,9.7785288193368458e-01,107503000.0000,102563000.0000,9.5404779401505069e-01,4.7333000000000000e+04,"Aa2",4.0899999999999999e+01,3581095639.0000,4870325433.2000,4.5400000000000000e+02,7.4610159024239620e-02,2.6899999999999999e+01,5.2155500000000002e+03
"MILFORD","BP",2.0130000000000000e+03,8.5000000000000000e+01,8.4000000000000000e+01,"NH",153422000.0000,-48924000.0000,104753000.0000,-4765000.0000,21000.0000,0.0000,1033000.0000,7875000.0000,23874000.0000,14945000.0000,23853000.0000,"N",26789000.0000,164236000.0000,200957000.0000,119070000.0000,11939000.0000,195604000.0000,21000.0000,15748000.0000,2827000.0000,18296000.0000,2547000.0000,-2454000.0000,2805000.0000,0.0000,"N","N",,149030000.0000,149030000.0000,163283000.0000,160923000.0000,9.8554656639086735e-01,171209000.0000,164405000.0000,9.6025909852869884e-01,5.3137000000000000e+04,"Aa1",2.2559999999999999e+01,6399745248.0000,9154001282.8600,1.6900000000000000e+02,6.5919803265250362e-02,2.5600000000000001e+01,6.7546000000000004e+03
"MONROE","JG",2.0130000000000000e+03,8.6000000000000000e+01,8.5000000000000000e+01,"F",43366732.0000,-3702895.0000,39853863.0000,1479391.0000,328814.0000,0.0000,0.0000,735552.0000,5752550.0000,4688184.0000,5423736.0000,"N",13856850.0000,67784322.0000,82869323.0000,56376507.0000,5437360.0000,80866080.0000,35000.0000,35000.0000,908663.0000,908663.0000,1129580.0000,289352.0000,1129580.0000,0.0000,"N","Y",,42529628.0000,42529628.0000,67210084.0000,66544399.0000,9.9009545948491895e-01,68187203.0000,67365002.0000,9.8794200430834511e-01,1.9834000000000000e+04,"Aa2",2.6129999999999999e+01,2296715433.0000,3098919582.7399,2.5000000000000000e+01,6.3488904368593890e-02,2.9260000000000002e+01,3.5583899999999999e+03
"MONTVILLE","BP",2.0130000000000000e+03,8.7000000000000000e+01,8.6000000000000000e+01,"NL",52092046.0000,15576372.0000,67806147.0000,3391489.0000,323760.0000,0.0000,0.0000,1467391.0000,9174138.0000,7382987.0000,8850378.0000,"N",21095329.0000,39246721.0000,62889255.0000,41237122.0000,4678780.0000,59823348.0000,10000.0000,10573298.0000,688839.0000,10393717.0000,2387068.0000,-125611.0000,3245488.0000,0.0000,"N","N",,43484200.0000,43484200.0000,37594865.0000,36735621.0000,9.7714464462101402e-01,40211565.0000,38416786.0000,9.5536659664949619e-01,1.9713000000000000e+04,"Aa3",4.2009999999999998e+01,1294677552.0000,1850227588.5700,8.7000000000000000e+01,8.1055508830950376e-02,2.9329999999999998e+01,2.5135900000000001e+03
"MORRIS","BP",2.0130000000000000e+03,8.8000000000000000e+01,8.7000000000000000e+01,"L",5289583.0000,2374786.0000,7861220.0000,98522.0000,0.0000,0.0000,0.0000,150000.0000,1650719.0000,1500719.0000,1650719.0000,"N",772934.0000,7603237.0000,8583330.0000,6103672.0000,0.0000,8334575.0000,0.0000,0.0000,100000.0000,100000.0000,148755.0000,93035.0000,148755.0000,0.0000,"N","N",1072755.9881,0.0000,1072755.9881,7609991.0000,7529123.0000,9.8937344341143107e-01,7702339.0000,7576574.0000,9.8367184305962119e-01,2.3450000000000000e+03,,1.7190000000000001e+01,349444098.0000,498407736.8000,9.0000000000000000e+00,5.6034482758620691e-02,2.1899999999999999e+01,3.3572000000000003e+02
"NAUGATUCK","JG",2.0130000000000000e+03,8.9000000000000000e+01,8.8000000000000000e+01,"NH",86523149.0000,-230311.0000,88851828.0000,-171988.0000,82534.0000,0.0000,0.0000,935752.0000,13693959.0000,12675673.0000,13611425.0000,"N",38181435.0000,68075454.0000,113975205.0000,62533010.0000,9235163.0000,107811139.0000,565365.0000,586840.0000,5496346.0000,5496346.0000,1233085.0000,987330.0000,1254560.0000,0.0000,"N","N",,88547285.0000,88547285.0000,68349828.0000,65379078.0000,9.5653610130518540e-01,78171269.0000,67419920.0000,8.6246418744973941e-01,3.1707000000000000e+04,"Aa2",1.6390000000000001e+01,2034453806.0000,2353969968.8800,2.6000000000000000e+02,8.8723195191029419e-02,3.3549999999999997e+01,4.7043599999999997e+03
"NEW BRITAIN","JG",2.0130000000000000e+03,9.0000000000000000e+01,8.9000000000000000e+01,"H",151122000.0000,-42371000.0000,117032000.0000,8635000.0000,0.0000,0.0000,0.0000,0.0000,12595000.0000,12595000.0000,12595000.0000,"N",103939000.0000,114381000.0000,230986000.0000,133504000.0000,29605000.0000,235242000.0000,5407000.0000,5651000.0000,1000000.0000,1000000.0000,151000.0000,153000.0000,395000.0000,0.0000,"N","Y",,227456000.0000,227456000.0000,108661000.0000,106211000.0000,9.7745281195645173e-01,122385000.0000,111258000.0000,9.0908199534256651e-01,7.2939000000000000e+04,"A2",1.3340000000000000e+01,2948713573.0000,3549594737.1800,2.6910000000000000e+03,1.1156313993174062e-01,3.6630000000000003e+01,1.1186160000000000e+04
"NEW CANAAN","JG",2.0130000000000000e+03,9.1000000000000000e+01,9.0000000000000000e+01,"F",105180840.0000,30552888.0000,136740048.0000,3076471.0000,196322.0000,196202.0000,0.0000,6255727.0000,25377073.0000,18728822.0000,24984549.0000,"N",10875400.0000,116615121.0000,133648238.0000,82762324.0000,13455343.0000,134536253.0000,3114388.0000,3164565.0000,115895.0000,155895.0000,2110478.0000,2306315.0000,2120655.0000,0.0000,"Y","N",,117175387.0000,117175387.0000,116331874.0000,115738779.0000,9.9490169822244934e-01,117691126.0000,116146075.0000,9.8687198387412833e-01,2.0194000000000000e+04,"Aaa",2.2129999999999999e+01,8248622291.0000,11358746273.3400,7.0000000000000000e+00,5.8420923979467125e-02,1.4076000000000001e+01,4.2205400000000000e+03
"NEW FAIRFIELD","BP",2.0130000000000000e+03,9.2000000000000000e+01,9.1000000000000000e+01,"F",70531411.0000,9682896.0000,81963527.0000,4125557.0000,4242.0000,0.0000,0.0000,1062337.0000,7151400.0000,6084821.0000,7147158.0000,"Y",9685455.0000,41855046.0000,53925537.0000,34611870.0000,3148149.0000,52946586.0000,0.0000,0.0000,676595.0000,676595.0000,302356.0000,-607523.0000,302356.0000,0.0000,"N","N",,29095000.0000,29095000.0000,41434446.0000,41199288.0000,9.9432457718874778e-01,41865877.0000,41515417.0000,9.9162898223773022e-01,1.4145000000000000e+04,"Aa1",2.0460000000000001e+01,1695691245.0000,2241292944.0900,1.6000000000000000e+01,6.4457239151804527e-02,2.4660000000000000e+01,2.7245599999999999e+03
"NEW HARTFORD","BP",2.0130000000000000e+03,9.3000000000000000e+01,9.2000000000000000e+01,"L",12124042.0000,3505208.0000,15666198.0000,932511.0000,0.0000,17542.0000,0.0000,792140.0000,4003938.0000,3194256.0000,3986396.0000,"N",5040782.0000,17782201.0000,23170098.0000,17248837.0000,815579.0000,22713564.0000,0.0000,0.0000,412300.0000,412300.0000,44234.0000,416766.0000,44234.0000,0.0000,"N","N",2399101.1462,7239000.0000,9638101.1462,17794642.0000,17498226.0000,9.8334240160605646e-01,18139326.0000,17634847.0000,9.7218865794682774e-01,6.8860000000000000e+03,"Aa3",3.7020000000000003e+01,716719218.0000,944979389.9400,1.0000000000000000e+01,6.4483371414064489e-02,2.4800000000000001e+01,1.1234000000000001e+03
"NEW HAVEN","JG",2.0130000000000000e+03,9.4000000000000000e+01,9.3000000000000000e+01,"NH",950575226.0000,-154091504.0000,812817248.0000,2455504.0000,4000000.0000,0.0000,0.0000,0.0000,-4721555.0000,-8721555.0000,-8721555.0000,"N",234142830.0000,230988343.0000,507023591.0000,204422059.0000,65810433.0000,523999580.0000,0.0000,63843416.0000,9008246.0000,60380778.0000,-25984235.0000,-8035824.0000,-13513351.0000,0.0000,"N","Y",,506994678.0000,506994678.0000,233426979.0000,227626731.0000,9.7515176684011318e-01,242432393.0000,230554731.0000,9.5100629147359861e-01,1.3066000000000000e+05,"A2",1.8850000000000001e+01,5994731716.0000,8567371655.7100,4.3410000000000000e+03,1.0756515817495202e-01,3.8880000000000003e+01,1.8412500000000000e+04
"NEW LONDON","BP",2.0130000000000000e+03,9.5000000000000000e+01,9.5000000000000000e+01,"NL",196390712.0000,13097904.0000,210407729.0000,4936230.0000,0.0000,0.0000,0.0000,0.0000,1471158.0000,1471158.0000,1471158.0000,"N",37310111.0000,41465307.0000,84162657.0000,43167950.0000,5435690.0000,79010494.0000,295218.0000,295218.0000,5239212.0000,5239212.0000,208169.0000,-3720559.0000,208169.0000,0.0000,"N","Y",,39966192.0000,39966192.0000,41535473.0000,40705472.0000,9.8001705674568818e-01,42548684.0000,40938502.0000,9.6215671441213080e-01,2.7545000000000000e+04,,5.5400000000000000e+00,1564831279.0000,1874244933.8400,6.9100000000000000e+02,1.1820957891353262e-01,2.6600000000000001e+01,3.5771999999999998e+03
"NEW MILFORD","BP",2.0130000000000000e+03,9.6000000000000000e+01,9.6000000000000000e+01,"L",110837753.0000,26622602.0000,137473831.0000,1984090.0000,32856.0000,0.0000,434411.0000,2102753.0000,17387181.0000,14817161.0000,17354325.0000,"N",23289243.0000,72459370.0000,100223142.0000,63309161.0000,6157519.0000,96339337.0000,1156995.0000,1716641.0000,1767040.0000,1767040.0000,3273760.0000,-254752.0000,3833406.0000,0.0000,"N","N",,24094938.0000,24094938.0000,72246241.0000,70789310.0000,9.7983381585209395e-01,74231039.0000,71672524.0000,9.6553308380878244e-01,2.7767000000000000e+04,"Aa1",6.1579999999999998e+01,2867098845.0000,4089945388.9000,8.2000000000000000e+01,6.5673001822442068e-02,2.5370000000000001e+01,4.5312700000000004e+03
"NEWINGTON","MR",2.0130000000000000e+03,9.7000000000000000e+01,9.4000000000000000e+01,"H",74017000.0000,33447000.0000,108101000.0000,5245000.0000,0.0000,0.0000,0.0000,5010000.0000,19636000.0000,14626000.0000,19636000.0000,"N",24567000.0000,83913000.0000,109859000.0000,69551000.0000,3480000.0000,104586000.0000,164000.0000,10436000.0000,4522000.0000,14666000.0000,915000.0000,1620000.0000,1043000.0000,0.0000,"N","N",,11737000.0000,11737000.0000,82937000.0000,82378000.0000,9.9325994429506737e-01,84307000.0000,83284000.0000,9.8786577627006056e-01,3.0756000000000000e+04,"Aa2",1.3170000000000000e+01,2553181189.0000,3648904984.2900,5.2000000000000000e+01,6.3807223236905672e-02,3.2640000000000001e+01,4.4520400000000000e+03
"NEWTOWN","JG",2.0130000000000000e+03,9.8000000000000000e+01,9.7000000000000000e+01,"F",164022205.0000,16922074.0000,184836155.0000,5543424.0000,0.0000,0.0000,0.0000,1416183.0000,10806232.0000,9390049.0000,10806232.0000,"N",14999779.0000,96477212.0000,113514676.0000,74874327.0000,10059578.0000,111568800.0000,122000.0000,122000.0000,452285.0000,452285.0000,1615591.0000,1021124.0000,1615591.0000,0.0000,"N","N",,77832315.0000,77832315.0000,96019710.0000,95073707.0000,9.9014782485804220e-01,97774741.0000,95710736.0000,9.7889020232740886e-01,2.8113000000000000e+04,"Aa1",5.7759999999999998e+01,3950412514.0000,4362136947.5500,3.9000000000000000e+01,5.6801088747224414e-02,2.4539999999999999e+01,5.1890100000000002e+03
"NORFOLK","JG",2.0130000000000000e+03,9.9000000000000000e+01,9.8000000000000000e+01,"L",4613149.0000,1726004.0000,6339153.0000,-412090.0000,0.0000,0.0000,0.0000,400000.0000,1296668.0000,896668.0000,1296668.0000,"N",945885.0000,6333899.0000,7480050.0000,4442161.0000,234895.0000,7670127.0000,4043.0000,4043.0000,105090.0000,105090.0000,-291124.0000,-180274.0000,-291124.0000,0.0000,"N","N",498724.4211,1879953.0000,2378677.4211,6276277.0000,6162185.0000,9.8182170735931507e-01,6468825.0000,6280806.0000,9.7093459785973490e-01,1.6780000000000000e+03,,4.5310000000000002e+01,309817060.0000,370367224.9700,0.0000000000000000e+00,7.2142064372918979e-02,2.0180000000000000e+01,2.2153000000000000e+02
"NORTH BRANFORD","JG",2.0130000000000000e+03,1.0000000000000000e+02,9.9000000000000000e+01,"NH",47194634.0000,16663318.0000,64400077.0000,6990870.0000,668.0000,0.0000,806000.0000,921550.0000,7084024.0000,5355806.0000,7083356.0000,"Y",12329642.0000,36672944.0000,49398663.0000,32125690.0000,5448444.0000,49790265.0000,448482.0000,6871122.0000,330512.0000,6394489.0000,-273632.0000,391181.0000,85031.0000,0.0000,"N","N",,44604543.0000,44604543.0000,34962731.0000,34481230.0000,9.8622816392689694e-01,35935667.0000,34873493.0000,9.7044234631849191e-01,1.4353000000000000e+04,"Aa2",2.4920000000000002e+01,1258800941.0000,1731652915.2400,4.6000000000000000e+01,6.0015003750937733e-02,2.7770000000000000e+01,2.1872800000000002e+03
"NORTH CANAAN","MR",2.0130000000000000e+03,1.0100000000000000e+02,1.0000000000000000e+02,"L",10065504.0000,1785806.0000,12676745.0000,-401133.0000,29464.0000,0.0000,0.0000,80638.0000,750449.0000,640347.0000,720985.0000,"N",2807012.0000,7494900.0000,10831672.0000,8519198.0000,145146.0000,10795071.0000,0.0000,0.0000,130000.0000,130000.0000,-93399.0000,-2030.0000,-93399.0000,0.0000,"N","N",1662608.6018,867058.0000,2529666.6018,7397796.0000,7222214.0000,9.7626563371036457e-01,7851803.0000,7353561.0000,9.3654425614091441e-01,3.2410000000000000e+03,,1.9449999999999999e+01,344468300.0000,421768605.8200,4.0000000000000000e+00,6.2048192771084337e-02,2.1500000000000000e+01,4.3910000000000002e+02
"NORTH HAVEN","MR",2.0130000000000000e+03,1.0200000000000000e+02,1.0100000000000000e+02,"NH",57590807.0000,-2413759.0000,56309484.0000,-4070864.0000,51454.0000,0.0000,0.0000,5423401.0000,13493204.0000,8018349.0000,13441750.0000,"N",10779393.0000,75763749.0000,89954630.0000,50439271.0000,5721546.0000,90008560.0000,144277.0000,144277.0000,132571.0000,132571.0000,-42224.0000,-887502.0000,-42224.0000,0.0000,"N","N",,50709965.0000,50709965.0000,74961885.0000,73830387.0000,9.8490568907118603e-01,77488065.0000,74776699.0000,9.6500924368159147e-01,2.3939000000000000e+04,"Aa1",2.0770000000000000e+01,2826743805.0000,3669842887.3200,6.1000000000000000e+01,6.3784279275838365e-02,2.6539999999999999e+01,3.5619600000000000e+03
