Municipality,Fisc_Year_End,numbered,Comptroller Town Code,County_Identifier,Invested In Capital Assets Net of Related Debt,Unrestricted Net Assets,Total Net Assets,Change In Net Assets,Nonspendable_Fund_Bal,Restricted_Fund_Bal,Committed_Fund_Bal,Assigned_Fund_Bal,Total_Fund_Bal,Unassigned_Fund_Bal,Unrestricted_Fund_Bal,Inter_Gov_Rev,Tax_Rev,Total_Revenue,Education,Debt_Service,Total_Expenditures,TOTAL_Trans_to_Genl_Fund,Other_Financing_Sources,TOTAL_Trans_from_Genl_Fund,Other_Financing_Uses,Operating_Surplus_(Deficit)_Including_Transfers,Operating_Surplus_(Deficit)_Including_Sources_And_Uses,Special / Extraordinary Items,RSD_DEBT,TOWN_Bonded_Long_Term_Debt,Total_Bonded_Long_Term_Debt_(RSD_+_Town),Curr_Year_Adjusted_Taxes_Collectible,Curr_Year_Taxes_Collected,Curr_Year_Tax_Collection_Rate,Total_Adjusted_Taxes_Collectible,Total_Taxes_Collected,Overal_Total_Tax_Collection_Rate,2012 Population,Moody's_Bond_Ratings_July2012,ACGLFY12,EGL,TANF12 Recipients,empl,ACMR,enrollmt
"BETHEL",2.0120000000000000e+03,9.0000000000000000e+00,9.0000000000000000e+00,"F",66099503.0000,6395674.0000,73003754.0000,666305.0000,61987.0000,0.0000,0.0000,0.0000,9217598.0000,9155611.0000,9155611.0000,13030608.0000,54167031.0000,68326365.0000,42185635.0000,3810542.0000,65588401.0000,0.0000,0.0000,553779.0000,553779.0000,2184185.0000,2184185.0000,0.0000,,32796404.0000,32796404.0000,52657934.0000,52046713.0000,9.8839261335243422e-01,53603542.0000,52767619.0000,9.8440545216209785e-01,1.9161000000000000e+04,"Aa2",2312832450.0000,2769107285.6111,4.3000000000000000e+01,6.8735719725818739e-02,2.3239999999999998e+01,2.9623400000000001e+03
"BETHLEHEM",2.0120000000000000e+03,1.0000000000000000e+01,1.0000000000000000e+01,"L",5457212.0000,3290177.0000,8779670.0000,770936.0000,0.0000,0.0000,0.0000,300000.0000,1383137.0000,1083137.0000,1383137.0000,1505732.0000,8473981.0000,10207024.0000,6870029.0000,0.0000,9229588.0000,0.0000,0.0000,839811.0000,839811.0000,137625.0000,137625.0000,0.0000,723295.6152,0.0000,723295.6152,8341223.0000,8150950.0000,9.7718883669696877e-01,8885917.0000,8370600.0000,9.4200744841528450e-01,3.5660000000000000e+03,,405637873.0000,552927753.6428,1.0000000000000000e+00,6.5106815869786366e-02,2.0670000000000002e+01,4.5324000000000001e+02
"BLOOMFIELD",2.0120000000000000e+03,1.1000000000000000e+01,1.1000000000000000e+01,"H",96086025.0000,-25275037.0000,70810988.0000,4112543.0000,0.0000,1382150.0000,0.0000,672501.0000,13084409.0000,11029758.0000,11702259.0000,12018377.0000,66310109.0000,80049238.0000,41407469.0000,5486120.0000,79905303.0000,197911.0000,274276.0000,733186.0000,733186.0000,-391340.0000,-314975.0000,0.0000,,63591061.0000,63591061.0000,65281933.0000,64404520.0000,9.8655963511374578e-01,66998570.0000,65566643.0000,9.7862749906453228e-01,2.0602000000000000e+04,"Aa2",1954832232.0000,2786819016.4857,1.7700000000000000e+02,9.1213832039520118e-02,3.3700000000000003e+01,2.3743000000000002e+03
"BOLTON",2.0120000000000000e+03,1.2000000000000000e+01,1.2000000000000000e+01,"T",29836729.0000,1526016.0000,31948447.0000,3738514.0000,4676.0000,0.0000,0.0000,1134194.0000,2011070.0000,872200.0000,2006394.0000,4994535.0000,14099797.0000,19739348.0000,13711064.0000,1215446.0000,18821439.0000,0.0000,29845.0000,531818.0000,531818.0000,386091.0000,415936.0000,0.0000,,14502410.0000,14502410.0000,13943188.0000,13778394.0000,9.8818103865486140e-01,14227211.0000,13944051.0000,9.8009729384065503e-01,4.9600000000000000e+03,"Aa3",477288285.0000,639975196.8289,1.3000000000000000e+01,5.8180649308903890e-02,2.9329999999999998e+01,8.2828999999999996e+02
"BOZRAH",2.0120000000000000e+03,1.3000000000000000e+01,1.3000000000000000e+01,"NL",5522554.0000,1039661.0000,6877471.0000,-68601.0000,2151.0000,0.0000,0.0000,134913.0000,527301.0000,390237.0000,525150.0000,2190134.0000,5405496.0000,7788433.0000,5548197.0000,444872.0000,7477622.0000,25952.0000,25952.0000,0.0000,0.0000,336763.0000,336763.0000,0.0000,,4306479.0000,4306479.0000,4949866.0000,4859397.0000,9.8172293957048540e-01,5300962.0000,4984415.0000,9.4028498978110009e-01,2.6380000000000000e+03,"A1",243404219.0000,299899708.4245,1.5000000000000000e+01,8.0026899798251519e-02,2.2000000000000000e+01,3.4975000000000000e+02
"BRANFORD",2.0120000000000000e+03,1.4000000000000000e+01,1.4000000000000000e+01,"NH",83819090.0000,32368648.0000,116433488.0000,3510276.0000,30564.0000,0.0000,61284.0000,3215268.0000,19340439.0000,16033323.0000,19309875.0000,9720290.0000,83858159.0000,98559752.0000,54721423.0000,6848487.0000,95394689.0000,430039.0000,851173.0000,2922376.0000,2922376.0000,672726.0000,1093860.0000,0.0000,,55742886.0000,55742886.0000,83707138.0000,82259180.0000,9.8270209644486950e-01,86499681.0000,83267282.0000,9.6263108762216132e-01,2.8024000000000000e+04,"Aa1",3446825087.0000,4932416163.2774,1.1200000000000000e+02,7.4817402349952364e-02,2.4270000000000000e+01,3.3934200000000001e+03
"BRIDGEPORT",2.0120000000000000e+03,1.5000000000000000e+01,1.5000000000000000e+01,"F",552338566.0000,-400754807.0000,154745023.0000,14732224.0000,350000.0000,0.0000,0.0000,3222700.0000,12720514.0000,9147814.0000,12370514.0000,231508096.0000,274118745.0000,525041173.0000,259297544.0000,70974002.0000,529381169.0000,500000.0000,500000.0000,0.0000,0.0000,-3839996.0000,-3839996.0000,0.0000,,695608000.0000,695608000.0000,275342273.0000,267783020.0000,9.7254597734798243e-01,312560537.0000,270246149.0000,8.6462018396135532e-01,1.4642500000000000e+05,"A1",6985043932.0000,8760393531.6865,3.9100000000000000e+03,1.2543471935488340e-01,3.9640000000000001e+01,2.0870820000000000e+04
"BRIDGEWATER",2.0120000000000000e+03,1.6000000000000000e+01,1.6000000000000000e+01,"L",3771082.0000,3696569.0000,8790957.0000,-115330.0000,0.0000,0.0000,0.0000,2487831.0000,3424180.0000,936349.0000,3424180.0000,187351.0000,6772551.0000,7259541.0000,5022059.0000,0.0000,7168165.0000,0.0000,0.0000,45000.0000,45000.0000,46376.0000,46376.0000,0.0000,863280.0848,0.0000,863280.0848,6759286.0000,6727134.0000,9.9524328457177280e-01,6822497.0000,6752287.0000,9.8970904640925461e-01,1.7020000000000000e+03,,416521811.0000,494235815.6643,0.0000000000000000e+00,5.7176196032672114e-02,1.6250000000000000e+01,2.0531999999999999e+02
"BRISTOL",2.0120000000000000e+03,1.7000000000000000e+01,1.7000000000000000e+01,"H",226701000.0000,46977000.0000,274608000.0000,32298000.0000,2000.0000,0.0000,3848000.0000,1617000.0000,29430000.0000,23963000.0000,29428000.0000,66772000.0000,117518000.0000,190282000.0000,100448000.0000,7165000.0000,156356000.0000,1562000.0000,26317000.0000,34681000.0000,59250000.0000,807000.0000,993000.0000,0.0000,,83839000.0000,83839000.0000,117021000.0000,115615000.0000,9.8798506251014773e-01,119536000.0000,116804000.0000,9.7714496051398747e-01,6.0603000000000000e+04,"Aa2",4272946245.0000,5587418251.6259,8.3100000000000000e+02,9.0657165479018212e-02,2.7239999999999998e+01,8.6365300000000007e+03
"BROOKFIELD",2.0120000000000000e+03,1.8000000000000000e+01,1.8000000000000000e+01,"F",32104917.0000,-3889879.0000,28215038.0000,-2452012.0000,0.0000,0.0000,635831.0000,300000.0000,6045628.0000,5109797.0000,6045628.0000,6795024.0000,52186945.0000,59944938.0000,39846302.0000,4755814.0000,59127889.0000,0.0000,892558.0000,992105.0000,992105.0000,-175056.0000,717502.0000,0.0000,,35585096.0000,35585096.0000,51739800.0000,51325201.0000,9.9198684571645035e-01,52575731.0000,51818674.0000,9.8560063767824735e-01,1.6783000000000000e+04,"Aa1",2615921837.0000,3119479688.2134,3.6000000000000000e+01,6.5699846187651068e-02,1.9940000000000001e+01,2.9048299999999999e+03
"BROOKLYN",2.0120000000000000e+03,1.9000000000000000e+01,1.9000000000000000e+01,"W",23164916.0000,2621982.0000,26262834.0000,349463.0000,6900.0000,24886.0000,0.0000,195172.0000,1970823.0000,1743865.0000,1939037.0000,9690564.0000,11808746.0000,22021499.0000,16973810.0000,2889756.0000,21370443.0000,0.0000,11145.0000,447490.0000,447490.0000,203566.0000,214711.0000,0.0000,,4662866.0000,4662866.0000,11708068.0000,11397984.0000,9.7351535710246984e-01,12405245.0000,11628203.0000,9.3736181752154024e-01,8.2030000000000000e+03,"A1",521979567.0000,699341454.9831,6.1000000000000000e+01,8.7064061340588667e-02,2.2379999999999999e+01,1.2645100000000000e+03
"BURLINGTON",2.0120000000000000e+03,2.0000000000000000e+01,2.0000000000000000e+01,"H",9775963.0000,6853140.0000,16647422.0000,-230665.0000,0.0000,0.0000,0.0000,210436.0000,4260732.0000,4050296.0000,4260732.0000,5127718.0000,25093092.0000,31441626.0000,22567658.0000,520501.0000,30755494.0000,0.0000,0.0000,70729.0000,70729.0000,615403.0000,615403.0000,0.0000,15428688.5199,3717433.0000,19146121.5199,24792920.0000,24555334.0000,9.9041718361532249e-01,25454952.0000,24881671.0000,9.7747860612740500e-01,9.4340000000000000e+03,"Aa2",922464098.0000,1241201725.6980,6.0000000000000000e+00,6.2534793097049540e-02,2.6750000000000000e+01,1.7787100000000000e+03
"CANAAN",2.0120000000000000e+03,2.1000000000000000e+01,2.1000000000000000e+01,"L",3552207.0000,1509351.0000,5206370.0000,-35940.0000,0.0000,0.0000,2500.0000,276364.0000,952148.0000,673284.0000,952148.0000,688386.0000,3877400.0000,4723354.0000,3215901.0000,91717.0000,4612243.0000,24511.0000,24511.0000,108615.0000,108615.0000,27007.0000,27007.0000,0.0000,388889.6093,514000.0000,902889.6093,3846053.0000,3783667.0000,9.8377921469100915e-01,3934842.0000,3833538.0000,9.7425462064296353e-01,1.2180000000000000e+03,,188188760.0000,284771304.4837,1.0000000000000000e+01,8.4137931034482763e-02,2.0500000000000000e+01,1.4100000000000000e+02
"CANTERBURY",2.0120000000000000e+03,2.2000000000000000e+01,2.2000000000000000e+01,"W",8625942.0000,4454627.0000,13091654.0000,329825.0000,0.0000,27703.0000,200000.0000,545407.0000,2200778.0000,1427668.0000,2173075.0000,6286761.0000,8246561.0000,14711118.0000,11472655.0000,82432.0000,14022624.0000,0.0000,0.0000,1153551.0000,1153551.0000,-465057.0000,-465057.0000,0.0000,,550000.0000,550000.0000,8075777.0000,7909311.0000,9.7938699892282810e-01,8461062.0000,8122877.0000,9.6003043116809683e-01,5.1060000000000000e+03,,380008455.0000,501240917.0838,1.8000000000000000e+01,8.4612760150119412e-02,2.1199999999999999e+01,7.2098000000000002e+02
"CANTON",2.0120000000000000e+03,2.3000000000000000e+01,2.3000000000000000e+01,"H",66915083.0000,10819600.0000,77923624.0000,2247089.0000,24079.0000,1336646.0000,0.0000,315286.0000,6677310.0000,5001299.0000,5316585.0000,7311860.0000,29773217.0000,38058514.0000,25324536.0000,2293281.0000,35791201.0000,0.0000,0.0000,1001321.0000,1001321.0000,1265992.0000,1265992.0000,0.0000,,10538331.0000,10538331.0000,29521094.0000,29211703.0000,9.8951966346504638e-01,30449156.0000,29538174.0000,9.7008186368121341e-01,1.0351000000000000e+04,"Aa2",1121224936.0000,1557809829.5736,1.3000000000000000e+01,5.6185845488924906e-02,2.6280000000000001e+01,1.7717300000000000e+03
"CHAPLIN",2.0120000000000000e+03,2.4000000000000000e+01,2.4000000000000000e+01,"W",6078799.0000,975082.0000,7130092.0000,592966.0000,1151.0000,29136.0000,0.0000,800578.0000,1339197.0000,508332.0000,1308910.0000,2646028.0000,5194116.0000,7925420.0000,5626443.0000,27790.0000,7153357.0000,0.0000,0.0000,356811.0000,356811.0000,415252.0000,415252.0000,0.0000,0.0000,180122.0000,180122.0000,5195831.0000,5048344.0000,9.7161435774181260e-01,5304909.0000,5118167.0000,9.6479826515403000e-01,2.2860000000000000e+03,,172251937.0000,241368512.7532,1.6000000000000000e+01,7.7974276527331188e-02,3.0149999999999999e+01,3.0179000000000002e+02
"CHESHIRE",2.0120000000000000e+03,2.5000000000000000e+01,2.5000000000000000e+01,"NH",110273337.0000,8453576.0000,121316196.0000,2743641.0000,83655.0000,0.0000,600000.0000,2219557.0000,11757659.0000,8854447.0000,11674004.0000,23993678.0000,76299237.0000,103062041.0000,67408514.0000,9936790.0000,103981303.0000,803652.0000,6778916.0000,745000.0000,6608084.0000,-860610.0000,-748430.0000,0.0000,,57172608.0000,57172608.0000,75961009.0000,75683912.0000,9.9635211533327583e-01,76107993.0000,75754835.0000,9.9535977778312978e-01,2.9300000000000000e+04,"Aa1",2840240842.0000,4000682851.1532,2.5000000000000000e+01,5.6296393614924785e-02,2.6850000000000001e+01,4.7848400000000001e+03
"CHESTER",2.0120000000000000e+03,2.6000000000000000e+01,2.6000000000000000e+01,"M",9263073.0000,3319670.0000,12687122.0000,637484.0000,0.0000,0.0000,0.0000,174641.0000,1514189.0000,1339548.0000,1514189.0000,1215200.0000,11081320.0000,12600561.0000,9115305.0000,250160.0000,12274609.0000,153544.0000,153544.0000,526784.0000,526784.0000,-47288.0000,-47288.0000,0.0000,4354452.1297,1857579.0000,6212031.1297,11049827.0000,10955634.0000,9.9147561314760857e-01,11219244.0000,11005471.0000,9.8094586408852502e-01,4.2450000000000000e+03,"Aa3",500981070.0000,686977349.0832,6.0000000000000000e+00,5.5971793741736449e-02,2.2109999999999999e+01,5.2984000000000003e+02
"CLINTON",2.0120000000000000e+03,2.7000000000000000e+01,2.7000000000000000e+01,"M",37625130.0000,4857083.0000,42482213.0000,-1388973.0000,47560.0000,0.0000,350000.0000,875545.0000,8448116.0000,7175011.0000,8400556.0000,11674036.0000,37169019.0000,49723025.0000,32273832.0000,2025662.0000,48147882.0000,198603.0000,198603.0000,1940571.0000,1940571.0000,-166825.0000,-166825.0000,0.0000,,17115000.0000,17115000.0000,37085402.0000,36792037.0000,9.9208947499072542e-01,37678450.0000,36985906.0000,9.8161962607272857e-01,1.3196000000000000e+04,"Aa2",1490408085.0000,2130140264.2857,3.9000000000000000e+01,7.1379262736435176e-02,2.4920000000000002e+01,2.0573099999999999e+03
"COLCHESTER",2.0120000000000000e+03,2.8000000000000000e+01,2.8000000000000000e+01,"NL",60638175.0000,4315354.0000,65888550.0000,-1810827.0000,20945.0000,0.0000,32000.0000,176476.0000,4563969.0000,4334548.0000,4543024.0000,19517186.0000,33794551.0000,54641781.0000,40492902.0000,3229422.0000,53324825.0000,214746.0000,214746.0000,583058.0000,583058.0000,948644.0000,948644.0000,0.0000,,15905000.0000,15905000.0000,33774748.0000,33249659.0000,9.8445320746730669e-01,34969363.0000,33587513.0000,9.6048398136391566e-01,1.6187000000000000e+04,"Aa3",1297297874.0000,1768924794.1119,5.0000000000000000e+01,6.9727526281913754e-02,2.5850000000000001e+01,3.0629200000000001e+03
"COLEBROOK",2.0120000000000000e+03,2.9000000000000000e+01,2.9000000000000000e+01,"L",5560797.0000,1445744.0000,7013849.0000,263589.0000,0.0000,0.0000,0.0000,0.0000,957340.0000,957340.0000,957340.0000,959753.0000,4706046.0000,5713466.0000,3978880.0000,89626.0000,5616622.0000,0.0000,0.0000,190400.0000,190400.0000,-93556.0000,-93556.0000,0.0000,654234.0827,618155.0000,1272389.0827,4718284.0000,4596901.0000,9.7427390975193529e-01,4896019.0000,4661166.0000,9.5203184464766166e-01,1.4610000000000000e+03,,182139408.0000,260445068.5714,0.0000000000000000e+00,4.9939098660170524e-02,2.6000000000000000e+01,2.2184000000000000e+02
"COLUMBIA",2.0120000000000000e+03,3.0000000000000000e+01,3.0000000000000000e+01,"T",10946944.0000,5596309.0000,16553786.0000,1146743.0000,0.0000,0.0000,0.0000,0.0000,3794648.0000,3794648.0000,3794648.0000,4299003.0000,12589812.0000,17204283.0000,11931065.0000,835193.0000,15746747.0000,14127.0000,14127.0000,764127.0000,764127.0000,707536.0000,707536.0000,0.0000,,2250000.0000,2250000.0000,12602440.0000,12376937.0000,9.8210640161746454e-01,12886306.0000,12477518.0000,9.6827733254200232e-01,5.4610000000000000e+03,"Aa2",534100530.0000,687043325.7318,9.0000000000000000e+00,6.4505978602894906e-02,2.3550000000000001e+01,7.3782000000000005e+02
"CORNWALL",2.0120000000000000e+03,3.1000000000000000e+01,3.1000000000000000e+01,"L",6148690.0000,2734492.0000,8953825.0000,647758.0000,0.0000,0.0000,0.0000,478024.0000,1982273.0000,1504249.0000,1982273.0000,1049616.0000,5713265.0000,6938288.0000,4096802.0000,227951.0000,5911165.0000,2256.0000,1952194.0000,1156500.0000,2991500.0000,-127121.0000,-12183.0000,0.0000,352202.2214,1900000.0000,2252202.2214,5689537.0000,5610880.0000,9.8617514922567517e-01,5944302.0000,5637004.0000,9.4830377056885740e-01,1.3990000000000000e+03,"Aa2",454746840.0000,510908378.7675,0.0000000000000000e+00,5.5851063829787231e-02,1.2500000000000000e+01,1.5988000000000000e+02
"COVENTRY",2.0120000000000000e+03,3.2000000000000000e+01,3.2000000000000000e+01,"T",95163804.0000,12461930.0000,107629296.0000,758581.0000,38762.0000,0.0000,2363.0000,621768.0000,3862955.0000,3200062.0000,3824193.0000,12694185.0000,26509011.0000,39759918.0000,27995105.0000,2746647.0000,39287534.0000,691540.0000,691540.0000,365432.0000,365432.0000,798492.0000,798492.0000,0.0000,,23984608.0000,23984608.0000,26385567.0000,25796278.0000,9.7766623699994770e-01,27465333.0000,26220505.0000,9.5467639150779637e-01,1.2425000000000000e+04,"Aa3",969387403.0000,1331531195.1393,3.9000000000000000e+01,7.0058708414872800e-02,2.7000000000000000e+01,1.8891300000000001e+03
"CROMWELL",2.0120000000000000e+03,3.3000000000000000e+01,3.3000000000000000e+01,"M",92786514.0000,7620916.0000,100466709.0000,915786.0000,5758.0000,0.0000,70000.0000,8146.0000,4918721.0000,4834817.0000,4912963.0000,7379711.0000,37357669.0000,46063164.0000,28116330.0000,3908438.0000,45433565.0000,476966.0000,476966.0000,477463.0000,477463.0000,629102.0000,629102.0000,0.0000,,28514864.0000,28514864.0000,37316375.0000,36967505.0000,9.9065102116698101e-01,38346650.0000,37256742.0000,9.7157749112373570e-01,1.4217000000000000e+04,,1391647305.0000,1905273841.3668,4.8000000000000000e+01,6.7465884453513578e-02,2.6800000000000001e+01,2.0346099999999999e+03
"DANBURY",2.0120000000000000e+03,3.4000000000000000e+01,3.4000000000000000e+01,"F",147295078.0000,-5363038.0000,142722746.0000,-1393601.0000,597231.0000,0.0000,709030.0000,4845847.0000,28292856.0000,22140748.0000,27695625.0000,47293595.0000,168088383.0000,225901142.0000,129949781.0000,15791843.0000,226562781.0000,245814.0000,17020491.0000,1158428.0000,16259541.0000,-1574253.0000,99311.0000,0.0000,,153312077.0000,153312077.0000,168271128.0000,166103116.0000,9.8711595966718668e-01,174190169.0000,168006974.0000,9.6450319191090517e-01,8.2807000000000000e+04,"Aa1",7817419062.0000,9696064957.5514,5.0600000000000000e+02,6.8244730704679707e-02,2.1690000000000001e+01,1.0615370000000001e+04
"DARIEN",2.0120000000000000e+03,3.5000000000000000e+01,3.5000000000000000e+01,"F",89174250.0000,28579716.0000,119006710.0000,362362.0000,597944.0000,0.0000,0.0000,930449.0000,18536294.0000,17007901.0000,17938350.0000,13207295.0000,106517751.0000,124826191.0000,86509642.0000,10559331.0000,123251530.0000,638020.0000,638020.0000,1405575.0000,1405575.0000,807106.0000,807106.0000,0.0000,,99005273.0000,99005273.0000,106717082.0000,106074171.0000,9.9397555679043026e-01,107790230.0000,106150747.0000,9.8479005935881203e-01,2.1114000000000000e+04,"Aaa",8795413483.0000,11544591565.7562,1.0000000000000000e+01,6.6714576595999525e-02,1.2199999999999999e+01,4.8349200000000001e+03
"DEEP RIVER",2.0120000000000000e+03,3.6000000000000000e+01,3.6000000000000000e+01,"M",11216891.0000,-460613.0000,10827631.0000,1111561.0000,0.0000,0.0000,0.0000,56520.0000,323634.0000,267114.0000,323634.0000,2928640.0000,11782802.0000,15520419.0000,10717646.0000,102758.0000,15754287.0000,208112.0000,646477.0000,315200.0000,315200.0000,-340956.0000,97409.0000,0.0000,4594262.8068,405741.0000,5000003.8068,11658655.0000,11499374.0000,9.8633796093974824e-01,12014476.0000,11664734.0000,9.7088994975727616e-01,4.6030000000000000e+03,,478667206.0000,684869065.7142,1.0000000000000000e+00,6.1274509803921566e-02,2.4280000000000001e+01,6.4800000000000000e+02
"DERBY",2.0120000000000000e+03,3.7000000000000000e+01,3.7000000000000000e+01,"NH",48310996.0000,-6448503.0000,41871116.0000,-699599.0000,0.0000,0.0000,0.0000,0.0000,1642597.0000,1642597.0000,1642597.0000,11842416.0000,25109974.0000,39565556.0000,18898160.0000,1374436.0000,39144181.0000,0.0000,0.0000,512887.0000,512887.0000,-91512.0000,-91512.0000,0.0000,,10103867.0000,10103867.0000,25449328.0000,24587605.0000,9.6613965602549501e-01,26674588.0000,25055673.0000,9.3930871584595799e-01,1.2830000000000000e+04,"Aa3",911734591.0000,1091576401.1978,1.5100000000000000e+02,9.7473442434682742e-02,2.7899999999999999e+01,1.5724500000000000e+03
"DURHAM",2.0120000000000000e+03,3.8000000000000000e+01,3.8000000000000000e+01,"M",39391518.0000,3724702.0000,43147748.0000,-145786.0000,2500.0000,0.0000,0.0000,213246.0000,1924044.0000,1708298.0000,1921544.0000,4672489.0000,22206720.0000,27263483.0000,21677624.0000,0.0000,26906651.0000,225110.0000,225110.0000,730185.0000,730185.0000,-148243.0000,-148243.0000,0.0000,9660057.0000,78594.0000,9738651.0000,22120933.0000,21854134.0000,9.8793907110518353e-01,22483795.0000,22073891.0000,9.8176891401118005e-01,7.3680000000000000e+03,,726841238.0000,1039135068.5714,2.0000000000000000e+00,5.8394160583941604e-02,3.0460000000000001e+01,1.3400999999999999e+03
"EAST GRANBY",2.0120000000000000e+03,3.9000000000000000e+01,4.0000000000000000e+01,"H",18917335.0000,3207913.0000,24311099.0000,-848398.0000,39769.0000,0.0000,0.0000,563815.0000,3223146.0000,2619562.0000,3183377.0000,2825510.0000,15222621.0000,18347775.0000,13237128.0000,408917.0000,17748836.0000,0.0000,0.0000,387556.0000,387556.0000,211383.0000,211383.0000,0.0000,,7200000.0000,7200000.0000,15188580.0000,14935593.0000,9.8334360420789835e-01,15588369.0000,15080771.0000,9.6743738873515250e-01,5.1840000000000000e+03,"Aa2",561917917.0000,748993765.9188,9.0000000000000000e+00,5.7114228456913829e-02,2.7000000000000000e+01,8.9039999999999998e+02
"EAST HADDAM",2.0120000000000000e+03,4.0000000000000000e+01,4.1000000000000000e+01,"M",51404744.0000,15285171.0000,67130202.0000,956954.0000,85612.0000,0.0000,19629.0000,1716211.0000,5833442.0000,4011990.0000,5747830.0000,7001530.0000,20738239.0000,28573678.0000,20323325.0000,2041687.0000,29009622.0000,799596.0000,799596.0000,411070.0000,411070.0000,-47418.0000,-47418.0000,0.0000,,18548705.0000,18548705.0000,20680064.0000,20458313.0000,9.8927706413287697e-01,20997962.0000,20599689.0000,9.8103277832391544e-01,9.1580000000000000e+03,,983357843.0000,1313702461.4788,9.0000000000000000e+00,6.9626639757820380e-02,2.1100000000000001e+01,1.3027600000000000e+03
"EAST HAMPTON",2.0120000000000000e+03,4.1000000000000000e+01,4.2000000000000000e+01,"M",70148958.0000,8359229.0000,81691187.0000,2205695.0000,215550.0000,0.0000,0.0000,0.0000,4581155.0000,4365605.0000,4365605.0000,11601455.0000,29094729.0000,41214379.0000,29238599.0000,1256530.0000,39279217.0000,0.0000,0.0000,1704661.0000,1704661.0000,230501.0000,230501.0000,0.0000,,6414338.0000,6414338.0000,28705137.0000,28141477.0000,9.8036379342136570e-01,29788576.0000,28722303.0000,9.6420530474501365e-01,1.2940000000000000e+04,"Aa3",1114684030.0000,1592790942.8571,3.9000000000000000e+01,6.9179074976940313e-02,2.5680000000000000e+01,1.9965100000000000e+03
"EAST HARTFORD",2.0120000000000000e+03,4.2000000000000000e+01,4.3000000000000000e+01,"H",112960000.0000,-20864000.0000,92286000.0000,-5125000.0000,0.0000,0.0000,0.0000,1257000.0000,15211000.0000,13954000.0000,15211000.0000,60641000.0000,107495000.0000,178618000.0000,97696000.0000,9758000.0000,176696000.0000,506000.0000,5979000.0000,797000.0000,6208000.0000,1631000.0000,1693000.0000,0.0000,,60368000.0000,60368000.0000,106016000.0000,103104000.0000,9.7253244793238758e-01,110017000.0000,105433000.0000,9.5833371206268125e-01,5.1272000000000000e+04,"Aa2",3092116582.0000,3966619309.2028,9.8000000000000000e+02,1.0714414511882867e-01,3.4420000000000002e+01,8.1415100000000002e+03
"EAST HAVEN",2.0120000000000000e+03,4.3000000000000000e+01,4.4000000000000000e+01,"NH",48709002.0000,-14803563.0000,35935333.0000,-2626764.0000,0.0000,0.0000,0.0000,0.0000,437843.0000,437843.0000,437843.0000,26415418.0000,60386012.0000,89353313.0000,48339563.0000,7424638.0000,89129239.0000,12969.0000,12969.0000,0.0000,0.0000,237043.0000,237043.0000,0.0000,,44957321.0000,44957321.0000,60056771.0000,58428197.0000,9.7288275788253753e-01,62680260.0000,59265693.0000,9.4552404536930768e-01,2.9190000000000000e+04,"A3",2261591957.0000,2805476865.4752,2.2800000000000000e+02,9.4256352058508297e-02,2.6590000000000000e+01,3.6742700000000000e+03
"EAST LYME",2.0120000000000000e+03,4.4000000000000000e+01,4.5000000000000000e+01,"NL",57473716.0000,16876122.0000,74353228.0000,-738970.0000,0.0000,0.0000,0.0000,1145261.0000,5961024.0000,4815763.0000,5961024.0000,13081658.0000,45043599.0000,64412658.0000,45459821.0000,6107004.0000,65819678.0000,1944469.0000,9744307.0000,52480.0000,7731228.0000,484969.0000,606059.0000,0.0000,,48135787.0000,48135787.0000,45122627.0000,44399761.0000,9.8397996641463270e-01,46018017.0000,44731229.0000,9.7203730008618150e-01,1.8892000000000000e+04,"Aa2",2329404814.0000,3019753443.3813,3.6000000000000000e+01,7.8413389888799728e-02,1.9472000000000001e+01,2.7842600000000002e+03
"EAST WINDSOR",2.0120000000000000e+03,4.5000000000000000e+01,4.7000000000000000e+01,"H",44027144.0000,8757708.0000,53149623.0000,4774946.0000,0.0000,0.0000,6160.0000,320980.0000,5516556.0000,5189416.0000,5516556.0000,8420974.0000,26659418.0000,36119471.0000,21503161.0000,1714118.0000,34054890.0000,0.0000,0.0000,483884.0000,483884.0000,1580697.0000,1580697.0000,0.0000,,8262457.0000,8262457.0000,26420692.0000,25790429.0000,9.7614509869764199e-01,27782388.0000,26281430.0000,9.4597447850775107e-01,1.1387000000000000e+04,"Aa2",1081994877.0000,1404317112.4751,5.9000000000000000e+01,8.6807181889149099e-02,2.4375599999999999e+01,1.3691300000000001e+03
"EASTFORD",2.0120000000000000e+03,4.6000000000000000e+01,3.9000000000000000e+01,"W",2813630.0000,1156031.0000,4091613.0000,349429.0000,0.0000,680.0000,0.0000,51891.0000,1099480.0000,1046909.0000,1098800.0000,1655934.0000,3464512.0000,5239756.0000,3756017.0000,58609.0000,4929004.0000,2323.0000,193598.0000,421445.0000,421445.0000,-108370.0000,82905.0000,0.0000,,157346.0000,157346.0000,3448238.0000,3362312.0000,9.7508118639142660e-01,3537776.0000,3417566.0000,9.6602102563870640e-01,1.7300000000000000e+03,,161986262.0000,173430595.4375,1.0000000000000000e+00,6.4088397790055249e-02,2.1250000000000000e+01,2.3391999999999999e+02
