MUNICIPALITY,Numbered,Oct 2018 Labor Force,Oct 2018 Unemployed,Oct 2018 Unemp Rate,Oct 2017 Labor Force,Oct 2017 Unemployed,Oct 2017 Unemp Rate
"WARREN",1.5000000000000000e+02,7.9500000000000000e+02,2.0000000000000000e+01,2.5157232704402517e-02,7.9700000000000000e+02,3.4000000000000000e+01,4.2659974905897118e-02
"WASHINGTON",1.5100000000000000e+02,2.0720000000000000e+03,4.7000000000000000e+01,2.2683397683397683e-02,2.0500000000000000e+03,5.8000000000000000e+01,2.8292682926829269e-02
"WATERBURY",1.5200000000000000e+02,5.0524000000000000e+04,3.2110000000000000e+03,6.3553954556250500e-02,5.0574000000000000e+04,3.4100000000000000e+03,6.7425950092933132e-02
"WATERFORD",1.5300000000000000e+02,1.0318000000000000e+04,3.0000000000000000e+02,2.9075402209730566e-02,1.0276000000000000e+04,3.5600000000000000e+02,3.4643830284157261e-02
"WATERTOWN",1.5400000000000000e+02,1.3016000000000000e+04,4.4700000000000000e+02,3.4342347879532879e-02,1.2961000000000000e+04,4.3200000000000000e+02,3.3330761515315173e-02
"WEST HARTFORD",1.5500000000000000e+02,3.5087000000000000e+04,1.1330000000000000e+03,3.2291161968820363e-02,3.4738000000000000e+04,1.1230000000000000e+03,3.2327710288444930e-02
"WEST HAVEN",1.5600000000000000e+02,3.0448000000000000e+04,1.4190000000000000e+03,4.6604046242774567e-02,3.0230000000000000e+04,1.5370000000000000e+03,5.0843532914323517e-02
"WESTBROOK",1.5700000000000000e+02,3.7160000000000000e+03,1.3200000000000000e+02,3.5522066738428421e-02,3.6620000000000000e+03,1.3200000000000000e+02,3.6045876570180227e-02
"WESTON",1.5800000000000000e+02,4.4280000000000000e+03,1.8700000000000000e+02,4.2231255645889795e-02,4.3640000000000000e+03,1.6900000000000000e+02,3.8725939505041246e-02
"WESTPORT",1.5900000000000000e+02,1.2728000000000000e+04,4.0600000000000000e+02,3.1898177247014457e-02,1.2633000000000000e+04,4.4400000000000000e+02,3.5146046069817145e-02
"WETHERSFIELD",1.6000000000000000e+02,1.4229000000000000e+04,4.5900000000000000e+02,3.2258064516129031e-02,1.4223000000000000e+04,5.9000000000000000e+02,4.1482106447303664e-02
"WILLINGTON",1.6100000000000000e+02,3.6900000000000000e+03,1.0600000000000000e+02,2.8726287262872630e-02,3.6670000000000000e+03,1.1900000000000000e+02,3.2451595309517314e-02
"WILTON",1.6200000000000000e+02,8.5370000000000000e+03,2.7600000000000000e+02,3.2329858264027178e-02,8.4670000000000000e+03,2.9500000000000000e+02,3.4841147986299753e-02
"WINCHESTER",1.6300000000000000e+02,6.1180000000000000e+03,2.4300000000000000e+02,3.9718862373324615e-02,6.0990000000000000e+03,2.4500000000000000e+02,4.0170519757337271e-02
"WINDHAM",1.6400000000000000e+02,1.2474000000000000e+04,5.4400000000000000e+02,4.3610710277376945e-02,1.2435000000000000e+04,6.2400000000000000e+02,5.0180940892641739e-02
"WINDSOR",1.6500000000000000e+02,1.6917000000000000e+04,7.1800000000000000e+02,4.2442513448010880e-02,1.6794000000000000e+04,7.5700000000000000e+02,4.5075622246040253e-02
"WINDSOR LOCKS",1.6600000000000000e+02,7.6250000000000000e+03,3.1800000000000000e+02,4.1704918032786885e-02,7.5330000000000000e+03,2.8100000000000000e+02,3.7302535510420815e-02
"WOLCOTT",1.6700000000000000e+02,9.9560000000000000e+03,3.7100000000000000e+02,3.7263961430293292e-02,9.8910000000000000e+03,3.3600000000000000e+02,3.3970276008492568e-02
"WOODBRIDGE",1.6800000000000000e+02,4.9020000000000000e+03,1.6100000000000000e+02,3.2843737250101999e-02,4.8330000000000000e+03,1.4300000000000000e+02,2.9588247465342436e-02
"WOODBURY",1.6900000000000000e+02,5.5580000000000000e+03,1.7000000000000000e+02,3.0586541921554515e-02,5.5400000000000000e+03,1.6900000000000000e+02,3.0505415162454873e-02
"WOODSTOCK",1.7000000000000000e+02,4.2990000000000000e+03,1.4200000000000000e+02,3.3030937427308678e-02,4.2470000000000000e+03,1.6300000000000000e+02,3.8380032964445490e-02
