Municipality,Initials,Fisc_Year_End,numbered,Comptroller Town Code,County_Identifier,Invested In Capital Assets Net of Related Debt,Unrestricted Net Assets,Total Net Assets,Change In Net Assets,2011 Nonspendable_Fund_Bal,2011 Restricted_Fund_Bal,2011 Committed_Fund_Bal,2011 Assigned_Fund_Bal,Total_Fund_Bal,Restatement (Y or N),Unassigned_Fund_Bal,Unrestricted_Fund_Bal,Inter_Gov_Rev,Tax_Rev,Total_Revenue,Education,Debt_Service,Total_Expenditures,TOTAL_Trans_to_Genl_Fund,Other_Financing_Sources,TOTAL_Trans_from_Genl_Fund,Other_Financing_Uses,Operating_Surplus_(Deficit)_Including_Transfers,Prior_Yr_OP_Surplus_(Def)_including_sources_and_uses,Operating_Surplus_(Deficit)_Including_Sources_And_Uses,Special / Extraordinary Items,Deficit - Individual Enterprise Funds (Y or N),Deficit - Individual Internal Service Funds (Y or N),RSD_DEBT,TOWN_Bonded_Long_Term_Debt,Total_Bonded_Long_Term_Debt_(RSD_+_Town),Curr_Year_Adjusted_Taxes_Collectible,Curr_Year_Taxes_Collected,Curr_Year_Tax_Collection_Rate,Total_Adjusted_Taxes_Collectible,Total_Taxes_Collected,Overal_Total_Tax_Collection_Rate,2011 Population,Moody's_Bond_Ratings_July2011,area lmt,ACGLFY11,EGL,TANF11 Recipients,empl,ACMR,enrollmt,RPA Identifier
"BETHLEHEM","BP",2.0110000000000000e+03,1.0000000000000000e+01,1.0000000000000000e+01,"L",4770509.0000,3217407.0000,8008734.0000,606653.0000,0.0000,0.0000,0.0000,300000.0000,1245512.0000,"N",945512.0000,1245512.0000,1338174.0000,8571376.0000,10104836.0000,6740813.0000,0.0000,9091988.0000,26262.0000,26262.0000,968894.0000,968894.0000,70216.0000,424527.0000,70216.0000,0.0000,"N","N",1009129.9504,0.0000,1009129.9504,8517336.0000,8282104.0000,9.7238197483344557e-01,8968199.0000,8414777.0000,9.3829062000073815e-01,3.5860000000000000e+03,,1.9359999999999999e+01,401484057.0000,562933591.5529,1.0000000000000000e+00,7.1393880524526471e-02,2.1250000000000000e+01,4.8638000000000000e+02,"COG of Central Naugatuck Valley"
"BLOOMFIELD","JG",2.0110000000000000e+03,1.1000000000000000e+01,1.1000000000000000e+01,"H",90016268.0000,-23317823.0000,66698445.0000,3493502.0000,0.0000,2082150.0000,0.0000,358070.0000,13399384.0000,"N",10959164.0000,11317234.0000,9952846.0000,64430555.0000,76197584.0000,40609912.0000,23142441.0000,74056909.0000,75000.0000,15807887.0000,875000.0000,14576807.0000,1340675.0000,944982.0000,3371755.0000,0.0000,"N","N",,51417528.0000,51417528.0000,63290257.0000,62292477.0000,9.8423485624335516e-01,65628916.0000,63507533.0000,9.6767609265403687e-01,2.0502000000000000e+04,"Aa2",2.6010000000000002e+01,1990612245.0000,2963847920.0000,1.8800000000000000e+02,1.0073063809059912e-01,3.2719999999999999e+01,2.4071100000000001e+03,"Capital Region COG"
"BOLTON","BP",2.0110000000000000e+03,1.2000000000000000e+01,1.2000000000000000e+01,"T",25688127.0000,1949095.0000,28209933.0000,7801272.0000,1779.0000,0.0000,0.0000,1021590.0000,1595134.0000,"N",571765.0000,1593355.0000,4471055.0000,13707532.0000,18848573.0000,13011924.0000,1003891.0000,18127707.0000,0.0000,0.0000,509834.0000,509834.0000,211032.0000,45291.0000,211032.0000,0.0000,"N","N",,10973030.0000,10973030.0000,13624279.0000,13461241.0000,9.8803327500853444e-01,13934659.0000,13610005.0000,9.7670169036788057e-01,4.9740000000000000e+03,"Aa3",1.4410000000000000e+01,470968513.0000,660466933.1774,1.3000000000000000e+01,6.8942436412315927e-02,2.8949999999999999e+01,8.2914999999999998e+02,"Capital Region COG"
"BOZRAH","BP",2.0110000000000000e+03,1.3000000000000000e+01,1.3000000000000000e+01,"NL",5459350.0000,1157484.0000,6946071.0000,-66486.0000,0.0000,0.0000,0.0000,0.0000,190538.0000,"N",190538.0000,190538.0000,2099995.0000,5044976.0000,7322656.0000,5546367.0000,302255.0000,7510118.0000,0.0000,0.0000,25000.0000,25000.0000,-212462.0000,-291862.0000,-212462.0000,0.0000,"N","N",,4611868.0000,4611868.0000,5065586.0000,4923215.0000,9.7189446591174244e-01,5375255.0000,5012777.0000,9.3256543177951556e-01,2.6220000000000000e+03,"A1",1.9960000000000001e+01,239544429.0000,362193839.0403,1.3000000000000000e+01,7.2435897435897442e-02,2.1000000000000000e+01,3.5691000000000003e+02,"Southeastern CT COG"
"BRANFORD","BP",2.0110000000000000e+03,1.4000000000000000e+01,1.4000000000000000e+01,"NH",82744007.0000,29930660.0000,112923212.0000,-3355510.0000,29144.0000,0.0000,61088.0000,3236840.0000,18246579.0000,"Y",14919507.0000,18217435.0000,8014335.0000,81300414.0000,94417926.0000,52066037.0000,6035391.0000,90797169.0000,395000.0000,6914724.0000,3708323.0000,10125966.0000,307434.0000,-6148.0000,409515.0000,0.0000,"N","Y",,48308736.0000,48308736.0000,80799955.0000,79502818.0000,9.8394631531663601e-01,83723727.0000,80731140.0000,9.6425640487791475e-01,2.7980000000000000e+04,"Aa1",2.1989999999999998e+01,3432581052.0000,4939663242.8571,9.7000000000000000e+01,7.7059764259906419e-02,2.3570000000000000e+01,3.4883099999999999e+03,"South Central Regional COG"
"BRIDGEPORT","BP",2.0110000000000000e+03,1.5000000000000000e+01,1.5000000000000000e+01,"F",480649847.0000,-343798284.0000,140012799.0000,-10192018.0000,350000.0000,0.0000,0.0000,5222700.0000,16560510.0000,"Y",10987810.0000,16210510.0000,207535677.0000,272206146.0000,500218709.0000,229559379.0000,72910592.0000,500020343.0000,500000.0000,10594783.0000,0.0000,9898167.0000,698366.0000,4889474.0000,894982.0000,0.0000,"N","Y",,655361000.0000,655361000.0000,273823500.0000,267033575.0000,9.7520327875438007e-01,307251745.0000,269003160.0000,8.7551385590991515e-01,1.4563800000000000e+05,"A1",1.6000000000000000e+01,7197842856.0000,9790215960.6419,4.1800000000000000e+03,1.3255320403230561e-01,3.9647599999999997e+01,2.0949070000000000e+04,"Greater Bridgeport RPA"
"BRIDGEWATER","JG",2.0110000000000000e+03,1.6000000000000000e+01,1.6000000000000000e+01,"L",3829343.0000,3689528.0000,8906287.0000,-141841.0000,0.0000,0.0000,0.0000,2491485.0000,3377804.0000,"Y",886319.0000,3377804.0000,188704.0000,6521570.0000,6932977.0000,4931622.0000,0.0000,6960084.0000,0.0000,0.0000,136708.0000,136708.0000,-163815.0000,52509.0000,-163815.0000,0.0000,"N","N",279104.9924,0.0000,279104.9924,6422588.0000,6392694.0000,9.9534549001119177e-01,6529416.0000,6462436.0000,9.8974180845576387e-01,1.7160000000000000e+03,,1.6230000000000000e+01,415087108.0000,571263810.1753,0.0000000000000000e+00,6.2240663900414939e-02,1.5500000000000000e+01,2.2394000000000000e+02,"Housatonic Council of Elected Ofcls"
"BRISTOL","JG",2.0110000000000000e+03,1.7000000000000000e+01,1.7000000000000000e+01,"H",179772000.0000,61786000.0000,242310000.0000,8210000.0000,10000.0000,0.0000,4975000.0000,2008000.0000,28437000.0000,"N",21444000.0000,28427000.0000,60526000.0000,117671000.0000,183756000.0000,96785000.0000,6577000.0000,149239000.0000,337000.0000,337000.0000,34489000.0000,34489000.0000,365000.0000,481000.0000,365000.0000,0.0000,"N","N",,89235000.0000,89235000.0000,116732000.0000,115416000.0000,9.8872631326457183e-01,119459000.0000,116991000.0000,9.7934019203241285e-01,6.0525000000000000e+04,"Aa2",2.6510000000000002e+01,4271713014.0000,6111926027.2865,8.7000000000000000e+02,9.2302343772633771e-02,2.7239999999999998e+01,8.7600499999999993e+03,"Central CT RPA"
"BROOKFIELD","JG",2.0110000000000000e+03,1.8000000000000000e+01,1.8000000000000000e+01,"F",34926160.0000,-4259110.0000,30667050.0000,2347864.0000,25145.0000,0.0000,773619.0000,300000.0000,5328126.0000,"Y",4229362.0000,5302981.0000,5030421.0000,50182421.0000,56171171.0000,38063564.0000,4385204.0000,55839865.0000,447459.0000,651763.0000,639775.0000,639775.0000,138990.0000,2219820.0000,343294.0000,0.0000,"N","N",,38766394.0000,38766394.0000,50060590.0000,49538893.0000,9.8957868854522091e-01,50752967.0000,49888935.0000,9.8297573420682971e-01,1.6617000000000000e+04,"Aa1",1.9800000000000001e+01,2593626678.0000,3315269259.4750,2.9000000000000000e+01,6.6220157718483316e-02,1.9469999999999999e+01,2.9398099999999999e+03,"Housatonic Council of Elected Ofcls"
"BROOKLYN","BP",2.0110000000000000e+03,1.9000000000000000e+01,1.9000000000000000e+01,"W",22695053.0000,2653208.0000,25913370.0000,765755.0000,0.0000,24886.0000,0.0000,195172.0000,1756112.0000,"N",1536054.0000,1731226.0000,9114146.0000,11712808.0000,21376769.0000,16379323.0000,3157832.0000,20941976.0000,0.0000,0.0000,281499.0000,281499.0000,153294.0000,177370.0000,153294.0000,0.0000,"N","N",,4611593.0000,4611593.0000,11556584.0000,11235499.0000,9.7221627082881934e-01,12257230.0000,11514452.0000,9.3940082710367678e-01,8.1920000000000000e+03,"A1",2.8969999999999999e+01,516461015.0000,739271794.2857,6.0000000000000000e+01,9.6056133559158000e-02,2.2289999999999999e+01,1.2856500000000001e+03,"Northeastern CT COG"
"BURLINGTON","BP",2.0110000000000000e+03,2.0000000000000000e+01,2.0000000000000000e+01,"H",10299513.0000,6573029.0000,16894642.0000,-880263.0000,0.0000,0.0000,0.0000,171100.0000,3661884.0000,"Y",3490784.0000,3661884.0000,4924138.0000,24188699.0000,30129382.0000,22244019.0000,548471.0000,30426135.0000,0.0000,0.0000,44770.0000,44770.0000,-341523.0000,288092.0000,-341523.0000,0.0000,"N","N",15346765.8878,4174335.0000,19521100.8878,24217093.0000,23914038.0000,9.8748590510017031e-01,24884611.0000,24206774.0000,9.7276079581874919e-01,9.3090000000000000e+03,"Aa2",2.9789999999999999e+01,914489423.0000,1265793121.2114,9.0000000000000000e+00,7.0537167661421596e-02,2.6570000000000000e+01,1.8522200000000000e+03,"Central CT RPA"
"CANAAN","BP",2.0110000000000000e+03,2.1000000000000000e+01,2.1000000000000000e+01,"L",3616309.0000,1465174.0000,5242310.0000,-32453.0000,0.0000,0.0000,0.0000,178731.0000,925141.0000,"Y",746410.0000,925141.0000,603521.0000,3611937.0000,4354526.0000,2853093.0000,94480.0000,4220693.0000,0.0000,0.0000,119665.0000,119665.0000,14168.0000,11447.0000,14168.0000,0.0000,"N","N",288118.6797,578250.0000,866368.6797,3616485.0000,3547387.0000,9.8089360248971036e-01,3692350.0000,3593607.0000,9.7325741059217030e-01,1.2270000000000000e+03,,3.2939999999999998e+01,186431450.0000,263485983.9440,1.6000000000000000e+01,7.9250720461095103e-02,1.9500000000000000e+01,1.3999000000000001e+02,"Northwestern CT COG"
"CANTERBURY","JG",2.0110000000000000e+03,2.2000000000000000e+01,2.2000000000000000e+01,"W",8742756.0000,4007999.0000,12761829.0000,322726.0000,0.0000,29943.0000,0.0000,502819.0000,2665835.0000,"Y",2133073.0000,2635892.0000,6051232.0000,8137353.0000,14404565.0000,11230443.0000,133059.0000,13757511.0000,911.0000,911.0000,516461.0000,516461.0000,131504.0000,41250.0000,131504.0000,0.0000,"N","N",,605000.0000,605000.0000,8071906.0000,7869001.0000,9.7486281430928456e-01,8415613.0000,8035245.0000,9.5480210413668021e-01,5.1190000000000000e+03,"A1",3.9890000000000001e+01,378943566.0000,543548195.7143,2.6000000000000000e+01,8.3905177791640667e-02,2.1199999999999999e+01,7.1294000000000005e+02,"Northeastern CT COG"
"CANTON","JG",2.0110000000000000e+03,2.3000000000000000e+01,2.3000000000000000e+01,"H",65050035.0000,10430810.0000,75676535.0000,1872259.0000,112660.0000,1336646.0000,53396.0000,390128.0000,5411318.0000,"Y",3518488.0000,3962012.0000,5531930.0000,29012299.0000,35488869.0000,24063033.0000,2510758.0000,34719667.0000,1000.0000,1000.0000,578980.0000,578980.0000,191222.0000,109065.0000,191222.0000,0.0000,"N","N",,12393541.0000,12393541.0000,29053116.0000,28696728.0000,9.8773322627424887e-01,29830778.0000,28847232.0000,9.6702915358090891e-01,1.0300000000000000e+04,"Aa2",2.4559999999999999e+01,1113600633.0000,1572126580.0895,1.8000000000000000e+01,6.5242979653606856e-02,2.6090000000000000e+01,1.8113599999999999e+03,"Capital Region COG"
"CHAPLIN","BP",2.0110000000000000e+03,2.4000000000000000e+01,2.4000000000000000e+01,"W",5487920.0000,805223.0000,6537128.0000,400839.0000,0.0000,20139.0000,0.0000,215000.0000,923946.0000,"N",688807.0000,903807.0000,2661287.0000,5266315.0000,7984911.0000,5774865.0000,272165.0000,7533079.0000,0.0000,0.0000,225100.0000,225100.0000,226732.0000,38391.0000,226732.0000,0.0000,"N","N",0.0000,198231.0000,198231.0000,5185179.0000,5098018.0000,9.8319035851992764e-01,5280695.0000,5170596.0000,9.7915066103988202e-01,2.2980000000000000e+03,,1.9440000000000001e+01,171418602.0000,226642233.1533,1.6000000000000000e+01,8.3516483516483511e-02,3.0149999999999999e+01,2.8857999999999998e+02,"Windham Region COG"
"CHESHIRE","JG",2.0110000000000000e+03,2.5000000000000000e+01,2.5000000000000000e+01,"NH",102393364.0000,16064515.0000,118572555.0000,3617488.0000,89858.0000,0.0000,1500000.0000,2857772.0000,12506089.0000,"Y",8058459.0000,12416231.0000,21973811.0000,74725819.0000,102036525.0000,65036092.0000,9996609.0000,100566833.0000,854775.0000,1047211.0000,4154794.0000,4154794.0000,-1830327.0000,165085.0000,-1637891.0000,0.0000,"N","Y",,64426142.0000,64426142.0000,74558659.0000,74262252.0000,9.9602451272628179e-01,74685312.0000,74344261.0000,9.9543349300060502e-01,2.9216000000000000e+04,"Aa1",3.2909999999999997e+01,2826222375.0000,4133444441.0108,1.6000000000000000e+01,7.1322836764903780e-02,2.6500000000000000e+01,4.7924799999999996e+03,"COG of Central Naugatuck Valley"
"CHESTER","JG",2.0110000000000000e+03,2.6000000000000000e+01,2.6000000000000000e+01,"M",8580266.0000,3086464.0000,11961923.0000,563419.0000,0.0000,0.0000,0.0000,145766.0000,1561477.0000,"N",1415711.0000,1561477.0000,1205690.0000,11143527.0000,12640721.0000,9022134.0000,270245.0000,12322991.0000,146914.0000,146914.0000,420770.0000,420770.0000,43874.0000,-227413.0000,43874.0000,0.0000,"N","N",4689150.7158,2050600.0000,6739750.7158,11032580.0000,10898819.0000,9.8787581871148911e-01,11299883.0000,11037303.0000,9.7676259125868825e-01,4.0030000000000000e+03,"Aa3",1.6030000000000001e+01,499445691.0000,651245974.7361,7.0000000000000000e+00,6.1946902654867256e-02,2.2109999999999999e+01,5.5613999999999999e+02,"Lower CT River Valley COG"
"CLINTON","BP",2.0110000000000000e+03,2.7000000000000000e+01,2.7000000000000000e+01,"M",35917890.0000,7953296.0000,43871186.0000,-353307.0000,70044.0000,0.0000,350000.0000,844592.0000,8614941.0000,"Y",7350305.0000,8544897.0000,10133578.0000,37135422.0000,48092673.0000,32137637.0000,1819601.0000,46019910.0000,246623.0000,246623.0000,988626.0000,988626.0000,1330760.0000,1180252.0000,1330760.0000,0.0000,"N","N",,18465000.0000,18465000.0000,37002482.0000,36806256.0000,9.9469695032889960e-01,37534328.0000,37014269.0000,9.8614444356110487e-01,1.3290000000000000e+04,"Aa2",1.6280000000000001e+01,1657061565.0000,2222717758.2289,4.1000000000000000e+01,7.5418637351399725e-02,2.2410000000000000e+01,2.0832100000000000e+03,"Lower CT River Valley COG"
"COLCHESTER","JG",2.0110000000000000e+03,2.8000000000000000e+01,2.8000000000000000e+01,"NL",61575557.0000,5083896.0000,67699377.0000,406032.0000,23740.0000,0.0000,32000.0000,40772.0000,3615325.0000,"N",3518813.0000,3591585.0000,16821153.0000,32548912.0000,50665236.0000,36998747.0000,3693538.0000,50149192.0000,0.0000,0.0000,278003.0000,278003.0000,238041.0000,-528734.0000,238041.0000,0.0000,"N","N",,18115000.0000,18115000.0000,32238714.0000,31793600.0000,9.8619318376036957e-01,33508175.0000,32308258.0000,9.6419032072024213e-01,1.6034000000000000e+04,"Aa3",4.9060000000000002e+01,1274983803.0000,1752181106.1838,7.0000000000000000e+01,7.9187708176641239e-02,2.5070000000000000e+01,3.1351500000000001e+03,"Southeastern CT COG"
"ESSEX","JG",2.0110000000000000e+03,5.0000000000000000e+01,5.0000000000000000e+01,"M",13759864.0000,2938324.0000,16698188.0000,357220.0000,132065.0000,0.0000,191176.0000,249476.0000,3167193.0000,"Y",2594476.0000,3035128.0000,1203424.0000,19684655.0000,21391805.0000,14686263.0000,944806.0000,21114496.0000,45897.0000,45897.0000,159373.0000,159373.0000,163833.0000,-44766.0000,163833.0000,0.0000,"N","N",7251054.1532,10082078.0000,17333132.1532,19542268.0000,19378306.0000,9.9160987864868089e-01,19920791.0000,19630029.0000,9.8540409364266712e-01,6.6980000000000000e+03,"Aa2",1.0359999999999999e+01,1110068418.0000,1628745341.5727,1.0000000000000000e+01,6.7837190742218681e-02,1.7629999999999999e+01,9.9267999999999995e+02,"Lower CT River Valley COG"
"FAIRFIELD","BP",2.0110000000000000e+03,5.1000000000000000e+01,5.1000000000000000e+01,"F",250288000.0000,769000.0000,254890000.0000,3257000.0000,0.0000,0.0000,1586000.0000,0.0000,15000000.0000,"N",13414000.0000,15000000.0000,20841000.0000,228868000.0000,263482000.0000,152992000.0000,22268000.0000,259867000.0000,89000.0000,89000.0000,2066000.0000,2066000.0000,1638000.0000,2145000.0000,1638000.0000,0.0000,"N","Y",,206218000.0000,206218000.0000,228518000.0000,226012000.0000,9.8903368662424840e-01,232107000.0000,228018000.0000,9.8238312502423453e-01,5.9961000000000000e+04,"Aaa",3.0030000000000001e+01,12001668506.0000,14777580116.6786,5.7000000000000000e+01,7.2577361563517920e-02,1.9270000000000000e+01,1.0211770000000000e+04,"Greater Bridgeport RPA"
"FARMINGTON","JG",2.0110000000000000e+03,5.2000000000000000e+01,5.2000000000000000e+01,"H",70918707.0000,17509749.0000,88428456.0000,3661918.0000,0.0000,0.0000,0.0000,748869.0000,8137511.0000,"N",7388642.0000,8137511.0000,10574352.0000,76077290.0000,88739427.0000,55572545.0000,9202135.0000,87941436.0000,0.0000,9096600.0000,980000.0000,9825486.0000,-182009.0000,-398894.0000,69105.0000,0.0000,"N","N",,59637902.0000,59637902.0000,75889033.0000,75567117.0000,9.9575806954873181e-01,76199029.0000,75784601.0000,9.9456124303106275e-01,2.5361000000000000e+04,"Aaa",2.8059999999999999e+01,3706221553.0000,5237838336.8445,4.7000000000000000e+01,6.5611031138722631e-02,2.0460000000000001e+01,4.1277799999999997e+03,"Capital Region COG"
"FRANKLIN","BP",2.0110000000000000e+03,5.3000000000000000e+01,5.3000000000000000e+01,"NL",8145715.0000,589677.0000,8743889.0000,43623.0000,0.0000,0.0000,0.0000,0.0000,263391.0000,"N",263391.0000,263391.0000,1568330.0000,4104016.0000,5840771.0000,4190396.0000,1055754.0000,5861078.0000,0.0000,0.0000,210785.0000,210785.0000,-231092.0000,-75746.0000,-231092.0000,0.0000,"N","N",,1934772.0000,1934772.0000,4044453.0000,3977411.0000,9.8342371638389670e-01,4125044.0000,4037449.0000,9.7876507499071530e-01,1.9170000000000000e+03,,1.9510000000000002e+01,207655621.0000,287293056.9982,6.0000000000000000e+00,6.4846416382252553e-02,1.9539999999999999e+01,3.0616000000000003e+02,"Southeastern CT COG"
"GLASTONBURY","JG",2.0110000000000000e+03,5.4000000000000000e+01,5.4000000000000000e+01,"H",184735191.0000,34981661.0000,221702021.0000,10281458.0000,266034.0000,0.0000,0.0000,3366844.0000,19591467.0000,"Y",15958589.0000,19325433.0000,16292391.0000,122743814.0000,144856641.0000,95347354.0000,10873890.0000,141474844.0000,381000.0000,31555780.0000,3268700.0000,34443480.0000,494097.0000,-1621774.0000,494097.0000,0.0000,"N","N",,94600517.0000,94600517.0000,122201916.0000,121393374.0000,9.9338355709578241e-01,123290583.0000,122234562.0000,9.9143469862576605e-01,3.4454000000000000e+04,"Aaa",5.1369999999999997e+01,4125841540.0000,5802756443.9403,4.9000000000000000e+01,5.8328512070688475e-02,2.9649999999999999e+01,6.9763400000000001e+03,"Capital Region COG"
"GOSHEN","BP",2.0110000000000000e+03,5.5000000000000000e+01,5.5000000000000000e+01,"L",4767065.0000,2370198.0000,7665561.0000,680090.0000,18459.0000,0.0000,0.0000,487275.0000,1931580.0000,"N",1425846.0000,1913121.0000,367060.0000,9122278.0000,9678465.0000,7000608.0000,0.0000,9396418.0000,50800.0000,50800.0000,283000.0000,283000.0000,49847.0000,-269883.0000,49847.0000,0.0000,"N","N",1798933.6063,0.0000,1798933.6063,9082542.0000,9020465.0000,9.9316523942306023e-01,9169997.0000,9064501.0000,9.8849552513485006e-01,2.9570000000000000e+03,,4.3659999999999997e+01,603752812.0000,798165999.2057,4.0000000000000000e+00,8.1841432225063945e-02,1.5000000000000000e+01,4.2370999999999998e+02,"Litchfield Hills Cncl of Elected Ofcls"
"GRANBY","JG",2.0110000000000000e+03,5.6000000000000000e+01,5.6000000000000000e+01,"H",47290152.0000,9158464.0000,57028625.0000,703994.0000,0.0000,0.0000,5172.0000,2081876.0000,4459204.0000,"Y",2372156.0000,4459204.0000,9057889.0000,31120470.0000,41021318.0000,28128240.0000,4026797.0000,40661659.0000,779751.0000,779751.0000,1121360.0000,1121360.0000,18050.0000,-1250488.0000,18050.0000,0.0000,"N","N",,26121257.0000,26121257.0000,31045576.0000,30757738.0000,9.9072853407519323e-01,31446019.0000,30998448.0000,9.8576700599207800e-01,1.1291000000000000e+04,"Aa2",4.0689999999999998e+01,1048749700.0000,1455486144.3221,1.6000000000000000e+01,6.5589058128691327e-02,2.9789999999999999e+01,2.2055500000000002e+03,"Capital Region COG"
"GREENWICH","JG",2.0110000000000000e+03,5.7000000000000000e+01,5.7000000000000000e+01,"F",391518906.0000,17183960.0000,408702866.0000,4940155.0000,2474238.0000,0.0000,495900.0000,11114225.0000,21802930.0000,"N",7718567.0000,19328692.0000,22432009.0000,294912830.0000,345323525.0000,142077135.0000,16552809.0000,323723671.0000,3290566.0000,3290566.0000,8165000.0000,8165000.0000,16725420.0000,24951383.0000,16725420.0000,0.0000,"N","N",,96076720.0000,96076720.0000,294692837.0000,292206593.0000,9.9156326965626251e-01,298717744.0000,293720951.0000,9.8327252699123224e-01,6.1782000000000000e+04,"Aaa",4.7829999999999998e+01,34382886476.0000,44032314926.1918,1.1700000000000000e+02,6.5117670522536891e-02,8.5960000000000001e+00,8.7204799999999996e+03,"South Western RPA"
"GRISWOLD","JG",2.0110000000000000e+03,5.8000000000000000e+01,5.8000000000000000e+01,"NL",78723664.0000,3931404.0000,82980269.0000,10340495.0000,65567.0000,0.0000,0.0000,999894.0000,3078210.0000,"Y",2012749.0000,3012643.0000,13450251.0000,15466469.0000,31509083.0000,26324931.0000,1925312.0000,31980597.0000,0.0000,0.0000,769850.0000,769850.0000,-1241364.0000,-2303418.0000,-1241364.0000,0.0000,"N","N",,20270000.0000,20270000.0000,15394644.0000,15063213.0000,9.7847101888163179e-01,16016361.0000,15282221.0000,9.5416312107350731e-01,1.1925000000000000e+04,,3.4950000000000003e+01,820349075.0000,1100295985.3141,1.2400000000000000e+02,9.3527080581241748e-02,1.8730000000000000e+01,1.8692500000000000e+03,"Southeastern CT COG"
"GROTON","JG",2.0110000000000000e+03,5.9000000000000000e+01,5.9000000000000000e+01,"NL",151539570.0000,40302575.0000,192168080.0000,8606960.0000,0.0000,0.0000,0.0000,3029419.0000,13190242.0000,"Y",10160823.0000,13190242.0000,42525983.0000,78333574.0000,123214945.0000,78536129.0000,7036684.0000,122663093.0000,729556.0000,729556.0000,834475.0000,834475.0000,446933.0000,-3891966.0000,446933.0000,0.0000,"N","Y",,63520662.0000,63520662.0000,76287974.0000,74842788.0000,9.8105617538093226e-01,80083673.0000,77581745.0000,9.6875857579609270e-01,4.0038000000000000e+04,"Aa2",3.1300000000000001e+01,4116232891.0000,5973519502.8732,3.5400000000000000e+02,9.3162261039830982e-02,1.8420000000000002e+01,5.1752799999999997e+03,"Southeastern CT COG"
"GROTON (City of)","JG",2.0110000000000000e+03,6.0000000000000000e+01,5.0100000000000000e+02,,20204792.0000,7194347.0000,28051729.0000,-125583.0000,16768.0000,0.0000,1048110.0000,66944.0000,4202307.0000,"N",3070485.0000,4185539.0000,164638.0000,6137303.0000,12386157.0000,0.0000,1058116.0000,16225375.0000,3101624.0000,3101624.0000,0.0000,0.0000,-737594.0000,503034.0000,-737594.0000,0.0000,"N","N",,4169000.0000,4169000.0000,5719007.0000,5658026.0000,9.8933713492569597e-01,6157956.0000,6081300.0000,9.8755171358808025e-01,,"Aa2",,,,,,,,
"GUILFORD","BP",2.0110000000000000e+03,6.1000000000000000e+01,6.0000000000000000e+01,"NH",24646327.0000,-450047.0000,24196280.0000,550914.0000,0.0000,0.0000,502809.0000,887505.0000,4522231.0000,"Y",3131917.0000,4522231.0000,8337831.0000,71406707.0000,81671090.0000,54070201.0000,4748016.0000,80546758.0000,17490.0000,17490.0000,102900.0000,102900.0000,1038922.0000,-245508.0000,1038922.0000,0.0000,"N","N",,46200002.0000,46200002.0000,66592468.0000,66274333.0000,9.9522265791380493e-01,67238327.0000,66741761.0000,9.9261483707052978e-01,2.2340000000000000e+04,"Aa2",4.7049999999999997e+01,3468262731.0000,4433476292.1457,5.0000000000000000e+01,6.0806650246305417e-02,2.0829999999999998e+01,3.7061700000000001e+03,"South Central Regional COG"
"HADDAM","JG",2.0110000000000000e+03,6.2000000000000000e+01,6.1000000000000000e+01,"M",16317621.0000,6188472.0000,22593857.0000,1638438.0000,0.0000,0.0000,0.0000,0.0000,2571591.0000,"N",2571591.0000,2571591.0000,2002255.0000,24955511.0000,27333375.0000,19463675.0000,87019.0000,25529825.0000,6498.0000,6498.0000,1263260.0000,1263260.0000,546788.0000,-500893.0000,546788.0000,0.0000,"N","N",10057565.2155,220868.0000,10278433.2155,24630705.0000,24322687.0000,9.8749455202358194e-01,25866352.0000,24653423.0000,9.5310784450779917e-01,8.3640000000000000e+03,,4.4030000000000001e+01,898246307.0000,1311781156.6137,9.0000000000000000e+00,6.1073059360730590e-02,2.7399999999999999e+01,1.3517600000000000e+03,"Lower CT River Valley COG"
"HAMDEN","BP",2.0110000000000000e+03,6.3000000000000000e+01,6.2000000000000000e+01,"NH",121117196.0000,-245732944.0000,-122862604.0000,-37635254.0000,0.0000,0.0000,0.0000,0.0000,557564.0000,"Y",557564.0000,557564.0000,44696470.0000,133437247.0000,183436468.0000,85075902.0000,4142841.0000,184639339.0000,205912.0000,947131.0000,0.0000,0.0000,-996959.0000,-8050094.0000,-255740.0000,0.0000,"N","Y",,128689866.0000,128689866.0000,133375296.0000,131430826.0000,9.8542106328296364e-01,135150597.0000,131640274.0000,9.7402658162138933e-01,6.0868000000000000e+04,"Aa3",3.2780000000000001e+01,4310212858.0000,6106840331.2103,4.7800000000000000e+02,8.5394079668656350e-02,3.1160000000000000e+01,6.9414399999999996e+03,"South Central Regional COG"
"HAMPTON","BP",2.0110000000000000e+03,6.4000000000000000e+01,6.3000000000000000e+01,"W",5171259.0000,1388248.0000,8736735.0000,529657.0000,56776.0000,7120.0000,0.0000,213500.0000,1256707.0000,"Y",979311.0000,1192811.0000,1761370.0000,3935640.0000,5932795.0000,4105540.0000,0.0000,5473763.0000,0.0000,0.0000,162470.0000,162470.0000,296562.0000,32485.0000,296562.0000,0.0000,"N","N",0.0000,457570.0000,457570.0000,3918732.0000,3829276.0000,9.7717220774475011e-01,4065012.0000,3896272.0000,9.5848966743517605e-01,1.8580000000000000e+03,,2.5000000000000000e+01,153150986.0000,192795746.6701,3.0000000000000000e+00,1.0530973451327434e-01,2.5800000000000001e+01,2.0549000000000001e+02,"Windham Region COG"
