Municipality,Initials,Fisc_Year_End,numbered,Comptroller Town Code,County_Identifier,Invested In Capital Assets Net of Related Debt,Unrestricted Net Assets,Total Net Assets,Change In Net Assets,Reserv_Fund_Bal,Design_Fund_Bal,Total_Fund_Bal,Restatement (Y or N),Unreserved_Fund_Bal,Inter_Gov_Rev,Tax_Rev,Total_Revenue,Education,Debt_Service,Total_Expenditures,TOTAL_Trans_to_Genl_Fund,Other_Financing_Sources,TOTAL_Trans_from_Genl_Fund,Other_Financing_Uses,Operating_Surplus_(Deficit)_Including_Transfers,Prior_Yr_OP_Surplus_(Def)_including_sources_and_uses,Operating_Surplus_(Deficit)_Including_Sources_And_Uses,Special / Extraordinary Items,Deficit - Individual Enterprise Funds (Y or N),Deficit - Individual Internal Service Funds (Y or N),RSD_DEBT,TOWN_Bonded_Long_Term_Debt,Total_Bonded_Long_Term_Debt_(RSD_+_Town),Curr_Year_Adjusted_Taxes_Collectible,Curr_Year_Taxes_Collected,Curr_Year_Tax_Collection_Rate,Total_Adjusted_Taxes_Collectible,Total_Taxes_Collected,Overal_Total_Tax_Collection_Rate,2010 Population,Moody's_Bond_Ratings_July2010,area lmt,ACGLFY10,EGL,TANF10 Recipients,empl,ACMR,enrollmt,RPA Identifier
"DANBURY","JG",2.0100000000000000e+03,3.4000000000000000e+01,3.4000000000000000e+01,"F",144512568.0000,405691.0000,146449417.0000,-5638078.0000,1653536.0000,2500000.0000,25404384.0000,"N",23750848.0000,40879804.0000,154994853.0000,205565583.0000,117631730.0000,13831430.0000,209804077.0000,570000.0000,41378007.0000,349361.0000,38045524.0000,-4017855.0000,-670708.0000,-906011.0000,0.0000,"N","N",,139086544.0000,139086544.0000,155260859.0000,153187028.0000,9.8664292460213687e-01,162169599.0000,155591294.0000,9.5943564613488375e-01,8.1056000000000000e+04,"Aa1",4.2109999999999999e+01,7142185313.0000,9919097244.3142,5.2900000000000000e+02,7.8903376797057834e-02,2.1660000000000000e+01,1.0255040000000001e+04,"Housatonic Council of Elected Ofcls"
"DARIEN","JG",2.0100000000000000e+03,3.5000000000000000e+01,3.5000000000000000e+01,"F",86655778.0000,30480125.0000,117135903.0000,-261091.0000,129936.0000,1100000.0000,16774932.0000,"N",16644996.0000,10282461.0000,98967727.0000,114202224.0000,76971943.0000,10174238.0000,111849775.0000,1216222.0000,13672292.0000,3021992.0000,15329956.0000,546679.0000,-1507672.0000,694785.0000,0.0000,"N","N",,86414211.0000,86414211.0000,98639743.0000,97917015.0000,9.9267305471385914e-01,100095539.0000,98530991.0000,9.8436945326804226e-01,2.0750000000000000e+04,"Aaa",1.2859999999999999e+01,6602119755.0000,9431803792.8571,4.0000000000000000e+00,6.1413043478260869e-02,1.1369999999999999e+01,4.7946300000000001e+03,"South Western RPA"
"DEEP RIVER","BP",2.0100000000000000e+03,3.6000000000000000e+01,3.6000000000000000e+01,"M",10159874.0000,-191205.0000,9968669.0000,384287.0000,0.0000,0.0000,411510.0000,"N",411510.0000,2191144.0000,11290214.0000,14366992.0000,9469760.0000,882925.0000,14298261.0000,43947.0000,43947.0000,40399.0000,40399.0000,72279.0000,-368467.0000,72279.0000,0.0000,"N","N",5332246.2204,267420.0000,5599666.2204,11172317.0000,11003160.0000,9.8485927314808552e-01,11497829.0000,11192032.0000,9.7340393564732963e-01,4.6250000000000000e+03,,1.3550000000000001e+01,514812686.0000,752337779.9813,4.0000000000000000e+00,7.7773541746092259e-02,2.1730000000000000e+01,6.5463999999999999e+02,"CT River Estuary RPA"
"DERBY","BP",2.0100000000000000e+03,3.7000000000000000e+01,3.7000000000000000e+01,"NH",57925164.0000,-12094303.0000,45834691.0000,9997213.0000,0.0000,0.0000,2185140.0000,"N",2185140.0000,12218692.0000,23913482.0000,37130787.0000,20036381.0000,1807132.0000,36330768.0000,0.0000,0.0000,143300.0000,143300.0000,656719.0000,-1815501.0000,656719.0000,0.0000,"N","N",,11826360.0000,11826360.0000,23872842.0000,23219129.0000,9.7261687569498423e-01,25115408.0000,23680991.0000,9.4288697201335536e-01,1.2909000000000000e+04,"Aa3",4.9800000000000004e+00,908981968.0000,1251941463.1245,1.7400000000000000e+02,1.0738159579007253e-01,2.6399999999999999e+01,1.5806900000000001e+03,"Valley COG"
"DURHAM","BP",2.0100000000000000e+03,3.8000000000000000e+01,3.8000000000000000e+01,"M",40021564.0000,4051631.0000,44147238.0000,-1230199.0000,74043.0000,0.0000,2224500.0000,"N",2150457.0000,3892833.0000,20409758.0000,24693067.0000,20032348.0000,0.0000,25148721.0000,252305.0000,252305.0000,101350.0000,101350.0000,-304699.0000,-672838.0000,-304699.0000,0.0000,"N","N",12066042.7203,0.0000,12066042.7203,20428866.0000,20193606.0000,9.8848394228049663e-01,20762339.0000,20385197.0000,9.8183528358726824e-01,7.4060000000000000e+03,,2.3600000000000001e+01,780169188.0000,1095711674.3787,3.0000000000000000e+00,6.2972292191435769e-02,2.6199999999999999e+01,1.3716800000000001e+03,"Midstate RPA"
"EAST GRANBY","JG",2.0100000000000000e+03,3.9000000000000000e+01,4.0000000000000000e+01,"H",21353409.0000,2970730.0000,25231180.0000,-1059898.0000,458982.0000,0.0000,2822715.0000,"Y",2363733.0000,2402943.0000,14643443.0000,17372347.0000,12761001.0000,573981.0000,17706634.0000,0.0000,0.0000,306670.0000,306670.0000,-640957.0000,650806.0000,-640957.0000,0.0000,"N","N",,865000.0000,865000.0000,14485941.0000,14324903.0000,9.8888315229228119e-01,14863641.0000,14514129.0000,9.7648543852747793e-01,5.1550000000000000e+03,"Aa2",1.7480000000000000e+01,548558924.0000,814818201.4286,1.0000000000000000e+01,6.8181818181818177e-02,2.6300000000000001e+01,9.3907000000000005e+02,"Capital Region COG"
"EAST HADDAM","KE",2.0100000000000000e+03,4.0000000000000000e+01,4.1000000000000000e+01,"M",49660747.0000,14416743.0000,64517870.0000,613886.0000,0.0000,801439.0000,5203543.0000,"N",5203543.0000,6102332.0000,20045882.0000,27147818.0000,19179294.0000,2411550.0000,27501491.0000,1594838.0000,1594838.0000,2182956.0000,2182956.0000,-941791.0000,-730249.0000,-941791.0000,0.0000,"N","N",,17433061.0000,17433061.0000,19953985.0000,19776828.0000,9.9112172330489379e-01,20219553.0000,19935846.0000,9.8596868091000822e-01,9.1410000000000000e+03,"Aa2",5.4329999999999998e+01,973292598.0000,1314533886.8138,1.4000000000000000e+01,7.2131768269594845e-02,2.0550000000000001e+01,1.4240000000000000e+03,"Midstate RPA"
"EAST HAMPTON","JG",2.0100000000000000e+03,4.1000000000000000e+01,4.2000000000000000e+01,"M",66932674.0000,10107050.0000,77384678.0000,1674466.0000,0.0000,0.0000,4083407.0000,"N",4083407.0000,11353306.0000,27402725.0000,39408105.0000,27509315.0000,1989509.0000,38114208.0000,0.0000,0.0000,1804763.0000,1804763.0000,-510866.0000,22842.0000,-510866.0000,0.0000,"N","N",,8855565.0000,8855565.0000,27465527.0000,26889271.0000,9.7901893526383088e-01,28149857.0000,27168481.0000,9.6513744279411440e-01,1.2999000000000000e+04,"Aa3",3.5590000000000003e+01,1141056140.0000,1636772456.5573,4.8000000000000000e+01,9.0176253586555538e-02,2.4010000000000002e+01,2.0404700000000000e+03,"Midstate RPA"
"EAST HARTFORD","KE",2.0100000000000000e+03,4.2000000000000000e+01,4.3000000000000000e+01,"H",116335000.0000,-13234000.0000,103297000.0000,-8235000.0000,906000.0000,0.0000,12944000.0000,"N",12038000.0000,51585000.0000,98458000.0000,156929000.0000,84284000.0000,9539000.0000,158135000.0000,399000.0000,9226000.0000,17000.0000,8718000.0000,-824000.0000,-1567000.0000,-698000.0000,0.0000,"N","Y",,61945000.0000,61945000.0000,97618000.0000,95398000.0000,9.7725829252801732e-01,100667000.0000,97489000.0000,9.6843056811070161e-01,5.1318000000000000e+04,"Aa2",1.8020000000000000e+01,3107157886.0000,4390028134.4966,1.1050000000000000e+03,1.1710364918736584e-01,3.1670000000000002e+01,8.0093900000000003e+03,"Capital Region COG"
"EAST HAVEN","BP",2.0100000000000000e+03,4.3000000000000000e+01,4.4000000000000000e+01,"NH",35996442.0000,-7351451.0000,30446812.0000,-8142680.0000,0.0000,0.0000,-5197136.0000,"N",-5197136.0000,22884200.0000,51611706.0000,76940939.0000,44137267.0000,7635801.0000,78565834.0000,0.0000,0.0000,787233.0000,787233.0000,-2412128.0000,-3688664.0000,-2412128.0000,0.0000,"N","Y",,52789047.0000,52789047.0000,50736871.0000,49575213.0000,9.7710426407651352e-01,52733438.0000,50297043.0000,9.5379791091944355e-01,2.9267000000000000e+04,"A3",1.2260000000000000e+01,2240900844.0000,2968044076.6008,2.6800000000000000e+02,1.0012720334363075e-01,2.2850000000000001e+01,3.8032399999999998e+03,"South Central Regional COG"
"EAST LYME","JG",2.0100000000000000e+03,4.4000000000000000e+01,4.5000000000000000e+01,"NL",51200205.0000,23280043.0000,74480248.0000,14389612.0000,289266.0000,0.0000,4092278.0000,"N",3803012.0000,11178281.0000,43941520.0000,59648534.0000,41427641.0000,6653324.0000,62157649.0000,2068562.0000,19087894.0000,105000.0000,16442060.0000,-545553.0000,-387333.0000,136719.0000,0.0000,"N","N",,44814490.0000,44814490.0000,43868665.0000,43271547.0000,9.8638850760559960e-01,44712499.0000,43696498.0000,9.7727702493211122e-01,1.9184000000000000e+04,"Aa2",3.4030000000000001e+01,2295022670.0000,3192934418.5870,5.3000000000000000e+01,7.4960598896769107e-02,1.9186000000000000e+01,2.8786100000000001e+03,"Southeastern CT COG"
"EAST WINDSOR","KE",2.0100000000000000e+03,4.5000000000000000e+01,4.7000000000000000e+01,"H",39339813.0000,6519065.0000,45870825.0000,-178581.0000,0.0000,0.0000,2886362.0000,"N",2886362.0000,7305528.0000,23540079.0000,31483930.0000,19351289.0000,1791621.0000,31904255.0000,518677.0000,518677.0000,316702.0000,316702.0000,-218350.0000,-2203551.0000,-218350.0000,0.0000,"N","N",,8863334.0000,8863334.0000,23167459.0000,22502735.0000,9.7130785901034722e-01,24478270.0000,23044472.0000,9.4142568081812972e-01,1.1201000000000000e+04,"Aa2",2.6280000000000001e+01,1076912916.0000,1557733170.5865,9.6000000000000000e+01,9.8378050629073815e-02,2.1748799999999999e+01,1.4758599999999999e+03,"Capital Region COG"
"EASTFORD","BP",2.0100000000000000e+03,4.6000000000000000e+01,3.9000000000000000e+01,"W",2513279.0000,915983.0000,3652164.0000,-85131.0000,1336.0000,0.0000,1075378.0000,"N",1074042.0000,1630796.0000,3240144.0000,4939073.0000,3745816.0000,0.0000,4827580.0000,241.0000,241.0000,38800.0000,38800.0000,72934.0000,-161083.0000,72934.0000,0.0000,"N","N",,44261.0000,44261.0000,3214283.0000,3145489.0000,9.7859740414891905e-01,3311189.0000,3202747.0000,9.6724983080096005e-01,1.7510000000000000e+03,,2.8879999999999999e+01,158275457.0000,227584489.6338,3.0000000000000000e+00,7.3099415204678359e-02,2.0270000000000000e+01,2.3652000000000001e+02,"Northeastern CT COG"
"EASTON","KE",2.0100000000000000e+03,4.7000000000000000e+01,4.6000000000000000e+01,"F",53742220.0000,6108803.0000,59851023.0000,1290605.0000,0.0000,589200.0000,4208884.0000,"N",4208884.0000,2035401.0000,36066760.0000,39495421.0000,25004081.0000,4006443.0000,40074675.0000,100000.0000,101450.0000,235803.0000,235803.0000,-715057.0000,-621302.0000,-713607.0000,0.0000,"N","N",9883860.1007,28845000.0000,38728860.1007,35863290.0000,35486703.0000,9.8949937387227993e-01,36458793.0000,35758156.0000,9.8078277029083216e-01,7.4840000000000000e+03,"Aaa",2.7420000000000002e+01,1662884678.0000,1828719690.6494,0.0000000000000000e+00,6.3585359337429870e-02,2.1699999999999999e+01,1.5559600000000000e+03,"Greater Bridgeport RPA"
"ELLINGTON","JG",2.0100000000000000e+03,4.8000000000000000e+01,4.8000000000000000e+01,"T",43364687.0000,5888381.0000,49877347.0000,1074272.0000,131935.0000,3940225.0000,7237868.0000,"N",7105933.0000,13520745.0000,31414992.0000,46701632.0000,31017970.0000,2491297.0000,46382613.0000,357284.0000,4799532.0000,122236.0000,3848305.0000,554067.0000,-626963.0000,1270246.0000,0.0000,"Y","N",,15264116.0000,15264116.0000,31270709.0000,30905543.0000,9.8832242658776936e-01,32264168.0000,31399036.0000,9.7318598142682622e-01,1.5679000000000000e+04,"Aa3",3.4049999999999997e+01,1244714589.0000,1852462870.8137,4.1000000000000000e+01,7.4759194395796841e-02,2.5000000000000000e+01,2.6699899999999998e+03,"Capital Region COG"
"ENFIELD","JG",2.0100000000000000e+03,4.9000000000000000e+01,4.9000000000000000e+01,"H",186149000.0000,27376000.0000,215430000.0000,-463000.0000,4237000.0000,2500000.0000,18264000.0000,"N",14027000.0000,36824000.0000,75870000.0000,116126000.0000,65002000.0000,5475000.0000,115746000.0000,5201000.0000,17677000.0000,6308000.0000,18935000.0000,-727000.0000,-3071000.0000,-878000.0000,0.0000,"N","N",,30310000.0000,30310000.0000,75353000.0000,73940000.0000,9.8124825819808104e-01,78847000.0000,75060000.0000,9.5197027153854930e-01,4.4635000000000000e+04,"Aa2",3.3380000000000003e+01,3166524090.0000,4284864471.7362,3.3900000000000000e+02,9.1356289529163734e-02,2.3879999999999999e+01,6.2150299999999997e+03,"Capital Region COG"
"ESSEX","JG",2.0100000000000000e+03,5.0000000000000000e+01,5.0000000000000000e+01,"M",13651546.0000,2689422.0000,16340968.0000,-891219.0000,485369.0000,0.0000,2837184.0000,"N",2351815.0000,1320694.0000,18908813.0000,20772484.0000,14400640.0000,720588.0000,20544950.0000,0.0000,0.0000,272300.0000,272300.0000,-44766.0000,-82901.0000,-44766.0000,0.0000,"N","N",7186866.6330,10572098.0000,17758964.6330,18791825.0000,18567871.0000,9.8808237092459084e-01,19104511.0000,18743897.0000,9.8112414392600789e-01,6.6840000000000000e+03,"Aa2",1.0359999999999999e+01,1113486769.0000,1601097690.0000,6.0000000000000000e+00,6.6805302833376656e-02,1.6949999999999999e+01,9.8628999999999996e+02,"CT River Estuary RPA"
"FAIRFIELD","BP",2.0100000000000000e+03,5.1000000000000000e+01,5.1000000000000000e+01,"F",249899000.0000,1315000.0000,251633000.0000,6737000.0000,1076000.0000,0.0000,13362000.0000,"N",12286000.0000,20383000.0000,224354000.0000,258564000.0000,151473000.0000,23685000.0000,253636000.0000,394000.0000,394000.0000,3177000.0000,3177000.0000,2145000.0000,-321000.0000,2145000.0000,0.0000,"N","Y",,205307000.0000,205307000.0000,222627000.0000,220080000.0000,9.8855933916371330e-01,226511000.0000,222852000.0000,9.8384625912207357e-01,5.9413000000000000e+04,"Aaa",3.0030000000000001e+01,11932514731.0000,15496392315.8324,6.5000000000000000e+01,7.6751481352387588e-02,1.8899999999999999e+01,1.0114330000000000e+04,"Greater Bridgeport RPA"
"FARMINGTON","KE",2.0100000000000000e+03,5.2000000000000000e+01,5.2000000000000000e+01,"H",70786142.0000,13980396.0000,84766538.0000,2109256.0000,102654.0000,500000.0000,8068406.0000,"N",7965752.0000,10452519.0000,73010027.0000,85685005.0000,53821985.0000,9225806.0000,85526004.0000,0.0000,17228226.0000,705375.0000,17786121.0000,-546374.0000,-572767.0000,-398894.0000,0.0000,"N","Y",,63114466.0000,63114466.0000,72659322.0000,72459534.0000,9.9725034593634110e-01,72980986.0000,72658571.0000,9.9558220548020548e-01,2.5368000000000000e+04,"Aaa",2.8059999999999999e+01,3676303178.0000,5396675900.2551,3.4000000000000000e+01,7.1667426660586717e-02,1.9760000000000002e+01,4.1432700000000004e+03,"Capital Region COG"
"FRANKLIN","BP",2.0100000000000000e+03,5.3000000000000000e+01,5.3000000000000000e+01,"NL",7938633.0000,753136.0000,8700266.0000,-209678.0000,0.0000,0.0000,494483.0000,"N",494483.0000,1564807.0000,4126343.0000,5888366.0000,4307144.0000,257222.0000,5959112.0000,25000.0000,25000.0000,30000.0000,30000.0000,-75746.0000,-188333.0000,-75746.0000,0.0000,"N","N",,1711250.0000,1711250.0000,3992520.0000,3941534.0000,9.8722961938825604e-01,4149186.0000,4070633.0000,9.8106785282703646e-01,1.9220000000000000e+03,,1.9510000000000002e+01,208012753.0000,299180590.0000,4.0000000000000000e+00,7.5644222776392350e-02,1.9289999999999999e+01,3.0288000000000000e+02,"Southeastern CT COG"
"GLASTONBURY","JG",2.0100000000000000e+03,5.4000000000000000e+01,5.4000000000000000e+01,"H",170298270.0000,41122293.0000,211420563.0000,6045377.0000,340646.0000,1860183.0000,18003863.0000,"N",17663217.0000,15767332.0000,119029288.0000,139340301.0000,92864175.0000,10762160.0000,138708507.0000,1743514.0000,1743514.0000,3997082.0000,3997082.0000,-1621774.0000,55517.0000,-1621774.0000,0.0000,"N","N",,82847860.0000,82847860.0000,118936203.0000,117896533.0000,9.9125859096073543e-01,119984894.0000,118772634.0000,9.8989656147881411e-01,3.4467000000000000e+04,"Aaa",5.1369999999999997e+01,4105519780.0000,5953642196.4347,6.1000000000000000e+01,6.4667747163695305e-02,2.9050000000000001e+01,6.9991800000000003e+03,"Capital Region COG"
"GOSHEN","BP",2.0100000000000000e+03,5.5000000000000000e+01,5.5000000000000000e+01,"L",3844884.0000,2300836.0000,6563891.0000,-198845.0000,0.0000,404207.0000,1881733.0000,"N",1881733.0000,343444.0000,8665315.0000,9195123.0000,6833904.0000,0.0000,9234981.0000,51100.0000,51100.0000,281125.0000,281125.0000,-269883.0000,-218056.0000,-269883.0000,0.0000,"N","N",2054617.0976,0.0000,2054617.0976,8653800.0000,8602458.0000,9.9406711502461342e-01,8721623.0000,8643476.0000,9.9103985576996390e-01,2.9820000000000000e+03,,4.3659999999999997e+01,601286304.0000,813661999.9303,6.0000000000000000e+00,7.4653822998193856e-02,1.4400000000000000e+01,4.3275999999999999e+02,"Litchfield Hills Cncl of Elected Ofcls"
"GRANBY","KE",2.0100000000000000e+03,5.6000000000000000e+01,5.6000000000000000e+01,"H",46214196.0000,9319680.0000,56324631.0000,-1302659.0000,346741.0000,1655000.0000,4436008.0000,"N",4089267.0000,9158803.0000,30666611.0000,40700501.0000,28313332.0000,4302934.0000,40862233.0000,10037.0000,10037.0000,1098793.0000,1098793.0000,-1250488.0000,-6742.0000,-1250488.0000,0.0000,"N","N",,29045334.0000,29045334.0000,30507400.0000,30232680.0000,9.9099497171178141e-01,30909463.0000,30494463.0000,9.8657369104083104e-01,1.1292000000000000e+04,"Aa2",4.0689999999999998e+01,1042797363.0000,1482340791.8346,1.7000000000000000e+01,6.8082448469706430e-02,2.9460000000000001e+01,2.2586100000000001e+03,"Capital Region COG"
"GREENWICH","KE",2.0100000000000000e+03,5.7000000000000000e+01,5.7000000000000000e+01,"F",382696977.0000,21065734.0000,403762711.0000,34976365.0000,7710765.0000,0.0000,5077510.0000,"N",-2633255.0000,20301905.0000,282798004.0000,329454737.0000,135277746.0000,7898966.0000,297273862.0000,2548915.0000,2548915.0000,9778407.0000,9778407.0000,24951383.0000,4144707.0000,24951383.0000,0.0000,"N","N",,80074535.0000,80074535.0000,282807657.0000,280715663.0000,9.9260276747033060e-01,286241062.0000,281989910.0000,9.8514835023914216e-01,6.1119000000000000e+04,"Aaa",4.7829999999999998e+01,34135985844.0000,43955745675.5002,8.7000000000000000e+01,6.3742938314338901e-02,8.3160000000000007e+00,8.7122199999999993e+03,"South Western RPA"
"GRISWOLD","JG",2.0100000000000000e+03,5.8000000000000000e+01,5.8000000000000000e+01,"NL",62249471.0000,-13954941.0000,72194029.0000,13667599.0000,602084.0000,600000.0000,4554452.0000,"N",3952368.0000,14511708.0000,13814104.0000,31038932.0000,26063194.0000,2405264.0000,32806750.0000,0.0000,0.0000,535600.0000,535600.0000,-2303418.0000,-408166.0000,-2303418.0000,0.0000,"N","N",,21420000.0000,21420000.0000,13640640.0000,13358080.0000,9.7928542942266639e-01,14309639.0000,13621575.0000,9.5191604763754001e-01,1.1977000000000000e+04,,3.4950000000000003e+01,811623913.0000,1113390831.5806,1.2100000000000000e+02,9.2667203867848505e-02,1.6750000000000000e+01,1.8972400000000000e+03,"Southeastern CT COG"
"GROTON","KE",2.0100000000000000e+03,5.9000000000000000e+01,5.9000000000000000e+01,"NL",147045269.0000,36186358.0000,183561120.0000,490145.0000,2139367.0000,932201.0000,11900992.0000,"N",9761625.0000,42969276.0000,74812435.0000,120062813.0000,79363536.0000,6155073.0000,123236612.0000,670251.0000,713864.0000,1432031.0000,1432031.0000,-3935579.0000,60066.0000,-3891966.0000,0.0000,"N","Y",,68309468.0000,68309468.0000,73703362.0000,72295221.0000,9.8089448077009023e-01,76440445.0000,74137396.0000,9.6987132924200015e-01,4.0125000000000000e+04,"Aa2",3.1300000000000001e+01,4118982177.0000,5650001775.6534,4.1400000000000000e+02,9.1537398249116886e-02,1.7949999999999999e+01,5.2217600000000002e+03,"Southeastern CT COG"
"GROTON (City of)","JG",2.0100000000000000e+03,6.0000000000000000e+01,5.0100000000000000e+02,,18698216.0000,9406900.0000,28177312.0000,1204420.0000,91645.0000,973606.0000,4939901.0000,"N",4848256.0000,525581.0000,5913531.0000,12736149.0000,0.0000,1141871.0000,15359703.0000,3101624.0000,4840426.0000,0.0000,1713838.0000,478070.0000,474333.0000,503034.0000,0.0000,"N","N",,5074500.0000,5074500.0000,5645133.0000,5598314.0000,9.9170630700817852e-01,5919747.0000,5849825.0000,9.8818834656278387e-01,,"Aa2",,,,,,,,
"GUILFORD","KE",2.0100000000000000e+03,6.1000000000000000e+01,6.0000000000000000e+01,"NH",29614350.0000,-5968984.0000,23645366.0000,2966239.0000,880642.0000,0.0000,3305023.0000,"N",2424381.0000,8425393.0000,68064571.0000,78413127.0000,52600881.0000,4788369.0000,78555472.0000,0.0000,6055000.0000,197155.0000,6158163.0000,-339500.0000,-1132458.0000,-245508.0000,0.0000,"N","Y",,31750002.0000,31750002.0000,63355836.0000,63026349.0000,9.9479942147713118e-01,63847106.0000,63263095.0000,9.9085297617091683e-01,2.2411000000000000e+04,"Aa2",4.7049999999999997e+01,3458303405.0000,4482204305.6728,5.7000000000000000e+01,6.4322600243013367e-02,2.0039999999999999e+01,3.7335799999999999e+03,"South Central Regional COG"
"HADDAM","KE",2.0100000000000000e+03,6.2000000000000000e+01,6.1000000000000000e+01,"M",15755793.0000,4593719.0000,20955419.0000,390363.0000,0.0000,0.0000,2024803.0000,"Y",2024803.0000,1762566.0000,23772257.0000,26029181.0000,19468254.0000,340653.0000,25522195.0000,0.0000,623828.0000,1631707.0000,1631707.0000,-1124721.0000,-278490.0000,-500893.0000,0.0000,"N","N",10976665.7187,294856.0000,11271521.7187,23381525.0000,23079562.0000,9.8708540182900817e-01,24689089.0000,23392166.0000,9.4746979121019814e-01,8.3760000000000000e+03,,4.4030000000000001e+01,886795002.0000,1206332485.3384,8.0000000000000000e+00,6.7897558070279931e-02,2.6399999999999999e+01,1.3620200000000000e+03,"Midstate RPA"
"HAMDEN","BP",2.0100000000000000e+03,6.3000000000000000e+01,6.2000000000000000e+01,"NH",132386138.0000,-217613488.0000,-85227350.0000,-46084129.0000,0.0000,0.0000,574675.0000,"N",574675.0000,40619842.0000,125961736.0000,173070065.0000,83759620.0000,12868619.0000,181852150.0000,297304.0000,13813291.0000,0.0000,13081300.0000,-8484781.0000,880581.0000,-8050094.0000,0.0000,"N","Y",,95243528.0000,95243528.0000,126148748.0000,124111922.0000,9.8385377554440734e-01,128130613.0000,124272025.0000,9.6988551049857230e-01,6.1054000000000000e+04,"Aa3",3.2780000000000001e+01,4311938827.0000,6351601147.0142,4.3100000000000000e+02,8.5965524903971302e-02,2.9410000000000000e+01,6.8838199999999997e+03,"South Central Regional COG"
"HAMPTON","BP",2.0100000000000000e+03,6.4000000000000000e+01,6.3000000000000000e+01,"W",4856608.0000,1524253.0000,8206146.0000,66935.0000,22371.0000,0.0000,947470.0000,"N",925099.0000,1738203.0000,3764908.0000,5621874.0000,4124942.0000,0.0000,5417232.0000,0.0000,0.0000,172157.0000,172157.0000,32485.0000,58418.0000,32485.0000,0.0000,"N","N",0.0000,36764.0000,36764.0000,3783633.0000,3679321.0000,9.7243072993601654e-01,3867484.0000,3713463.0000,9.6017540085492270e-01,1.8640000000000000e+03,,2.5000000000000000e+01,152670154.0000,218166754.2857,6.0000000000000000e+00,9.8602484472049695e-02,2.4850000000000001e+01,2.2343000000000001e+02,"Windham Region COG"
"HARTFORD","BP",2.0100000000000000e+03,6.5000000000000000e+01,6.4000000000000000e+01,"H",956310000.0000,36231000.0000,1056105000.0000,69699000.0000,148000.0000,0.0000,18648000.0000,"N",18500000.0000,267840000.0000,266990000.0000,551036000.0000,305210000.0000,37163000.0000,506731000.0000,2884000.0000,2884000.0000,44854000.0000,44854000.0000,2335000.0000,-11587000.0000,2335000.0000,0.0000,"N","Y",,303087000.0000,303087000.0000,260038000.0000,249186000.0000,9.5826763780678204e-01,283787000.0000,256403000.0000,9.0350509360893905e-01,1.2474400000000000e+05,"Aa3",1.7309999999999999e+01,3471479869.0000,7309947142.0422,6.8220000000000000e+03,1.6121363290917240e-01,7.2790000000000006e+01,2.1318380000000001e+04,"Capital Region COG"
"HARTLAND","BP",2.0100000000000000e+03,6.6000000000000000e+01,6.5000000000000000e+01,"H",7026369.0000,1386135.0000,8426072.0000,328287.0000,0.0000,142253.0000,770708.0000,"N",770708.0000,1779049.0000,4526367.0000,6413466.0000,4486859.0000,446746.0000,6098910.0000,56.0000,56.0000,305185.0000,305185.0000,9427.0000,28298.0000,9427.0000,0.0000,"N","N",,1953272.0000,1953272.0000,4532107.0000,4469635.0000,9.8621568290422090e-01,4593265.0000,4512762.0000,9.8247368701784021e-01,2.1140000000000000e+03,"A1",3.3020000000000003e+01,194386080.0000,280976603.6784,1.0000000000000000e+00,6.6611842105263164e-02,2.3250000000000000e+01,3.1705000000000001e+02,"Litchfield Hills Cncl of Elected Ofcls"
"HARWINTON","BP",2.0100000000000000e+03,6.7000000000000000e+01,6.6000000000000000e+01,"L",16424481.0000,4643042.0000,21067523.0000,1445162.0000,0.0000,0.0000,2387179.0000,"N",2387179.0000,3737842.0000,12889426.0000,16896306.0000,10978122.0000,869920.0000,17571596.0000,164192.0000,764192.0000,193431.0000,193431.0000,-704529.0000,-401765.0000,-104529.0000,0.0000,"N","N",8070934.4104,600000.0000,8670934.4104,12679913.0000,12456185.0000,9.8235571490119844e-01,13376592.0000,12623066.0000,9.4366831252683792e-01,5.6510000000000000e+03,,3.0739999999999998e+01,554661230.0000,793695065.7143,5.0000000000000000e+00,7.0647077211628634e-02,2.3000000000000000e+01,9.3579999999999995e+02,"Litchfield Hills Cncl of Elected Ofcls"
"HEBRON","BP",2.0100000000000000e+03,6.8000000000000000e+01,6.7000000000000000e+01,"T",47008061.0000,6339484.0000,53358965.0000,-484625.0000,213975.0000,0.0000,3427023.0000,"N",3213048.0000,8098555.0000,24234224.0000,33093599.0000,25224497.0000,1909982.0000,33187608.0000,1230000.0000,1230000.0000,1107522.0000,1107522.0000,28469.0000,-455647.0000,28469.0000,0.0000,"N","N",13989369.3028,10255810.0000,24245179.3028,24208195.0000,23821495.0000,9.8402607051042013e-01,24850991.0000,24163986.0000,9.7235502600278600e-01,9.7040000000000000e+03,"Aa2",3.6890000000000001e+01,855732850.0000,1133998455.7675,1.0000000000000000e+01,6.7917783735478104e-02,2.8170000000000002e+01,2.1180400000000000e+03,"Capital Region COG"
