Municipality,Initials,Fisc_Year_End,numbered,Comptroller Town Code,County_Identifier,Invested In Capital Assets Net of Related Debt,Unrestricted Net Assets,Total Net Assets,Change In Net Assets,Reserv_Fund_Bal,Design_Fund_Bal,Total_Fund_Bal,Restatement (Y or N),Unreserved_Fund_Bal,Inter_Gov_Rev,Tax_Rev,Total_Revenue,Education,Debt_Service,Total_Expenditures,TOTAL_Trans_to_Genl_Fund,Other_Financing_Sources,TOTAL_Trans_from_Genl_Fund,Other_Financing_Uses,Operating_Surplus_(Deficit)_Including_Transfers,Prior_Yr_OP_Surplus_(Def)_including_sources_and_uses,Operating_Surplus_(Deficit)_Including_Sources_And_Uses,Special / Extraordinary Items,Deficit - Individual Enterprise Funds (Y or N),Deficit - Individual Internal Service Funds (Y or N),RSD_DEBT,TOWN_Bonded_Long_Term_Debt,Total_Bonded_Long_Term_Debt_(RSD_+_Town),Curr_Year_Adjusted_Taxes_Collectible,Curr_Year_Taxes_Collected,Curr_Year_Tax_Collection_Rate,Total_Adjusted_Taxes_Collectible,Total_Taxes_Collected,Overal_Total_Tax_Collection_Rate,2009 Population,Moody's_Bond_Ratings_July2009,area lmt,ACGLFY09,EGL,TANF09 Recipients,empl,ACMR,enrollmt,RPA Identifier
"BURLINGTON","BP",2.0090000000000000e+03,2.0000000000000000e+01,2.0000000000000000e+01,"H",10970657.0000,7079585.0000,18204956.0000,73414.0000,0.0000,227144.0000,3319778.0000,"N",3319778.0000,4726874.0000,22967717.0000,29613948.0000,21208198.0000,691294.0000,29405137.0000,40326.0000,40326.0000,50905.0000,50905.0000,198232.0000,457200.0000,198232.0000,0.0000,"N","N",14413934.2088,5137840.0000,19551774.2088,22852521.0000,22492366.0000,9.8424003198596777e-01,23507071.0000,22766720.0000,9.6850517871835240e-01,9.1780000000000000e+03,"A2",2.9789999999999999e+01,777603356.0000,1356175346.6451,7.0000000000000000e+00,6.5651934714835866e-02,2.9320000000000000e+01,1.8704900000000000e+03,"Central CT RPA"
"CANAAN","BP",2.0090000000000000e+03,2.1000000000000000e+01,2.1000000000000000e+01,"L",3689963.0000,1423695.0000,5306903.0000,150311.0000,49844.0000,0.0000,855025.0000,"N",805181.0000,595087.0000,3555487.0000,4312000.0000,2718795.0000,100900.0000,4123159.0000,3865.0000,3865.0000,118858.0000,118858.0000,73848.0000,138076.0000,73848.0000,0.0000,"N","N",313538.8871,856750.0000,1170288.8871,3561777.0000,3518137.0000,9.8774768886429443e-01,3605553.0000,3535635.0000,9.8060824511524303e-01,1.0990000000000000e+03,,3.2939999999999998e+01,185723970.0000,266681885.7143,1.0000000000000000e+00,7.2487644151565070e-02,1.9359999999999999e+01,1.3050000000000000e+02,"Northwestern CT COG"
"DEEP RIVER","BP",2.0090000000000000e+03,3.6000000000000000e+01,3.6000000000000000e+01,"M",9463833.0000,-248377.0000,9584382.0000,353336.0000,0.0000,0.0000,339231.0000,"N",339231.0000,2524631.0000,11159960.0000,14695444.0000,9898159.0000,953109.0000,15024146.0000,0.0000,0.0000,39765.0000,39765.0000,-368467.0000,113798.0000,-368467.0000,0.0000,"N","N",6279954.7828,482852.0000,6762806.7828,11170153.0000,10965901.0000,9.8171448502093028e-01,11440742.0000,11084263.0000,9.6884126921138503e-01,4.6830000000000000e+03,"Baa1",1.3550000000000001e+01,512605721.0000,797932677.3334,2.0000000000000000e+00,7.6981707317073170e-02,2.1730000000000000e+01,6.6147000000000003e+02,"CT River Estuary RPA"
"DERBY","BP",2.0090000000000000e+03,3.7000000000000000e+01,3.7000000000000000e+01,"NH",21044990.0000,14788936.0000,35837479.0000,4443698.0000,0.0000,0.0000,1528421.0000,"N",1528421.0000,12310056.0000,23586413.0000,37271196.0000,19873813.0000,2262919.0000,38788369.0000,0.0000,2097700.0000,186738.0000,2396028.0000,-1703911.0000,1160914.0000,-1815501.0000,0.0000,"N","N",,13320988.0000,13320988.0000,23770599.0000,23143785.0000,9.7363070236471538e-01,24927679.0000,23608401.0000,9.4707577869564186e-01,1.2385000000000000e+04,"A2",4.9800000000000004e+00,902607124.0000,1380321087.7689,1.6100000000000000e+02,9.4454072790294621e-02,2.6400000000000002e+01,1.5689800000000000e+03,"Valley COG"
"DURHAM","BP",2.0090000000000000e+03,3.8000000000000000e+01,3.8000000000000000e+01,"M",40885571.0000,4318977.0000,45377437.0000,-1212617.0000,89844.0000,0.0000,2529215.0000,"Y",2439371.0000,4497451.0000,20235497.0000,25180626.0000,20377712.0000,0.0000,25741964.0000,153500.0000,153500.0000,265000.0000,265000.0000,-672838.0000,434543.0000,-672838.0000,0.0000,"N","N",9872374.8380,19621.0000,9891995.8380,20127191.0000,19868374.0000,9.8714092791189789e-01,20443283.0000,20103434.0000,9.8337600668151004e-01,7.4690000000000000e+03,,2.3600000000000001e+01,769113546.0000,1121857150.0821,0.0000000000000000e+00,5.9012629161882893e-02,2.6250000000000000e+01,1.4282700000000000e+03,"Midstate RPA"
"EAST GRANBY","JG",2.0090000000000000e+03,3.9000000000000000e+01,4.0000000000000000e+01,"H",21372556.0000,3922605.0000,26086330.0000,2766048.0000,1186823.0000,0.0000,3258924.0000,"N",2072101.0000,2779190.0000,14467873.0000,17846299.0000,12449844.0000,597825.0000,16761772.0000,100000.0000,100000.0000,533721.0000,533721.0000,650806.0000,452644.0000,650806.0000,0.0000,"N","N",,1390000.0000,1390000.0000,14367008.0000,14156773.0000,9.8536682098318595e-01,14786037.0000,14376418.0000,9.7229690416708681e-01,5.2100000000000000e+03,"A1",1.7480000000000000e+01,497130747.0000,831397082.0428,7.0000000000000000e+00,6.5310141122415497e-02,2.8800000000000001e+01,9.0636000000000001e+02,"Capital Region COG"
"EAST HADDAM","BP",2.0090000000000000e+03,4.0000000000000000e+01,4.1000000000000000e+01,"M",47581880.0000,15881114.0000,63903984.0000,-2086925.0000,0.0000,1198420.0000,6145334.0000,"N",6145334.0000,6772352.0000,20112690.0000,28044944.0000,19669609.0000,2361928.0000,28743249.0000,1565055.0000,1565055.0000,1596999.0000,1596999.0000,-730249.0000,652897.0000,-730249.0000,0.0000,"N","N",,18940239.0000,18940239.0000,20064556.0000,19846310.0000,9.8912280939583208e-01,20291827.0000,20017205.0000,9.8646637387555103e-01,8.9410000000000000e+03,"A1",5.4329999999999998e+01,974858901.0000,1393560644.2857,1.8000000000000000e+01,6.4301972685887707e-02,2.0550000000000001e+01,1.4582200000000000e+03,"Midstate RPA"
"EAST HAMPTON","JG",2.0090000000000000e+03,4.1000000000000000e+01,4.2000000000000000e+01,"M",63685094.0000,12008857.0000,75710212.0000,499101.0000,1687.0000,0.0000,4594273.0000,"N",4592586.0000,11503080.0000,26977875.0000,39089949.0000,27066537.0000,2153027.0000,37454881.0000,0.0000,0.0000,1612226.0000,1612226.0000,22842.0000,626667.0000,22842.0000,0.0000,"N","N",,10511516.0000,10511516.0000,26929975.0000,26429212.0000,9.8140499573430717e-01,27406671.0000,26722972.0000,9.7505355539167815e-01,1.2766000000000000e+04,"A2",3.5590000000000003e+01,1124687182.0000,1709710103.2736,3.4000000000000000e+01,8.0910586944596824e-02,2.3809999999999999e+01,2.0660700000000002e+03,"Midstate RPA"
"EAST HARTFORD","JG",2.0090000000000000e+03,4.2000000000000000e+01,4.3000000000000000e+01,"H",115698000.0000,-5619000.0000,110273000.0000,-13187000.0000,943000.0000,0.0000,13642000.0000,"N",12699000.0000,57601000.0000,100745000.0000,165237000.0000,92242000.0000,9777000.0000,167008000.0000,520000.0000,520000.0000,316000.0000,316000.0000,-1567000.0000,-576000.0000,-1567000.0000,0.0000,"N","Y",,54220000.0000,54220000.0000,99128000.0000,96764000.0000,9.7615204583972237e-01,102796000.0000,99200000.0000,9.6501809408926420e-01,4.8634000000000000e+04,"A1",1.8020000000000000e+01,3172514025.0000,4904766423.9373,1.0560000000000000e+03,1.0559006211180125e-01,3.1670000000000002e+01,7.9175900000000001e+03,"Capital Region COG"
"EAST HAVEN","BP",2.0090000000000000e+03,4.3000000000000000e+01,4.4000000000000000e+01,"NH",36790597.0000,-176290.0000,38443640.0000,-11692351.0000,0.0000,0.0000,-2785008.0000,"N",-2785008.0000,26567280.0000,50718358.0000,80248382.0000,47501312.0000,8102652.0000,83239586.0000,0.0000,0.0000,697460.0000,697460.0000,-3688664.0000,-3187370.0000,-3688664.0000,0.0000,"N","Y",,53830000.0000,53830000.0000,49838834.0000,48724546.0000,9.7764217357091465e-01,51576451.0000,49364955.0000,9.5712198189053377e-01,2.8572000000000000e+04,"Baa1",1.2260000000000000e+01,2226737398.0000,3279898968.9118,2.2100000000000000e+02,8.5106382978723402e-02,2.2850000000000001e+01,3.8100300000000002e+03,"South Central Regional COG"
"EAST LYME","JG",2.0090000000000000e+03,4.4000000000000000e+01,4.5000000000000000e+01,"NL",39804580.0000,20286056.0000,60090636.0000,-268618.0000,128683.0000,350000.0000,3955559.0000,"N",3826876.0000,12748779.0000,43711314.0000,61540684.0000,42299028.0000,6370107.0000,63330214.0000,2067567.0000,2067567.0000,617203.0000,665370.0000,-339166.0000,-18918.0000,-387333.0000,0.0000,"N","N",,46697648.0000,46697648.0000,43667884.0000,43079515.0000,9.8652627638197443e-01,44348520.0000,43394689.0000,9.7849238260938587e-01,1.9203000000000000e+04,"Aa3",3.4030000000000001e+01,2277922273.0000,3396007521.5690,5.2000000000000000e+01,6.8371864240039354e-02,1.9186000000000000e+01,2.9345300000000002e+03,"Southeastern CT COG"
"EAST WINDSOR","BP",2.0090000000000000e+03,4.5000000000000000e+01,4.7000000000000000e+01,"H",39246899.0000,6780560.0000,46049406.0000,-1906440.0000,0.0000,1250000.0000,3104712.0000,"N",3104712.0000,8607535.0000,22039940.0000,31282789.0000,20760869.0000,2029137.0000,33646257.0000,452278.0000,452278.0000,292361.0000,292361.0000,-2203551.0000,109675.0000,-2203551.0000,0.0000,"N","N",,10347793.0000,10347793.0000,22097869.0000,21324580.0000,9.6500617321968918e-01,23264505.0000,21744386.0000,9.3465930179902823e-01,1.1041000000000000e+04,"A1",2.6280000000000001e+01,1053263468.0000,1542874108.5714,7.6000000000000000e+01,8.4907108859204661e-02,2.0913499999999999e+01,1.5258099999999999e+03,"Capital Region COG"
"EASTFORD","BP",2.0090000000000000e+03,4.6000000000000000e+01,3.9000000000000000e+01,"W",2404841.0000,1116577.0000,3737298.0000,53521.0000,85026.0000,2500.0000,860206.0000,"N",775180.0000,1558486.0000,3261902.0000,4857982.0000,3829616.0000,0.0000,4944019.0000,0.0000,0.0000,75046.0000,75046.0000,-161083.0000,198030.0000,-161083.0000,0.0000,"N","N",,0.0000,0.0000,3145356.0000,3083455.0000,9.8031987476139426e-01,3261452.0000,3157487.0000,9.6812309364050120e-01,1.8000000000000000e+03,,2.8879999999999999e+01,158310718.0000,230485274.2857,1.0000000000000000e+00,6.5429687500000000e-02,1.9859999999999999e+01,2.6669000000000000e+02,"Northeastern CT COG"
"EASTON","BP",2.0090000000000000e+03,4.7000000000000000e+01,4.6000000000000000e+01,"F",51600421.0000,6959997.0000,58560418.0000,2112248.0000,0.0000,1237200.0000,4922491.0000,"N",4922491.0000,2126327.0000,35907157.0000,39108064.0000,24900625.0000,4183436.0000,39675403.0000,122065.0000,10264002.0000,186428.0000,10317965.0000,-631702.0000,180129.0000,-621302.0000,0.0000,"N","Y",10514240.7343,31460000.0000,41974240.7343,35768293.0000,35453602.0000,9.9120195643666864e-01,36282592.0000,35656447.0000,9.8274255047709935e-01,7.3830000000000000e+03,"Aa1",2.7420000000000002e+01,1664048662.0000,2202760061.0917,0.0000000000000000e+00,6.0118089103596353e-02,2.1600000000000001e+01,1.5900400000000000e+03,"Greater Bridgeport RPA"
"ELLINGTON","JG",2.0090000000000000e+03,4.8000000000000000e+01,4.8000000000000000e+01,"T",43040275.0000,5181692.0000,48803075.0000,231517.0000,28300.0000,3611162.0000,5967622.0000,"N",5939322.0000,13582654.0000,29966770.0000,45264063.0000,30967610.0000,2569334.0000,45787297.0000,144771.0000,144771.0000,248500.0000,248500.0000,-626963.0000,1167659.0000,-626963.0000,0.0000,"Y","N",,16592655.0000,16592655.0000,30171558.0000,29682760.0000,9.8379937820910679e-01,31009743.0000,29923555.0000,9.6497268616511911e-01,1.4829000000000000e+04,"A2",3.4049999999999997e+01,1224448137.0000,1857807278.4273,2.4000000000000000e+01,6.7922874671340935e-02,2.4400000000000002e+01,2.6617900000000000e+03,"Capital Region COG"
"ENFIELD","JG",2.0090000000000000e+03,4.9000000000000000e+01,4.9000000000000000e+01,"H",174618000.0000,41210000.0000,215893000.0000,-2773000.0000,3908000.0000,2500000.0000,19142000.0000,"Y",15234000.0000,37644000.0000,77302000.0000,118199000.0000,73847000.0000,5418000.0000,112676000.0000,654000.0000,1091000.0000,9685000.0000,9685000.0000,-3508000.0000,1813000.0000,-3071000.0000,0.0000,"N","N",,35008000.0000,35008000.0000,75592000.0000,74118000.0000,9.8050058207217694e-01,79571000.0000,76091000.0000,9.5626547360219172e-01,4.5259000000000000e+04,"Aa3",3.3380000000000003e+01,3173924922.0000,4888653263.4024,3.6200000000000000e+02,8.4227155566641718e-02,2.3879999999999999e+01,6.3988199999999997e+03,"Capital Region COG"
"ESSEX","JG",2.0090000000000000e+03,5.0000000000000000e+01,5.0000000000000000e+01,"M",14057982.0000,3174205.0000,17232187.0000,-74978.0000,436131.0000,150000.0000,2881950.0000,"N",2445819.0000,1564130.0000,18093636.0000,20368416.0000,13831806.0000,753922.0000,20174179.0000,0.0000,28063.0000,305201.0000,305201.0000,-110964.0000,376781.0000,-82901.0000,0.0000,"N","N",7718683.7461,10756670.0000,18475353.7461,18102020.0000,17871117.0000,9.8724435173533120e-01,18374807.0000,18031358.0000,9.8130870163697503e-01,6.8100000000000000e+03,"Aa3",1.0359999999999999e+01,1029694544.0000,1754140000.3474,7.0000000000000000e+00,6.1602714695901853e-02,1.7600000000000001e+01,9.7522000000000003e+02,"CT River Estuary RPA"
"FAIRFIELD","BP",2.0090000000000000e+03,5.1000000000000000e+01,5.1000000000000000e+01,"F",240836000.0000,3681000.0000,244896000.0000,7288000.0000,954000.0000,0.0000,11217000.0000,"N",10263000.0000,20508000.0000,218781000.0000,252847000.0000,151011000.0000,23180000.0000,249409000.0000,269000.0000,269000.0000,4028000.0000,4028000.0000,-321000.0000,-662000.0000,-321000.0000,0.0000,"N","Y",,212642000.0000,212642000.0000,218377000.0000,215786000.0000,9.8813519738800326e-01,221279000.0000,217229000.0000,9.8169731425033557e-01,5.7578000000000000e+04,"Aaa",3.0030000000000001e+01,11874286362.0000,16375127214.3476,5.5000000000000000e+01,7.4199755116319752e-02,1.8580000000000002e+01,9.9569200000000001e+03,"Greater Bridgeport RPA"
"FARMINGTON","JG",2.0090000000000000e+03,5.2000000000000000e+01,5.2000000000000000e+01,"H",66566819.0000,16090463.0000,82657282.0000,5465593.0000,493720.0000,950000.0000,8467200.0000,"N",7973480.0000,11010560.0000,71216753.0000,86393006.0000,52626772.0000,9331668.0000,85738464.0000,0.0000,14656368.0000,1346000.0000,15883677.0000,-691458.0000,546061.0000,-572767.0000,0.0000,"N","N",,69068009.0000,69068009.0000,70893322.0000,70715115.0000,9.9748626534950635e-01,71154779.0000,70897977.0000,9.9639093812658741e-01,2.5144000000000000e+04,"Aa1",2.8059999999999999e+01,3650705862.0000,5264313574.2857,4.3000000000000000e+01,6.3028732566115381e-02,1.9469999999999999e+01,4.1676700000000001e+03,"Capital Region COG"
"FRANKLIN","BP",2.0090000000000000e+03,5.3000000000000000e+01,5.3000000000000000e+01,"NL",7948587.0000,952860.0000,8909944.0000,113093.0000,0.0000,181052.0000,570229.0000,"N",570229.0000,1710963.0000,4159289.0000,6051643.0000,4253663.0000,507392.0000,6216395.0000,120419.0000,120419.0000,144000.0000,144000.0000,-188333.0000,-219461.0000,-188333.0000,0.0000,"N","N",,1887000.0000,1887000.0000,4071770.0000,3974492.0000,9.7610916137208148e-01,4212304.0000,4048796.0000,9.6118323843673203e-01,1.9060000000000000e+03,"A3",1.9510000000000002e+01,175993463.0000,326464422.6445,6.0000000000000000e+00,6.5778517901748546e-02,2.3000000000000000e+01,3.0206999999999999e+02,"Southeastern CT COG"
"GLASTONBURY","JG",2.0090000000000000e+03,5.4000000000000000e+01,5.4000000000000000e+01,"H",167909894.0000,37313643.0000,205223537.0000,6228442.0000,274528.0000,2444388.0000,19625637.0000,"N",19351109.0000,9546377.0000,115600163.0000,136516782.0000,83715229.0000,10881655.0000,135567883.0000,1668168.0000,13598262.0000,4550545.0000,14491644.0000,-1933478.0000,3905888.0000,55517.0000,0.0000,"N","N",,90100480.0000,90100480.0000,115587894.0000,114581091.0000,9.9128971931956822e-01,115905342.0000,114898539.0000,9.9131357552096266e-01,3.3353000000000000e+04,"Aa1",5.1369999999999997e+01,4073691008.0000,5830109185.7143,6.0000000000000000e+01,5.7901281288857652e-02,2.8350000000000001e+01,7.0208299999999999e+03,"Capital Region COG"
"GOSHEN","BP",2.0090000000000000e+03,5.5000000000000000e+01,5.5000000000000000e+01,"L",3506615.0000,2874863.0000,6762736.0000,-5155.0000,0.0000,648874.0000,2151616.0000,"N",2151616.0000,353293.0000,8690359.0000,9261717.0000,6724961.0000,0.0000,9110539.0000,50000.0000,50000.0000,419234.0000,419234.0000,-218056.0000,448413.0000,-218056.0000,0.0000,"N","N",2306757.8811,0.0000,2306757.8811,8634293.0000,8587587.0000,9.9459063990531704e-01,8733318.0000,8642581.0000,9.8961024893402483e-01,3.2440000000000000e+03,,4.3659999999999997e+01,597777917.0000,854305175.7143,3.0000000000000000e+00,7.0270270270270274e-02,1.4400000000000000e+01,4.3050000000000000e+02,"Litchfield Hills Cncl of Elected Ofcls"
"GRANBY","JG",2.0090000000000000e+03,5.6000000000000000e+01,5.6000000000000000e+01,"H",45963355.0000,10519282.0000,57627290.0000,1425529.0000,367592.0000,2161000.0000,5686496.0000,"N",5318904.0000,9715349.0000,30602659.0000,41724429.0000,27848851.0000,4179624.0000,40365278.0000,12587.0000,12587.0000,1378480.0000,1378480.0000,-6742.0000,283821.0000,-6742.0000,0.0000,"N","N",,31872759.0000,31872759.0000,30523880.0000,30222246.0000,9.9011809769924397e-01,30934394.0000,30516308.0000,9.8648475221463849e-01,1.1220000000000000e+04,"A1",4.0689999999999998e+01,1044614490.0000,1495997300.0000,1.0000000000000000e+01,6.1406250000000002e-02,2.9350000000000001e+01,2.2047600000000002e+03,"Capital Region COG"
"GREENWICH","JG",2.0090000000000000e+03,5.7000000000000000e+01,5.7000000000000000e+01,"F",374257444.0000,-5471098.0000,368786346.0000,9742726.0000,5673319.0000,0.0000,-19873873.0000,"N",-25547192.0000,36461092.0000,270537636.0000,337619559.0000,135519709.0000,8341496.0000,317582673.0000,2706821.0000,2706821.0000,18599000.0000,18599000.0000,4144707.0000,13313192.0000,4144707.0000,0.0000,"N","N",,40863375.0000,40863375.0000,270320121.0000,268507098.0000,9.9329305198113604e-01,272712032.0000,269275852.0000,9.8739996921001272e-01,6.2368000000000000e+04,"Aaa",4.7829999999999998e+01,33848988996.0000,52513936426.5436,5.7000000000000000e+01,6.2418172296412673e-02,8.0350000000000001e+00,8.7609300000000003e+03,"South Western RPA"
"GRISWOLD","JG",2.0090000000000000e+03,5.8000000000000000e+01,5.8000000000000000e+01,"NL",47762788.0000,-4620135.0000,58526430.0000,9215207.0000,829511.0000,1545000.0000,6857870.0000,"N",6028359.0000,14974557.0000,13886063.0000,31830044.0000,26080659.0000,1867375.0000,32659327.0000,637807.0000,637807.0000,216690.0000,216690.0000,-408166.0000,164217.0000,-408166.0000,0.0000,"N","N",,12065000.0000,12065000.0000,13613843.0000,13292677.0000,9.7640886559364615e-01,14363130.0000,13632782.0000,9.4915119476047349e-01,1.1508000000000000e+04,,3.4950000000000003e+01,806092387.0000,1183963338.9245,9.5000000000000000e+01,8.4016668907111167e-02,1.6750000000000000e+01,1.9417300000000000e+03,"Southeastern CT COG"
"GROTON","JG",2.0090000000000000e+03,5.9000000000000000e+01,5.9000000000000000e+01,"NL",140662156.0000,42982326.0000,183973975.0000,7221658.0000,3289619.0000,2013725.0000,15792958.0000,"N",12503339.0000,46927346.0000,71813206.0000,121351153.0000,76365187.0000,6120252.0000,120261431.0000,650837.0000,650837.0000,1680493.0000,1680493.0000,60066.0000,906225.0000,60066.0000,0.0000,"N","Y",,62599411.0000,62599411.0000,71553729.0000,70214560.0000,9.8128442753836076e-01,73138910.0000,71185162.0000,9.7328716000826376e-01,3.9551000000000000e+04,"Aa3",3.1300000000000001e+01,3710132183.0000,5819429481.9198,3.4900000000000000e+02,8.3055797509863194e-02,1.9270000000000000e+01,5.2929099999999999e+03,"Southeastern CT COG"
"GROTON (City of)","JG",2.0090000000000000e+03,6.0000000000000000e+01,5.0100000000000000e+02,,17940109.0000,8961352.0000,26972892.0000,653385.0000,75056.0000,808410.0000,5811221.0000,"N",5736165.0000,615140.0000,5812388.0000,12756376.0000,0.0000,1125661.0000,15099171.0000,3119490.0000,3119490.0000,302362.0000,302362.0000,474333.0000,500105.0000,474333.0000,0.0000,"N","N",,4239000.0000,4239000.0000,5678591.0000,5629826.0000,9.9141248242741908e-01,5752931.0000,5689874.0000,9.8903915239032070e-01,,"Aa3",,,,,,,,
"GUILFORD","BP",2.0090000000000000e+03,6.1000000000000000e+01,6.0000000000000000e+01,"NH",21558941.0000,-879814.0000,20679127.0000,2279815.0000,1315830.0000,0.0000,3550531.0000,"N",2234701.0000,9129571.0000,65708244.0000,77344574.0000,52451290.0000,4594738.0000,78103537.0000,19142.0000,19142.0000,392637.0000,392637.0000,-1132458.0000,-314076.0000,-1132458.0000,0.0000,"N","Y",,35105002.0000,35105002.0000,61568166.0000,61199469.0000,9.9401156435291571e-01,61990292.0000,61435409.0000,9.9104887262024832e-01,2.2469000000000000e+04,"Aa3",4.7049999999999997e+01,3455346343.0000,4947979604.2857,4.9000000000000000e+01,5.6290630975143405e-02,1.9190000000000001e+01,3.7892600000000002e+03,"South Central Regional COG"
"HADDAM","JG",2.0090000000000000e+03,6.2000000000000000e+01,6.1000000000000000e+01,"M",14815567.0000,5676057.0000,20491624.0000,-1092550.0000,0.0000,2072947.0000,4272627.0000,"N",4272627.0000,2041317.0000,23260475.0000,26858950.0000,20293804.0000,226382.0000,27127440.0000,0.0000,0.0000,10000.0000,10000.0000,-278490.0000,578585.0000,-278490.0000,0.0000,"N","N",12270942.6725,615317.0000,12886259.6725,22944559.0000,22591741.0000,9.8462302108312472e-01,24271482.0000,22902785.0000,9.4360884102585907e-01,7.9540000000000000e+03,,4.4030000000000001e+01,885715664.0000,1354895232.1963,1.0000000000000000e+01,5.9514331210191083e-02,2.6000000000000000e+01,1.3748399999999999e+03,"Midstate RPA"
"HAMDEN","JG",2.0090000000000000e+03,6.3000000000000000e+01,6.2000000000000000e+01,"NH",132291807.0000,-171435028.0000,-39143221.0000,-34265168.0000,0.0000,2100000.0000,8624769.0000,"N",8624769.0000,47658189.0000,126262807.0000,181482068.0000,83496925.0000,13100902.0000,182082330.0000,514119.0000,1536843.0000,56000.0000,56000.0000,-142143.0000,659779.0000,880581.0000,0.0000,"N","Y",,104408882.0000,104408882.0000,126857937.0000,124939737.0000,9.8487914871262650e-01,128540575.0000,125175546.0000,9.7382127005422214e-01,5.8119000000000000e+04,"A2",3.2780000000000001e+01,4310303371.0000,6663409793.0198,4.0500000000000000e+02,7.6188645392797641e-02,2.9420000000000002e+01,6.9661499999999996e+03,"South Central Regional COG"
"HAMPTON","BP",2.0090000000000000e+03,6.4000000000000000e+01,6.3000000000000000e+01,"W",4409896.0000,1933048.0000,8129486.0000,504594.0000,21201.0000,0.0000,914985.0000,"N",893784.0000,1968117.0000,3656791.0000,5758690.0000,4019509.0000,222633.0000,5406318.0000,0.0000,0.0000,293954.0000,293954.0000,58418.0000,-396233.0000,58418.0000,0.0000,"N","N",0.0000,0.0000,0.0000,3615988.0000,3567669.0000,9.8663740034535508e-01,3736950.0000,3612497.0000,9.6669663763229374e-01,2.1440000000000000e+03,,2.5000000000000000e+01,122136414.0000,225016282.6881,8.0000000000000000e+00,7.7348066298342538e-02,2.9480000000000000e+01,2.3053999999999999e+02,"Windham Region COG"
"HARTFORD","JG",2.0090000000000000e+03,6.5000000000000000e+01,6.4000000000000000e+01,"H",910440000.0000,12324000.0000,986406000.0000,50691000.0000,95000.0000,0.0000,16313000.0000,"N",16218000.0000,270021000.0000,250668000.0000,540958000.0000,305432000.0000,38164000.0000,512114000.0000,8035000.0000,8035000.0000,48466000.0000,48466000.0000,-11587000.0000,-6567000.0000,-11587000.0000,0.0000,"N","Y",,308210000.0000,308210000.0000,242777000.0000,233628000.0000,9.6231521107847939e-01,261556000.0000,238076000.0000,9.1022954931257549e-01,1.2406000000000000e+05,"A2",1.7309999999999999e+01,3451438441.0000,8029737494.8798,6.8830000000000000e+03,1.4301256057758877e-01,6.8340000000000003e+01,2.1726310000000001e+04,"Capital Region COG"
"HARTLAND","BP",2.0090000000000000e+03,6.6000000000000000e+01,6.5000000000000000e+01,"H",6734195.0000,1351144.0000,8097785.0000,786064.0000,0.0000,140218.0000,761281.0000,"N",761281.0000,2013940.0000,4555887.0000,6686360.0000,4724540.0000,458849.0000,6844653.0000,5355.0000,462535.0000,275944.0000,275944.0000,-428882.0000,117671.0000,28298.0000,0.0000,"N","N",,2343949.0000,2343949.0000,4531051.0000,4478987.0000,9.8850950916244373e-01,4589625.0000,4526203.0000,9.8618144183893020e-01,2.0870000000000000e+03,"A3",3.3020000000000003e+01,193985390.0000,297022476.8479,2.0000000000000000e+00,5.7708161582852434e-02,2.3250000000000000e+01,3.3729000000000002e+02,"Litchfield Hills Cncl of Elected Ofcls"
"HARWINTON","BP",2.0090000000000000e+03,6.7000000000000000e+01,6.6000000000000000e+01,"L",14489788.0000,5132573.0000,19622361.0000,2949584.0000,0.0000,0.0000,2491708.0000,"N",2491708.0000,4572559.0000,12661743.0000,17568526.0000,10823478.0000,0.0000,16585376.0000,125000.0000,975000.0000,2359915.0000,2359915.0000,-1251765.0000,295686.0000,-401765.0000,0.0000,"N","N",7356065.7912,850000.0000,8206065.7912,12692223.0000,12458553.0000,9.8158951351548107e-01,13326223.0000,12608051.0000,9.4610836093617823e-01,5.5960000000000000e+03,,3.0739999999999998e+01,480981470.0000,827522243.8234,2.0000000000000000e+00,7.2535647861128330e-02,2.6300000000000001e+01,9.5801999999999998e+02,"Litchfield Hills Cncl of Elected Ofcls"
"HEBRON","JG",2.0090000000000000e+03,6.8000000000000000e+01,6.7000000000000000e+01,"T",46088678.0000,7743736.0000,53843590.0000,176756.0000,232226.0000,0.0000,3398554.0000,"N",3166328.0000,8233521.0000,23457532.0000,32473380.0000,24770356.0000,1610537.0000,32299241.0000,1490000.0000,1490000.0000,2119786.0000,2119786.0000,-455647.0000,1098185.0000,-455647.0000,0.0000,"N","N",14818357.3415,11751249.0000,26569606.3415,23357186.0000,22986675.0000,9.8413717303103210e-01,23801320.0000,23147943.0000,9.7254870738261578e-01,9.3040000000000000e+03,"A1",3.6890000000000001e+01,856325647.0000,1189642021.9690,8.0000000000000000e+00,6.3180439050508658e-02,2.7199999999999999e+01,2.0965400000000000e+03,"Capital Region COG"
