Municipality,Initials,Fisc_Year_End,numbered,Comptroller Town Code,County_Identifier,Invested In Capital Assets Net of Related Debt,Unrestricted Net Assets,Total Net Assets,Change In Net Assets,Inter_Gov_Rev,Tax_Rev,Total_Revenue,Education,Debt_Service,Total_Expenditures,TOTAL_Trans_to_Genl_Fund,Other_Financing_Sources,TOTAL_Trans_from_Genl_Fund,Other_Financing_Uses,Operating_Surplus_(Deficit)_Including_Transfers,Prior_Yr_OP_Surplus_(Def)_including_sources_and_uses,Operating_Surplus_(Deficit)_Including_Sources_And_Uses,Special / Extraordinary Items,RSD_DEBT,TOWN_Bonded_Long_Term_Debt,Total_Bonded_Long_Term_Debt_(RSD_+_Town),Reserv_Fund_Bal,Design_Fund_Bal,Total_Fund_Bal,Restatement (Y or N),Unreserved_Fund_Bal,Deficit - Individual Enterprise Funds (Y or N),Deficit - Individual Internal Service Funds (Y or N),Curr_Year_Adjusted_Taxes_Collectible,Curr_Year_Taxes_Collected,Curr_Year_Tax_Collection_Rate,Total_Adjusted_Taxes_Collectible,Total_Taxes_Collected,Overal_Total_Tax_Collection_Rate,2006 Population,Moody's_Bond_Ratings_July_2006,area lmt,ACGLFY06,EGL,TANF06 Recipients,empl,ACMR,enrollmt,RPA Identifier
"KILLINGWORTH","IT",2.0060000000000000e+03,7.1000000000000000e+01,7.0000000000000000e+01,"M",29288326.0000,2763936.0000,32052262.0000,-1030810.0000,2428124.0000,15333513.0000,18416275.0000,14321300.0000,950208.0000,21232331.0000,0.0000,3497252.0000,430086.0000,430086.0000,-3246142.0000,13723.0000,251110.0000,0.0000,12281604.1558,3629430.0000,15911034.1558,0.0000,654022.0000,2930385.0000,"N",2930385.0000,"N","N",15227656.0000,15179472.0000,9.9683575725640239e-01,15300729.0000,15235842.0000,9.9575922166845776e-01,6.4380000000000000e+03,,3.5320000000000000e+01,568598940.0000,1085226066.2644,1.5000000000000000e+01,3.0422535211267605e-02,2.6629999999999999e+01,1.1588900000000001e+03,"CT River Estuary RPA"
"LEBANON","IT",2.0060000000000000e+03,7.2000000000000000e+01,7.1000000000000000e+01,"NL",22922513.0000,6219287.0000,33766343.0000,6054165.0000,6675943.0000,11514089.0000,20697505.0000,15231182.0000,1059864.0000,18605688.0000,8191.0000,8191.0000,1694732.0000,1694732.0000,405276.0000,340317.0000,405276.0000,0.0000,,9450910.0000,9450910.0000,0.0000,0.0000,3100693.0000,"N",3100693.0000,"N","N",11443759.0000,11200012.0000,9.7870044274787682e-01,11817303.0000,11383034.0000,9.6325142885817516e-01,7.3190000000000000e+03,"A1",5.4100000000000001e+01,468056287.0000,873770022.9936,2.9000000000000000e+01,4.0179626565823683e-02,2.4199999999999999e+01,1.3320599999999999e+03,"Windham Region COG"
"ANDOVER","IT",2.0060000000000000e+03,1.0000000000000000e+00,1.0000000000000000e+00,"T",4575038.0000,1204338.0000,5847057.0000,159909.0000,2542734.0000,6163729.0000,8920708.0000,6903056.0000,234597.0000,9136118.0000,12359.0000,12359.0000,326801.0000,326801.0000,-529852.0000,-827183.0000,-529852.0000,0.0000,4449096.8266,1680000.0000,6129096.8266,187996.0000,0.0000,-96527.0000,"N",-284523.0000,"N","N",6114688.0000,5998314.0000,9.8096812134977285e-01,6248433.0000,6072290.0000,9.7181005221629169e-01,3.2110000000000000e+03,"A3",1.5450000000000001e+01,175372416.0000,383370381.1353,6.0000000000000000e+00,3.3863519753719859e-02,3.4500000000000000e+01,6.4743000000000006e+02,"Capital Region COG"
"ANSONIA","IT",2.0060000000000000e+03,2.0000000000000000e+00,2.0000000000000000e+00,"NH",25815105.0000,29326685.0000,55150432.0000,-591375.0000,23647537.0000,23737835.0000,50750567.0000,27687118.0000,7883053.0000,50489528.0000,4184.0000,4184.0000,0.0000,0.0000,265223.0000,815867.0000,265223.0000,0.0000,,38600312.0000,38600312.0000,1058601.0000,172982.0000,5740120.0000,"N",4681519.0000,"N","N",24663832.0000,23905134.0000,9.6923843788751074e-01,26306297.0000,24429534.0000,9.2865727167909651e-01,1.8650000000000000e+04,"A3",6.0300000000000002e+00,791977831.0000,1601884953.1657,4.3100000000000000e+02,5.3777732338206728e-02,3.0859999999999999e+01,2.8051700000000001e+03,"Valley COG"
"ASHFORD","IT",2.0060000000000000e+03,3.0000000000000000e+00,3.0000000000000000e+00,"W",9297177.0000,3828760.0000,13462394.0000,412369.0000,4316018.0000,7492707.0000,12458209.0000,9310206.0000,568781.0000,12110482.0000,83975.0000,94375.0000,268756.0000,268756.0000,162946.0000,404062.0000,173346.0000,0.0000,4511453.0156,5547448.0000,10058901.0156,247339.0000,317488.0000,2331852.0000,"N",2084513.0000,"N","N",7465732.0000,7329219.0000,9.8171472000334326e-01,7709599.0000,7404931.0000,9.6048199134611278e-01,4.4440000000000000e+03,"A2",3.8800000000000004e+01,234114090.0000,416704084.0410,1.7000000000000000e+01,3.7984496124031007e-02,3.1600000000000001e+01,8.0986000000000001e+02,"Windham Region COG"
"AVON","VR",2.0060000000000000e+03,4.0000000000000000e+00,4.0000000000000000e+00,"H",80092550.0000,16234934.0000,96327484.0000,1647703.0000,4246236.0000,52054364.0000,59547577.0000,37438920.0000,4315098.0000,57587759.0000,0.0000,0.0000,2219211.0000,2219211.0000,-259393.0000,-238077.0000,-259393.0000,0.0000,,21560000.0000,21560000.0000,147535.0000,175000.0000,4306707.0000,"N",4159172.0000,"N","N",51864797.0000,51773659.0000,9.9824277727337873e-01,51921391.0000,51815304.0000,9.9795677662025661e-01,1.7342000000000000e+04,"Aaa",2.3120000000000001e+01,2128824990.0000,3733540848.2604,1.9000000000000000e+01,2.9489728296885353e-02,2.4160000000000000e+01,3.4000900000000001e+03,"Capital Region COG"
"BARKHAMSTED","VR",2.0060000000000000e+03,5.0000000000000000e+00,5.0000000000000000e+00,"L",3226136.0000,3125810.0000,6351946.0000,445776.0000,1752399.0000,7606018.0000,9630161.0000,7139327.0000,260400.0000,9053646.0000,0.0000,0.0000,354430.0000,354430.0000,222085.0000,382017.0000,222085.0000,0.0000,2145788.2329,630000.0000,2775788.2329,14569.0000,500000.0000,1889072.0000,"N",1874503.0000,"N","N",7554838.0000,7451900.0000,9.8637455892502257e-01,7850466.0000,7567050.0000,9.6389819406898902e-01,3.7080000000000000e+03,"A2",3.6219999999999999e+01,287415550.0000,502992450.4867,6.0000000000000000e+00,4.2330450614474283e-02,2.6100000000000001e+01,6.6790999999999997e+02,"Litchfield Hills Cncl of Elected Ofcls"
"BEACON FALLS","IT",2.0060000000000000e+03,6.0000000000000000e+00,6.0000000000000000e+00,"NH",6170061.0000,3311859.0000,9596529.0000,-124872.0000,3944326.0000,10935669.0000,15057053.0000,10613106.0000,344318.0000,15144204.0000,216028.0000,342131.0000,0.0000,0.0000,128877.0000,132282.0000,254980.0000,0.0000,12918069.4537,3619497.0000,16537566.4537,0.0000,155000.0000,1180501.0000,"N",1180501.0000,"N","N",10193627.0000,9857145.0000,9.6699094444008982e-01,11118188.0000,10116699.0000,9.0992336161252174e-01,5.7110000000000000e+03,"A3",9.7699999999999996e+00,310811410.0000,715846788.5260,1.9000000000000000e+01,4.2918454935622317e-02,3.3250000000000000e+01,1.0336300000000001e+03,"COG of Central Naugatuck Valley"
"BERLIN","IT",2.0060000000000000e+03,7.0000000000000000e+00,7.0000000000000000e+00,"H",36935971.0000,17618307.0000,54704544.0000,4839829.0000,9092542.0000,46523609.0000,60877106.0000,35075098.0000,2466553.0000,58791912.0000,150603.0000,150603.0000,668404.0000,668404.0000,1567393.0000,1377296.0000,1567393.0000,0.0000,,12125000.0000,12125000.0000,0.0000,1120000.0000,7855039.0000,"N",7855039.0000,"N","N",46494295.0000,45964653.0000,9.8860845185414681e-01,47326716.0000,46229968.0000,9.7682602781904415e-01,2.0137000000000000e+04,"Aa3",2.6449999999999999e+01,1621810150.0000,2976466167.9385,3.7000000000000000e+01,3.7790174554615800e-02,2.8400000000000002e+01,3.4095400000000000e+03,"Central CT RPA"
"BETHANY","VR",2.0060000000000000e+03,8.0000000000000000e+00,8.0000000000000000e+00,"NH",17752174.0000,3536470.0000,21288644.0000,829086.0000,2110804.0000,13949641.0000,17496312.0000,12199093.0000,666360.0000,16420767.0000,0.0000,0.0000,419069.0000,419069.0000,656476.0000,198613.0000,656476.0000,0.0000,12058517.4515,7811709.0000,19870226.4515,159570.0000,0.0000,2743519.0000,"N",2583949.0000,"N","N",13883027.0000,13727988.0000,9.8883247868062207e-01,14159779.0000,13847469.0000,9.7794386480184470e-01,5.5250000000000000e+03,"A1",2.0960000000000001e+01,508526391.0000,912870765.6588,5.0000000000000000e+00,3.1984334203655353e-02,2.7120000000000001e+01,1.0704300000000001e+03,"South Central Regional COG"
"BETHEL","VR",2.0060000000000000e+03,9.0000000000000000e+00,9.0000000000000000e+00,"F",43595254.0000,8042615.0000,53005761.0000,802939.0000,10443839.0000,42643654.0000,54668918.0000,34717251.0000,4103668.0000,54323509.0000,0.0000,0.0000,962520.0000,962520.0000,-617111.0000,664577.0000,-617111.0000,0.0000,,26632604.0000,26632604.0000,546617.0000,0.0000,5713334.0000,"N",5166717.0000,"Y","N",42083634.0000,41607383.0000,9.8868322540776776e-01,42970029.0000,42144825.0000,9.8079582399164777e-01,1.8634000000000000e+04,"Aa3",1.6789999999999999e+01,1595189837.0000,3075222715.6716,2.4000000000000000e+01,3.3301975540921916e-02,2.6480000000000000e+01,3.2094000000000001e+03,"Housatonic Council of Elected Ofcls"
"BETHLEHEM","VR",2.0060000000000000e+03,1.0000000000000000e+01,1.0000000000000000e+01,"L",3497932.0000,1282116.0000,4780048.0000,557441.0000,1402810.0000,7226338.0000,9019756.0000,6527331.0000,175600.0000,8646722.0000,157909.0000,157909.0000,556828.0000,556828.0000,-25885.0000,-188949.0000,-25885.0000,0.0000,2484301.3989,614555.0000,3098856.3989,0.0000,300000.0000,384677.0000,"N",384677.0000,"N","N",7136276.0000,6999569.0000,9.8084336984724241e-01,7396035.0000,7109557.0000,9.6126600266223727e-01,3.5800000000000000e+03,,1.9359999999999999e+01,347559701.0000,617317300.6385,6.0000000000000000e+00,3.4569138276553106e-02,2.0559999999999999e+01,5.7916999999999996e+02,"COG of Central Naugatuck Valley"
"BLOOMFIELD","VR",2.0060000000000000e+03,1.1000000000000000e+01,1.1000000000000000e+01,"H",36687116.0000,-3395112.0000,33292004.0000,12244.0000,9076926.0000,51126615.0000,63712182.0000,35502258.0000,1729926.0000,61313204.0000,0.0000,65601.0000,1875000.0000,1875000.0000,523978.0000,-177737.0000,589579.0000,0.0000,,18885399.0000,18885399.0000,69297.0000,0.0000,3994179.0000,"N",3924882.0000,"N","N",50367798.0000,49318885.0000,9.7917492839373288e-01,52665300.0000,50440671.0000,9.5775911273646974e-01,2.0643000000000000e+04,"Aa2",2.6010000000000002e+01,1657236031.0000,2451100334.4286,1.9500000000000000e+02,5.3504602002629714e-02,3.1030000000000001e+01,2.7347000000000003e+03,"Capital Region COG"
"BOLTON","VR",2.0060000000000000e+03,1.2000000000000000e+01,1.2000000000000000e+01,"T",14218332.0000,1366694.0000,17512172.0000,27132.0000,3950504.0000,11344766.0000,15883721.0000,11128213.0000,1063431.0000,15671574.0000,0.0000,458000.0000,287400.0000,287400.0000,-75253.0000,75926.0000,382747.0000,0.0000,,3958000.0000,3958000.0000,78741.0000,648086.0000,1013901.0000,"N",935160.0000,"N","N",11233834.0000,11130500.0000,9.9080153756945311e-01,11459871.0000,11274190.0000,9.8379728707242864e-01,5.1420000000000000e+03,"A2",1.4410000000000000e+01,380220625.0000,626577968.4348,1.3000000000000000e+01,3.2484929671801742e-02,2.9300000000000001e+01,9.4119000000000005e+02,"Capital Region COG"
"BOZRAH","IT",2.0060000000000000e+03,1.3000000000000000e+01,1.3000000000000000e+01,"NL",3011973.0000,2144056.0000,5366029.0000,992321.0000,2078416.0000,4264900.0000,6697612.0000,4197711.0000,374705.0000,6400713.0000,0.0000,0.0000,0.0000,0.0000,296899.0000,167904.0000,296899.0000,0.0000,,2260695.0000,2260695.0000,0.0000,0.0000,343427.0000,"N",343427.0000,"N","N",4257496.0000,4163956.0000,9.7802933931118197e-01,4483834.0000,4242950.0000,9.4627722614173493e-01,2.4320000000000000e+03,"Baa1",1.9960000000000001e+01,181278685.0000,359414373.7596,1.4000000000000000e+01,4.5578231292517007e-02,2.3500000000000000e+01,3.8636000000000001e+02,"Southeastern CT COG"
"BRANFORD","IT",2.0060000000000000e+03,1.4000000000000000e+01,1.4000000000000000e+01,"NH",44010868.0000,29078106.0000,73328221.0000,7378747.0000,6642750.0000,68805528.0000,82364463.0000,42911741.0000,6633565.0000,78220952.0000,150500.0000,150500.0000,3300717.0000,3300717.0000,993294.0000,402972.0000,993294.0000,0.0000,,52081939.0000,52081939.0000,278198.0000,2150000.0000,15064643.0000,"N",14786445.0000,"N","N",68040213.0000,67286696.0000,9.8892541679726953e-01,70775003.0000,68186833.0000,9.6343101532613151e-01,2.9083000000000000e+04,"Aa2",2.1990000000000002e+01,3233214587.0000,4653069795.7143,1.0800000000000000e+02,3.5138147474628970e-02,2.0969999999999999e+01,3.6801199999999999e+03,"South Central Regional COG"
"BRIDGEPORT","IT",2.0060000000000000e+03,1.5000000000000000e+01,1.5000000000000000e+01,"F",127514772.0000,-151356989.0000,-20681005.0000,43590466.0000,197410257.0000,218013347.0000,454094605.0000,174831870.0000,72712788.0000,460218044.0000,500000.0000,37025000.0000,0.0000,34387919.0000,-5623439.0000,-3431225.0000,-3486358.0000,0.0000,,692206614.0000,692206614.0000,4127588.0000,0.0000,28814527.0000,"N",24686939.0000,"N","N",210375902.0000,202659104.0000,9.6331900219256106e-01,254150929.0000,210275915.0000,8.2736630484636153e-01,1.3816600000000000e+05,"Baa1",1.6000000000000000e+01,5250963097.0000,10555137311.2051,4.3220000000000000e+03,6.8518367679400505e-02,4.0320000000000000e+01,2.2781790000000001e+04,"Greater Bridgeport RPA"
"BRIDGEWATER","VR",2.0060000000000000e+03,1.6000000000000000e+01,1.6000000000000000e+01,"L",2704564.0000,4626912.0000,7808762.0000,858988.0000,199643.0000,5801334.0000,6382715.0000,4179208.0000,23799.0000,5813607.0000,0.0000,0.0000,451651.0000,451651.0000,117457.0000,-6132.0000,117457.0000,0.0000,695957.9497,4713.0000,700670.9497,0.0000,300000.0000,1370603.0000,"N",1370603.0000,"N","N",5762545.0000,5739014.0000,9.9591656117219041e-01,5873476.0000,5770802.0000,9.8251903983263067e-01,1.9000000000000000e+03,,1.6230000000000000e+01,311275181.0000,640652224.3010,1.0000000000000000e+00,2.7397260273972601e-02,1.8500000000000000e+01,2.6657999999999998e+02,"Housatonic Council of Elected Ofcls"
"BRISTOL","VR",2.0060000000000000e+03,1.7000000000000000e+01,1.7000000000000000e+01,"H",198732000.0000,44747000.0000,243820000.0000,14079000.0000,52033000.0000,101433000.0000,161252000.0000,83047000.0000,7567000.0000,129163000.0000,18000.0000,18000.0000,29404000.0000,29404000.0000,2703000.0000,4463000.0000,2703000.0000,0.0000,,43255000.0000,43255000.0000,1668000.0000,9033000.0000,27486000.0000,"N",25818000.0000,"N","N",99648000.0000,97765000.0000,9.8110348426461147e-01,103939000.0000,99960000.0000,9.6171793070935840e-01,6.1258000000000000e+04,"Aa3",2.6510000000000002e+01,2958716630.0000,5861678208.6005,9.5100000000000000e+02,4.8860420080440933e-02,3.3329999999999998e+01,9.1074099999999999e+03,"Central CT RPA"
"BROOKFIELD","VR",2.0060000000000000e+03,1.8000000000000000e+01,1.8000000000000000e+01,"F",2943071.0000,7153718.0000,23311622.0000,2457180.0000,3921451.0000,42971404.0000,49397063.0000,33253880.0000,3352671.0000,47965155.0000,0.0000,0.0000,1697885.0000,1697885.0000,-265977.0000,-254922.0000,-265977.0000,0.0000,,17738858.0000,17738858.0000,0.0000,110000.0000,3938006.0000,"N",3938006.0000,"N","Y",42588103.0000,42080189.0000,9.8807380549445933e-01,43239061.0000,42500186.0000,9.8291186295650590e-01,1.6429000000000000e+04,"Aa2",1.9800000000000001e+01,1783902221.0000,3553995102.3606,1.5000000000000000e+01,3.2558661726731782e-02,2.3900000000000002e+01,3.1260999999999999e+03,"Housatonic Council of Elected Ofcls"
"BROOKLYN","IT",2.0060000000000000e+03,1.9000000000000000e+01,1.9000000000000000e+01,"W",11556231.0000,5120963.0000,16677194.0000,640696.0000,7516018.0000,9380445.0000,18098534.0000,13922309.0000,1452146.0000,18479964.0000,2810.0000,341188.0000,19000.0000,19000.0000,-397620.0000,-637878.0000,-59242.0000,0.0000,,7515912.0000,7515912.0000,8479.0000,230990.0000,1080171.0000,"N",1071692.0000,"N","N",9280583.0000,9106792.0000,9.8127369799936059e-01,9636268.0000,9328796.0000,9.6809221163213810e-01,7.8150000000000000e+03,"A3",2.8969999999999999e+01,459983573.0000,658006150.0000,2.0000000000000000e+01,4.5683930942895086e-02,1.9900000000000002e+01,1.3610799999999999e+03,"Northeastern CT COG"
"BURLINGTON","IT",2.0060000000000000e+03,2.0000000000000000e+01,2.0000000000000000e+01,"H",3936554.0000,2677630.0000,6719679.0000,148536.0000,4072302.0000,19788390.0000,24983191.0000,18677615.0000,481076.0000,25568820.0000,0.0000,0.0000,41703.0000,41703.0000,-627332.0000,203973.0000,-627332.0000,0.0000,10069508.3774,4386071.0000,14455579.3774,0.0000,216273.0000,2534736.0000,"N",2534736.0000,"N","N",19942715.0000,19703490.0000,9.8800439157857900e-01,20120732.0000,19694290.0000,9.7880584066225818e-01,9.1490000000000000e+03,"A2",2.9789999999999999e+01,734785508.0000,1247341564.2329,1.3000000000000000e+01,3.3092430581970332e-02,2.7000000000000000e+01,1.8618299999999999e+03,"Central CT RPA"
"CANAAN","IT",2.0060000000000000e+03,2.1000000000000000e+01,2.1000000000000000e+01,"L",2697782.0000,1570438.0000,4512709.0000,289028.0000,497325.0000,3444589.0000,4215614.0000,2898693.0000,110028.0000,4150641.0000,0.0000,0.0000,41000.0000,41000.0000,23973.0000,8742.0000,23973.0000,0.0000,601514.3707,1049500.0000,1651014.3707,0.0000,151006.0000,654288.0000,"N",654288.0000,"N","N",3406061.0000,3380694.0000,9.9255239409981211e-01,3470756.0000,3417595.0000,9.8468316412908308e-01,1.1030000000000000e+03,,3.2939999999999998e+01,113914450.0000,240002875.1429,2.0000000000000000e+00,3.8142620232172471e-02,2.9500000000000000e+01,1.7109999999999999e+02,"Northwestern CT COG"
"CANTERBURY","IT",2.0060000000000000e+03,2.2000000000000000e+01,2.2000000000000000e+01,"W",7782938.0000,3463953.0000,11256734.0000,57211.0000,5847769.0000,6880192.0000,13091016.0000,10088699.0000,663591.0000,12704647.0000,0.0000,0.0000,405500.0000,405500.0000,-19131.0000,112895.0000,-19131.0000,0.0000,,2300000.0000,2300000.0000,10433.0000,456066.0000,1861346.0000,"N",1850913.0000,"N","N",6737540.0000,6618087.0000,9.8227053197457825e-01,7024589.0000,6755513.0000,9.6169512550841052e-01,5.1020000000000000e+03,"A3",3.9890000000000001e+01,325303741.0000,465949244.2857,1.8000000000000000e+01,4.7293092719352829e-02,2.0500000000000000e+01,8.3739999999999998e+02,"Northeastern CT COG"
"CANTON","VR",2.0060000000000000e+03,2.3000000000000000e+01,2.3000000000000000e+01,"H",33133204.0000,7238741.0000,40397045.0000,7895228.0000,4425859.0000,23861906.0000,29856225.0000,19155923.0000,2526832.0000,28742911.0000,50294.0000,137764.0000,506408.0000,506408.0000,657200.0000,319593.0000,744670.0000,0.0000,,20511691.0000,20511691.0000,45659.0000,0.0000,2753893.0000,"N",2708234.0000,"N","Y",23947723.0000,23671042.0000,9.8844645898067218e-01,24821654.0000,23838767.0000,9.6040203444943673e-01,1.0081000000000000e+04,"A1",2.4560000000000002e+01,828642490.0000,1503385716.3287,1.1000000000000000e+01,3.0276203966005666e-02,2.7840000000000000e+01,1.6929900000000000e+03,"Capital Region COG"
"CHAPLIN","IT",2.0060000000000000e+03,2.4000000000000000e+01,2.4000000000000000e+01,"W",4149623.0000,1926576.0000,6082124.0000,782849.0000,2383707.0000,4086826.0000,6666063.0000,4800283.0000,386618.0000,6446394.0000,0.0000,0.0000,47000.0000,47000.0000,172669.0000,242708.0000,172669.0000,0.0000,0.0000,1567263.0000,1567263.0000,228229.0000,0.0000,851463.0000,"N",623234.0000,"N","N",4063000.0000,3986282.0000,9.8111789318237752e-01,4146721.0000,4042987.0000,9.7498408983869422e-01,2.5120000000000000e+03,,1.9440000000000001e+01,121683986.0000,229023802.9962,1.8000000000000000e+01,4.6592489568845617e-02,3.3000000000000000e+01,3.6253000000000003e+02,"Windham Region COG"
"CHESHIRE","VR",2.0060000000000000e+03,2.5000000000000000e+01,2.5000000000000000e+01,"NH",64055782.0000,22933820.0000,87168222.0000,7881738.0000,17833833.0000,66084628.0000,87594977.0000,55204406.0000,10507736.0000,85899413.0000,1165161.0000,1165161.0000,2050717.0000,2050717.0000,810008.0000,691573.0000,810008.0000,0.0000,,75380329.0000,75380329.0000,1432500.0000,550000.0000,8624538.0000,"N",7192038.0000,"N","Y",65469342.0000,65231785.0000,9.9637147720226060e-01,65719272.0000,65444776.0000,9.9582320388454704e-01,2.8884000000000000e+04,"Aa3",3.2910000000000004e+01,2453111065.0000,4160548363.8114,2.9000000000000000e+01,3.4614848864744391e-02,2.6650000000000002e+01,5.1623299999999999e+03,"COG of Central Naugatuck Valley"
"CHESTER","VR",2.0060000000000000e+03,2.6000000000000000e+01,2.6000000000000000e+01,"M",4788920.0000,3363547.0000,8384227.0000,198366.0000,1083262.0000,9104351.0000,10798296.0000,7167101.0000,485390.0000,10669734.0000,370726.0000,370726.0000,112050.0000,112050.0000,387238.0000,-210693.0000,387238.0000,0.0000,5316221.7500,2655000.0000,7971221.7500,29300.0000,393218.0000,1744040.0000,"N",1714740.0000,"N","N",9063087.0000,8981171.0000,9.9096157854382283e-01,9198492.0000,9032410.0000,9.8194464918814950e-01,3.8420000000000000e+03,"A2",1.6030000000000001e+01,406858768.0000,709865130.5951,1.0000000000000000e+01,2.9817534490431688e-02,2.2120000000000001e+01,5.3109000000000003e+02,"CT River Estuary RPA"
"CLINTON","IT",2.0060000000000000e+03,2.7000000000000000e+01,2.7000000000000000e+01,"M",20164921.0000,5355621.0000,25520542.0000,811292.0000,9364250.0000,30030578.0000,40791942.0000,26378049.0000,1793288.0000,38486345.0000,0.0000,0.0000,2197814.0000,2197814.0000,107783.0000,-675031.0000,107783.0000,0.0000,,15436945.0000,15436945.0000,175537.0000,200000.0000,5215323.0000,"N",5039786.0000,"N","N",29823238.0000,29725165.0000,9.9671152408065145e-01,30265275.0000,29935254.0000,9.8909572108629440e-01,1.3638000000000000e+04,"A1",1.6280000000000001e+01,963535728.0000,2386718405.9868,2.9000000000000000e+01,3.5650623885918005e-02,3.0789999999999999e+01,2.1929800000000000e+03,"CT River Estuary RPA"
"COLCHESTER","VR",2.0060000000000000e+03,2.8000000000000000e+01,2.8000000000000000e+01,"NL",59030088.0000,11992352.0000,71022440.0000,9956099.0000,16388691.0000,26861191.0000,45128949.0000,31481633.0000,5004787.0000,44417907.0000,2244.0000,2244.0000,262615.0000,262615.0000,450671.0000,1292151.0000,450671.0000,0.0000,,31645000.0000,31645000.0000,286606.0000,1430665.0000,6000743.0000,"N",5714137.0000,"N","N",26735437.0000,26157282.0000,9.7837495605551539e-01,27600205.0000,26585669.0000,9.6324172229880178e-01,1.5421000000000000e+04,"A1",4.9060000000000002e+01,826260391.0000,1678268070.0629,6.0000000000000000e+01,3.8273615635179156e-02,3.1750000000000000e+01,3.2225500000000002e+03,"Southeastern CT COG"
"COLEBROOK","IT",2.0060000000000000e+03,2.9000000000000000e+01,2.9000000000000000e+01,"L",3155116.0000,2579689.0000,5735621.0000,513963.0000,720824.0000,4227768.0000,5139541.0000,3220414.0000,220705.0000,4650904.0000,0.0000,0.0000,251692.0000,251692.0000,236945.0000,5428.0000,236945.0000,0.0000,963417.5192,1354790.0000,2318207.5192,0.0000,0.0000,1539072.0000,"N",1539072.0000,"N","N",4161169.0000,4088916.0000,9.8263636973167878e-01,4367167.0000,4188194.0000,9.5901851245899228e-01,1.5460000000000000e+03,"A3",3.1490000000000002e+01,108674531.0000,265307640.5967,0.0000000000000000e+00,2.1818181818181820e-02,3.7600000000000001e+01,2.4663000000000000e+02,"Litchfield Hills Cncl of Elected Ofcls"
"COLUMBIA","IT",2.0060000000000000e+03,3.0000000000000000e+01,3.0000000000000000e+01,"T",5495022.0000,7125250.0000,12624257.0000,631104.0000,3521287.0000,10371589.0000,14562879.0000,10337636.0000,1095233.0000,14002472.0000,3635.0000,3635.0000,18412.0000,18412.0000,545630.0000,89675.0000,545630.0000,0.0000,,6690000.0000,6690000.0000,5452.0000,0.0000,2667310.0000,"N",2661858.0000,"N","N",10332077.0000,10251039.0000,9.9215665930480390e-01,10460395.0000,10330264.0000,9.8755964760412962e-01,5.3700000000000000e+03,"A1",2.1350000000000001e+01,343275056.0000,736212678.2555,1.1000000000000000e+01,3.4848987719880521e-02,2.9800000000000001e+01,9.2894000000000005e+02,"Windham Region COG"
"CORNWALL","IT",2.0060000000000000e+03,3.1000000000000000e+01,3.1000000000000000e+01,"L",5070841.0000,2202681.0000,7473043.0000,956333.0000,518594.0000,5317896.0000,6010728.0000,3567570.0000,430457.0000,5317885.0000,0.0000,0.0000,366500.0000,366500.0000,326343.0000,173596.0000,326343.0000,0.0000,675547.4984,3200000.0000,3875547.4984,0.0000,118650.0000,1313066.0000,"N",1313066.0000,"N","N",5251074.0000,5175405.0000,9.8558980505702265e-01,5412951.0000,5224603.0000,9.6520419268528390e-01,1.4890000000000000e+03,"A1",4.6000000000000000e+01,238798440.0000,568378886.8924,2.0000000000000000e+00,3.1515151515151517e-02,2.1800000000000001e+01,2.1405000000000001e+02,"Northwestern CT COG"
"COVENTRY","VR",2.0060000000000000e+03,3.2000000000000000e+01,3.2000000000000000e+01,"T",81185645.0000,5285445.0000,86473210.0000,3708716.0000,10248236.0000,21021915.0000,32448751.0000,22020878.0000,4764629.0000,32051739.0000,211605.0000,211605.0000,52750.0000,52750.0000,555867.0000,-104146.0000,555867.0000,0.0000,,19383491.0000,19383491.0000,162917.0000,0.0000,2029778.0000,"Y",1866861.0000,"N","N",20969618.0000,20560764.0000,9.8050255374227613e-01,21476581.0000,20829807.0000,9.6988468509023851e-01,1.2215000000000000e+04,"A2",3.7719999999999999e+01,803949535.0000,1149266642.8571,2.6000000000000000e+01,3.8176803599941939e-02,2.5920000000000002e+01,2.1416900000000001e+03,"Windham Region COG"
"CROMWELL","VR",2.0060000000000000e+03,3.3000000000000000e+01,3.3000000000000000e+01,"M",36043985.0000,9755896.0000,45808459.0000,5207683.0000,5294145.0000,30080756.0000,36698145.0000,22003642.0000,3469634.0000,36345636.0000,203601.0000,203601.0000,999700.0000,999700.0000,-443590.0000,393690.0000,-443590.0000,0.0000,,28605000.0000,28605000.0000,220011.0000,358200.0000,3431380.0000,"N",3211369.0000,"N","N",29937113.0000,29676242.0000,9.9128603349294231e-01,30591168.0000,29894085.0000,9.7721293283080923e-01,1.3540000000000000e+04,"A1",1.2390000000000001e+01,1002944525.0000,1815383788.9548,3.0000000000000000e+01,3.7254901960784313e-02,2.9600000000000001e+01,1.9691600000000001e+03,"Midstate RPA"
