Municipality,numbered,Comptroller Town Code,County,Total Units,1 Unit,2 Unit,3 and 4 Units,5 Units or More,Demolitions,Valuation of Total Units,Valuation per Unit
"PORTLAND",1.1400000000000000e+02,1.1300000000000000e+02,"Middlesex",6.0000000000000000e+00,6.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.0000000000000000e+00,1310000.0000,218333.3333
"PRESTON",1.1500000000000000e+02,1.1400000000000000e+02,"New London",1.1000000000000000e+01,1.1000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.0000000000000000e+00,2591652.0000,0.0000
"PROSPECT",1.1600000000000000e+02,1.1500000000000000e+02,"New Haven",2.9000000000000000e+01,2.3000000000000000e+01,6.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,5.0000000000000000e+00,3826976.0000,131964.6897
"PUTNAM",1.1700000000000000e+02,1.1600000000000000e+02,"Windham",3.0000000000000000e+00,3.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,6.0000000000000000e+00,811351.0000,270450.3333
"REDDING",1.1800000000000000e+02,1.1700000000000000e+02,"Fairfield",5.0000000000000000e+00,5.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,2293735.0000,458747.0000
"RIDGEFIELD",1.1900000000000000e+02,1.1800000000000000e+02,"Fairfield",2.6000000000000000e+01,1.6000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,1.2000000000000000e+01,9941935.0000,382382.1154
"ROCKY HILL",1.2000000000000000e+02,1.1900000000000000e+02,"Hartford",1.1000000000000000e+02,1.4000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,9.6000000000000000e+01,2.0000000000000000e+00,11444900.0000,104044.5455
"ROXBURY",1.2100000000000000e+02,1.2000000000000000e+02,"Litchfield",2.0000000000000000e+00,2.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,1000000.0000,500000.0000
"SALEM",1.2200000000000000e+02,1.2100000000000000e+02,"New London",9.0000000000000000e+00,9.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,3388759.0000,376528.7778
"SALISBURY",1.2300000000000000e+02,1.2200000000000000e+02,"Litchfield",6.0000000000000000e+00,6.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.0000000000000000e+00,3566000.0000,594333.3333
"SCOTLAND",1.2400000000000000e+02,1.2300000000000000e+02,"Windham",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,6.0000000000000000e+00,0.0000,0.0000
"SEYMOUR",1.2500000000000000e+02,1.2400000000000000e+02,"New Haven",7.8000000000000000e+01,6.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.2000000000000000e+01,0.0000000000000000e+00,5832300.0000,74773.0769
"SHARON",1.2600000000000000e+02,1.2500000000000000e+02,"Litchfield",7.0000000000000000e+00,7.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,5.0000000000000000e+00,4230000.0000,604285.7143
"SHELTON",1.2700000000000000e+02,1.2600000000000000e+02,"Fairfield",1.9100000000000000e+02,3.9000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.5200000000000000e+02,3.0000000000000000e+00,19133615.0000,100175.9948
"SHERMAN",1.2800000000000000e+02,1.2700000000000000e+02,"Fairfield",5.0000000000000000e+00,5.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,2070450.0000,414090.0000
"SIMSBURY",1.2900000000000000e+02,1.2800000000000000e+02,"Hartford",9.3000000000000000e+01,1.5000000000000000e+01,2.0000000000000000e+00,0.0000000000000000e+00,7.6000000000000000e+01,1.0000000000000000e+00,11730250.0000,126131.7204
"SOMERS",1.3000000000000000e+02,1.2900000000000000e+02,"Tolland",1.5000000000000000e+01,1.5000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3449640.0000,229976.0000
"SOUTH WINDSOR",1.3100000000000000e+02,1.3200000000000000e+02,"Hartford",4.3000000000000000e+01,4.3000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.0000000000000000e+00,6183500.0000,143802.3256
"SOUTHBURY",1.3200000000000000e+02,1.3000000000000000e+02,"New Haven",1.6000000000000000e+01,1.6000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.6000000000000000e+01,2399667.0000,149979.1875
"SOUTHINGTON",1.3300000000000000e+02,1.3100000000000000e+02,"Hartford",6.8000000000000000e+01,6.6000000000000000e+01,2.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,6008159.0000,88355.2794
"SPRAGUE",1.3400000000000000e+02,1.3300000000000000e+02,"New London",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000,0.0000
"STAFFORD",1.3500000000000000e+02,1.3400000000000000e+02,"Tolland",2.0000000000000000e+00,2.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.0000000000000000e+00,320000.0000,160000.0000
"STAMFORD",1.3600000000000000e+02,1.3500000000000000e+02,"Fairfield",6.3900000000000000e+02,3.6000000000000000e+01,4.0000000000000000e+00,0.0000000000000000e+00,5.9900000000000000e+02,0.0000000000000000e+00,117584012.0000,184012.5383
"STERLING",1.3700000000000000e+02,1.3600000000000000e+02,"Windham",4.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,440000.0000,110000.0000
"STONINGTON",1.3800000000000000e+02,1.3700000000000000e+02,"New London",2.3600000000000000e+02,1.4000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,2.2200000000000000e+02,2.5000000000000000e+01,51481670.0000,218142.6695
"STRATFORD",1.3900000000000000e+02,1.3800000000000000e+02,"Fairfield",3.7000000000000000e+01,2.7000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,8.0000000000000000e+00,8147293.0000,220197.1081
"SUFFIELD",1.4000000000000000e+02,1.3900000000000000e+02,"Hartford",3.3000000000000000e+01,3.3000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,6.0000000000000000e+00,11187200.0000,339006.0606
"THOMASTON",1.4100000000000000e+02,1.4000000000000000e+02,"Litchfield",1.1000000000000000e+01,0.0000000000000000e+00,6.0000000000000000e+00,0.0000000000000000e+00,5.0000000000000000e+00,1.0000000000000000e+00,1700000.0000,154545.4545
"THOMPSON",1.4200000000000000e+02,1.4100000000000000e+02,"Windham",1.3000000000000000e+01,1.3000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.0000000000000000e+00,2135960.0000,164304.6154
"TOLLAND",1.4300000000000000e+02,1.4200000000000000e+02,"Tolland",7.0000000000000000e+00,7.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,1613690.0000,230527.1429
"TORRINGTON",1.4400000000000000e+02,1.4300000000000000e+02,"Litchfield",4.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.0000000000000000e+00,622750.0000,155687.5000
"TRUMBULL",1.4500000000000000e+02,1.4400000000000000e+02,"Fairfield",8.0000000000000000e+00,8.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.0000000000000000e+00,1744362.0000,218045.2500
"UNION",1.4600000000000000e+02,1.4500000000000000e+02,"Tolland",1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,118000.0000,118000.0000
"VERNON",1.4700000000000000e+02,1.4600000000000000e+02,"Tolland",1.7500000000000000e+02,1.6000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.5900000000000000e+02,7.0000000000000000e+00,23068590.0000,131820.5143
"VOLUNTOWN",1.4800000000000000e+02,1.4700000000000000e+02,"New London",5.0000000000000000e+00,5.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,702756.0000,140551.2000
"WALLINGFORD",1.4900000000000000e+02,1.4800000000000000e+02,"New Haven",2.1000000000000000e+01,2.1000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3804192.0000,181152.0000
"WARREN",1.5000000000000000e+02,1.4900000000000000e+02,"Litchfield",1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.0000000000000000e+00,300000.0000,300000.0000
"WASHINGTON",1.5100000000000000e+02,1.5000000000000000e+02,"Litchfield",6.0000000000000000e+00,6.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.0000000000000000e+00,2335674.0000,389279.0000
"WATERBURY",1.5200000000000000e+02,1.5100000000000000e+02,"New Haven",7.1000000000000000e+01,6.1000000000000000e+01,1.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,7.6000000000000000e+01,5564000.0000,78366.1972
"WATERFORD",1.5300000000000000e+02,1.5200000000000000e+02,"New London",8.0000000000000000e+00,8.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.0000000000000000e+00,1980795.0000,247599.3750
"WATERTOWN",1.5400000000000000e+02,1.5300000000000000e+02,"Litchfield",9.0000000000000000e+00,9.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.0000000000000000e+00,1892440.0000,210271.1111
"WEST HARTFORD",1.5500000000000000e+02,1.5500000000000000e+02,"Hartford",1.0400000000000000e+02,1.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,9.4000000000000000e+01,0.0000000000000000e+00,7288041.0000,70077.3173
"WEST HAVEN",1.5600000000000000e+02,1.5600000000000000e+02,"New Haven",2.2000000000000000e+01,1.8000000000000000e+01,4.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1940000.0000,88181.8182
"WESTBROOK",1.5700000000000000e+02,1.5400000000000000e+02,"Middlesex",4.8000000000000000e+01,9.0000000000000000e+00,2.0000000000000000e+00,8.0000000000000000e+00,2.9000000000000000e+01,8.0000000000000000e+00,8555627.0000,178242.2292
"WESTON",1.5800000000000000e+02,1.5700000000000000e+02,"Fairfield",7.0000000000000000e+00,7.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,12000000.0000,1714285.7143
"WESTPORT",1.5900000000000000e+02,1.5800000000000000e+02,"Fairfield",9.1000000000000000e+01,7.9000000000000000e+01,4.0000000000000000e+00,8.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+02,68454000.0000,752241.7582
"WETHERSFIELD",1.6000000000000000e+02,1.5900000000000000e+02,"Hartford",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000,0.0000
"WILLINGTON",1.6100000000000000e+02,1.6000000000000000e+02,"Tolland",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000,0.0000
"WILTON",1.6200000000000000e+02,1.6100000000000000e+02,"Fairfield",9.0000000000000000e+00,9.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,7476200.0000,830688.8889
"WINCHESTER",1.6300000000000000e+02,1.6200000000000000e+02,"Litchfield",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000,0.0000
"WINDHAM",1.6400000000000000e+02,1.6300000000000000e+02,"Windham",9.0000000000000000e+00,9.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.0000000000000000e+00,1353000.0000,150333.3333
"WINDSOR",1.6500000000000000e+02,1.6400000000000000e+02,"Hartford",1.7000000000000000e+01,1.7000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,3319745.0000,195279.1176
"WINDSOR LOCKS",1.6600000000000000e+02,1.6500000000000000e+02,"Hartford",2.3000000000000000e+01,2.3000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,3268686.0000,142116.7826
"WOLCOTT",1.6700000000000000e+02,1.6600000000000000e+02,"New Haven",2.7000000000000000e+01,1.6000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.1000000000000000e+01,9.0000000000000000e+00,2222620.0000,82319.2593
"WOODBRIDGE",1.6800000000000000e+02,1.6700000000000000e+02,"New Haven",4.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,793190.0000,198297.5000
"WOODBURY",1.6900000000000000e+02,1.6800000000000000e+02,"Litchfield",6.0000000000000000e+00,6.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2688295.0000,448049.1667
"WOODSTOCK",1.7000000000000000e+02,1.6900000000000000e+02,"Windham",1.0000000000000000e+01,1.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,1937623.0000,193762.3000
