MUNICIPALITY,NUMBERED,TOWN CODE,2014 Net GL,2014 GL Tax Exempt Property,Total Assessed Value 2014 GL,Tax Exempt Property as a % of 2014 GL
"SCOTLAND",1.2400000000000000e+02,1.2300000000000000e+02,1.1316361500000000e+08,1.3847280000000000e+07,1.2701089500000000e+08,1.0902434787188926e-01
"SEYMOUR",1.2500000000000000e+02,1.2400000000000000e+02,1.2332174280000000e+09,8.4427430000000000e+07,1.3176448580000000e+09,6.4074495860856617e-02
"SHARON",1.2600000000000000e+02,1.2500000000000000e+02,7.2522348400000000e+08,7.8157950000000000e+07,8.0338143400000000e+08,9.7286228797764329e-02
"SHELTON",1.2700000000000000e+02,1.2600000000000000e+02,4.5524055200000000e+09,2.2632490000000000e+08,4.7787304200000000e+09,4.7360884609180358e-02
"SHERMAN",1.2800000000000000e+02,1.2700000000000000e+02,6.7510686800000000e+08,1.7652300000000000e+07,6.9275916800000000e+08,2.5481149604937456e-02
"SIMSBURY",1.2900000000000000e+02,1.2800000000000000e+02,2.2689712990000000e+09,3.0080725000000000e+08,2.5697785490000000e+09,1.1705570898980992e-01
"SOMERS",1.3000000000000000e+02,1.2900000000000000e+02,8.6647273000000000e+08,1.7832028000000000e+08,1.0447930100000000e+09,1.7067522302814794e-01
"SOUTH WINDSOR",1.3100000000000000e+02,1.3200000000000000e+02,2.5005616110000000e+09,1.7040958000000000e+08,2.6709711910000000e+09,6.3800605777481034e-02
"SOUTHBURY",1.3200000000000000e+02,1.3000000000000000e+02,2.1197645400000000e+09,1.4782962000000000e+08,2.2675941600000000e+09,6.5192274088410954e-02
"SOUTHINGTON",1.3300000000000000e+02,1.3100000000000000e+02,3.8287169630000000e+09,2.1476516300000000e+08,4.0434821260000000e+09,5.3113914271819884e-02
"SPRAGUE",1.3400000000000000e+02,1.3300000000000000e+02,1.7074831000000000e+08,1.6542140000000000e+07,1.8729045000000000e+08,8.8323456962167590e-02
"STAFFORD",1.3500000000000000e+02,1.3400000000000000e+02,7.6924963600000000e+08,9.6511310000000000e+07,8.6576094600000000e+08,1.1147570290147969e-01
"STAMFORD",1.3600000000000000e+02,1.3500000000000000e+02,1.9303915067000000e+10,2.5596157870000000e+09,2.1863530854000000e+10,1.1707238890609979e-01
"STERLING",1.3700000000000000e+02,1.3600000000000000e+02,2.2562966800000000e+08,2.1454380000000000e+07,2.4708404800000000e+08,8.6830291852754496e-02
"STONINGTON",1.3800000000000000e+02,1.3700000000000000e+02,2.6222703160000000e+09,2.1461223900000000e+08,2.8368825550000000e+09,7.5650730983468584e-02
"STRATFORD",1.3900000000000000e+02,1.3800000000000000e+02,4.4428378250000000e+09,4.3181278000000000e+08,4.8746506050000000e+09,8.8583329348175921e-02
"SUFFIELD",1.4000000000000000e+02,1.3900000000000000e+02,1.3670174520000000e+09,4.7805343000000000e+08,1.8450708820000000e+09,2.5909759601311622e-01
"THOMASTON",1.4100000000000000e+02,1.4000000000000000e+02,5.4019044500000000e+08,4.8882940000000000e+07,5.8907338500000000e+08,8.2982767927972170e-02
