Municipality,numbered,Comptroller Town Code,County_Identifier,Net Investment In Capital Assets,Unrestricted Net Position,Total Net Position,Change In Net Position,Nonspendable_Fund_Bal,Restricted_Fund_Bal,Committed_Fund_Bal,Assigned_Fund_Bal,Total_Fund_Bal,Unassigned_Fund_Bal,Unrestricted_Fund_Bal,Restatement of Fund Balance (Y or N),Inter_Gov_Rev,Tax_Rev,Total_Revenue,Education,Debt_Service,Total_Expenditures,TOTAL_Trans_to_Genl_Fund,Other_Financing_Sources,TOTAL_Trans_from_Genl_Fund,Other_Financing_Uses,Operating_Surplus_(Deficit)_Including_Transfers,Prior_Yr_OP_Surplus_(Def)_including_sources_and_uses,Operating_Surplus_(Deficit)_Including_Sources_And_Uses,Special / Extraordinary Items,Deficit - Individual Enterprise Funds (Y or N),Deficit - Individual Internal Service Funds (Y or N),RSD_DEBT,TOWN_Bonded_Long_Term_Debt,Total_Bonded_Long_Term_Debt_(RSD_+_Town),Total_Net_Pension_Liability,Curr_Year_Adjusted_Taxes_Collectible,Curr_Year_Taxes_Collected,Curr_Year_Tax_Collection_Rate,Total_Adjusted_Taxes_Collectible,Total_Taxes_Collected,Overal_Total_Tax_Collection_Rate,2015 Population,Moody's_Bond_Ratings_Nov_2016,Moody's_Bond_Ratings_July_2015,area lmt,ACGLFY15,EGL,TANF15 Recipients,empl,ACMR,enrollmt
"CHAPLIN",24,24,"W",6637907.0000,1301254.0000,8065145.0000,521132.0000,1151.0000,48044.0000,0.0000,355770.0000,1060961.0000,655996.0000,1011766.0000,"N",2854128.0000,5337826.0000,8333534.0000,6331588.0000,27790.0000,8075534.0000,12478.0000,12478.0000,293502.0000,293502.0000,-23024.0000,-397432.0000,-23024.0000,0.0000,"N","N",0.0000,120682.0000,120682.0000,0.0000,5261336.0000,5172399.0000,9.8309611855239809e-01,5427138.0000,5299528.0000,9.7648668598439914e-01,2.2550000000000000e+03,,,1.9440000000000001e+01,148895840.0000,212812928.5800,1.8000000000000000e+01,6.0192616372391657e-02,3.5049999999999997e+01,2.9174000000000001e+02
"CHESHIRE",25,25,"NH",121424000.0000,-23149886.0000,102207939.0000,6315200.0000,82760.0000,0.0000,250000.0000,2503625.0000,11949613.0000,9113228.0000,11866853.0000,"N",25852837.0000,81989985.0000,110593641.0000,74575158.0000,8180230.0000,110553307.0000,754013.0000,6112613.0000,1100000.0000,6372199.0000,-305653.0000,-223296.0000,-219252.0000,0.0000,"N","Y",,72341466.0000,72341466.0000,29694799.0000,81616162.0000,81446709.0000,9.9792378132164561e-01,81792699.0000,81568103.0000,9.9725408254347980e-01,2.9262000000000000e+04,"Aa1","Aa1",3.2909999999999997e+01,2698424306.0000,3859984362.8500,1.9000000000000000e+01,3.7547096271274526e-02,3.0250000000000000e+01,4.5277900000000000e+03
"CHESTER",26,26,"M",10254565.0000,3097197.0000,13640406.0000,406472.0000,0.0000,0.0000,0.0000,291184.0000,2015522.0000,1724338.0000,2015522.0000,"N",1379955.0000,10848239.0000,12560273.0000,8769969.0000,233594.0000,12409189.0000,195390.0000,195390.0000,361270.0000,361270.0000,-14796.0000,97329.0000,-14796.0000,0.0000,"N","N",2750753.0000,1272622.0000,4023375.0000,875988.0000,10815903.0000,10800076.0000,9.9853669175842275e-01,11034631.0000,10907324.0000,9.8846295811794704e-01,4.2770000000000000e+03,"Aa3","Aa3",1.6030000000000001e+01,440646140.0000,629961157.1400,2.0000000000000000e+00,3.8560411311053984e-02,2.4820000000000000e+01,4.5880000000000001e+02
"CLINTON",27,27,"M",28460998.0000,9710998.0000,38171996.0000,8609037.0000,0.0000,0.0000,418252.0000,244867.0000,7174945.0000,6511826.0000,7174945.0000,"N",10931383.0000,39563337.0000,51449628.0000,34191891.0000,2445630.0000,50186309.0000,137441.0000,137441.0000,1952030.0000,1952030.0000,-551270.0000,-264966.0000,-551270.0000,0.0000,"N","N",,31195000.0000,31195000.0000,10292128.0000,39363348.0000,39069648.0000,9.9253874441777667e-01,40152418.0000,39323191.0000,9.7934801834350305e-01,1.3047000000000000e+04,"Aa2","Aa2",1.6280000000000001e+01,1505495363.0000,2114190882.4200,2.8000000000000000e+01,4.7010309278350516e-02,2.6270000000000000e+01,1.9570400000000000e+03
"COLCHESTER",28,28,"NL",59192385.0000,7685401.0000,68214762.0000,798409.0000,30655.0000,0.0000,67500.0000,370685.0000,5724206.0000,5255366.0000,5693551.0000,"N",19483781.0000,37226671.0000,58053271.0000,43909369.0000,2318240.0000,56554639.0000,0.0000,0.0000,1053867.0000,1053867.0000,444765.0000,-251349.0000,444765.0000,0.0000,"N","N",,14448121.0000,14448121.0000,385977.0000,36891618.0000,36333194.0000,9.8486311985557262e-01,38339338.0000,36865397.0000,9.6155538731524259e-01,1.6130000000000000e+04,"Aa3","Aa3",4.9060000000000002e+01,1195815175.0000,1683452350.6700,5.3000000000000000e+01,4.4463445917058572e-02,3.0570000000000000e+01,2.7669299999999998e+03
"COLEBROOK",29,29,"L",7896107.0000,1252854.0000,9264321.0000,250312.0000,0.0000,0.0000,0.0000,0.0000,1462702.0000,1462702.0000,1462702.0000,"N",1026933.0000,5281552.0000,6378188.0000,3931647.0000,71250.0000,5800842.0000,0.0000,0.0000,492000.0000,492000.0000,85346.0000,168239.0000,85346.0000,0.0000,"N","N",367275.0000,450000.0000,817275.0000,0.0000,5215130.0000,5101396.0000,9.7819153117947200e-01,5343979.0000,5163335.0000,9.6619672345269325e-01,1.4360000000000000e+03,,,3.1489999999999998e+01,187537080.0000,238852753.9600,1.0000000000000000e+00,4.2908224076281289e-02,2.7800000000000001e+01,1.9991000000000000e+02
"COLUMBIA",30,30,"T",14105461.0000,5503554.0000,20081634.0000,1253996.0000,20464.0000,0.0000,0.0000,230648.0000,3718544.0000,3467432.0000,3698080.0000,"N",5107112.0000,12686875.0000,18123451.0000,12592285.0000,518176.0000,16306516.0000,10678.0000,10678.0000,1123341.0000,1123341.0000,704272.0000,185325.0000,704272.0000,0.0000,"N","N",,999032.0000,999032.0000,0.0000,12657031.0000,12515609.0000,9.8882660554438084e-01,12845143.0000,12627250.0000,9.8303693466082864e-01,5.4340000000000000e+03,"Aa2","Aa2",2.1350000000000001e+01,466098071.0000,706382478.0500,1.4000000000000000e+01,4.7441860465116281e-02,2.7129999999999999e+01,7.0112000000000000e+02
"CORNWALL",31,31,"L",5879427.0000,2915709.0000,8845585.0000,37523.0000,12439.0000,0.0000,0.0000,460735.0000,1922616.0000,1449442.0000,1910177.0000,"N",606972.0000,5893224.0000,6560878.0000,4227939.0000,179300.0000,6140432.0000,10000.0000,10000.0000,463025.0000,463025.0000,-32579.0000,169769.0000,-32579.0000,0.0000,"N","N",455407.0000,1460000.0000,1915407.0000,0.0000,5932149.0000,5789468.0000,9.7594783947604824e-01,6253881.0000,5826633.0000,9.3168274228435111e-01,1.3870000000000000e+03,"Aa2","Aa2",4.6000000000000000e+01,397536310.0000,508637310.1600,0.0000000000000000e+00,3.5202086049543675e-02,1.4900000000000000e+01,1.3309999999999999e+02
"COVENTRY",32,32,"T",99037215.0000,10946914.0000,109988123.0000,1214874.0000,417456.0000,37845.0000,0.0000,683244.0000,5396211.0000,4257666.0000,4940910.0000,"N",12421409.0000,28619356.0000,41584494.0000,29541973.0000,2780503.0000,41839606.0000,598135.0000,5251259.0000,561113.0000,5114739.0000,-218090.0000,754188.0000,-118592.0000,0.0000,"N","N",,18622014.0000,18622014.0000,1937137.0000,28619285.0000,28117198.0000,9.8245634019158756e-01,29448144.0000,28377133.0000,9.6363061115158899e-01,1.2438000000000000e+04,"Aa2","Aa2",3.7719999999999999e+01,1000261400.0000,1377873593.4500,3.7000000000000000e+01,4.4626593806921674e-02,2.8469999999999999e+01,1.7774000000000001e+03
"CROMWELL",33,33,"M",90158279.0000,8271878.0000,98490661.0000,806009.0000,0.0000,0.0000,1005793.0000,50402.0000,8786893.0000,7730698.0000,8786893.0000,"N",8336950.0000,39967103.0000,49786802.0000,30610852.0000,3724114.0000,48642425.0000,323205.0000,323205.0000,527521.0000,527521.0000,940061.0000,1241172.0000,940061.0000,0.0000,"N","N",,23620000.0000,23620000.0000,3960103.0000,39984365.0000,39627823.0000,9.9108296455376999e-01,40367895.0000,39842928.0000,9.8699543288051061e-01,1.4034000000000000e+04,,,1.2390000000000001e+01,1271368432.0000,1998362935.7900,2.5000000000000000e+01,4.6902654867256637e-02,3.1180000000000000e+01,2.0996199999999999e+03
"DANBURY",34,34,"F",200188682.0000,-131477153.0000,68175843.0000,6621019.0000,4357152.0000,11735.0000,0.0000,4005403.0000,31439490.0000,23065200.0000,27070603.0000,"N",48767079.0000,188467780.0000,248795541.0000,141957467.0000,15065126.0000,246091312.0000,925000.0000,5430939.0000,5550000.0000,5550000.0000,-1920771.0000,389720.0000,2585168.0000,0.0000,"N","N",,147461333.0000,147461333.0000,90056035.0000,188954885.0000,186199217.0000,9.8541626484014955e-01,196470394.0000,189247771.0000,9.6323811006354476e-01,8.4657000000000000e+04,"Aa1","Aa1",4.2109999999999999e+01,6887609487.0000,10106162713.1000,2.6400000000000000e+02,4.5834849036013092e-02,2.7600000000000001e+01,1.0686850000000000e+04
"DARIEN",35,35,"F",101618803.0000,45269348.0000,146888151.0000,6606402.0000,31872.0000,0.0000,355973.0000,1970677.0000,19051996.0000,16693474.0000,19020124.0000,"N",13420590.0000,124755330.0000,144364868.0000,99103639.0000,11640656.0000,140842202.0000,647595.0000,18667570.0000,3741955.0000,21603927.0000,428306.0000,-1007250.0000,586309.0000,0.0000,"N","Y",,77430020.0000,77430020.0000,0.0000,123644319.0000,123136015.0000,9.9588898216989652e-01,125005350.0000,124087954.0000,9.9266114610294676e-01,2.1787000000000000e+04,"Aaa","Aaa",1.2859999999999999e+01,8250643822.0000,11786964074.2900,6.0000000000000000e+00,4.2665108123904151e-02,1.5010000000000000e+01,4.9179600000000000e+03
"DEEP RIVER",36,36,"M",11524126.0000,-1250463.0000,10345049.0000,-482890.0000,0.0000,0.0000,0.0000,65475.0000,455950.0000,390475.0000,455950.0000,"N",2819743.0000,12988027.0000,16539342.0000,11549813.0000,281226.0000,16123129.0000,0.0000,0.0000,135318.0000,135318.0000,280895.0000,29739.0000,280895.0000,0.0000,"N","N",3531310.0000,413866.0000,3945176.0000,1178219.0000,12773007.0000,12574759.0000,9.8447914418272842e-01,13189593.0000,12823459.0000,9.7224069006526581e-01,4.5160000000000000e+03,,,1.3550000000000001e+01,490381516.0000,668852470.2300,3.0000000000000000e+00,4.4900800556909155e-02,2.5879999999999999e+01,6.3760000000000002e+02
"DERBY",37,37,"NH",51285408.0000,-13575166.0000,37720897.0000,811827.0000,0.0000,0.0000,0.0000,0.0000,2100570.0000,2100570.0000,2100570.0000,"N",14130654.0000,27801813.0000,44200265.0000,22108184.0000,1255477.0000,44373819.0000,0.0000,0.0000,442875.0000,442875.0000,-616429.0000,723756.0000,-616429.0000,0.0000,"N","N",,7211265.0000,7211265.0000,4997530.0000,26701973.0000,26093087.0000,9.7719696593206806e-01,28773762.0000,27418863.0000,9.5291199670032722e-01,1.2700000000000000e+04,,,4.9800000000000004e+00,748399081.0000,982902414.6800,1.3300000000000000e+02,6.8267831149927224e-02,3.5740000000000002e+01,1.5877600000000000e+03
"DURHAM",38,38,"M",39344287.0000,4761302.0000,44137117.0000,1042958.0000,2500.0000,0.0000,0.0000,294943.0000,2755226.0000,2457783.0000,2752726.0000,"N",4577582.0000,24901805.0000,29864201.0000,22854758.0000,0.0000,28814958.0000,291582.0000,291582.0000,1147990.0000,1147990.0000,192835.0000,492607.0000,192835.0000,0.0000,"N","N",6191486.0000,0.0000,6191486.0000,1272922.0000,24675940.0000,24405930.0000,9.8905776233853704e-01,25253312.0000,24683152.0000,9.7742236741065880e-01,7.3010000000000000e+03,,,2.3600000000000001e+01,743756410.0000,1011318899.1700,5.0000000000000000e+00,3.8219529247261713e-02,3.3219999999999999e+01,1.2114100000000001e+03
"EAST GRANBY",39,40,"H",24315249.0000,2965368.0000,29105694.0000,-646096.0000,40096.0000,0.0000,0.0000,939735.0000,3639596.0000,2659765.0000,3599500.0000,"N",2977079.0000,17290202.0000,20542507.0000,15013695.0000,691013.0000,20203806.0000,0.0000,0.0000,525000.0000,525000.0000,-186299.0000,349298.0000,-186299.0000,0.0000,"N","N",,6275000.0000,6275000.0000,0.0000,17243323.0000,16991969.0000,9.8542311131096949e-01,17623044.0000,17162539.0000,9.7386915676996555e-01,5.1990000000000000e+03,"Aa2","Aa2",1.7480000000000000e+01,572966067.0000,819268267.1300,6.0000000000000000e+00,3.8841342988808425e-02,2.9800000000000001e+01,9.2300999999999999e+02
"EAST HADDAM",40,41,"M",59760942.0000,15630447.0000,75831182.0000,2961883.0000,0.0000,0.0000,0.0000,276601.0000,4744816.0000,4468215.0000,4744816.0000,"N",6731006.0000,23870943.0000,31489916.0000,20920432.0000,2008575.0000,29892651.0000,309271.0000,309271.0000,1583224.0000,1583224.0000,323312.0000,-259154.0000,323312.0000,0.0000,"N","N",,16737174.0000,16737174.0000,407779.0000,23667569.0000,23379316.0000,9.8782076012961029e-01,24167503.0000,23679456.0000,9.7980565058789892e-01,9.0810000000000000e+03,,,5.4329999999999998e+01,848584530.0000,1223024607.1700,1.5000000000000000e+01,4.9088359046283309e-02,2.7899999999999999e+01,1.1795599999999999e+03
"EAST HAMPTON",41,42,"M",76685651.0000,6222350.0000,83546070.0000,5321254.0000,0.0000,0.0000,0.0000,0.0000,5064400.0000,5064400.0000,5064400.0000,"N",11634584.0000,31199130.0000,43379961.0000,31336281.0000,1329972.0000,42235837.0000,2468.0000,2468.0000,954701.0000,954701.0000,191891.0000,-1303.0000,191891.0000,0.0000,"N","N",,23809498.0000,23809498.0000,7147386.0000,30951102.0000,30345144.0000,9.8042208642522644e-01,32521173.0000,30864391.0000,9.4905528161607211e-01,1.2858000000000000e+04,"Aa3","Aa3",3.5590000000000003e+01,1135981139.0000,1596287735.0600,3.4000000000000000e+01,4.3059041077796859e-02,2.7140000000000001e+01,1.9420400000000000e+03
"EAST HARTFORD",42,43,"H",102696000.0000,-179731000.0000,-76873000.0000,-19252000.0000,0.0000,0.0000,0.0000,583000.0000,16296000.0000,15713000.0000,16296000.0000,"N",64424000.0000,122150000.0000,197069000.0000,103700000.0000,10637000.0000,194419000.0000,725000.0000,725000.0000,1672000.0000,1672000.0000,1703000.0000,-33000.0000,1703000.0000,0.0000,"N","Y",,61790000.0000,61790000.0000,158341000.0000,121245000.0000,118320000.0000,9.7587529382654958e-01,123582000.0000,119407000.0000,9.6621676295900694e-01,5.0821000000000000e+04,"Aa2","Aa2",1.8020000000000000e+01,2687876591.0000,3829879529.6600,8.8800000000000000e+02,7.2715995329830710e-02,4.5399999999999999e+01,8.1606599999999999e+03
"EAST HAVEN",43,44,"NH",54538832.0000,-33359584.0000,23276962.0000,1185922.0000,0.0000,0.0000,0.0000,0.0000,3850838.0000,3850838.0000,3850838.0000,"N",25756092.0000,64161304.0000,92699361.0000,50447708.0000,7327128.0000,91461789.0000,61290.0000,61290.0000,0.0000,0.0000,1298862.0000,951526.0000,1298862.0000,0.0000,"N","Y",,31380311.0000,31380311.0000,7003601.0000,62880229.0000,61458442.0000,9.7738896593395042e-01,65652928.0000,62399321.0000,9.5044231690626202e-01,2.8935000000000000e+04,"A3","A3",1.2260000000000000e+01,1975351052.0000,2495667862.0100,2.3300000000000000e+02,6.2714449104079292e-02,3.2049999999999997e+01,3.3759400000000001e+03
"EAST LYME",44,45,"NL",60368374.0000,5070882.0000,65453929.0000,-3257277.0000,0.0000,0.0000,0.0000,836994.0000,6020370.0000,5183376.0000,6020370.0000,"N",14231113.0000,49782485.0000,71100600.0000,49709355.0000,5518409.0000,73155424.0000,852464.0000,7570130.0000,189000.0000,5905709.0000,-1391360.0000,160375.0000,-390403.0000,0.0000,"N","N",,52957614.0000,52957614.0000,5447453.0000,49542790.0000,48806352.0000,9.8513531434140067e-01,51208207.0000,49581779.0000,9.6823891920293170e-01,1.9343000000000000e+04,"Aa2","Aa2",3.4030000000000001e+01,2061949264.0000,2948988217.5200,3.5000000000000000e+01,5.1782189713224194e-02,2.4030000000000001e+01,2.6483899999999999e+03
"EAST WINDSOR",45,47,"H",45659152.0000,9699865.0000,55471690.0000,1376433.0000,0.0000,0.0000,0.0000,1057517.0000,8690620.0000,7633103.0000,8690620.0000,"N",8983491.0000,28868977.0000,38402305.0000,23299723.0000,1150055.0000,36244697.0000,0.0000,0.0000,918341.0000,918341.0000,1239267.0000,1178870.0000,1239267.0000,0.0000,"N","N",,7199323.0000,7199323.0000,4039961.0000,28444386.0000,28059091.0000,9.8645444482436706e-01,29683251.0000,28542117.0000,9.6155629988103397e-01,1.1400000000000000e+04,"Aa2","Aa2",2.6280000000000001e+01,952292210.0000,1382146355.8800,6.9000000000000000e+01,5.7107578329989195e-02,2.9780000000000001e+01,1.2573699999999999e+03
"EASTFORD",46,39,"W",3795618.0000,1162383.0000,5021079.0000,46633.0000,0.0000,297.0000,300000.0000,105269.0000,1917117.0000,1511551.0000,1916820.0000,"Y",1747378.0000,3547935.0000,5400501.0000,3946713.0000,58063.0000,5101516.0000,9458.0000,9458.0000,93000.0000,93000.0000,215443.0000,446564.0000,215443.0000,0.0000,"N","N",,215008.0000,215008.0000,0.0000,3507577.0000,3434707.0000,9.7922497496134797e-01,3692174.0000,3553493.0000,9.6243920248612336e-01,1.7500000000000000e+03,,,2.8879999999999999e+01,141272662.0000,201866588.5800,1.0000000000000000e+00,3.9614561027837260e-02,2.4800000000000001e+01,1.8921000000000001e+02
"EASTON",47,46,"F",61999386.0000,5763602.0000,67762988.0000,2969273.0000,0.0000,0.0000,0.0000,640000.0000,6176960.0000,5536960.0000,6176960.0000,"N",2912452.0000,39914489.0000,44358325.0000,27724507.0000,3117619.0000,42821976.0000,408090.0000,408090.0000,867733.0000,867733.0000,1076706.0000,1149754.0000,1076706.0000,0.0000,"N","Y",6409935.0000,22278530.0000,28688465.0000,2828872.0000,39556949.0000,39015384.0000,9.8630923229190404e-01,40926824.0000,39463546.0000,9.6424648049895101e-01,7.6250000000000000e+03,,,2.7420000000000002e+01,1326365165.0000,1910764880.8900,1.0000000000000000e+00,3.9119170984455956e-02,2.9899999999999999e+01,1.4174600000000000e+03
"ELLINGTON",48,48,"T",51171283.0000,9697129.0000,64624744.0000,4880064.0000,259407.0000,0.0000,5544838.0000,3341901.0000,11013246.0000,1867100.0000,10753839.0000,"N",15563229.0000,37720924.0000,54794648.0000,39195495.0000,2277439.0000,55488141.0000,0.0000,714704.0000,52750.0000,52750.0000,-746243.0000,577510.0000,-31539.0000,0.0000,"Y","N",,22501876.0000,22501876.0000,2143846.0000,37320835.0000,36992464.0000,9.9120140264814549e-01,38333050.0000,37433297.0000,9.7652800912006743e-01,1.5916000000000000e+04,"Aa3","Aa3",3.4049999999999997e+01,1292000469.0000,1882287916.7700,3.0000000000000000e+01,4.7246696035242293e-02,2.8699999999999999e+01,2.7503800000000001e+03
"ENFIELD",49,49,"H",221663000.0000,18082000.0000,241503000.0000,25804000.0000,4593000.0000,0.0000,2130000.0000,2171000.0000,25802000.0000,16908000.0000,21209000.0000,"N",44638000.0000,84366000.0000,137066000.0000,73482000.0000,4908000.0000,134323000.0000,557000.0000,2006000.0000,2412000.0000,2412000.0000,888000.0000,4038000.0000,2337000.0000,0.0000,"N","Y",,44512000.0000,44512000.0000,8205000.0000,83183000.0000,81517000.0000,9.7997186925213087e-01,88311000.0000,83245000.0000,9.4263455288695630e-01,4.4323000000000000e+04,"Aa2","Aa2",3.3380000000000003e+01,2851095090.0000,4087836445.2500,2.9900000000000000e+02,5.4257494669973462e-02,2.9129999999999999e+01,5.5552799999999997e+03
"ESSEX",50,50,"M",15981485.0000,-76539.0000,15904946.0000,249822.0000,60398.0000,0.0000,50000.0000,176921.0000,3338319.0000,3051000.0000,3277921.0000,"N",1559154.0000,21730417.0000,23979383.0000,16395031.0000,915359.0000,23508785.0000,0.0000,0.0000,371166.0000,371166.0000,99432.0000,-12110.0000,99432.0000,0.0000,"N","N",5112937.0000,8495766.0000,13608703.0000,2569737.0000,21660411.0000,21392865.0000,9.8764815681475293e-01,22104211.0000,21604742.0000,9.7740389828888263e-01,6.5860000000000000e+03,"Aa2","Aa2",1.0359999999999999e+01,1031550311.0000,1473880730.0000,5.0000000000000000e+00,4.7490231439735499e-02,2.0989999999999998e+01,8.7979999999999995e+02
"FAIRFIELD",51,51,"F",267658000.0000,4458000.0000,278341000.0000,10753000.0000,0.0000,0.0000,0.0000,863000.0000,25123000.0000,24260000.0000,25123000.0000,"N",25464000.0000,263941000.0000,303146000.0000,171906000.0000,24809000.0000,297097000.0000,46000.0000,384000.0000,3293000.0000,3293000.0000,2802000.0000,3177000.0000,3140000.0000,0.0000,"N","Y",,193347000.0000,193347000.0000,30274000.0000,263352000.0000,259688000.0000,9.8608706218293385e-01,269118000.0000,262289000.0000,9.7462451415364260e-01,6.1523000000000000e+04,"Aaa","Aaa",3.0030000000000001e+01,10913511153.0000,16319163695.8100,4.1000000000000000e+01,4.6679068485600113e-02,2.4399999999999999e+01,1.0255040000000001e+04
"FARMINGTON",52,52,"H",92204158.0000,-8471264.0000,83732894.0000,3090919.0000,0.0000,0.0000,0.0000,518355.0000,10861650.0000,10343295.0000,10861650.0000,"N",12526132.0000,85678697.0000,100764679.0000,63453677.0000,6866267.0000,95875482.0000,0.0000,0.0000,3701737.0000,3701737.0000,1187460.0000,576589.0000,1187460.0000,0.0000,"N","N",,42985902.0000,42985902.0000,26068727.0000,85500544.0000,85189506.0000,9.9636215180104581e-01,85933422.0000,85378979.0000,9.9354799346871114e-01,2.5629000000000000e+04,"Aaa","Aaa",2.8059999999999999e+01,3500061738.0000,5214499136.5900,4.8000000000000000e+01,3.8883707583040390e-02,2.4440000000000001e+01,4.0275500000000002e+03
"FRANKLIN",53,53,"NL",8216624.0000,1235957.0000,9453790.0000,312301.0000,0.0000,0.0000,0.0000,276361.0000,1006106.0000,729745.0000,1006106.0000,"N",1761506.0000,4710721.0000,6628733.0000,4375142.0000,264635.0000,6306382.0000,0.0000,0.0000,183900.0000,183900.0000,138451.0000,225523.0000,138451.0000,0.0000,"N","N",,1611916.0000,1611916.0000,0.0000,4691155.0000,4619691.0000,9.8476622494886656e-01,4764418.0000,4671136.0000,9.8042111334479887e-01,1.9750000000000000e+03,,,1.9510000000000002e+01,189115180.0000,270251428.5800,4.0000000000000000e+00,5.2777777777777778e-02,2.4719999999999999e+01,2.5321000000000001e+02
"GLASTONBURY",54,54,"H",225203554.0000,17031058.0000,242243139.0000,4771287.0000,223564.0000,0.0000,0.0000,1143003.0000,25706559.0000,24339992.0000,25482995.0000,"N",18421311.0000,137088886.0000,160239746.0000,107377221.0000,10673414.0000,154714285.0000,0.0000,16687.0000,6752000.0000,6752000.0000,-1226539.0000,3619128.0000,-1209852.0000,0.0000,"N","N",,80473325.0000,80473325.0000,43946265.0000,136682891.0000,135894306.0000,9.9423055077171285e-01,137510468.0000,136374426.0000,9.9173850531873686e-01,3.4678000000000000e+04,"Aaa","Aaa",5.1369999999999997e+01,3832589412.0000,5749528716.6300,5.7000000000000000e+01,3.7580739870816206e-02,3.5649999999999999e+01,6.3130200000000004e+03
"GOSHEN",55,55,"L",5081046.0000,3149834.0000,9211591.0000,604569.0000,974.0000,0.0000,36968.0000,194354.0000,2032245.0000,1799949.0000,2031271.0000,"N",332235.0000,10087390.0000,10628210.0000,7253218.0000,0.0000,9834203.0000,51100.0000,51100.0000,667566.0000,667566.0000,177541.0000,100481.0000,177541.0000,0.0000,"N","N",753522.0000,0.0000,753522.0000,93337.0000,10012673.0000,9959014.0000,9.9464089159807778e-01,10160977.0000,10059691.0000,9.9003186406189092e-01,2.9040000000000000e+03,,,4.3659999999999997e+01,520545130.0000,739933594.0100,3.0000000000000000e+00,4.5893719806763288e-02,1.9199999999999999e+01,3.5288999999999999e+02
"GRANBY",56,56,"H",47124861.0000,11021127.0000,58457782.0000,307091.0000,0.0000,0.0000,7511.0000,1676175.0000,4269760.0000,2586074.0000,4269760.0000,"N",9553843.0000,34051516.0000,44379395.0000,30716490.0000,3376968.0000,43675820.0000,531012.0000,531012.0000,1565882.0000,1565882.0000,-331295.0000,539735.0000,-331295.0000,0.0000,"N","N",,25544797.0000,25544797.0000,2492032.0000,33968158.0000,33636733.0000,9.9024306822878061e-01,34455690.0000,33846668.0000,9.8232448689897078e-01,1.1298000000000000e+04,,,4.0689999999999998e+01,960029620.0000,1407472134.2100,1.0000000000000000e+01,3.9526875280730650e-02,3.5520000000000003e+01,1.9480300000000000e+03
"GREENWICH",57,57,"F",470160390.0000,-62771472.0000,408124776.0000,30814203.0000,5418513.0000,0.0000,0.0000,22788722.0000,53933421.0000,25726186.0000,48514908.0000,"N",32596244.0000,338909392.0000,401451706.0000,164233253.0000,32321447.0000,387494702.0000,6517281.0000,6517281.0000,13841000.0000,13841000.0000,6633285.0000,12013059.0000,6633285.0000,0.0000,"N","N",,130420375.0000,130420375.0000,124524980.0000,337402140.0000,334539975.0000,9.9151705143304658e-01,344849158.0000,338084743.0000,9.8038442361515055e-01,6.2695000000000000e+04,"Aaa","Aaa",4.7829999999999998e+01,30955949676.0000,48731135496.0700,1.0600000000000000e+02,4.0502354788069073e-02,1.0968999999999999e+01,8.6743600000000006e+03
"GRISWOLD",58,58,"NL",85711583.0000,466757.0000,86732662.0000,2315567.0000,16722.0000,0.0000,0.0000,268685.0000,3932295.0000,3646888.0000,3915573.0000,"N",13849501.0000,18493876.0000,34504010.0000,27669568.0000,1775051.0000,33408239.0000,0.0000,0.0000,1128465.0000,1128465.0000,-32694.0000,969142.0000,-32694.0000,0.0000,"N","N",,16724467.0000,16724467.0000,2140037.0000,18353729.0000,17871418.0000,9.7372136201858484e-01,19239406.0000,18207401.0000,9.4635983044382976e-01,1.1830000000000000e+04,,,3.4950000000000003e+01,699028061.0000,972447211.0300,1.2100000000000000e+02,6.8861801488048130e-02,2.6079999999999998e+01,1.7762400000000000e+03
"GROTON",59,59,"NL",159430245.0000,23007408.0000,182785148.0000,247736.0000,0.0000,0.0000,2700000.0000,4556108.0000,16766600.0000,9510492.0000,16766600.0000,"N",43397238.0000,78601542.0000,124886980.0000,81862680.0000,6537049.0000,127206076.0000,2310285.0000,2310285.0000,1713433.0000,1713433.0000,-1722244.0000,3868260.0000,-1722244.0000,0.0000,"N","Y",,54540001.0000,54540001.0000,12727510.0000,78060622.0000,76900430.0000,9.8513729496031943e-01,80161255.0000,77863515.0000,9.7133602761084514e-01,3.9692000000000000e+04,"Aa2","Aa2",3.1300000000000001e+01,3909603306.0000,5435454547.3100,2.9900000000000000e+02,5.2341299881042504e-02,2.0129999999999999e+01,4.9565900000000001e+03
"GROTON (City of)",60,501,,20466258.0000,9179006.0000,30248355.0000,177296.0000,33017.0000,0.0000,0.0000,720172.0000,3471352.0000,2718163.0000,3438335.0000,"N",410820.0000,6240201.0000,12685024.0000,0.0000,784909.0000,16487058.0000,3119496.0000,3119496.0000,0.0000,0.0000,-682538.0000,-498491.0000,-682538.0000,0.0000,"N","Y",,5040000.0000,5040000.0000,316933.0000,6216893.0000,6160646.0000,9.9095255459600162e-01,6269139.0000,6197679.0000,9.8860130553812897e-01,,"Aa3","Aa3",,,,,,,
