Municipality,numbered,Comptroller Town Code,County_Identifier,Net Investment In Capital Assets,Unrestricted Net Position,Total Net Position,Change In Net Position,Nonspendable_Fund_Bal,Restricted_Fund_Bal,Committed_Fund_Bal,Assigned_Fund_Bal,Total_Fund_Bal,Unassigned_Fund_Bal,Unrestricted_Fund_Bal,Restatement of Fund Balance (Y or N),Inter_Gov_Rev,Tax_Rev,Total_Revenue,Education,Debt_Service,Total_Expenditures,TOTAL_Trans_to_Genl_Fund,Other_Financing_Sources,TOTAL_Trans_from_Genl_Fund,Other_Financing_Uses,Operating_Surplus_(Deficit)_Including_Transfers,Prior_Yr_OP_Surplus_(Def)_including_sources_and_uses,Operating_Surplus_(Deficit)_Including_Sources_And_Uses,Special / Extraordinary Items,RSD_DEBT,TOWN_Bonded_Long_Term_Debt,Total_Bonded_Long_Term_Debt_(RSD_+_Town),Total_Net_Pension_Liability,Curr_Year_Adjusted_Taxes_Collectible,Curr_Year_Taxes_Collected,Curr_Year_Tax_Collection_Rate,Total_Adjusted_Taxes_Collectible,Total_Taxes_Collected,Overal_Total_Tax_Collection_Rate,2016 Population,Moody's_Bond_Ratings_Latest,Date of Latest Moody's Ratings,Moody's_Bond_Ratings_July_2016,ACGLFY16,EGL,TANF16 Recipients,empl,ACMR,enrollmt,TFA16 Recipients
"ANDOVER",1,1,"T",5920541.0000,3349144.0000,9541924.0000,583904.0000,0.0000,0.0000,30245.0000,906080.0000,2985783.0000,2049458.0000,2985783.0000,"N",2961909.0000,8158369.0000,11215238.0000,8780455.0000,150549.0000,10775123.0000,0.0000,0.0000,187284.0000,187284.0000,252831.0000,309843.0000,252831.0000,0.0000,2403059.6841,605944.0000,3009004.0000,556399.0000,8122124.0000,8002240.0000,9.8499999999999999e-01,8239220.0000,8072721.0000,9.7999999999999998e-01,3.2520000000000000e+03,,"2017-07-18 00:00:00",,263133905.0000,360162930.1000,5.0000000000000000e+00,4.4352759154203197e-02,3.0719999999999999e+01,5.0225999999999999e+02,5.0000000000000000e+00
"ANSONIA",2,2,"NH",51319174.0000,-5904785.0000,45425420.0000,-1294559.0000,0.0000,0.0000,3804440.0000,0.0000,13528668.0000,9724228.0000,13528668.0000,"N",29372130.0000,32497383.0000,65625346.0000,38507977.0000,8199236.0000,67815794.0000,0.0000,0.0000,169586.0000,169586.0000,-2360034.0000,4137137.0000,-2360034.0000,0.0000,,6549611.0000,6549611.0000,6814159.0000,33615325.0000,32491245.0000,9.6656048989560561e-01,35658243.0000,33028463.0000,9.2625043247363592e-01,1.8732000000000000e+04,"Aa3","2017-07-18 00:00:00","Aa3",894098985.0000,1312183325.4400,2.3000000000000000e+02,6.8167202572347263e-02,3.7520000000000003e+01,2.5244600000000000e+03,2.6350000000000000e+02
"ASHFORD",3,3,"W",12877087.0000,3102020.0000,17631181.0000,-406267.0000,0.0000,0.0000,15062.0000,108809.0000,1832182.0000,1708311.0000,1832182.0000,"N",4985298.0000,9949890.0000,15379831.0000,11825590.0000,445290.0000,14910281.0000,0.0000,0.0000,363908.0000,363908.0000,105642.0000,-309444.0000,105642.0000,0.0000,786804.0300,2364804.0000,3151608.0300,0.0000,9881076.0000,9701012.0000,9.8177688340824421e-01,10571778.0000,9871073.0000,9.3371928544091642e-01,4.2360000000000000e+03,"Aa3","2017-07-18 00:00:00","Aa3",297466704.0000,420881940.7200,1.2000000000000000e+01,4.8122065727699531e-02,3.2962000000000003e+01,5.6282000000000005e+02,1.2000000000000000e+01
"AVON",4,4,"H",119384191.0000,-8996683.0000,110332199.0000,512233.0000,11398.0000,0.0000,0.0000,2326985.0000,10782099.0000,8443716.0000,10770701.0000,"Y",9949386.0000,74777579.0000,87685177.0000,59484885.0000,3699813.0000,85083100.0000,340000.0000,639906.0000,3487203.0000,3487203.0000,-545126.0000,-1776049.0000,-245220.0000,0.0000,,24788279.0000,24788279.0000,27398925.0000,74537630.0000,74332894.0000,9.9725325315548674e-01,74868589.0000,74524177.0000,9.9539977973940441e-01,1.8364000000000000e+04,"Aaa","2017-07-18 00:00:00","Aaa",2577798250.0000,3738989795.6100,6.0000000000000000e+00,3.5207510935666278e-02,2.8800000000000001e+01,3.2924499999999998e+03,1.1000000000000000e+01
"BARKHAMSTED",5,5,"L",4082837.0000,3895972.0000,7978809.0000,363670.0000,0.0000,0.0000,0.0000,200000.0000,1475691.0000,1275691.0000,1475691.0000,"N",2190046.0000,9496126.0000,11858453.0000,9502969.0000,673337.0000,11764683.0000,0.0000,0.0000,267420.0000,267420.0000,-173650.0000,-22071.0000,-173650.0000,0.0000,752978.2664,2960000.0000,3712978.2664,0.0000,9543351.0000,9288403.0000,9.7328527474259308e-01,10266970.0000,9425581.0000,9.1804894725512975e-01,3.6640000000000000e+03,,"2017-07-18 00:00:00",,341699965.0000,494116946.0754,4.0000000000000000e+00,4.5099739809193407e-02,2.7719999999999999e+01,5.6473000000000002e+02,3.5000000000000000e+00
"BEACON FALLS",6,6,"NH",9973490.0000,4479979.0000,14935217.0000,505311.0000,30085.0000,0.0000,0.0000,166290.0000,2906969.0000,2710594.0000,2876884.0000,"N",4586087.0000,16038809.0000,21493710.0000,14820178.0000,580323.0000,20737904.0000,0.0000,26784.0000,272746.0000,272746.0000,483060.0000,-739617.0000,509844.0000,0.0000,13243600.6840,8283827.0000,21527427.6840,751849.0000,15980394.0000,15566826.0000,9.7412028764747605e-01,17014564.0000,15902139.0000,9.3461924736948887e-01,6.0950000000000000e+03,,"2017-07-18 00:00:00",,479221588.0000,652767964.9157,1.5000000000000000e+01,5.0359712230215826e-02,3.3399999999999999e+01,8.9982000000000005e+02,1.7000000000000000e+01
"BERLIN",7,7,"H",78636418.0000,19604198.0000,106539647.0000,8480673.0000,0.0000,0.0000,398567.0000,2300000.0000,13855598.0000,11157031.0000,13855598.0000,"N",13312658.0000,66691876.0000,84424801.0000,49476881.0000,6203033.0000,83012026.0000,69610.0000,13311853.0000,926296.0000,13011805.0000,556089.0000,-560599.0000,1712823.0000,0.0000,,83924544.0000,83924544.0000,5688943.0000,66490030.0000,65747950.0000,9.8883922897914167e-01,67755067.0000,66235008.0000,9.7756538267462711e-01,2.0499000000000000e+04,"Aa2","2017-07-18 00:00:00","Aa2",2177154828.0000,3116476402.2876,4.8000000000000000e+01,4.2313598362054256e-02,3.0350000000000001e+01,2.9384299999999998e+03,4.9000000000000000e+01
"BETHANY",8,8,"NH",21850686.0000,2732531.0000,24583217.0000,1182616.0000,51667.0000,3300.0000,0.0000,0.0000,3248516.0000,3193549.0000,3193549.0000,"N",3424720.0000,19523218.0000,24113267.0000,16698230.0000,1047607.0000,23233534.0000,0.0000,0.0000,467000.0000,467000.0000,412733.0000,-730745.0000,412733.0000,0.0000,6947301.0877,3856326.0000,10803627.0877,457550.0000,19406173.0000,19171150.0000,9.8788926595676541e-01,19845347.0000,19454209.0000,9.8029069484146591e-01,5.4880000000000000e+03,"Aa2","2017-07-18 00:00:00","Aa2",551306171.0000,830045628.5048,3.0000000000000000e+00,4.0168448331713638e-02,3.5039999999999999e+01,8.4069000000000005e+02,2.5000000000000000e+00
"BETHEL",9,9,"F",72509424.0000,10068029.0000,83056020.0000,3615330.0000,633029.0000,0.0000,380807.0000,0.0000,17563447.0000,16549611.0000,16930418.0000,"N",13962715.0000,61102747.0000,76575748.0000,48105825.0000,2968586.0000,72916208.0000,0.0000,0.0000,1680000.0000,1680000.0000,1979540.0000,1772160.0000,1979540.0000,0.0000,,29018981.0000,29018981.0000,10611774.0000,60745636.0000,60045483.0000,9.8847401976332916e-01,61704400.0000,60607978.0000,9.8223105645626563e-01,1.9627000000000000e+04,,"2017-07-18 00:00:00","Aa2",1890122000.0000,2824194297.6926,2.2000000000000000e+01,4.2908554027867488e-02,3.2180000000000000e+01,2.9303099999999999e+03,2.7500000000000000e+01
"BETHLEHEM",10,10,"L",6050577.0000,3936489.0000,10095237.0000,296110.0000,0.0000,0.0000,300000.0000,0.0000,1765896.0000,1465896.0000,1765896.0000,"N",1609445.0000,8555685.0000,10398136.0000,7187029.0000,0.0000,9601166.0000,405000.0000,405000.0000,1063132.0000,1063132.0000,138838.0000,-153878.0000,138838.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8428522.0000,8270751.0000,9.8128129700557232e-01,9024533.0000,8489957.0000,9.4076413704731310e-01,3.4470000000000000e+03,,"2017-07-18 00:00:00",,367532967.0000,518047232.9862,1.0000000000000000e+00,5.2014278429372771e-02,2.2960000000000001e+01,3.5269999999999999e+02,1.0000000000000000e+00
"BLOOMFIELD",11,11,"H",115419910.0000,-64891790.0000,50528120.0000,2791438.0000,0.0000,0.0000,0.0000,1551424.0000,18151112.0000,16599688.0000,18151112.0000,"N",11091620.0000,73563398.0000,89140280.0000,43740001.0000,6198138.0000,85833657.0000,100000.0000,100000.0000,2419246.0000,2419246.0000,987377.0000,-1042225.0000,987377.0000,0.0000,,53085250.0000,53085250.0000,35393708.0000,73160192.0000,72243207.0000,9.8746606624542488e-01,74508382.0000,73040942.0000,9.8030503467381702e-01,2.0642000000000000e+04,"Aa2","2017-07-18 00:00:00","Aa2",2033984990.0000,2906211228.5771,1.5100000000000000e+02,5.4366888810943530e-02,3.6000000000000000e+01,2.2382900000000000e+03,1.6800000000000000e+02
"BOLTON",12,12,"T",31799119.0000,1527731.0000,34186535.0000,713868.0000,107500.0000,0.0000,30000.0000,1387152.0000,2906198.0000,1381546.0000,2798698.0000,"N",4897507.0000,15817931.0000,21353960.0000,14696498.0000,1169514.0000,20410704.0000,0.0000,0.0000,471185.0000,471185.0000,472071.0000,78515.0000,472071.0000,0.0000,,11296259.0000,11296259.0000,0.0000,15823160.0000,15652602.0000,9.8922098999188535e-01,15949111.0000,15736518.0000,9.8667054232677920e-01,4.9300000000000000e+03,"Aa3","2017-07-18 00:00:00","Aa3",428519803.0000,615311148.1076,1.0000000000000000e+01,3.8194444444444448e-02,3.6770000000000003e+01,7.5917999999999995e+02,1.0000000000000000e+01
"BOZRAH",13,13,"NL",6194099.0000,115071.0000,6319287.0000,470936.0000,0.0000,0.0000,0.0000,0.0000,650944.0000,650944.0000,650944.0000,"N",2217063.0000,6034430.0000,8519509.0000,5925910.0000,493360.0000,8180180.0000,0.0000,0.0000,0.0000,0.0000,339329.0000,-101185.0000,339329.0000,0.0000,,2918689.0000,2918689.0000,405338.0000,5970977.0000,5847985.0000,9.7940169590336723e-01,6297901.0000,5994032.0000,9.5175074997209386e-01,2.5780000000000000e+03,,"2017-07-18 00:00:00",,220073977.0000,299941184.0769,4.0000000000000000e+00,4.6121593291404611e-02,2.7000000000000000e+01,3.0769999999999999e+02,7.0000000000000000e+00
"BRANFORD",14,14,"NH",91199411.0000,52939054.0000,144436372.0000,12948523.0000,16297.0000,0.0000,64517.0000,3250167.0000,24617864.0000,21286883.0000,24601567.0000,"N",8854178.0000,94484140.0000,108909565.0000,59226125.0000,8018795.0000,105369094.0000,597452.0000,597452.0000,4280246.0000,4280246.0000,-142323.0000,1792501.0000,-142323.0000,0.0000,,37176199.0000,37176199.0000,15132347.0000,94341895.0000,92889024.0000,9.8459993834128512e-01,97677289.0000,94101089.0000,9.6338759975207744e-01,2.8028000000000000e+04,,"2017-07-18 00:00:00","Aa1",3485684401.0000,4981495539.9943,8.6000000000000000e+01,4.6473756733057744e-02,2.6930000000000000e+01,3.1215200000000000e+03,1.0550000000000000e+02
"BRIDGEPORT",15,15,"F",813952729.0000,-1061684357.0000,-244663065.0000,51825413.0000,350000.0000,0.0000,0.0000,0.0000,14619142.0000,14269142.0000,14269142.0000,"N",234246831.0000,299380641.0000,567250296.0000,273774169.0000,73557934.0000,569926736.0000,3313024.0000,73458939.0000,316915.0000,69876818.0000,319669.0000,317645.0000,905681.0000,0.0000,,627370200.0000,627370200.0000,364747226.0000,298378832.0000,293406881.0000,9.8333678375683164e-01,342229488.0000,295217003.0000,8.6262877207121325e-01,1.4593600000000000e+05,"A2","2017-07-18 00:00:00","A2",7136523574.0000,8791072382.5945,2.1790000000000000e+03,7.5739240614455944e-02,4.2198000000000000e+01,2.0945509999999998e+04,2.5305000000000000e+03
"BRIDGEWATER",16,16,"L",4291393.0000,3591443.0000,9171705.0000,400496.0000,0.0000,0.0000,0.0000,1821851.0000,3327649.0000,1505798.0000,3327649.0000,"N",222017.0000,6770619.0000,7276705.0000,4368358.0000,0.0000,6962877.0000,44409.0000,44409.0000,159000.0000,159000.0000,199237.0000,-209300.0000,199237.0000,0.0000,278235.0312,0.0000,278235.0312,0.0000,6727869.0000,6708829.0000,9.9716998056888440e-01,6756631.0000,6723549.0000,9.9510377287142071e-01,1.6480000000000000e+03,,"2017-07-18 00:00:00",,390634084.0000,508540109.4574,0.0000000000000000e+00,3.5799522673031027e-02,1.7250000000000000e+01,1.3622999999999999e+02,0.0000000000000000e+00
"BRISTOL",17,17,"H",268588824.0000,81904688.0000,530100045.0000,-7378313.0000,8817.0000,0.0000,3064919.0000,4345929.0000,36156832.0000,28737167.0000,36148015.0000,"N",65965354.0000,134031402.0000,207319190.0000,105974983.0000,8883863.0000,189160154.0000,74132.0000,74132.0000,13793319.0000,13793319.0000,4439849.0000,790839.0000,4439849.0000,0.0000,,60208703.0000,60208703.0000,9428337.0000,134361000.0000,131820000.0000,9.8108826221894752e-01,137717000.0000,133562000.0000,9.6982943282238210e-01,6.0147000000000000e+04,"Aa2","2017-07-18 00:00:00","Aa2",3821929916.0000,5414806061.0109,7.6500000000000000e+02,5.6638190496458213e-02,3.4609999999999999e+01,8.3927800000000007e+03,8.6800000000000000e+02
"BROOKFIELD",18,18,"F",40718435.0000,-9074155.0000,31644280.0000,541830.0000,0.0000,0.0000,390319.0000,0.0000,5337010.0000,4946691.0000,5337010.0000,"N",6560717.0000,57852688.0000,65408925.0000,44101873.0000,3943835.0000,64333468.0000,0.0000,113520.0000,986221.0000,986221.0000,89236.0000,-1018500.0000,202756.0000,0.0000,,32853798.0000,32853798.0000,5034503.0000,57482464.0000,57032684.0000,9.9217535281716529e-01,58269638.0000,57518090.0000,9.8710223667426933e-01,1.7098000000000000e+04,"Aa2","2017-07-18 00:00:00","Aa2",2240023646.0000,3155246251.4423,1.0000000000000000e+01,4.1224970553592463e-02,2.5699999999999999e+01,2.7313600000000001e+03,1.2000000000000000e+01
"BROOKLYN",19,19,"W",24593885.0000,-2627385.0000,22554667.0000,-2002347.0000,6900.0000,32351.0000,0.0000,128118.0000,771498.0000,604129.0000,732247.0000,"Y",8359463.0000,13216352.0000,22169123.0000,17955158.0000,5391938.0000,22322068.0000,0.0000,0.0000,939485.0000,939485.0000,-1092430.0000,-877564.0000,-1092430.0000,0.0000,,5270000.0000,5270000.0000,2477469.0000,13036384.0000,12857963.0000,9.8631361273187412e-01,13356583.0000,13056507.0000,9.7753347544053748e-01,8.2050000000000000e+03,,"2017-07-18 00:00:00",,554246087.0000,744968938.9823,4.3000000000000000e+01,5.1601858645145514e-02,2.3430000000000000e+01,1.2254000000000001e+03,4.8500000000000000e+01
"BURLINGTON",20,20,"H",9164628.0000,10409476.0000,19857701.0000,1750638.0000,0.0000,0.0000,310000.0000,977019.0000,5845579.0000,4558560.0000,5845579.0000,"N",6239951.0000,28289694.0000,35810524.0000,24619045.0000,530418.0000,36164294.0000,1922411.0000,1922411.0000,984909.0000,984909.0000,583732.0000,-22449.0000,583732.0000,0.0000,11433825.2997,4376257.0000,15810082.2997,666204.0000,28062665.0000,27861413.0000,9.9282847869224111e-01,28648198.0000,28190320.0000,9.8401721462550629e-01,9.6140000000000000e+03,"Aa2","2017-07-18 00:00:00","Aa2",899396283.0000,1307588290.8638,6.0000000000000000e+00,4.2288557213930350e-02,3.1100000000000001e+01,1.6243099999999999e+03,7.0000000000000000e+00
"CANAAN",21,21,"L",1835998.0000,3238421.0000,5154870.0000,139446.0000,0.0000,0.0000,12526.0000,218188.0000,863459.0000,632745.0000,863459.0000,"N",852229.0000,4095100.0000,5161835.0000,3111571.0000,279299.0000,4870553.0000,0.0000,0.0000,147060.0000,147060.0000,144222.0000,-49595.0000,144222.0000,0.0000,279774.0532,2799325.0000,3079099.0532,0.0000,4049996.0000,3974930.0000,9.8146516687917718e-01,4192146.0000,4057192.0000,9.6780789600362205e-01,1.0560000000000000e+03,,"2017-07-18 00:00:00",,172486100.0000,242191013.7845,4.0000000000000000e+00,2.9702970297029702e-02,2.3500000000000000e+01,1.1145000000000000e+02,7.5000000000000000e+00
"CANTERBURY",22,22,"W",9885741.0000,3664213.0000,17339129.0000,1124319.0000,0.0000,33377.0000,7987.0000,585581.0000,2222162.0000,1595217.0000,2188785.0000,"N",6097579.0000,8731191.0000,15100560.0000,12129756.0000,71981.0000,14700660.0000,0.0000,0.0000,375000.0000,375000.0000,24900.0000,-204439.0000,24900.0000,0.0000,,330000.0000,330000.0000,262895.0000,8547776.0000,8449483.0000,9.8850075154051764e-01,8826908.0000,8654090.0000,9.8042145675473225e-01,5.0650000000000000e+03,,"2017-07-18 00:00:00",,392665406.0000,519471943.9391,1.5000000000000000e+01,5.3272980501392758e-02,2.1649999999999999e+01,6.4858000000000004e+02,1.7000000000000000e+01
"CANTON",23,23,"H",71995080.0000,3151643.0000,75981717.0000,860116.0000,60060.0000,0.0000,0.0000,165121.0000,6100036.0000,5874855.0000,6039976.0000,"N",7133342.0000,32330018.0000,40205463.0000,27532880.0000,1835591.0000,37948054.0000,0.0000,0.0000,1808533.0000,1808533.0000,448876.0000,49701.0000,448876.0000,0.0000,,17636365.0000,17636365.0000,7765218.0000,32173858.0000,31950097.0000,9.9304525431796209e-01,32942431.0000,32361346.0000,9.8236059142083354e-01,1.0287000000000000e+04,"Aa2","2017-07-18 00:00:00","Aa2",1100809533.0000,1537052180.4934,1.1000000000000000e+01,3.8793863516134723e-02,2.9190000000000001e+01,1.6382100000000000e+03,1.2000000000000000e+01
"CHAPLIN",24,24,"W",7200826.0000,1069006.0000,8389784.0000,324640.0000,1151.0000,67191.0000,0.0000,52721.0000,918440.0000,797377.0000,850098.0000,"Y",2704394.0000,5599463.0000,8407336.0000,6158721.0000,43749.0000,7892871.0000,0.0000,0.0000,571528.0000,571528.0000,-57063.0000,-23024.0000,-57063.0000,0.0000,0.0000,98775.0000,98775.0000,0.0000,5560595.0000,5482932.0000,9.8603332916711250e-01,5670570.0000,5559408.0000,9.8039667969886624e-01,2.2460000000000000e+03,,"2017-07-18 00:00:00",,157184170.0000,227120154.8863,1.3000000000000000e+01,5.6754596322941650e-02,3.5049999999999997e+01,2.8763000000000000e+02,1.7000000000000000e+01
"CHESHIRE",25,25,"NH",127363312.0000,-24136381.0000,108172179.0000,5964240.0000,76554.0000,0.0000,100000.0000,2231241.0000,11805369.0000,9397574.0000,11728815.0000,"N",25313541.0000,83973691.0000,112704206.0000,75896046.0000,7603255.0000,112533678.0000,753657.0000,7188737.0000,1185000.0000,7503509.0000,-260815.0000,-219252.0000,-144244.0000,0.0000,,67885078.0000,67885078.0000,37810874.0000,83710090.0000,83523479.0000,9.9777074663281329e-01,83872028.0000,83621913.0000,9.9701789731375046e-01,2.9282000000000000e+04,"Aa1","2017-07-18 00:00:00","Aa1",2726793817.0000,4154525677.5002,3.2000000000000000e+01,3.7474332648870637e-02,3.0690000000000001e+01,4.4013900000000003e+03,4.0500000000000000e+01
"CHESTER",26,26,"M",11424792.0000,3213271.0000,14927318.0000,1286913.0000,0.0000,0.0000,0.0000,221734.0000,2110834.0000,1889100.0000,2110834.0000,"N",1394270.0000,11109486.0000,13033658.0000,8819133.0000,227794.0000,12429308.0000,65275.0000,65275.0000,574312.0000,574312.0000,95313.0000,-14796.0000,95313.0000,0.0000,2383406.4099,1075605.0000,3459011.4099,836092.0000,11090749.0000,10952639.0000,9.8754727926851471e-01,11322959.0000,11059963.0000,9.7677320919381583e-01,4.2550000000000000e+03,"Aa3","2017-07-18 00:00:00","Aa3",443038190.0000,609028102.7026,1.0000000000000000e+00,3.8066723695466209e-02,2.5320000000000000e+01,4.4319999999999999e+02,2.5000000000000000e+00
"CLINTON",27,27,"M",61628096.0000,-11289980.0000,50338116.0000,12166120.0000,7275.0000,0.0000,350000.0000,239252.0000,6780608.0000,6184081.0000,6773333.0000,"N",11393179.0000,40509880.0000,53224618.0000,35148514.0000,3026526.0000,52496777.0000,45597.0000,4580718.0000,1892167.0000,5702896.0000,-1118729.0000,-551270.0000,-394337.0000,0.0000,,44636540.0000,44636540.0000,11844095.0000,40224220.0000,39951426.0000,9.9321816557288123e-01,40837552.0000,40127482.0000,9.8261232700726042e-01,1.2961000000000000e+04,"Aa2","2017-07-18 00:00:00","Aa2",1509702057.0000,2136348482.7734,2.2000000000000000e+01,4.0968858131487887e-02,2.6770000000000000e+01,1.8628900000000001e+03,2.0500000000000000e+01
"COLCHESTER",28,28,"NL",58665353.0000,7605717.0000,67802291.0000,-412471.0000,37820.0000,0.0000,418455.0000,502848.0000,6671056.0000,5711933.0000,6633236.0000,"N",19575213.0000,37712051.0000,58880023.0000,44296560.0000,2250840.0000,56640623.0000,0.0000,0.0000,1292550.0000,1292550.0000,946850.0000,444765.0000,946850.0000,0.0000,,12628171.0000,12628171.0000,531828.0000,37393155.0000,36947219.0000,9.8807439489928039e-01,38620553.0000,37468297.0000,9.7016469443096787e-01,1.6061000000000000e+04,"Aa3","2017-07-18 00:00:00","Aa3",1201873865.0000,1686095859.9365,4.8000000000000000e+01,4.3154761904761904e-02,3.0760000000000002e+01,2.7052900000000000e+03,5.5500000000000000e+01
"COLEBROOK",29,29,"L",8125448.0000,1316756.0000,9559525.0000,295204.0000,0.0000,0.0000,0.0000,0.0000,1276047.0000,1276047.0000,1276047.0000,"N",929084.0000,4832333.0000,5877067.0000,3821541.0000,69125.0000,5615722.0000,2000.0000,2000.0000,450000.0000,450000.0000,-186655.0000,85346.0000,-186655.0000,0.0000,272856.5031,400000.0000,672856.5031,0.0000,5019028.0000,4940233.0000,9.8430074508450638e-01,5191046.0000,5038342.0000,9.7058319267446291e-01,1.4300000000000000e+03,,"2017-07-18 00:00:00",,184066533.0000,225255646.3841,4.0000000000000000e+00,5.3380782918149468e-02,2.7800000000000001e+01,1.9534000000000000e+02,4.5000000000000000e+00
"COLUMBIA",30,30,"T",14910193.0000,4917351.0000,20283474.0000,338403.0000,37156.0000,0.0000,0.0000,400000.0000,3609955.0000,3172799.0000,3572799.0000,"Y",4737038.0000,12871153.0000,17979505.0000,13317717.0000,188500.0000,16875846.0000,33661.0000,33661.0000,1109346.0000,1109346.0000,27974.0000,704272.0000,27974.0000,0.0000,,799177.0000,799177.0000,0.0000,12792401.0000,12633343.0000,9.8756621215985962e-01,13003047.0000,12745391.0000,9.8018495203470390e-01,5.4330000000000000e+03,"Aa2","2017-07-18 00:00:00","Aa2",471633257.0000,732773607.3723,9.0000000000000000e+00,4.2967542503863990e-02,2.7129999999999999e+01,6.9763999999999999e+02,1.4500000000000000e+01
"CORNWALL",31,31,"L",5808539.0000,3227661.0000,9077868.0000,232283.0000,7984.0000,0.0000,0.0000,476655.0000,2145671.0000,1661032.0000,2137687.0000,"N",676544.0000,6236640.0000,7091466.0000,4320167.0000,175675.0000,6262565.0000,4154.0000,4154.0000,610000.0000,610000.0000,223055.0000,-32579.0000,223055.0000,0.0000,411424.2286,1315000.0000,1726424.2286,0.0000,6095638.0000,5965120.0000,9.7858829543355430e-01,6511521.0000,6097860.0000,9.3647244629941295e-01,1.3800000000000000e+03,"Aa2","2017-07-18 00:00:00","Aa2",403060810.0000,487020992.7964,0.0000000000000000e+00,2.7450980392156862e-02,1.5130000000000001e+01,1.2841000000000000e+02,0.0000000000000000e+00
"COVENTRY",32,32,"T",98581273.0000,12354787.0000,110941188.0000,953065.0000,417956.0000,37845.0000,0.0000,728280.0000,5998594.0000,4814513.0000,5542793.0000,"N",12724221.0000,29733732.0000,43067464.0000,30014124.0000,2637335.0000,42043589.0000,556720.0000,556720.0000,978212.0000,978212.0000,602383.0000,-118592.0000,602383.0000,0.0000,,20086314.0000,20086314.0000,3415656.0000,29216611.0000,28863937.0000,9.8792899012140734e-01,30016720.0000,29410526.0000,9.7980478879771005e-01,1.2433000000000000e+04,"Aa2","2017-07-18 00:00:00","Aa2",930610730.0000,1329903900.0029,3.1000000000000000e+01,4.2362002567394093e-02,3.1199999999999999e+01,1.7367400000000000e+03,3.6500000000000000e+01
"CROMWELL",33,33,"M",90372051.0000,8682716.0000,99115817.0000,625156.0000,0.0000,0.0000,872400.0000,24536.0000,8660937.0000,7764001.0000,8660937.0000,"N",7919803.0000,40874985.0000,50338557.0000,31204449.0000,3760638.0000,49063845.0000,536486.0000,3661486.0000,1979076.0000,5062154.0000,-167878.0000,940061.0000,-125956.0000,0.0000,,20855000.0000,20855000.0000,6035438.0000,40850410.0000,40500455.0000,9.9143325611664612e-01,41199832.0000,40590925.0000,9.8522064361815842e-01,1.3960000000000000e+04,,"2017-07-18 00:00:00",,1289926800.0000,1881010740.5400,2.4000000000000000e+01,4.3802070184296896e-02,3.1379999999999999e+01,2.1043800000000001e+03,3.0500000000000000e+01
"DANBURY",34,34,"F",180033946.0000,-120757261.0000,60887810.0000,-7288033.0000,52415.0000,0.0000,0.0000,4290436.0000,32989229.0000,28646378.0000,32936814.0000,"N",47213313.0000,196683257.0000,258267443.0000,144825555.0000,23898041.0000,254116299.0000,6167.0000,19333530.0000,6072864.0000,21934935.0000,-1915553.0000,2585168.0000,1549739.0000,0.0000,,150204619.0000,150204619.0000,120455117.0000,196409119.0000,193832390.0000,9.8688080770832232e-01,203904860.0000,196698205.0000,9.6465677669477812e-01,8.4992000000000000e+04,"Aa1","2017-07-18 00:00:00","Aa1",6947001073.0000,10072276172.6659,2.3500000000000000e+02,4.2269893268519494e-02,2.8260000000000002e+01,1.0870820000000000e+04,2.6300000000000000e+02
"DARIEN",35,35,"F",106976946.0000,46569115.0000,153546061.0000,6657910.0000,42482.0000,0.0000,354394.0000,1645899.0000,20285808.0000,18243033.0000,20243326.0000,"N",14386285.0000,128492997.0000,149248923.0000,102402057.0000,11461556.0000,143916308.0000,654567.0000,8950330.0000,4960910.0000,13049133.0000,1026272.0000,586309.0000,1233812.0000,0.0000,,71566369.0000,71566369.0000,0.0000,128188881.0000,127664185.0000,9.9590685248278277e-01,128931360.0000,128009636.0000,9.9285104880612440e-01,2.1744000000000000e+04,"Aaa","2017-07-18 00:00:00","Aaa",8356198215.0000,13560177772.6268,1.1000000000000000e+01,4.2373859831428239e-02,1.5350000000000000e+01,4.8599399999999996e+03,1.3000000000000000e+01
"DEEP RIVER",36,36,"M",12657465.0000,-158341.0000,12738367.0000,2393318.0000,0.0000,0.0000,0.0000,71413.0000,733285.0000,661872.0000,733285.0000,"N",2987550.0000,13229459.0000,17233872.0000,11812374.0000,171633.0000,16770475.0000,0.0000,0.0000,186062.0000,186062.0000,277335.0000,280895.0000,277335.0000,0.0000,3147408.1760,278968.0000,3426376.1760,1712801.0000,13156026.0000,12978371.0000,9.8649630215081663e-01,13521825.0000,13194886.0000,9.7582138505712057e-01,4.4820000000000000e+03,,"2017-07-18 00:00:00",,499546159.0000,706233945.5295,9.0000000000000000e+00,3.7662794790566702e-02,2.6280000000000001e+01,6.2439999999999998e+02,1.3500000000000000e+01
