Municipality,Comptroller Town Code,County_Identifier,Net Investment In Capital Assets,Unrestricted Net Position,Total Net Position,Change In Net Position,Nonspendable_Fund_Bal,Restricted_Fund_Bal,Committed_Fund_Bal,Assigned_Fund_Bal,Total_Fund_Bal,Unassigned_Fund_Bal,Unrestricted_Fund_Bal,Restatement of Fund Balance (Y or N),Inter_Gov_Rev,Tax_Rev,Total_Revenue,Education,Debt_Service,Total_Expenditures,TOTAL_Trans_to_Genl_Fund,Other_Financing_Sources,TOTAL_Trans_from_Genl_Fund,Other_Financing_Uses,Operating_Surplus_(Deficit)_Including_Transfers,Prior_Yr_OP_Surplus_(Def)_including_sources_and_uses,Operating_Surplus_(Deficit)_Including_Sources_And_Uses,Special / Extraordinary Items,Largest Deficit - Individual Enterprise Fund,Largest Deficit - Individual Internal Service Fund,RSD_DEBT,TOWN_Bonded_Long_Term_Debt,Total_Bonded_Long_Term_Debt_(RSD_+_Town),Total_Net_Pension_Liability,Total_Net_OPEB_Liability,Curr_Year_Adjusted_Taxes_Collectible,Curr_Year_Taxes_Collected,Curr_Year_Tax_Collection_Rate,Total_Adjusted_Taxes_Collectible,Total_Taxes_Collected,Overal_Total_Tax_Collection_Rate,2018 Population,Moody's_Bond_Ratings_Latest,Date of Latest Moody's Ratings,Moody's_Bond_Ratings_June_2018,area lmt,ACGLFY18,EGL,TFA18 Recipients,empl,ACMR,enrollmt,numbered
"MANSFIELD",,,90770895.0000,7443408.0000,98481420.0000,13407048.0000,0.0000,0.0000,0.0000,143303.0000,5992930.0000,5849627.0000,5992930.0000,"N",22738015.0000,33454572.0000,57260939.0000,38782783.0000,287125.0000,53018631.0000,2550.0000,2550.0000,4066680.0000,4066680.0000,178178.0000,1426523.0000,178178.0000,0.0000,0.0000,0.0000,729256.8954,1740000.0000,2469256.8954,8124478.0000,2952402.0000,33299172.0000,32921904.0000,9.8867034892038752e-01,33792698.0000,33202390.0000,9.8253149245437577e-01,2.5817000000000000e+04,"Aa3","2019-08-20 00:00:00","Aa3",4.4598999999999997e+01,1100408926.0000,1592412043.0000,,3.7893081761006288e-02,"30.63",1.7057200000000000e+03,79
"MARLBOROUGH",,,34858915.0000,11132701.0000,45991616.0000,3714060.0000,0.0000,0.0000,0.0000,263446.0000,3739946.0000,3476500.0000,3739946.0000,"N",4602288.0000,20622764.0000,25608601.0000,18101377.0000,2103085.0000,24788243.0000,412723.0000,539061.0000,747638.0000,747638.0000,485443.0000,611493.0000,611781.0000,0.0000,0.0000,0.0000,3820216.1685,12609548.0000,16429764.1685,0.0000,536577.0000,20541515.0000,20405343.0000,9.9337088817450903e-01,20751910.0000,20522189.0000,9.8893012739550235e-01,6.3580000000000000e+03,"Aa3","2019-08-20 00:00:00","Aa3",2.3350999999999999e+01,580840740.0000,857309243.9200,,3.2249173098125687e-02,"35.46 / 32.00",1.0255899999999999e+03,80
"MERIDEN",,,297246738.0000,-207499509.0000,90781490.0000,-3312782.0000,147597.0000,946890.0000,393287.0000,0.0000,16310125.0000,14822351.0000,15215638.0000,"N",85155417.0000,124977764.0000,216156928.0000,123978485.0000,19134792.0000,221387613.0000,3384094.0000,3384094.0000,174868.0000,174868.0000,-2021459.0000,186289.0000,-2021459.0000,0.0000,-283177.0000,-5168483.0000,,147916165.0000,147916165.0000,139782739.0000,54729602.0000,123968662.0000,121577654.0000,9.8071280304695074e-01,131737361.0000,123850205.0000,9.4012969487069042e-01,5.9540000000000000e+04,,"2019-08-20 00:00:00",,2.3792999999999999e+01,3098513504.0000,4437677591.4300,,4.7798350707950833e-02,"39.92 / 37.00",8.7807000000000007e+03,81
"MIDDLEBURY",,,30609368.0000,-3727667.0000,26881701.0000,-4090309.0000,207211.0000,0.0000,0.0000,0.0000,4318651.0000,4111440.0000,4111440.0000,"N",996539.0000,30144202.0000,32291618.0000,21513046.0000,789594.0000,31712978.0000,86742.0000,86742.0000,553916.0000,553916.0000,111466.0000,101089.0000,111466.0000,0.0000,0.0000,0.0000,3002537.6002,11960000.0000,14962537.6002,4455598.0000,7171125.0000,29920971.0000,29623119.0000,9.9004537653540725e-01,30806467.0000,29958862.0000,9.7248613416137597e-01,7.7310000000000000e+03,"Aa1","2019-08-20 00:00:00","Aa1",1.7751000000000001e+01,941650837.0000,1345565924.2900,,3.4022177419354836e-02,"31.49",1.2033299999999999e+03,82
"MIDDLEFIELD",,,8341332.0000,6246619.0000,14587951.0000,970354.0000,0.0000,0.0000,196000.0000,0.0000,2496291.0000,2300291.0000,2496291.0000,"N",2132599.0000,14012041.0000,16606970.0000,11970849.0000,486126.0000,15834025.0000,260911.0000,260911.0000,756766.0000,756766.0000,277090.0000,366935.0000,277090.0000,0.0000,0.0000,0.0000,1837938.9266,1344626.0000,3182564.9266,356490.0000,0.0000,13978474.0000,13758145.0000,9.8423797905264909e-01,14372937.0000,13991168.0000,9.7343834457772971e-01,4.3800000000000000e+03,,"2019-08-20 00:00:00",,1.2648999999999999e+01,400718630.0000,572716342.8600,,3.2539682539682542e-02,"36.61 / 32.00",5.7780999999999995e+02,83
"MILFORD",,,215426000.0000,-392473000.0000,-177047000.0000,-14739000.0000,21000.0000,0.0000,1368000.0000,11700000.0000,43329000.0000,30240000.0000,43308000.0000,"N",33542000.0000,181284000.0000,229067000.0000,133893000.0000,17479000.0000,223527000.0000,0.0000,16871000.0000,891000.0000,15839000.0000,4649000.0000,6884000.0000,6572000.0000,0.0000,0.0000,-510000.0000,,163429000.0000,163429000.0000,62743000.0000,380153000.0000,180987000.0000,178854000.0000,9.8821462314972897e-01,188378000.0000,181857000.0000,9.6538343118623193e-01,5.4661000000000000e+04,"Aa1","2019-08-20 00:00:00","Aa1",2.2175000000000001e+01,6556116868.0000,9373441511.4300,,3.7591516464755899e-02,"27.79",5.8213199999999997e+03,85
"MONROE",,,51539596.0000,-3868141.0000,48563487.0000,5033243.0000,55908.0000,388069.0000,0.0000,2094776.0000,15287874.0000,12749121.0000,14843897.0000,"N",18055609.0000,76743249.0000,97355639.0000,67010629.0000,6106639.0000,93674089.0000,0.0000,307092.0000,1157653.0000,1157653.0000,2523897.0000,2704526.0000,2830989.0000,0.0000,0.0000,-687736.0000,,40234951.0000,40234951.0000,6003263.0000,11817954.0000,76796399.0000,75961577.0000,9.8912941217465156e-01,77784570.0000,76496167.0000,9.8343626505873849e-01,1.9470000000000000e+04,"Aa2","2019-08-20 00:00:00","Aa2",2.6073000000000000e+01,2158777057.0000,3175730980.8000,,3.6897813829261057e-02,"35.76 / 32.00",3.1795500000000002e+03,86
"MONTVILLE",,,65028328.0000,9413920.0000,74615857.0000,2087017.0000,0.0000,593151.0000,717923.0000,353170.0000,11530618.0000,9866374.0000,10937467.0000,"N",20002464.0000,41516832.0000,65184644.0000,42052559.0000,4544278.0000,64468325.0000,20584.0000,1169443.0000,689813.0000,689813.0000,47090.0000,362620.0000,1195949.0000,0.0000,0.0000,0.0000,,29693389.0000,29693389.0000,6671614.0000,1753853.0000,40017994.0000,39214729.0000,9.7992740465701500e-01,42777723.0000,40496066.0000,9.4666249533664992e-01,1.8716000000000000e+04,"Aa3","2019-08-20 00:00:00","Aa3",4.1954000000000001e+01,1253643547.0000,1791570395.7100,,4.1418228279386710e-02,"31.70",2.3636100000000001e+03,87
"MORRIS",,,4875940.0000,2593808.0000,7469748.0000,174920.0000,1600.0000,0.0000,94423.0000,250000.0000,1750561.0000,1404538.0000,1748961.0000,"N",106914.0000,8888742.0000,9179690.0000,6597310.0000,0.0000,8979453.0000,0.0000,0.0000,90000.0000,90000.0000,110237.0000,65164.0000,110237.0000,0.0000,0.0000,0.0000,1033172.4079,0.0000,1033172.4079,768331.0000,0.0000,8864740.0000,8706839.0000,9.8218774605910608e-01,9042266.0000,8802790.0000,9.7351593063066266e-01,2.2620000000000000e+03,,"2019-08-20 00:00:00",,1.7346000000000000e+01,307742695.0000,455342094.6100,,3.4602076124567477e-02,"28.65",2.6118000000000001e+02,88
"NAUGATUCK",,,170382476.0000,-258687232.0000,-85632550.0000,1901767.0000,0.0000,0.0000,0.0000,3104809.0000,15148273.0000,12043464.0000,15148273.0000,"N",43224128.0000,79236973.0000,129882348.0000,72819498.0000,9944755.0000,127287269.0000,1325101.0000,1568287.0000,1692752.0000,1692752.0000,2227428.0000,448933.0000,2470614.0000,0.0000,0.0000,0.0000,,96261527.0000,96261527.0000,33659222.0000,184548947.0000,76544335.0000,73451935.0000,9.5959988417170261e-01,86567587.0000,77301988.0000,8.9296687916228967e-01,3.1288000000000000e+04,"Aa3","2019-08-20 00:00:00","Aa3",1.6308000000000000e+01,1605979386.0000,2313557449.9600,,4.6712901931564167e-02,"48.55 / 37.00",4.5051199999999999e+03,89
"NEW CANAAN",,,137636402.0000,37686105.0000,180742866.0000,14891010.0000,360935.0000,0.0000,0.0000,5160413.0000,31516489.0000,25995141.0000,31155554.0000,"N",18968080.0000,138764292.0000,164501836.0000,103797257.0000,18211275.0000,160501886.0000,10000.0000,822642.0000,2592344.0000,2592344.0000,1417606.0000,323103.0000,2230248.0000,0.0000,0.0000,0.0000,,123581534.0000,123581534.0000,0.0000,15247770.0000,138764406.0000,138231071.0000,9.9615654319883729e-01,139497781.0000,138631960.0000,9.9379329912065051e-01,2.0213000000000000e+04,"Aaa","2019-08-20 00:00:00","Aaa",2.2195000000000000e+01,8295552062.0000,11927334535.6200,,3.1562648880419250e-02,"16.67",4.2543599999999997e+03,91
"NEW FAIRFIELD",,,74267982.0000,13470282.0000,87964794.0000,2089982.0000,0.0000,0.0000,0.0000,2950627.0000,10155232.0000,7204605.0000,10155232.0000,"Y",13169118.0000,47562514.0000,62533002.0000,41805563.0000,2422133.0000,59464826.0000,0.0000,0.0000,535808.0000,535808.0000,2532368.0000,1074000.0000,2532368.0000,0.0000,0.0000,0.0000,,19108602.0000,19108602.0000,1530632.0000,2909956.0000,47366920.0000,47069562.0000,9.9372224328708725e-01,47763545.0000,47342448.0000,9.9118371553032758e-01,1.3877000000000000e+04,,"2019-08-20 00:00:00","Aa1",2.0442000000000000e+01,1593090313.0000,2403502028.2900,,3.3655868742111905e-02,"29.82",2.2490000000000000e+03,92
"NEW HARTFORD",,,13405590.0000,2002646.0000,16040955.0000,117389.0000,29450.0000,17936.0000,0.0000,547333.0000,3390872.0000,2796153.0000,3343486.0000,"N",4324932.0000,20236342.0000,25019585.0000,19017629.0000,676865.0000,24517655.0000,860620.0000,860620.0000,313431.0000,313431.0000,1049119.0000,-1602292.0000,1049119.0000,0.0000,0.0000,0.0000,830030.5841,8748673.0000,9578703.5841,1400129.0000,0.0000,20090033.0000,19865440.0000,9.8882067540655605e-01,20548535.0000,20189925.0000,9.8254814759300357e-01,6.6850000000000000e+03,"Aa3","2019-08-20 00:00:00","Aa3",3.7037999999999997e+01,658379369.0000,960479365.1100,,3.3665835411471320e-02,"30.28",9.8851999999999998e+02,93
"NEW HAVEN",,,1001195147.0000,-1369562105.0000,-348218419.0000,-107088067.0000,0.0000,0.0000,0.0000,0.0000,-10603115.0000,-10603115.0000,-10603115.0000,"N",299089386.0000,253562833.0000,607787354.0000,260920722.0000,41581266.0000,605765016.0000,0.0000,44697904.0000,15521013.0000,53928997.0000,-13498675.0000,-5417965.0000,-7208755.0000,0.0000,-5546.0000,0.0000,,612962784.0000,612962784.0000,804230333.0000,616661212.0000,252804250.0000,247772318.0000,9.8009554032418367e-01,260666551.0000,250222687.0000,9.5993400779680393e-01,1.3041800000000000e+05,"Baa1","2019-08-20 00:00:00","Baa1",1.8678999999999998e+01,6573634272.0000,9408561904.2900,,5.0653821808469578e-02,"38.68 / 37.00",1.8962590000000000e+04,94
"NEW LONDON",,,176218811.0000,-45039346.0000,134343479.0000,-6621405.0000,0.0000,0.0000,0.0000,0.0000,12821728.0000,12821728.0000,12821728.0000,"N",40031084.0000,55632876.0000,101799856.0000,51008223.0000,6476811.0000,90377665.0000,0.0000,0.0000,6816950.0000,6816950.0000,4605241.0000,3466004.0000,4605241.0000,0.0000,0.0000,-1804137.0000,,65150870.0000,65150870.0000,28790733.0000,27375331.0000,56138026.0000,55084705.0000,9.8123694267411543e-01,57655569.0000,55669411.0000,9.6555132427883938e-01,2.6939000000000000e+04,,"2019-08-20 00:00:00",,5.6150000000000002e+00,1308497452.0000,1816064648.2000,,5.4954136021816376e-02,"44.26 / 37.00",3.6877300000000000e+03,95
"NEW MILFORD",,,113598527.0000,3378780.0000,141269165.0000,560098.0000,1900243.0000,351500.0000,406541.0000,2849409.0000,23069920.0000,17562227.0000,20818177.0000,"N",19793890.0000,79036659.0000,104487447.0000,68930536.0000,4995845.0000,103205210.0000,1767500.0000,2475995.0000,3381508.0000,3381508.0000,-331771.0000,1342075.0000,376724.0000,0.0000,0.0000,0.0000,,18278831.0000,18278831.0000,13871855.0000,14812121.0000,78497860.0000,77282440.0000,9.8451652057775840e-01,80367684.0000,78297467.0000,9.7424067862898722e-01,2.6974000000000000e+04,"Aa1","2019-08-20 00:00:00","Aa1",6.1566000000000003e+01,2881802498.0000,4182241084.5000,,3.6024762908324549e-02,"27.25",4.0484200000000001e+03,96
"NEWINGTON",,,87484000.0000,-27772000.0000,60383000.0000,345000.0000,0.0000,0.0000,297000.0000,5970000.0000,21545000.0000,15278000.0000,21545000.0000,"N",28888000.0000,95968000.0000,126486000.0000,84487000.0000,1448000.0000,123269000.0000,124000.0000,124000.0000,3040000.0000,3040000.0000,301000.0000,-712000.0000,301000.0000,0.0000,0.0000,0.0000,,5269000.0000,5269000.0000,48913000.0000,18121000.0000,95685000.0000,94774000.0000,9.9047917646444061e-01,96696000.0000,95228000.0000,9.8481839993381315e-01,3.0112000000000000e+04,,"2019-08-20 00:00:00",,1.3141000000000000e+01,2609986139.0000,3912907247.8800,,3.6047911055074787e-02,"36.59 / 32.00",4.2133999999999996e+03,97
"NEWTOWN",,,232743644.0000,2050448.0000,247217899.0000,3158496.0000,0.0000,0.0000,175484.0000,390306.0000,13392580.0000,12826790.0000,13392580.0000,"N",16487004.0000,104543685.0000,124071145.0000,83138798.0000,9184280.0000,122524455.0000,350000.0000,464065.0000,1883359.0000,1883359.0000,13331.0000,952894.0000,127396.0000,0.0000,0.0000,0.0000,,73271592.0000,73271592.0000,15514268.0000,6729770.0000,104201004.0000,103526641.0000,9.9352824853779720e-01,105847099.0000,103957357.0000,9.8214649227183826e-01,2.7774000000000000e+04,"Aa1","2019-08-20 00:00:00","Aa1",5.7658999999999999e+01,3112856918.0000,4595571873.2800,,3.4584980237154152e-02,"33.87 / 32.00",4.3898000000000002e+03,98
"NORFOLK",,,5471201.0000,3159402.0000,8630603.0000,1375445.0000,0.0000,0.0000,0.0000,0.0000,1311741.0000,1311741.0000,1311741.0000,"N",691497.0000,6708238.0000,7640488.0000,4661009.0000,264506.0000,7443628.0000,5590.0000,5590.0000,149324.0000,149324.0000,53126.0000,56310.0000,53126.0000,0.0000,0.0000,0.0000,145028.0015,1721195.0000,1866223.0015,0.0000,0.0000,6686041.0000,6593174.0000,9.8611031550659056e-01,6817210.0000,6660360.0000,9.7699205393408739e-01,1.6400000000000000e+03,,"2019-08-20 00:00:00",,4.5322000000000003e+01,300968445.0000,372322901.9400,,3.5947712418300651e-02,"22.45",1.8653000000000000e+02,99
"NORTH BRANFORD",,,72356603.0000,-5096450.0000,68199137.0000,1755425.0000,3269.0000,0.0000,350000.0000,1227317.0000,10168231.0000,8587645.0000,10164962.0000,"N",12970757.0000,42802448.0000,56690150.0000,35915292.0000,13906893.0000,63815386.0000,66236.0000,9601999.0000,951958.0000,951958.0000,-8010958.0000,508494.0000,1524805.0000,0.0000,0.0000,0.0000,,27743316.0000,27743316.0000,12470981.0000,5032484.0000,41540837.0000,40978419.0000,9.8646108165803204e-01,42733737.0000,41349555.0000,9.6760915152353744e-01,1.4158000000000000e+04,"Aa2","2019-08-20 00:00:00","Aa2",2.4757000000000001e+01,1237226982.0000,1820454894.4200,,3.5002430724355861e-02,"33.51 / 32.00",1.8342800000000000e+03,100
"NORTH CANAAN",,,9044722.0000,3831846.0000,13975626.0000,261506.0000,0.0000,0.0000,0.0000,0.0000,2048006.0000,2048006.0000,2048006.0000,"N",2702134.0000,9077980.0000,11972961.0000,9152011.0000,259037.0000,11483505.0000,0.0000,44330.0000,204740.0000,204740.0000,284716.0000,618496.0000,329046.0000,0.0000,0.0000,0.0000,2007967.8786,457150.0000,2465117.8786,0.0000,0.0000,9031182.0000,8785626.0000,9.7281020358132519e-01,9655885.0000,8991337.0000,9.3117689367675771e-01,3.2540000000000000e+03,,"2019-08-20 00:00:00",,1.9466000000000001e+01,327861960.0000,431908297.6000,,3.5254616675993285e-02,"27.50",3.8180000000000001e+02,101
"NORTH HAVEN",,,62724007.0000,-100193538.0000,-32857989.0000,3698083.0000,0.0000,0.0000,0.0000,4207067.0000,12250458.0000,8043391.0000,12250458.0000,"Y",14591953.0000,85795155.0000,104529510.0000,62750555.0000,6790890.0000,106468449.0000,284103.0000,284103.0000,0.0000,0.0000,-1654836.0000,1925553.0000,-1654836.0000,0.0000,0.0000,-286426.0000,,93868809.0000,93868809.0000,24430316.0000,67792858.0000,85547698.0000,84454839.0000,9.8722515011450107e-01,87763860.0000,84918618.0000,9.6758071032883008e-01,2.3691000000000000e+04,"Aa1","2019-08-20 00:00:00","Aa1",2.0840000000000000e+01,2799340699.0000,4231389799.1700,,3.5509565994193401e-02,"30.53",3.2016700000000001e+03,102
"NORTH STONINGTON",,,11970025.0000,1003510.0000,13239945.0000,2279482.0000,2276.0000,0.0000,0.0000,447447.0000,3639970.0000,3190247.0000,3637694.0000,"N",6609834.0000,15220575.0000,22372140.0000,15474599.0000,119708.0000,20326502.0000,0.0000,0.0000,1390138.0000,1390138.0000,655500.0000,870488.0000,655500.0000,0.0000,0.0000,0.0000,,9783019.0000,9783019.0000,0.0000,4213666.0000,14690828.0000,14494097.0000,9.8660858326024914e-01,15366739.0000,15044168.0000,9.7900849360427089e-01,5.2430000000000000e+03,,"2019-08-20 00:00:00",,5.4247999999999998e+01,522068114.0000,844064866.0400,,3.4506089309878217e-02,"28.00",7.7258000000000004e+02,103
"NORWALK",,,341478981.0000,-134572005.0000,207673981.0000,127707945.0000,19471.0000,0.0000,1487147.0000,2038374.0000,61221446.0000,57676454.0000,61201975.0000,"N",61472755.0000,312363371.0000,392340354.0000,228163260.0000,26235447.0000,360819808.0000,0.0000,0.0000,25898875.0000,25898875.0000,5621671.0000,4506174.0000,5621671.0000,0.0000,0.0000,0.0000,,236971340.0000,236971340.0000,93254975.0000,77979740.0000,312751089.0000,309333318.0000,9.8907191335151512e-01,319020062.0000,313259613.0000,9.8194330173504885e-01,8.9047000000000000e+04,"Aaa","2019-08-20 00:00:00","Aaa",2.2859999999999999e+01,12201892347.0000,19248812948.6200,,3.6870804543396522e-02,"25.26 / 29.34",1.1916070000000000e+04,104
"NORWICH",,,77058000.0000,-58803000.0000,19952000.0000,317000.0000,0.0000,0.0000,0.0000,261000.0000,15564000.0000,15303000.0000,15564000.0000,"N",48284000.0000,74954000.0000,127017000.0000,88133000.0000,6099000.0000,128523000.0000,6351000.0000,6351000.0000,6962000.0000,6962000.0000,-2117000.0000,2802000.0000,-2117000.0000,0.0000,-448000.0000,-1005000.0000,,45514000.0000,45514000.0000,75908000.0000,34607000.0000,74348000.0000,71998000.0000,9.6839188680260402e-01,77708000.0000,73540000.0000,9.4636330879703501e-01,3.9136000000000000e+04,"Aa3","2019-08-20 00:00:00","Aa3",2.8062000000000001e+01,1832251982.0000,2711519845.6900,,4.4913419913419912e-02,"40.52 / 39.00",5.2959799999999996e+03,105
"OLD LYME",,,19607377.0000,12737475.0000,32344852.0000,1477360.0000,1021741.0000,0.0000,0.0000,867585.0000,10570782.0000,8681456.0000,9549041.0000,"N",692010.0000,34475162.0000,36242122.0000,26535202.0000,353048.0000,35023239.0000,38400.0000,38598.0000,631000.0000,631000.0000,626283.0000,893589.0000,626481.0000,0.0000,0.0000,0.0000,21904054.0433,2135000.0000,24039054.0433,0.0000,0.0000,34244763.0000,33862739.0000,9.8884430883636132e-01,34891535.0000,34240586.0000,9.8134364108658445e-01,7.3660000000000000e+03,,"2019-08-20 00:00:00",,2.3015000000000001e+01,1574339205.0000,2282498687.2600,,3.5969320285638720e-02,"21.75",1.0306600000000001e+03,106
"OLD SAYBROOK",,,77611853.0000,-13837326.0000,63923686.0000,3112348.0000,0.0000,143100.0000,299956.0000,0.0000,6649966.0000,6206910.0000,6506866.0000,"Y",3939889.0000,44196678.0000,49473534.0000,27477801.0000,3997531.0000,47963463.0000,331367.0000,7232028.0000,1214225.0000,7802578.0000,627213.0000,1165967.0000,939521.0000,0.0000,0.0000,0.0000,,30171310.0000,30171310.0000,6099961.0000,11456353.0000,44068196.0000,43732460.0000,9.9238144443217058e-01,44477284.0000,44012511.0000,9.8955032865765813e-01,1.0087000000000000e+04,"Aa2","2019-08-20 00:00:00","Aa2",1.5044000000000000e+01,2246098070.0000,3240199816.1100,,3.3861812487766686e-02,"19.66",1.2502700000000000e+03,107
"ORANGE",,,31584755.0000,-25875862.0000,5735517.0000,2671031.0000,13400.0000,0.0000,319243.0000,1313289.0000,14692614.0000,13046682.0000,14679214.0000,"N",5688160.0000,64519173.0000,73760847.0000,47815160.0000,2540473.0000,71006938.0000,364626.0000,364626.0000,1169000.0000,1169000.0000,1949535.0000,1493054.0000,1949535.0000,0.0000,0.0000,0.0000,13751454.1105,27065000.0000,40816454.1105,13367532.0000,35903394.0000,64408494.0000,64011829.0000,9.9384141787261782e-01,64826058.0000,64420712.0000,9.9374717494005260e-01,1.3949000000000000e+04,,"2019-08-20 00:00:00",,1.7181000000000001e+01,1966148250.0000,2999466924.2700,,3.2253674469243335e-02,"33.28",2.2798400000000001e+03,108
"OXFORD",,,69686643.0000,8884878.0000,78628373.0000,-1996771.0000,45845.0000,0.0000,0.0000,3540000.0000,11930095.0000,8344250.0000,11884250.0000,"N",10495690.0000,33473205.0000,45628534.0000,35145429.0000,2845558.0000,50276588.0000,0.0000,9390134.0000,3289571.0000,9185571.0000,-7937625.0000,4041450.0000,-4443491.0000,0.0000,0.0000,0.0000,,25380583.0000,25380583.0000,4582463.0000,2998925.0000,32984156.0000,32549269.0000,9.8681527579483919e-01,34579400.0000,33120388.0000,9.5780690237540267e-01,1.3226000000000000e+04,"Aa2","2019-08-20 00:00:00","Aa2",3.2741999999999997e+01,1476958076.0000,2220174858.8700,,3.3714126497631655e-02,"22.21",1.9050200000000000e+03,109
"PLAINFIELD",,,60324489.0000,-2317837.0000,58417454.0000,-891095.0000,6080.0000,12310.0000,0.0000,1332542.0000,9720120.0000,8369188.0000,9701730.0000,"N",20283224.0000,28148167.0000,50720542.0000,39487737.0000,1565638.0000,50050306.0000,0.0000,59191.0000,229278.0000,229278.0000,440958.0000,752151.0000,500149.0000,0.0000,0.0000,0.0000,,8289365.0000,8289365.0000,3849382.0000,8735325.0000,28229003.0000,27403664.0000,9.7076272938155128e-01,29696984.0000,27912617.0000,9.3991420138826220e-01,1.5173000000000000e+04,"Aa3","2019-08-20 00:00:00","Aa3",4.2359000000000002e+01,935517040.0000,1459675422.4700,,4.7273146546754297e-02,"29.92",2.2322900000000000e+03,110
"PLAINVILLE",,,91170486.0000,717567.0000,91888053.0000,-2794883.0000,102947.0000,0.0000,383869.0000,1013531.0000,9880827.0000,8380480.0000,9777880.0000,"N",17738273.0000,46661697.0000,65813720.0000,42747989.0000,5825800.0000,64114637.0000,329164.0000,329164.0000,2948251.0000,2948251.0000,-920004.0000,-107800.0000,-920004.0000,0.0000,0.0000,-2395855.0000,,33774573.0000,33774573.0000,5073693.0000,12590787.0000,46236414.0000,45519823.0000,9.8450158786103092e-01,48427085.0000,46309307.0000,9.5626872854312828e-01,1.7623000000000000e+04,"Aa3","2019-08-20 00:00:00","Aa3",9.7110000000000003e+00,1377467843.0000,1970685972.8600,,4.0685022234837734e-02,"32.68",2.2943099999999999e+03,111
"PLYMOUTH",,,159206125.0000,-21826316.0000,139048686.0000,1989172.0000,0.0000,0.0000,100000.0000,588034.0000,2371486.0000,1683452.0000,2371486.0000,"N",14690771.0000,29097402.0000,44335380.0000,27965488.0000,3069247.0000,43387511.0000,76950.0000,374870.0000,559661.0000,559661.0000,465158.0000,34859.0000,763078.0000,0.0000,0.0000,0.0000,,17915579.0000,17915579.0000,13390246.0000,18130527.0000,28810622.0000,28209789.0000,9.7914543462477133e-01,29607654.0000,28732779.0000,9.7045105296083234e-01,1.1645000000000000e+04,,"2019-08-20 00:00:00",,2.1891999999999999e+01,740300369.0000,1061913334.2900,,4.5958083832335329e-02,"39.69 / 32.00",1.6176600000000001e+03,112
"POMFRET",,,12610425.0000,-2054684.0000,11363083.0000,-319397.0000,0.0000,0.0000,198925.0000,552608.0000,2351400.0000,1599867.0000,2351400.0000,"Y",4002778.0000,9188426.0000,13677825.0000,11276429.0000,4943350.0000,13396268.0000,3401.0000,83401.0000,304900.0000,304900.0000,-19942.0000,79002.0000,60058.0000,0.0000,0.0000,0.0000,,3627304.0000,3627304.0000,0.0000,5273256.0000,9140135.0000,9043051.0000,9.8937827504735976e-01,9238866.0000,9108528.0000,9.8589242445988501e-01,4.2040000000000000e+03,,"2019-08-20 00:00:00",,4.0329000000000001e+01,349616813.0000,537711145.7300,,3.3041401273885350e-02,"25.86 / 27.93",5.7663000000000000e+02,113
"PRESTON",,,6095649.0000,6728051.0000,12948252.0000,-684520.0000,0.0000,2112.0000,450000.0000,160169.0000,3162056.0000,2549775.0000,3159944.0000,"N",5608380.0000,10990701.0000,16899085.0000,12994197.0000,773025.0000,17341460.0000,1029.0000,1029.0000,47000.0000,47000.0000,-488346.0000,229327.0000,-488346.0000,0.0000,0.0000,0.0000,,9535000.0000,9535000.0000,552088.0000,464684.0000,10866211.0000,10708747.0000,9.8550884020198026e-01,11134457.0000,10899618.0000,9.7890880534183211e-01,4.6380000000000000e+03,,"2019-08-20 00:00:00",,3.0815000000000001e+01,449109408.0000,653887459.3200,,3.9457459926017263e-02,"24.00",6.6537000000000000e+02,115
"PROSPECT",,,17706513.0000,2763859.0000,21663752.0000,1336956.0000,0.0000,0.0000,0.0000,0.0000,2435977.0000,2435977.0000,2435977.0000,"N",4898368.0000,26704625.0000,32029247.0000,23036797.0000,1008209.0000,31793928.0000,178086.0000,2011086.0000,1236834.0000,2319834.0000,-823429.0000,995237.0000,-73429.0000,0.0000,0.0000,0.0000,16371607.4244,2119941.0000,18491548.4244,275962.0000,646021.0000,26585606.0000,26344026.0000,9.9091312795352493e-01,26886422.0000,26556727.0000,9.8773749069325778e-01,9.7900000000000000e+03,,"2019-08-20 00:00:00",,1.4225000000000000e+01,845585685.0000,1241043580.7700,,3.5664089950808150e-02,"31.25",1.3653900000000001e+03,116
"PUTNAM",,,51083312.0000,5251638.0000,66008476.0000,1582743.0000,212000.0000,0.0000,52128.0000,600000.0000,6279725.0000,5415597.0000,6067725.0000,"Y",10657270.0000,12536652.0000,27555725.0000,19890465.0000,123079.0000,25270218.0000,0.0000,0.0000,1269967.0000,1269967.0000,1015540.0000,436632.0000,1015540.0000,0.0000,0.0000,0.0000,,12888000.0000,12888000.0000,0.0000,3051292.0000,12350641.0000,12119531.0000,9.8128761090213856e-01,12904619.0000,12339585.0000,9.5621459261989838e-01,9.3950000000000000e+03,,"2019-08-20 00:00:00",,2.0303999999999998e+01,612754688.0000,960049439.6600,,4.7461824184894759e-02,"20.00",1.1394900000000000e+03,117
