Municipality,Comptroller Town Code,County_Identifier,Net Investment In Capital Assets,Unrestricted Net Position,Total Net Position,Change In Net Position,Nonspendable_Fund_Bal,Restricted_Fund_Bal,Committed_Fund_Bal,Assigned_Fund_Bal,Total_Fund_Bal,Unassigned_Fund_Bal,Unrestricted_Fund_Bal,Restatement of Fund Balance (Y or N),Inter_Gov_Rev,Tax_Rev,Total_Revenue,Education,Debt_Service,Total_Expenditures,TOTAL_Trans_to_Genl_Fund,Other_Financing_Sources,TOTAL_Trans_from_Genl_Fund,Other_Financing_Uses,Operating_Surplus_(Deficit)_Including_Transfers,Prior_Yr_OP_Surplus_(Def)_including_sources_and_uses,Operating_Surplus_(Deficit)_Including_Sources_And_Uses,Special / Extraordinary Items,RSD_DEBT,TOWN_Bonded_Long_Term_Debt,Total_Bonded_Long_Term_Debt_(RSD_+_Town),Total_Net_Pension_Liability,Curr_Year_Adjusted_Taxes_Collectible,Curr_Year_Taxes_Collected,Curr_Year_Tax_Collection_Rate,Total_Adjusted_Taxes_Collectible,Total_Taxes_Collected,Overal_Total_Tax_Collection_Rate,2017 Population,Moody's_Bond_Ratings_June_2017,ACGLFY17,EGL,TANF17 Recipients,empl,enrollmt,numbered,TFA17 Recipients,ACMR
"MORRIS","87","L",4807261.0000,2487567.0000,7294828.0000,-151628.0000,3929.0000,0.0000,9001.0000,0.0000,1640324.0000,1627394.0000,1636395.0000,"N",191518.0000,8570391.0000,8912717.0000,6382425.0000,0.0000,8726553.0000,0.0000,0.0000,121000.0000,121000.0000,65164.0000,-203630.0000,65164.0000,0.0000,1855618.0284,0.0000,1855618.0284,587651.0000,8519184.0000,8395990.0000,9.8553922535303851e-01,8818197.0000,8636014.0000,9.7934010773404134e-01,2.2770000000000000e+03,,299635985.0000,428473618.4200,7.0000000000000000e+00,3.6144578313253010e-02,3.1083999999999997e+02,88,4.0000000000000000e+00,"27.83"
"NEW CANAAN","90","F",133764958.0000,29739055.0000,166048064.0000,11139275.0000,346577.0000,0.0000,0.0000,5468274.0000,29286241.0000,23471390.0000,28939664.0000,"N",17407495.0000,134630783.0000,158064161.0000,101174698.0000,17736292.0000,157236776.0000,10000.0000,640795.0000,1145077.0000,1145077.0000,-307692.0000,-1513372.0000,323103.0000,0.0000,,116860113.0000,116860113.0000,0.0000,134542165.0000,134029719.0000,9.9619118660681583e-01,135184759.0000,134393619.0000,9.9414771305691352e-01,2.0376000000000000e+04,"Aaa",8217520540.0000,12102749021.3100,9.0000000000000000e+00,3.8920725883476601e-02,4.3033500000000004e+03,91,1.4500000000000000e+01,"16.31"
"NORFOLK","98","L",3888186.0000,3366972.0000,7255158.0000,77185.0000,0.0000,0.0000,0.0000,200000.0000,1258615.0000,1058615.0000,1258615.0000,"N",758371.0000,6549146.0000,7548682.0000,4506976.0000,165531.0000,7352159.0000,6181.0000,1305971.0000,151184.0000,1446184.0000,51520.0000,98588.0000,56310.0000,0.0000,195302.6018,1949790.0000,2145092.6018,0.0000,6524527.0000,6452273.0000,9.8892578726396563e-01,6654412.0000,6507113.0000,9.7786446045120134e-01,1.6420000000000000e+03,,297706608.0000,369963681.3900,0.0000000000000000e+00,3.6830357142857144e-02,1.9036000000000001e+02,99,1.5000000000000000e+00,"22.09"
"NORTH BRANFORD","99","NH",70369240.0000,788944.0000,71699579.0000,2976330.0000,3269.0000,0.0000,350000.0000,1260197.0000,8643426.0000,7029960.0000,8640157.0000,"N",13916561.0000,41187397.0000,55701951.0000,35861439.0000,5763673.0000,55137442.0000,143455.0000,513301.0000,569316.0000,569316.0000,138648.0000,880513.0000,508494.0000,0.0000,,32090116.0000,32090116.0000,11998016.0000,39540971.0000,38975533.0000,9.8569994651876403e-01,40707406.0000,39482509.0000,9.6990972600907066e-01,1.4208000000000000e+04,"Aa2",1230915957.0000,1759467895.7100,3.2000000000000000e+01,3.9467253176930596e-02,1.8950899999999999e+03,100,3.0500000000000000e+01,"31.98"
"NORTH HAVEN","101","NH",80422921.0000,-45872908.0000,35592400.0000,6686538.0000,66246.0000,0.0000,0.0000,6960298.0000,14426266.0000,7399722.0000,14360020.0000,"N",14995758.0000,84624119.0000,104695831.0000,60579298.0000,6650021.0000,103801004.0000,971854.0000,1052046.0000,21320.0000,21320.0000,1845361.0000,-12468.0000,1925553.0000,0.0000,,77193389.0000,77193389.0000,31393476.0000,84880513.0000,83850584.0000,9.8786613129918288e-01,86823983.0000,84217112.0000,9.6997521986523005e-01,2.3751000000000000e+04,"Aa1",2773568715.0000,4058639885.9400,4.8000000000000000e+01,4.0613313388182498e-02,3.2125999999999999e+03,102,4.3500000000000000e+01,"30.53"
"OLD SAYBROOK","106","M",75092636.0000,-6570755.0000,68671040.0000,629093.0000,0.0000,143100.0000,50853.0000,0.0000,5588488.0000,5394535.0000,5445388.0000,"N",3962324.0000,42671780.0000,47807635.0000,27197904.0000,3855826.0000,46071555.0000,0.0000,10407245.0000,615000.0000,10977358.0000,1121080.0000,735820.0000,1165967.0000,0.0000,,32962965.0000,32962965.0000,10380137.0000,42458577.0000,42115229.0000,9.9191334179664103e-01,42964347.0000,42494225.0000,9.8905785766975585e-01,1.0132000000000000e+04,"Aa2",2209874232.0000,3284001675.5600,1.4000000000000000e+01,4.0511307767944933e-02,1.3104900000000000e+03,107,4.5000000000000000e+00,"19.26"
"OXFORD","108","NH",69570629.0000,13103023.0000,82805522.0000,7136547.0000,120072.0000,0.0000,0.0000,6292278.0000,16373586.0000,9961236.0000,16253514.0000,"N",11455071.0000,35703087.0000,48732913.0000,33994065.0000,2700399.0000,50960463.0000,0.0000,7350000.0000,1081000.0000,1081000.0000,-3308550.0000,6234960.0000,4041450.0000,0.0000,,24918364.0000,24918364.0000,5431962.0000,35247753.0000,34686576.0000,9.8407907023179608e-01,37154205.0000,35200087.0000,9.4740519949222435e-01,1.3035000000000000e+04,"Aa2",1445263910.0000,2066309614.2900,1.8000000000000000e+01,4.2125819500627701e-02,2.0220699999999999e+03,109,1.4000000000000000e+01,"24.21"
"PLAINFIELD","109","W",60654492.0000,-289495.0000,60730435.0000,191301.0000,6656.0000,11889.0000,0.0000,1332542.0000,9219971.0000,7868884.0000,9201426.0000,"N",22119421.0000,27589741.0000,52032741.0000,39926276.0000,1570832.0000,51329406.0000,18412.0000,3152699.0000,200000.0000,3103883.0000,521747.0000,638360.0000,752151.0000,0.0000,,9484329.0000,9484329.0000,4125504.0000,27408386.0000,26694313.0000,9.7394691537108391e-01,28734582.0000,27212218.0000,9.4701979656429314e-01,1.5093000000000000e+04,"Aa3",937301450.0000,1340096638.6900,1.2000000000000000e+02,5.4007170116803518e-02,2.2767399999999998e+03,110,1.2650000000000000e+02,"29.05"
"PLAINVILLE","110","H",90253367.0000,3589660.0000,95172815.0000,-2376910.0000,46586.0000,0.0000,383869.0000,766080.0000,10800831.0000,9604296.0000,10754245.0000,"N",19147005.0000,44698272.0000,64796929.0000,42596035.0000,6037130.0000,63219599.0000,329388.0000,7121109.0000,2115974.0000,8806239.0000,-209256.0000,-147712.0000,-107800.0000,0.0000,,38716912.0000,38716912.0000,5630989.0000,44436738.0000,43590849.0000,9.8096419678690183e-01,46596575.0000,44256046.0000,9.4977036402353610e-01,1.7705000000000000e+04,"Aa3",1378345845.0000,1903145342.2400,8.6000000000000000e+01,4.8898594758830231e-02,2.3831700000000001e+03,111,1.0000000000000000e+02,"31.99"
"PLYMOUTH","111","L",154601111.0000,-4849563.0000,151362702.0000,42658.0000,0.0000,0.0000,100000.0000,699618.0000,1608408.0000,808790.0000,1608408.0000,"N",15226825.0000,27981899.0000,43712387.0000,28265752.0000,2990030.0000,43691126.0000,222437.0000,581126.0000,567528.0000,567528.0000,-323830.0000,-652168.0000,34859.0000,0.0000,,19970413.0000,19970413.0000,14791183.0000,27781374.0000,27135998.0000,9.7676947151713955e-01,28580016.0000,27590388.0000,9.6537342736267184e-01,1.1718000000000000e+04,,767877559.0000,1044566375.7500,6.1000000000000000e+01,5.2591922845087402e-02,1.6473299999999999e+03,112,7.0500000000000000e+01,"36.02"
"VOLUNTOWN","147","NL",10045068.0000,2437588.0000,12482656.0000,-66668.0000,0.0000,0.0000,32661.0000,0.0000,2086613.0000,2053952.0000,2086613.0000,"N",3677771.0000,5705792.0000,9558703.0000,7735879.0000,0.0000,9311371.0000,340692.0000,340692.0000,256848.0000,256848.0000,331176.0000,826506.0000,331176.0000,0.0000,,264057.0000,264057.0000,0.0000,5659814.0000,5550787.0000,9.8073664611593248e-01,5871030.0000,5627815.0000,9.5857370853155244e-01,2.5580000000000000e+03,,201412405.0000,288676721.4300,1.7000000000000000e+01,4.9432197728790914e-02,3.7892000000000002e+02,148,1.3000000000000000e+01,"28.06"
"WALLINGFORD","148","NH",208663000.0000,-33221000.0000,176907000.0000,-4418000.0000,143000.0000,0.0000,1693000.0000,7335000.0000,27830000.0000,18659000.0000,27687000.0000,"N",47868000.0000,118393000.0000,172273000.0000,118204000.0000,4693000.0000,173349000.0000,1989000.0000,1989000.0000,2333000.0000,2333000.0000,-1420000.0000,1679000.0000,-1420000.0000,0.0000,,30850000.0000,30850000.0000,45572000.0000,118055000.0000,116264000.0000,9.8482910507814159e-01,121920000.0000,117567000.0000,9.6429625984251965e-01,4.4741000000000000e+04,"Aaa",4203696607.0000,6012104552.8600,1.0700000000000000e+02,4.1414256867451517e-02,6.0216499999999996e+03,149,1.1200000000000000e+02,"27.89"
"WARREN","149","L",4564787.0000,2501781.0000,7381550.0000,260916.0000,413.0000,0.0000,95500.0000,9300.0000,2024028.0000,1918815.0000,2023615.0000,"N",78863.0000,5123979.0000,5422537.0000,3323019.0000,225563.0000,5265135.0000,0.0000,0.0000,192500.0000,192500.0000,-35098.0000,248780.0000,-35098.0000,0.0000,966130.2663,1950000.0000,2916130.2663,360201.0000,5103840.0000,5083326.0000,9.9598067337534091e-01,5122683.0000,5102169.0000,9.9599545784894361e-01,1.4100000000000000e+03,"Aa2",354268354.0000,522128520.8800,0.0000000000000000e+00,4.4025157232704400e-02,1.5805000000000001e+02,150,0.0000000000000000e+00,"14.35"
"WASHINGTON","150","L",16202534.0000,7725562.0000,24619102.0000,1532074.0000,2840.0000,635647.0000,321968.0000,356808.0000,5183925.0000,3866662.0000,4545438.0000,"Y",119733.0000,16018541.0000,17165357.0000,10117932.0000,0.0000,14818817.0000,0.0000,0.0000,1695907.0000,1695907.0000,650633.0000,714167.0000,650633.0000,0.0000,436859.9936,0.0000,436859.9936,366224.0000,15864090.0000,15749976.0000,9.9280677303267950e-01,16128649.0000,15973556.0000,9.9038400550473882e-01,3.4530000000000000e+03,,1111257892.0000,1797628194.1800,2.0000000000000000e+00,3.1738281250000000e-02,2.9913999999999999e+02,151,1.0000000000000000e+00,"14.25"
"WATERFORD","152","NL",172023979.0000,-5838522.0000,166330299.0000,2716587.0000,45154.0000,0.0000,0.0000,366215.0000,13594126.0000,13182757.0000,13548972.0000,"N",10700099.0000,86168297.0000,99513550.0000,55035573.0000,7522412.0000,93974713.0000,8698.0000,17436164.0000,4014874.0000,21303739.0000,1532661.0000,1348852.0000,1671262.0000,0.0000,,79465000.0000,79465000.0000,16724456.0000,85633930.0000,85024687.0000,9.9288549527039105e-01,87295150.0000,85629185.0000,9.8091572097648039e-01,1.9007000000000000e+04,"Aa2",3193864172.0000,4530813119.5000,6.2000000000000000e+01,4.2153876387933574e-02,2.9200799999999999e+03,153,6.3500000000000000e+01,"26.78"
"WATERTOWN","153","L",130504297.0000,-19367531.0000,112398573.0000,-3684602.0000,0.0000,0.0000,0.0000,691815.0000,5994249.0000,5302434.0000,5994249.0000,"N",18993022.0000,54558200.0000,76021126.0000,48887757.0000,7323022.0000,79069940.0000,114775.0000,895883.0000,336534.0000,336534.0000,-3270573.0000,624319.0000,-2489465.0000,0.0000,,47308399.0000,47308399.0000,11339788.0000,54355497.0000,53569468.0000,9.8553910747978257e-01,55605970.0000,54228568.0000,9.7522924247162668e-01,2.1740000000000000e+04,"Aa2",1744821540.0000,2613640809.9300,5.7000000000000000e+01,4.1231530904308811e-02,2.8008400000000001e+03,154,5.9000000000000000e+01,"30.89"
"WESTBROOK","154","M",43378592.0000,6451693.0000,49864359.0000,2086742.0000,17137.0000,0.0000,0.0000,0.0000,5061217.0000,5044080.0000,5044080.0000,"N",3793358.0000,27144160.0000,32494066.0000,20701787.0000,2573260.0000,31935179.0000,0.0000,3953262.0000,265803.0000,4219065.0000,293084.0000,59007.0000,293084.0000,0.0000,,19790000.0000,19790000.0000,1054992.0000,27003379.0000,26869618.0000,9.9504650880913825e-01,27294710.0000,27018820.0000,9.8989218057271899e-01,6.9560000000000000e+03,"Aa2",1167332800.0000,1797325216.4900,5.0000000000000000e+00,3.9660831509846825e-02,7.7528999999999996e+02,157,6.0000000000000000e+00,"23.14"
"WESTON","157","F",48951585.0000,14417305.0000,63495954.0000,311658.0000,558068.0000,0.0000,418254.0000,42993.0000,14372299.0000,13352984.0000,13814231.0000,"N",10023017.0000,67890106.0000,79294490.0000,59113732.0000,6308838.0000,77925646.0000,180375.0000,586398.0000,1394071.0000,1394071.0000,155148.0000,623349.0000,561171.0000,0.0000,,34865934.0000,34865934.0000,10711523.0000,67306771.0000,66495193.0000,9.8794210466581434e-01,69618035.0000,67419388.0000,9.6841842778239862e-01,1.0331000000000000e+04,"Aaa",2356914747.0000,3542264876.0300,2.0000000000000000e+00,4.1092745638200187e-02,2.3427100000000000e+03,158,2.0000000000000000e+00,"28.56"
"WESTPORT","158","F",194977352.0000,28348757.0000,229776437.0000,1719171.0000,606686.0000,487965.0000,573081.0000,9619196.0000,37348936.0000,26062008.0000,36254285.0000,"N",22759352.0000,184527068.0000,225615629.0000,137433650.0000,16757655.0000,225989171.0000,437056.0000,13545308.0000,2256228.0000,14723585.0000,-2192714.0000,3084582.0000,-1551819.0000,0.0000,,94137259.0000,94137259.0000,24182411.0000,183629580.0000,181519184.0000,9.8850732000802921e-01,194047575.0000,183781677.0000,9.4709597375798182e-01,2.8042000000000000e+04,"Aaa",10865186732.0000,15522449617.1400,2.0000000000000000e+01,3.7113076437144663e-02,5.6293299999999999e+03,159,1.2500000000000000e+01,"16.86"
"WILLINGTON","160","T",10784751.0000,3018609.0000,14506171.0000,939020.0000,0.0000,0.0000,566345.0000,634964.0000,3020339.0000,1819030.0000,3020339.0000,"N",5054219.0000,12376087.0000,17656177.0000,12978255.0000,503299.0000,16485363.0000,0.0000,30800.0000,1075097.0000,1075097.0000,95717.0000,183202.0000,126517.0000,0.0000,531921.9686,2419346.0000,2951267.9686,115183.0000,12330776.0000,12264642.0000,9.9463667169041103e-01,12403059.0000,12325957.0000,9.9378363031248984e-01,5.9210000000000000e+03,"Aa3",441897992.0000,614961716.0000,1.2000000000000000e+01,3.7067320795857180e-02,6.5426999999999998e+02,161,1.0500000000000000e+01,"27.73"
"WINDSOR","164","H",65944467.0000,1870678.0000,73827105.0000,2600417.0000,661842.0000,0.0000,0.0000,4174638.0000,25166962.0000,20330482.0000,24505120.0000,"N",27038627.0000,93636439.0000,125290065.0000,79509544.0000,6984205.0000,114196726.0000,70090.0000,70090.0000,10388898.0000,10388898.0000,774531.0000,765549.0000,774531.0000,0.0000,,38340000.0000,38340000.0000,12997691.0000,93031833.0000,92085688.0000,9.8982987898346575e-01,94442696.0000,93012325.0000,9.8485461490849435e-01,2.8898000000000000e+04,,2924298305.0000,4440057841.8900,1.8200000000000000e+02,4.7484522449960931e-02,3.9154000000000001e+03,165,1.9750000000000000e+02,"31.52"
"WINDSOR LOCKS","165","H",65367453.0000,21950894.0000,87322182.0000,3542133.0000,0.0000,0.0000,0.0000,172709.0000,11652497.0000,11479788.0000,11652497.0000,"N",17238467.0000,33322996.0000,51705363.0000,35014898.0000,3006358.0000,52422206.0000,164501.0000,164501.0000,851792.0000,851792.0000,-1404134.0000,590038.0000,-1404134.0000,0.0000,,19210668.0000,19210668.0000,8685833.0000,33469448.0000,32642728.0000,9.7529926397351996e-01,34147846.0000,32815325.0000,9.6097789008419443e-01,1.2554000000000000e+04,"Aa1",1259059178.0000,1902931359.1700,5.6000000000000000e+01,4.7388911263256811e-02,1.6504400000000001e+03,166,5.3000000000000000e+01,"26.66"
"WOLCOTT","166","NH",47852569.0000,-10723814.0000,39658321.0000,1345170.0000,0.0000,0.0000,0.0000,247649.0000,5201582.0000,4953933.0000,5201582.0000,"N",20111705.0000,37383242.0000,58227754.0000,38053884.0000,4384067.0000,58341890.0000,519379.0000,1409273.0000,540000.0000,540000.0000,-134757.0000,633948.0000,755137.0000,0.0000,,26508727.0000,26508727.0000,12381422.0000,37402689.0000,36582945.0000,9.7808328700645031e-01,38496314.0000,37053460.0000,9.6251968435211743e-01,1.6672000000000000e+04,"A1",1282942815.0000,1866134566.4700,2.3000000000000000e+01,4.3153861665658398e-02,2.4882100000000000e+03,167,2.7500000000000000e+01,"28.91"
"ANSONIA","2","NH",44738655.0000,-2798274.0000,41950036.0000,-4972922.0000,0.0000,0.0000,5843804.0000,0.0000,11812283.0000,5968479.0000,11812283.0000,"N",29855052.0000,33351603.0000,67052389.0000,42748391.0000,7793764.0000,68725888.0000,1774950.0000,6867178.0000,6910064.0000,6910064.0000,-6808613.0000,-2360034.0000,-1716385.0000,0.0000,,8796580.0000,8796580.0000,8398347.0000,33671714.0000,32886802.0000,9.7668927694028285e-01,36278725.0000,33791467.0000,9.3144031384785431e-01,1.8813000000000000e+04,"Aa3",897566947.0000,1376772795.1700,2.3000000000000000e+02,6.5561416729464958e-02,2.5629099999999999e+03,2,1.8850000000000000e+02,"37.32 / 37.00"
"ASHFORD","3","W",13285193.0000,3055702.0000,17974643.0000,343462.0000,0.0000,0.0000,64571.0000,59224.0000,2089616.0000,1965821.0000,2089616.0000,"N",4901008.0000,9717373.0000,15069560.0000,11473072.0000,424697.0000,14618100.0000,0.0000,0.0000,194026.0000,194026.0000,257434.0000,105642.0000,257434.0000,0.0000,428818.0373,1993695.0000,2422513.0373,0.0000,9712372.0000,9543021.0000,9.8256337380816960e-01,10055990.0000,9648718.0000,9.5949956195262720e-01,4.2440000000000000e+03,"Aa3",298676523.0000,442599628.1300,1.2000000000000000e+01,4.3968871595330743e-02,5.5177999999999997e+02,3,5.0000000000000000e+00,"32.37 / 32.00"
"BEACON FALLS","6","NH",9949660.0000,5075662.0000,15528360.0000,593143.0000,11405.0000,24157.0000,0.0000,318387.0000,3295806.0000,2941857.0000,3260244.0000,"N",4584028.0000,16512580.0000,22476497.0000,14820178.0000,624881.0000,20942705.0000,0.0000,133939.0000,1278894.0000,1278894.0000,254898.0000,509844.0000,388837.0000,0.0000,11763805.5078,9190384.0000,20954189.5078,1239994.0000,16098619.0000,15820208.0000,9.8270590787942746e-01,17106679.0000,16269280.0000,9.5104841798925432e-01,6.1680000000000000e+03,,489510636.0000,675139685.4700,1.5000000000000000e+01,4.3639475185396466e-02,8.7379999999999995e+02,6,1.9000000000000000e+01,"32.90 / 32.00"
"BETHANY","8","NH",21931452.0000,4102152.0000,26033604.0000,1450387.0000,62753.0000,3300.0000,0.0000,342927.0000,4137514.0000,3728534.0000,4071461.0000,"N",3900285.0000,19831052.0000,24765303.0000,17059134.0000,738911.0000,23484793.0000,0.0000,0.0000,391512.0000,391512.0000,888998.0000,412733.0000,888998.0000,0.0000,6574432.7858,5337576.0000,11912008.7858,526191.0000,19765740.0000,19609442.0000,9.9209247920897470e-01,20152703.0000,19927720.0000,9.8883608814162549e-01,5.4970000000000000e+03,"Aa2",553020998.0000,835493140.5300,3.0000000000000000e+00,3.8560411311053984e-02,7.9299000000000001e+02,8,5.0000000000000000e-01,"35.50"
"BETHEL","9","F",79047618.0000,5838026.0000,85507672.0000,2451652.0000,30185.0000,0.0000,576092.0000,0.0000,18732827.0000,18126550.0000,18702642.0000,"Y",17841944.0000,61948866.0000,81877751.0000,52383015.0000,2887040.0000,78434303.0000,0.0000,0.0000,1200000.0000,1200000.0000,2243448.0000,1979540.0000,2243448.0000,0.0000,,26367177.0000,26367177.0000,10702032.0000,61545662.0000,60940824.0000,9.9017253238741665e-01,62335130.0000,61541476.0000,9.8726794987032196e-01,1.9802000000000000e+04,"Aa2",1917648980.0000,2795820302.4700,2.2000000000000000e+01,3.9194038089980676e-02,2.9699699999999998e+03,9,3.2000000000000000e+01,"32.17 / 32.00"
"BOLTON","12","T",31197617.0000,3885381.0000,35822450.0000,1635915.0000,0.0000,0.0000,58247.0000,1481490.0000,3105826.0000,1566089.0000,3105826.0000,"N",4873927.0000,16171601.0000,21722157.0000,14999683.0000,1160439.0000,21063885.0000,12041.0000,12041.0000,470685.0000,470685.0000,199628.0000,472071.0000,199628.0000,0.0000,,11941911.0000,11941911.0000,0.0000,16198307.0000,16018917.0000,9.8892538584433543e-01,16377199.0000,16114125.0000,9.8393656937306562e-01,4.9160000000000000e+03,"Aa3",429848968.0000,623371565.5100,1.0000000000000000e+01,3.4971644612476371e-02,7.5275000000000000e+02,12,4.5000000000000000e+00,"37.50 / 37.00"
"BOZRAH","13","NL",6669056.0000,-181365.0000,6497691.0000,178404.0000,0.0000,0.0000,0.0000,117569.0000,824696.0000,707127.0000,824696.0000,"N",2321690.0000,6134712.0000,8810003.0000,6214651.0000,472559.0000,8636251.0000,0.0000,0.0000,0.0000,0.0000,173752.0000,339329.0000,173752.0000,0.0000,,2560000.0000,2560000.0000,644201.0000,6107199.0000,6004018.0000,9.8310502081232332e-01,6404874.0000,6099783.0000,9.5236580766460044e-01,2.5630000000000000e+03,,220302064.0000,335663370.3700,4.0000000000000000e+00,4.2817679558011051e-02,3.1216000000000003e+02,13,6.0000000000000000e+00,"27.50"
"BRIDGEPORT","15","F",852428086.0000,-1094796887.0000,-233399023.0000,11264042.0000,350000.0000,0.0000,0.0000,0.0000,19266129.0000,18916129.0000,18916129.0000,"N",271187039.0000,312461292.0000,606408867.0000,294590330.0000,76925538.0000,601984579.0000,349851.0000,349851.0000,127152.0000,127152.0000,4646987.0000,905681.0000,4646987.0000,0.0000,,648585506.0000,648585506.0000,346152410.0000,310799950.0000,307164691.0000,9.8830354058937264e-01,341311462.0000,309992101.0000,9.0823817982415134e-01,1.4657900000000000e+05,"A2",6065560261.0000,8675714411.4300,2.1790000000000000e+03,6.8931341568514798e-02,2.1088049999999999e+04,15,2.1405000000000000e+03,"54.37 / 37.00"
"BROOKFIELD","18","F",48381745.0000,-16297672.0000,39433169.0000,7788889.0000,0.0000,0.0000,786906.0000,0.0000,6320843.0000,5533937.0000,6320843.0000,"N",7596465.0000,60034842.0000,68938098.0000,45509306.0000,4759080.0000,66845061.0000,228872.0000,387454.0000,1496658.0000,1496658.0000,825251.0000,202756.0000,983833.0000,0.0000,,29650268.0000,29650268.0000,1923507.0000,59984612.0000,59405275.0000,9.9034190635424968e-01,60613522.0000,59731650.0000,9.8545090318295647e-01,1.7133000000000000e+04,"Aa2",2269353833.0000,3334293606.0600,1.0000000000000000e+01,3.8754696725711218e-02,2.7222500000000000e+03,18,2.5000000000000000e+01,"26.40"
"BURLINGTON","20","H",10857982.0000,10572173.0000,21715669.0000,1857968.0000,0.0000,0.0000,310000.0000,1041505.0000,5210206.0000,3858701.0000,5210206.0000,"N",7024898.0000,29041188.0000,37307375.0000,25217101.0000,3052583.0000,38772959.0000,55000.0000,4019543.0000,3189332.0000,3189332.0000,-4599916.0000,583732.0000,-635373.0000,0.0000,10384608.4957,5372370.0000,15756978.4957,1053453.0000,28940562.0000,28764261.0000,9.9390816944052429e-01,29383045.0000,29021204.0000,9.8768538114412585e-01,9.6400000000000000e+03,"Aa2",907063811.0000,1296612790.8100,6.0000000000000000e+00,3.5922845514068304e-02,1.5905599999999999e+03,20,1.2000000000000000e+01,"31.60"
"CANAAN","21","L",1692045.0000,1904609.0000,3657576.0000,-1497294.0000,0.0000,0.0000,15045.0000,353324.0000,1096671.0000,728302.0000,1096671.0000,"N",841674.0000,4187575.0000,5193220.0000,3124926.0000,298825.0000,4806217.0000,13033.0000,13033.0000,166824.0000,166824.0000,233212.0000,144222.0000,233212.0000,0.0000,286363.6284,2600885.0000,2887248.6284,0.0000,4119713.0000,4068318.0000,9.8752461639924916e-01,4241137.0000,4146771.0000,9.7774983453729503e-01,1.0620000000000000e+03,,171596930.0000,227108759.4100,4.0000000000000000e+00,2.9921259842519685e-02,1.0930000000000000e+02,21,3.0000000000000000e+00,"24.00"
"CANTERBURY","22","W",9929392.0000,3944143.0000,17689575.0000,350446.0000,0.0000,73094.0000,3032.0000,655434.0000,2409483.0000,1677923.0000,2336389.0000,"N",5925652.0000,8841751.0000,15026612.0000,12069173.0000,69369.0000,14502291.0000,0.0000,0.0000,337000.0000,337000.0000,187321.0000,24900.0000,187321.0000,0.0000,,275000.0000,275000.0000,334673.0000,8814749.0000,8708089.0000,9.8789982562180723e-01,8982324.0000,8780524.0000,9.7753365387398627e-01,5.0750000000000000e+03,,357741392.0000,511511717.1400,1.5000000000000000e+01,4.4970820460006868e-02,6.4254999999999995e+02,22,2.1000000000000000e+01,"24.50"
"COLEBROOK","29","L",8277203.0000,1324373.0000,9717233.0000,157708.0000,0.0000,0.0000,0.0000,0.0000,1516231.0000,1516231.0000,1516231.0000,"N",980358.0000,5420995.0000,6460629.0000,3924760.0000,67000.0000,5770445.0000,0.0000,0.0000,450000.0000,450000.0000,240184.0000,-186655.0000,240184.0000,0.0000,208244.0367,350000.0000,558244.0367,0.0000,5157544.0000,5085432.0000,9.8601815127510306e-01,5304188.0000,5181537.0000,9.7687657375643544e-01,1.4130000000000000e+03,,182148042.0000,260426298.5700,4.0000000000000000e+00,5.4347826086956520e-02,1.8393000000000001e+02,29,3.5000000000000000e+00,"29.30"
"COVENTRY","32","T",99892573.0000,10814232.0000,110737161.0000,-204027.0000,21354.0000,34048.0000,0.0000,121180.0000,5519806.0000,5343224.0000,5464404.0000,"N",14718522.0000,30001160.0000,45401467.0000,32906457.0000,2742558.0000,45577345.0000,563127.0000,563127.0000,866037.0000,866037.0000,-478788.0000,602383.0000,-478788.0000,0.0000,,18734686.0000,18734686.0000,2479065.0000,29817602.0000,29467102.0000,9.8824519825571489e-01,30354044.0000,29715530.0000,9.7896445033814938e-01,1.2439000000000000e+04,"Aa2",949436741.0000,1425790911.8000,3.1000000000000000e+01,3.8225517770391203e-02,1.7035300000000000e+03,32,3.5000000000000000e+01,"31.20"
"DERBY","37","NH",49712938.0000,-22582299.0000,27139737.0000,-3728269.0000,0.0000,0.0000,0.0000,0.0000,1210300.0000,1210300.0000,1210300.0000,"N",19206507.0000,28607680.0000,51756248.0000,26469328.0000,2121736.0000,51584302.0000,0.0000,0.0000,0.0000,0.0000,171946.0000,-1062216.0000,171946.0000,0.0000,,14568935.0000,14568935.0000,8907598.0000,28191295.0000,27589666.0000,9.7865905060409608e-01,29177659.0000,28029431.0000,9.6064701421042720e-01,1.2581000000000000e+04,,718248343.0000,1027004775.7100,1.1800000000000000e+02,5.9216384683882455e-02,1.5349200000000001e+03,37,1.2550000000000000e+02,"39.37 / 37.00"
"EAST GRANBY","40","H",24071930.0000,4157481.0000,29049455.0000,-170159.0000,43416.0000,0.0000,0.0000,1324193.0000,4003789.0000,2636180.0000,3960373.0000,"N",4883002.0000,18543192.0000,23867289.0000,17780457.0000,688160.0000,22967427.0000,0.0000,0.0000,691661.0000,691661.0000,208201.0000,155992.0000,208201.0000,0.0000,,5330292.0000,5330292.0000,0.0000,18525549.0000,18312745.0000,9.8851294501447706e-01,18885412.0000,18482424.0000,9.7866141337027757e-01,5.1660000000000000e+03,"Aa2",586967397.0000,859087878.6400,4.0000000000000000e+00,3.5458685751463888e-02,8.9023000000000002e+02,39,6.0000000000000000e+00,"31.10"
