TANF13%,TANF12%,MUNICIPALITY,numbered,2012 TANF RECIPIENTS,2013 TANF RECIPIENTS,SortID
2.8157477090052733e-03,2.8669431218962781e-03,"WATERFORD",1.5300000000000000e+02,5.6000000000000000e+01,5.5000000000000000e+01,78
2.7182306789398899e-03,3.0888984987953298e-03,"COLCHESTER",2.8000000000000000e+01,5.0000000000000000e+01,4.4000000000000000e+01,79
2.6728564394738691e-03,3.3762397130196243e-03,"CROMWELL",3.3000000000000000e+01,4.8000000000000000e+01,3.8000000000000000e+01,80
2.6617656378731223e-03,3.1687686165156222e-03,"ELLINGTON",4.8000000000000000e+01,5.0000000000000000e+01,4.2000000000000000e+01,81
2.6209677419354841e-03,2.6209677419354841e-03,"BOLTON",1.2000000000000000e+01,1.3000000000000000e+01,1.3000000000000000e+01,82
2.5460242851547197e-03,3.5252643948296123e-03,"CANTERBURY",2.2000000000000000e+01,1.8000000000000000e+01,1.3000000000000000e+01,83
2.5381766737402737e-03,1.9972537760579202e-03,"NORTH HAVEN",1.0200000000000000e+02,4.8000000000000000e+01,6.1000000000000000e+01,84
2.5113008538422904e-03,2.5113008538422904e-03,"FRANKLIN",5.3000000000000000e+01,5.0000000000000000e+00,5.0000000000000000e+00,85
2.5050884609362769e-03,2.2441417462554145e-03,"BETHEL",9.0000000000000000e+00,4.3000000000000000e+01,4.8000000000000000e+01,86
2.4729520865533232e-03,3.0139103554868625e-03,"EAST HAMPTON",4.1000000000000000e+01,3.9000000000000000e+01,3.2000000000000000e+01,87
2.4335454885810559e-03,2.4335454885810559e-03,"WETHERSFIELD",1.6000000000000000e+02,6.5000000000000000e+01,6.5000000000000000e+01,88
2.3897458179448186e-03,2.1724961981316532e-04,"DEEP RIVER",3.6000000000000000e+01,1.0000000000000000e+00,1.1000000000000000e+01,89
2.2968284220300055e-03,1.5637980745736206e-03,"BERLIN",7.0000000000000000e+00,3.2000000000000000e+01,4.7000000000000000e+01,90
2.1342186388427793e-03,2.3713540431586438e-03,"POMFRET",1.1300000000000000e+02,1.0000000000000000e+01,9.0000000000000000e+00,91
2.1219135802469135e-03,1.7361111111111110e-03,"EAST GRANBY",3.9000000000000000e+01,9.0000000000000000e+00,1.1000000000000000e+01,92
2.0325203252032522e-03,2.7100271002710027e-03,"GOSHEN",5.5000000000000000e+01,8.0000000000000000e+00,6.0000000000000000e+00,93
1.9275250578257518e-03,1.9275250578257518e-03,"GREENWICH",5.7000000000000000e+01,1.2000000000000000e+02,1.2000000000000000e+02,94
1.9212295869356388e-03,7.8595755829185220e-04,"SOMERS",1.3000000000000000e+02,9.0000000000000000e+00,2.2000000000000000e+01,95
1.8857250612860645e-03,7.5429002451442577e-04,"NORTH STONINGTON",1.0300000000000000e+02,4.0000000000000000e+00,1.0000000000000000e+01,96
1.8668326073428749e-03,2.2816842978635138e-03,"PROSPECT",1.1600000000000000e+02,2.2000000000000000e+01,1.8000000000000000e+01,97
