Municipality,numbered,Comptroller Town Code,County,Total Units,1 Unit,2 Unit,3 and 4 Units,5 Units or More,Demolitions
"SHELTON",1.2700000000000000e+02,1.2600000000000000e+02,"Fairfield",2.9900000000000000e+02,4.9000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,2.5000000000000000e+02,7.0000000000000000e+00
"SHERMAN",1.2800000000000000e+02,1.2700000000000000e+02,"Fairfield",9.0000000000000000e+00,9.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
"SIMSBURY",1.2900000000000000e+02,1.2800000000000000e+02,"Hartford",9.9000000000000000e+01,1.7000000000000000e+01,2.0000000000000000e+00,0.0000000000000000e+00,8.0000000000000000e+01,4.0000000000000000e+00
"SOMERS",1.3000000000000000e+02,1.2900000000000000e+02,"Tolland",1.2000000000000000e+01,1.2000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00
"SOUTH WINDSOR",1.3100000000000000e+02,1.3200000000000000e+02,"Hartford",1.5000000000000000e+01,1.5000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
"SOUTHBURY",1.3200000000000000e+02,1.3000000000000000e+02,"New Haven",1.4000000000000000e+01,1.4000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.0000000000000000e+00
"SOUTHINGTON",1.3300000000000000e+02,1.3100000000000000e+02,"Hartford",9.1000000000000000e+01,7.8000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.3000000000000000e+01,6.0000000000000000e+00
"SPRAGUE",1.3400000000000000e+02,1.3300000000000000e+02,"New London",2.0000000000000000e+00,2.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
"STAFFORD",1.3500000000000000e+02,1.3400000000000000e+02,"Tolland",8.0000000000000000e+00,8.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
"STAMFORD",1.3600000000000000e+02,1.3500000000000000e+02,"Fairfield",5.6400000000000000e+02,2.8000000000000000e+01,6.0000000000000000e+00,6.0000000000000000e+00,5.2400000000000000e+02,2.6000000000000000e+01
"STERLING",1.3700000000000000e+02,1.3600000000000000e+02,"Windham",1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
"STONINGTON",1.3800000000000000e+02,1.3700000000000000e+02,"New London",2.7000000000000000e+01,2.7000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.0000000000000000e+00
"STRATFORD",1.3900000000000000e+02,1.3800000000000000e+02,"Fairfield",9.0000000000000000e+00,9.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,6.0000000000000000e+00
"SUFFIELD",1.4000000000000000e+02,1.3900000000000000e+02,"Hartford",2.5000000000000000e+01,2.5000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.0000000000000000e+00
"THOMASTON",1.4100000000000000e+02,1.4000000000000000e+02,"Litchfield",3.0000000000000000e+00,3.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
"THOMPSON",1.4200000000000000e+02,1.4100000000000000e+02,"Windham",8.0000000000000000e+00,8.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.0000000000000000e+00
"TOLLAND",1.4300000000000000e+02,1.4200000000000000e+02,"Tolland",8.0000000000000000e+00,8.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
"TORRINGTON",1.4400000000000000e+02,1.4300000000000000e+02,"Litchfield",3.0000000000000000e+00,3.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00
"TRUMBULL",1.4500000000000000e+02,1.4400000000000000e+02,"Fairfield",7.0000000000000000e+00,7.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,6.0000000000000000e+00
"UNION",1.4600000000000000e+02,1.4500000000000000e+02,"Tolland",1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00
"VERNON",1.4700000000000000e+02,1.4600000000000000e+02,"Tolland",1.0200000000000000e+02,1.3000000000000000e+01,6.0000000000000000e+00,0.0000000000000000e+00,8.3000000000000000e+01,6.0000000000000000e+00
"VOLUNTOWN",1.4800000000000000e+02,1.4700000000000000e+02,"New London",2.0000000000000000e+00,2.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
"WALLINGFORD",1.4900000000000000e+02,1.4800000000000000e+02,"New Haven",4.1000000000000000e+01,3.7000000000000000e+01,4.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,5.0000000000000000e+00
"WARREN",1.5000000000000000e+02,1.4900000000000000e+02,"Litchfield",3.0000000000000000e+00,3.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
"WASHINGTON",1.5100000000000000e+02,1.5000000000000000e+02,"Litchfield",3.0000000000000000e+00,3.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.0000000000000000e+00
"WATERBURY",1.5200000000000000e+02,1.5100000000000000e+02,"New Haven",6.2000000000000000e+01,1.5000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,4.7000000000000000e+01,5.7000000000000000e+01
"WATERFORD",1.5300000000000000e+02,1.5200000000000000e+02,"New London",1.2000000000000000e+01,1.2000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,6.0000000000000000e+00
"WATERTOWN",1.5400000000000000e+02,1.5300000000000000e+02,"Litchfield",2.1000000000000000e+01,2.1000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.0000000000000000e+00
"WEST HARTFORD",1.5500000000000000e+02,1.5500000000000000e+02,"Hartford",3.9000000000000000e+01,7.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.2000000000000000e+01,2.0000000000000000e+00
"WEST HAVEN",1.5600000000000000e+02,1.5600000000000000e+02,"New Haven",4.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.1000000000000000e+01
"WESTBROOK",1.5700000000000000e+02,1.5400000000000000e+02,"Middlesex",1.5000000000000000e+01,7.0000000000000000e+00,0.0000000000000000e+00,8.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
"WESTON",1.5800000000000000e+02,1.5700000000000000e+02,"Fairfield",5.0000000000000000e+00,5.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
"WESTPORT",1.5900000000000000e+02,1.5800000000000000e+02,"Fairfield",9.0000000000000000e+01,8.6000000000000000e+01,4.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.2000000000000000e+01
"WETHERSFIELD",1.6000000000000000e+02,1.5900000000000000e+02,"Hartford",3.0000000000000000e+00,3.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
"WILLINGTON",1.6100000000000000e+02,1.6000000000000000e+02,"Tolland",3.0000000000000000e+00,3.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
"WILTON",1.6200000000000000e+02,1.6100000000000000e+02,"Fairfield",8.0000000000000000e+00,8.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,5.0000000000000000e+00
"WINCHESTER",1.6300000000000000e+02,1.6200000000000000e+02,"Litchfield",3.4000000000000000e+01,3.4000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
"WINDHAM",1.6400000000000000e+02,1.6300000000000000e+02,"Windham",6.0000000000000000e+00,6.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,6.0000000000000000e+00
"WINDSOR",1.6500000000000000e+02,1.6400000000000000e+02,"Hartford",1.7000000000000000e+01,1.7000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.0000000000000000e+00
"WINDSOR LOCKS",1.6600000000000000e+02,1.6500000000000000e+02,"Hartford",1.5000000000000000e+01,1.5000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.0000000000000000e+00
"WOLCOTT",1.6700000000000000e+02,1.6600000000000000e+02,"New Haven",1.3000000000000000e+01,1.3000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,6.0000000000000000e+00
"WOODBRIDGE",1.6800000000000000e+02,1.6700000000000000e+02,"New Haven",3.0000000000000000e+00,3.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.0000000000000000e+00
"WOODBURY",1.6900000000000000e+02,1.6800000000000000e+02,"Litchfield",5.0000000000000000e+00,5.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
"WOODSTOCK",1.7000000000000000e+02,1.6900000000000000e+02,"Windham",8.0000000000000000e+00,8.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
