Municipality,Fisc_Year_End,numbered,Comptroller Town Code,County_Identifier,Inter_Gov_Rev,Tax_Rev,Total_Revenue,Education,Debt_Service,Total_Expenditures,TOTAL_Trans_to_Genl_Fund,Other_Financing_Sources,TOTAL_Trans_from_Genl_Fund,Other_Financing_Uses,Operating_Surplus_(Deficit)_Including_Transfers,Prior_Yr_OP_Surplus_(Def)_including_sources_and_uses,Operating_Surplus_(Deficit)_Including_Sources_And_Uses,RSD_DEBT,TOWN_Bonded_Long_Term_Debt,Total_Bonded_Long_Term_Debt_(RSD_+_Town),Reserv_Fund_Bal,Design_Fund_Bal,Total_Fund_Bal,Unreserved_Fund_Bal,Fund_Equity_Enterprise,Fund_Equity_Internal_Service,Curr_Year_Adjusted_Taxes_Collectible,Curr_Year_Taxes_Collected,Curr_Year_Tax_Collection_Rate,Total_Adjusted_Taxes_Collectible,Total_Taxes_Collected,Overal_Total_Tax_Collection_Rate,2002 Population,Moody's_Bond_Ratings_July_2002,area lmt,ACGLFY02,EGL,TANF02 Recipients,empl,ACMR,enrollmt
"EAST HAMPTON",2.0020000000000000e+03,4.1000000000000000e+01,4.2000000000000000e+01,"M",9175684.0000,16719969.0000,26774808.0000,17961468.0000,2667703.0000,26730208.0000,351694.0000,351694.0000,878400.0000,878400.0000,-482106.0000,208100.0000,-482106.0000,,16490267.0000,16490267.0000,98394.0000,500000.0000,2133017.0000,2034623.0000,,,16580107.0000,16333028.0000,9.8509786456746029e-01,16960256.0000,16574648.0000,9.7726402242985011e-01,1.1435000000000000e+04,"A2",3.5590000000000003e+01,622007782.0000,891224060.0000,3.5000000000000000e+01,4.2996951708647521e-02,2.6390000000000001e+01,2.0357400000000000e+03
"EAST HARTFORD",2.0020000000000000e+03,4.2000000000000000e+01,4.3000000000000000e+01,"H",36223000.0000,80074000.0000,121063000.0000,68245000.0000,8283000.0000,123214000.0000,1388000.0000,1388000.0000,391000.0000,391000.0000,-1154000.0000,356535.0000,-1154000.0000,,43822000.0000,43822000.0000,473000.0000,495000.0000,5975000.0000,5502000.0000,,-520000.0000,80582000.0000,77452000.0000,9.6115757861557172e-01,84957000.0000,79072000.0000,9.3072966324140449e-01,4.9650000000000000e+04,"A1",1.8020000000000000e+01,2090960743.0000,3143283796.0000,1.2280000000000000e+03,6.1164893191455315e-02,3.8410000000000004e+01,8.1159000000000005e+03
"EAST HAVEN",2.0020000000000000e+03,4.3000000000000000e+01,4.4000000000000000e+01,"NH",22285813.0000,40330490.0000,65958900.0000,33845890.0000,8027382.0000,63398257.0000,0.0000,0.0000,756721.0000,756721.0000,1803922.0000,671769.0000,1803922.0000,,73309064.0000,73309064.0000,246124.0000,2926432.0000,7135707.0000,6889583.0000,,4224724.0000,40258361.0000,38297294.0000,9.5128795730159010e-01,43341265.0000,39277242.0000,9.0623201699350497e-01,2.8563000000000000e+04,"A3",1.2260000000000000e+01,1178286024.0000,1693585663.0000,3.2500000000000000e+02,4.4572018319035026e-02,3.3899999999999999e+01,4.2873999999999996e+03
"EAST LYME",2.0020000000000000e+03,4.4000000000000000e+01,4.5000000000000000e+01,"NL",10656538.0000,28265742.0000,41985037.0000,28190527.0000,4901506.0000,43246820.0000,2095946.0000,2095946.0000,735384.0000,735384.0000,98779.0000,-13985.0000,98779.0000,,48581057.0000,48581057.0000,1068061.0000,326622.0000,4268506.0000,3200445.0000,59094319.0000,1330971.0000,28041470.0000,27592744.0000,9.8399777187144610e-01,29038913.0000,28083880.0000,9.6711195766866342e-01,1.7983000000000000e+04,"A1",3.4030000000000001e+01,915770850.0000,1741990862.0000,5.6000000000000000e+01,3.4560239674727156e-02,3.0300000000000001e+01,3.0707800000000002e+03
"EAST WINDSOR",2.0020000000000000e+03,4.5000000000000000e+01,4.7000000000000000e+01,"H",6028550.0000,15697103.0000,22856273.0000,12503821.0000,1668723.0000,21689932.0000,500195.0000,500195.0000,1009010.0000,1009010.0000,657526.0000,187031.0000,657526.0000,,13378590.0000,13378590.0000,0.0000,400000.0000,3572817.0000,3572817.0000,,,15568848.0000,15138554.0000,9.7236186004256708e-01,16480384.0000,15429151.0000,9.3621307610308113e-01,1.0095000000000000e+04,"A1",2.6280000000000001e+01,544639660.0000,889971042.0000,9.5000000000000000e+01,5.1034482758620693e-02,2.8270000000000000e+01,1.6281900000000001e+03
"EASTFORD",2.0020000000000000e+03,4.6000000000000000e+01,3.9000000000000000e+01,"W",1635602.0000,2373705.0000,4201348.0000,2923028.0000,122890.0000,3993308.0000,664.0000,664.0000,6700.0000,6700.0000,202004.0000,5533.0000,202004.0000,,295122.0000,295122.0000,148830.0000,0.0000,654993.0000,506163.0000,,,2403398.0000,2363680.0000,9.8347423106784648e-01,2466955.0000,2406492.0000,9.7549083789530011e-01,1.6420000000000000e+03,"A3",2.8879999999999999e+01,68824178.0000,128139091.0000,3.0000000000000000e+00,3.4521158129175944e-02,3.5300000000000004e+01,2.5508000000000001e+02
"EASTON",2.0020000000000000e+03,4.7000000000000000e+01,4.6000000000000000e+01,"F",1850698.0000,21681091.0000,24642969.0000,15540004.0000,1538971.0000,23302304.0000,0.0000,0.0000,1452923.0000,1452923.0000,-112258.0000,895572.0000,-112258.0000,5147314.6658,24535000.0000,29682314.6658,185000.0000,917451.0000,3069648.0000,2884648.0000,,-136438.0000,21575402.0000,21350203.0000,9.8956223388097242e-01,21986402.0000,21489770.0000,9.7741185665576391e-01,7.4830000000000000e+03,"Aa1",2.7420000000000002e+01,763419035.0000,1675377260.0000,1.0000000000000000e+00,3.1719989062072740e-02,2.8199999999999999e+01,1.4012800000000000e+03
"ELLINGTON",2.0020000000000000e+03,4.8000000000000000e+01,4.8000000000000000e+01,"T",9913781.0000,19236033.0000,31670134.0000,20219506.0000,1762138.0000,30492889.0000,0.0000,250567.0000,243.0000,243.0000,1177002.0000,435832.0000,1427569.0000,,10006367.0000,10006367.0000,3164583.0000,0.0000,4296234.0000,1131651.0000,10893638.0000,,19132103.0000,18830754.0000,9.8424903942865039e-01,20084376.0000,19230546.0000,9.5748785025733441e-01,1.3571000000000000e+04,"A2",3.4049999999999997e+01,645819363.0000,933485980.0000,3.0000000000000000e+01,3.5249999999999997e-02,2.9100000000000001e+01,2.3301300000000001e+03
"ENFIELD",2.0020000000000000e+03,4.9000000000000000e+01,4.9000000000000000e+01,"H",33493101.0000,60541513.0000,96979646.0000,60304521.0000,1436139.0000,88397124.0000,0.0000,0.0000,6568761.0000,6568761.0000,2013761.0000,-715837.0000,2013761.0000,,22000000.0000,22000000.0000,3835074.0000,6245000.0000,17651006.0000,13815932.0000,,,59713609.0000,58301071.0000,9.7634478934274427e-01,62218940.0000,59391229.0000,9.5455224727390087e-01,4.5379000000000000e+04,"Aa3",3.3380000000000003e+01,1829578079.0000,3094482811.0000,3.0700000000000000e+02,4.3578471125528193e-02,3.2600000000000001e+01,6.8428600000000006e+03
"ESSEX",2.0020000000000000e+03,5.0000000000000000e+01,5.0000000000000000e+01,"M",1008427.0000,10979019.0000,12608744.0000,8450848.0000,634006.0000,12590106.0000,0.0000,0.0000,274500.0000,274500.0000,-255862.0000,231524.0000,-255862.0000,1936270.2441,4153675.0000,6089945.2441,326294.0000,309000.0000,1195377.0000,869083.0000,,,10908564.0000,10763074.0000,9.8666277247857737e-01,11168746.0000,10884059.0000,9.7451038818502989e-01,6.7300000000000000e+03,"Aa3",1.0359999999999999e+01,647187810.0000,1126643535.0000,7.0000000000000000e+00,3.1932314410480347e-02,1.6750000000000000e+01,8.7812000000000000e+02
"FAIRFIELD",2.0020000000000000e+03,5.1000000000000000e+01,5.1000000000000000e+01,"F",12909000.0000,133534000.0000,157748000.0000,89275000.0000,9591000.0000,155345000.0000,250000.0000,250000.0000,2230000.0000,2230000.0000,423000.0000,-898000.0000,423000.0000,,100036000.0000,100036000.0000,1739000.0000,4575000.0000,14773000.0000,13034000.0000,,4623000.0000,131232000.0000,129590000.0000,9.8748780785174350e-01,133726000.0000,130767000.0000,9.7787266500157033e-01,5.7715000000000000e+04,"Aaa",3.0030000000000001e+01,4537683448.0000,10403151686.0000,8.2000000000000000e+01,3.6133727213776209e-02,2.9199999999999999e+01,8.3301399999999994e+03
"FARMINGTON",2.0020000000000000e+03,5.2000000000000000e+01,5.2000000000000000e+01,"H",8900771.0000,50819394.0000,63909232.0000,36788828.0000,5835151.0000,61665091.0000,0.0000,0.0000,2123600.0000,2123600.0000,120541.0000,-273575.0000,120541.0000,,80096025.0000,80096025.0000,234824.0000,700000.0000,8105883.0000,7871059.0000,1937923.0000,-231991.0000,50618427.0000,50329630.0000,9.9429462713252625e-01,50980643.0000,50571166.0000,9.9196799067442132e-01,2.4189000000000000e+04,"Aa1",2.8060000000000002e+01,2000595497.0000,3550576651.0000,4.4000000000000000e+01,3.4148744048596288e-02,2.5000000000000000e+01,4.1917799999999997e+03
"FRANKLIN",2.0020000000000000e+03,5.3000000000000000e+01,5.3000000000000000e+01,"NL",1292105.0000,3491430.0000,4979612.0000,3183709.0000,866318.0000,4966761.0000,502.0000,350502.0000,39667.0000,39667.0000,-26314.0000,159657.0000,323686.0000,,2325000.0000,2325000.0000,170262.0000,0.0000,851348.0000,681086.0000,,,3231665.0000,3083514.0000,9.5415644876557437e-01,4027820.0000,3193800.0000,7.9293513612822819e-01,1.8810000000000000e+03,"A3",1.9510000000000002e+01,118562303.0000,195145203.0000,2.0000000000000000e+00,3.5180299032541780e-02,2.7300000000000001e+01,3.0719000000000000e+02
"GLASTONBURY",2.0020000000000000e+03,5.4000000000000000e+01,5.4000000000000000e+01,"H",8471526.0000,73311305.0000,87750262.0000,54730948.0000,6328645.0000,86281400.0000,1194196.0000,1194196.0000,1179780.0000,1179780.0000,1483278.0000,-942142.0000,1483278.0000,,49945000.0000,49945000.0000,222151.0000,2703974.0000,8597264.0000,8375113.0000,,,72996362.0000,72662337.0000,9.9542408702504925e-01,73725829.0000,73043037.0000,9.9073876809170913e-01,3.2575000000000000e+04,"Aa1",5.1370000000000005e+01,2085745260.0000,3947320450.0000,5.8000000000000000e+01,3.0138085142955365e-02,3.4600000000000001e+01,6.4041800000000003e+03
"GOSHEN",2.0020000000000000e+03,5.5000000000000000e+01,5.5000000000000000e+01,"L",334302.0000,5759070.0000,6433239.0000,4671570.0000,175613.0000,6533756.0000,183536.0000,183536.0000,0.0000,0.0000,83019.0000,41905.0000,83019.0000,3595515.2821,665000.0000,4260515.2821,0.0000,395961.0000,1105326.0000,1105326.0000,-10159.0000,,5692744.0000,5626880.0000,9.8843018410805050e-01,5857012.0000,5692351.0000,9.7188651824513939e-01,2.8600000000000000e+03,"A2",4.3660000000000004e+01,226517835.0000,444322861.0000,7.0000000000000000e+00,3.8382453735435230e-02,2.4800000000000001e+01,4.4250000000000000e+02
"GRANBY",2.0020000000000000e+03,5.6000000000000000e+01,5.6000000000000000e+01,"H",5556700.0000,20407035.0000,26956963.0000,17932938.0000,2468462.0000,26024254.0000,1610013.0000,1610013.0000,1515015.0000,1515015.0000,1027707.0000,-766233.0000,1027707.0000,,26005787.0000,26005787.0000,327563.0000,1305000.0000,3966503.0000,3638940.0000,,-970958.0000,20329785.0000,20118778.0000,9.8962079530108160e-01,20669699.0000,20319251.0000,9.8304532639783482e-01,1.0696000000000000e+04,"A1",4.0689999999999998e+01,566308190.0000,988430635.0000,1.2000000000000000e+01,3.2285471537807989e-02,3.5740000000000002e+01,2.0930100000000002e+03
"GREENWICH",2.0020000000000000e+03,5.7000000000000000e+01,5.7000000000000000e+01,"F",23622440.0000,198244667.0000,251212163.0000,93925768.0000,7423806.0000,231977627.0000,10865459.0000,10865459.0000,34106314.0000,34106314.0000,-4006319.0000,160810.0000,-4006319.0000,,40332904.0000,40332904.0000,6392702.0000,0.0000,13347452.0000,6954750.0000,14545730.0000,,196615940.0000,194492827.0000,9.8920172494661418e-01,199191235.0000,196776619.0000,9.8787790035038436e-01,6.1784000000000000e+04,"Aaa",4.7829999999999998e+01,10485254584.0000,26591601711.0000,7.7000000000000000e+01,3.0506385455541480e-02,1.8699999999999999e+01,8.8349699999999993e+03
"GRISWOLD",2.0020000000000000e+03,5.8000000000000000e+01,5.8000000000000000e+01,"NL",13294509.0000,9823057.0000,25976056.0000,19458438.0000,11935561.0000,34729341.0000,419978.0000,9758733.0000,488325.0000,488325.0000,-8821632.0000,1347585.0000,517123.0000,,13740000.0000,13740000.0000,400865.0000,750000.0000,3391071.0000,2990206.0000,304610.0000,,9612797.0000,9102747.0000,9.4694052105750282e-01,10408089.0000,9440682.0000,9.0705238973263969e-01,1.0988000000000000e+04,,3.4950000000000003e+01,369053599.0000,636345082.0000,8.4000000000000000e+01,4.4187425860023728e-02,2.5750000000000000e+01,1.9722300000000000e+03
"GROTON",2.0020000000000000e+03,5.9000000000000000e+01,5.9000000000000000e+01,"NL",45873927.0000,44641054.0000,93562542.0000,59345414.0000,3530785.0000,93349412.0000,2142124.0000,2142124.0000,3226416.0000,3226416.0000,-871162.0000,-5769622.0000,-871162.0000,,22985000.0000,22985000.0000,2255314.0000,4081919.0000,11383999.0000,9128685.0000,,4405857.0000,44489280.0000,43380633.0000,9.7508058120967567e-01,46235298.0000,44150256.0000,9.5490367554243949e-01,4.0270000000000000e+04,"Aa3",3.1300000000000001e+01,1886480844.0000,3932246902.0000,4.3600000000000000e+02,3.7971279513795517e-02,2.3500000000000000e+01,6.0055699999999997e+03
"GROTON (City of)",2.0020000000000000e+03,6.0000000000000000e+01,5.0100000000000000e+02,,1448339.0000,3788365.0000,10416036.0000,0.0000,863972.0000,11445773.0000,1289095.0000,1289095.0000,280433.0000,280433.0000,-21075.0000,133948.0000,-21075.0000,,7425800.0000,7425800.0000,72710.0000,224616.0000,1883074.0000,1810364.0000,62039875.0000,2345692.0000,3773391.0000,3728880.0000,9.8820397886145384e-01,3889912.0000,3762051.0000,9.6713010474272942e-01,,"Aa3",,,,,,,
"GUILFORD",2.0020000000000000e+03,6.1000000000000000e+01,6.0000000000000000e+01,"NH",7020771.0000,47461094.0000,56461495.0000,37430788.0000,4229703.0000,55418963.0000,31005.0000,31005.0000,1151994.0000,2139914.0000,-78457.0000,1306832.0000,-1066377.0000,,30910000.0000,30910000.0000,2299614.0000,1640000.0000,7362770.0000,5063156.0000,920975.0000,-494151.0000,46123754.0000,45908642.0000,9.9533619921743577e-01,46684222.0000,46270684.0000,9.9114180375545302e-01,2.1868000000000000e+04,"Aa2",4.7050000000000004e+01,1472484996.0000,2898182901.0000,4.7000000000000000e+01,2.7475207283368559e-02,3.1750000000000000e+01,3.9520700000000002e+03
"HADDAM",2.0020000000000000e+03,6.2000000000000000e+01,6.1000000000000000e+01,"M",1034548.0000,16407229.0000,18650926.0000,12179893.0000,2269136.0000,19751898.0000,450000.0000,450000.0000,34500.0000,34500.0000,-685472.0000,-1744185.0000,-685472.0000,1952009.0322,2210000.0000,4162009.0322,593900.0000,1028000.0000,3070995.0000,2477095.0000,,,16502348.0000,16013491.0000,9.7037651854148266e-01,17632273.0000,16262720.0000,9.2232691723863391e-01,7.3600000000000000e+03,"Baa1",4.4030000000000001e+01,469902703.0000,747587501.0000,1.5000000000000000e+01,3.1006022752621012e-02,3.4500000000000000e+01,1.2679500000000000e+03
"HAMDEN",2.0020000000000000e+03,6.3000000000000000e+01,6.2000000000000000e+01,"NH",29202329.0000,88741611.0000,126548387.0000,70136272.0000,7954906.0000,125117141.0000,0.0000,0.0000,0.0000,0.0000,1431246.0000,-1972312.0000,1431246.0000,,78279910.0000,78279910.0000,2421298.0000,0.0000,7458243.0000,5036945.0000,6124015.0000,-1354743.0000,88185174.0000,86419396.0000,9.7997647541070798e-01,91040311.0000,88065001.0000,9.6731876278410345e-01,5.7927000000000000e+04,"A1",3.2780000000000001e+01,2541994483.0000,3658428090.0000,5.3100000000000000e+02,3.9418740604643392e-02,3.4460000000000001e+01,7.0724400000000005e+03
"HAMPTON",2.0020000000000000e+03,6.4000000000000000e+01,6.3000000000000000e+01,"W",1804875.0000,2738194.0000,4718793.0000,3424618.0000,897562.0000,4831110.0000,0.0000,135000.0000,65000.0000,65000.0000,-177317.0000,126750.0000,-42317.0000,0.0000,1700000.0000,1700000.0000,30677.0000,0.0000,398118.0000,367441.0000,,,2764733.0000,2659364.0000,9.6188818233080731e-01,2924245.0000,2702244.0000,9.2408262645571759e-01,1.8590000000000000e+03,,2.5000000000000000e+01,79262063.0000,120020633.0000,1.2000000000000000e+01,3.7356321839080463e-02,3.5000000000000000e+01,3.1607999999999998e+02
"HARTFORD",2.0020000000000000e+03,6.5000000000000000e+01,6.4000000000000000e+01,"H",242028000.0000,171219000.0000,433685000.0000,209622000.0000,25004000.0000,423442000.0000,8907000.0000,8907000.0000,31198000.0000,32102000.0000,-12048000.0000,-6450305.0000,-12952000.0000,,162500000.0000,162500000.0000,3629000.0000,5341000.0000,31783000.0000,28154000.0000,54551000.0000,-14867000.0000,169964000.0000,161646000.0000,9.5106022451813321e-01,187009000.0000,167554000.0000,8.9596757375313485e-01,1.2455800000000000e+05,"A1",1.7309999999999999e+01,3580070367.0000,5794370126.0000,1.0744000000000000e+04,8.7806011448366181e-02,4.8000000000000000e+01,2.4326639999999999e+04
"HARTLAND",2.0020000000000000e+03,6.6000000000000000e+01,6.5000000000000000e+01,"H",1885547.0000,3179851.0000,5242286.0000,3700486.0000,823400.0000,5006466.0000,0.0000,0.0000,133990.0000,133990.0000,101830.0000,47501.0000,101830.0000,,2929568.0000,2929568.0000,303140.0000,292307.0000,595447.0000,292307.0000,,,3125741.0000,3061476.0000,9.7944007516937581e-01,3280072.0000,3122021.0000,9.5181477723659724e-01,2.0530000000000000e+03,"A3",3.3020000000000003e+01,118325450.0000,182022029.0000,1.0000000000000000e+00,2.9539530842745437e-02,2.6250000000000000e+01,4.0454000000000002e+02
"HARWINTON",2.0020000000000000e+03,6.7000000000000000e+01,6.6000000000000000e+01,"L",2689763.0000,9622327.0000,12577025.0000,8651290.0000,181250.0000,11645213.0000,0.0000,0.0000,367500.0000,367500.0000,564312.0000,461516.0000,564312.0000,4193128.5269,750000.0000,4943128.5269,0.0000,0.0000,1693345.0000,1693345.0000,88749.0000,,9407313.0000,9258766.0000,9.8420941240075677e-01,10041171.0000,9485495.0000,9.4466023932865995e-01,5.4290000000000000e+03,"A2",3.0740000000000002e+01,316637174.0000,512445564.0000,7.0000000000000000e+00,3.5187667560321718e-02,2.9500000000000000e+01,9.7790999999999997e+02
"HEBRON",2.0020000000000000e+03,6.8000000000000000e+01,6.7000000000000000e+01,"T",6102408.0000,14086868.0000,21326819.0000,14400223.0000,1857885.0000,20451152.0000,575753.0000,575753.0000,1790018.0000,1790018.0000,-338598.0000,106909.0000,-338598.0000,14431205.0081,13240879.0000,27672084.0081,0.0000,287417.0000,2792859.0000,2792859.0000,,,13908809.0000,13666424.0000,9.8257327424655838e-01,14588899.0000,13927820.0000,9.5468616240334514e-01,8.9070000000000000e+03,"A1",3.6890000000000001e+01,424673572.0000,748188268.0000,1.3000000000000000e+01,3.1486880466472300e-02,3.2240000000000002e+01,1.8386600000000001e+03
"KENT",2.0020000000000000e+03,6.9000000000000000e+01,6.8000000000000000e+01,"L",783600.0000,6206285.0000,7695903.0000,4396862.0000,100871.0000,6446402.0000,1097943.0000,1097943.0000,1601750.0000,1601750.0000,745694.0000,233072.0000,745694.0000,745138.6297,8150390.0000,8895528.6297,0.0000,479003.0000,2185040.0000,2185040.0000,1080034.0000,,6138275.0000,6044878.0000,9.8478448749852365e-01,6349298.0000,6141473.0000,9.6726803498591496e-01,2.9070000000000000e+03,"A1",4.8469999999999999e+01,306354833.0000,522248041.0000,4.0000000000000000e+00,3.1592520954223081e-02,1.9949999999999999e+01,4.1712000000000000e+02
"KILLINGLY",2.0020000000000000e+03,7.0000000000000000e+01,6.9000000000000000e+01,"W",18912042.0000,13312845.0000,35634358.0000,25853695.0000,2771765.0000,31855662.0000,282556.0000,282556.0000,4924820.0000,4924820.0000,-863568.0000,-2089767.0000,-863568.0000,,15800852.0000,15800852.0000,204193.0000,592699.0000,3146424.0000,2942231.0000,,52370.0000,12890054.0000,12419850.0000,9.6352195266210672e-01,14011840.0000,13005786.0000,9.2819972252038274e-01,1.6740000000000000e+04,"A1",4.8520000000000003e+01,603510085.0000,1099886214.0000,3.6700000000000000e+02,6.0612813370473535e-02,2.1000000000000000e+01,2.8242200000000003e+03
"KILLINGWORTH",2.0020000000000000e+03,7.1000000000000000e+01,7.0000000000000000e+01,"M",2549986.0000,11019554.0000,14096626.0000,10595473.0000,1041212.0000,14177976.0000,0.0000,1000025.0000,513980.0000,513980.0000,-595330.0000,78666.0000,404695.0000,1697990.9678,1387733.0000,3085723.9678,0.0000,407759.0000,2148724.0000,2148724.0000,,,10936213.0000,10824912.0000,9.8982271102437380e-01,11101295.0000,10911869.0000,9.8293658532630657e-01,6.2800000000000000e+03,,3.5320000000000000e+01,367405710.0000,698077703.0000,8.0000000000000000e+00,3.2182562902282039e-02,2.9300000000000001e+01,1.1243000000000000e+03
"LEBANON",2.0020000000000000e+03,7.2000000000000000e+01,7.1000000000000000e+01,"NL",6392525.0000,8350908.0000,16867255.0000,13053881.0000,1193498.0000,16296451.0000,7923.0000,7923.0000,612576.0000,612576.0000,-33849.0000,329374.0000,-33849.0000,,6700332.0000,6700332.0000,222807.0000,0.0000,2148043.0000,1925236.0000,,,8308862.0000,8069487.0000,9.7119039887772840e-01,8592757.0000,8205518.0000,9.5493425451225955e-01,7.0760000000000000e+03,"A1",5.4100000000000001e+01,324607928.0000,516388106.0000,1.5000000000000000e+01,3.8158542589857215e-02,2.5300000000000001e+01,1.2964900000000000e+03
"LEDYARD",2.0020000000000000e+03,7.3000000000000000e+01,7.2000000000000000e+01,"NL",14621875.0000,21485914.0000,38351082.0000,26560015.0000,726974.0000,36182790.0000,461025.0000,461025.0000,2342774.0000,2342774.0000,286543.0000,434031.0000,286543.0000,,5708078.0000,5708078.0000,0.0000,316546.0000,2121171.0000,2121171.0000,9703123.0000,-403985.0000,21417286.0000,21141945.0000,9.8714398266895254e-01,21934085.0000,21347027.0000,9.7323535492818602e-01,1.4882000000000000e+04,"A1",3.8140000000000001e+01,607185414.0000,1103582500.0000,4.3000000000000000e+01,2.9390063944909003e-02,3.4780000000000001e+01,3.0108800000000001e+03
"LISBON",2.0020000000000000e+03,7.4000000000000000e+01,7.3000000000000000e+01,"NL",4173898.0000,3366357.0000,9082377.0000,6785275.0000,5318182.0000,13777304.0000,0.0000,4582000.0000,912532.0000,912532.0000,-5607459.0000,100725.0000,-1025459.0000,,6810000.0000,6810000.0000,409490.0000,0.0000,2605117.0000,2195627.0000,,,3274748.0000,3223395.0000,9.8431848801800936e-01,3422323.0000,3315732.0000,9.6885419640402148e-01,4.1590000000000000e+03,"A3",1.6250000000000000e+01,176728390.0000,301582393.0000,1.6000000000000000e+01,3.1467102574581123e-02,1.8000000000000000e+01,7.9507000000000005e+02
"LITCHFIELD",2.0020000000000000e+03,7.5000000000000000e+01,7.4000000000000000e+01,"L",2136555.0000,15546711.0000,18346337.0000,12275311.0000,849612.0000,18578912.0000,293831.0000,293831.0000,605000.0000,605000.0000,-543744.0000,-260651.0000,-543744.0000,,5027679.0000,5027679.0000,272048.0000,0.0000,1820973.0000,1548925.0000,,168206.0000,15514929.0000,15179719.0000,9.7839435810502262e-01,16207527.0000,15424522.0000,9.5168880483740670e-01,8.4800000000000000e+03,"Aa3",5.6060000000000002e+01,618926066.0000,1012216113.0000,1.6000000000000000e+01,3.6093418259023353e-02,2.4859999999999999e+01,1.4206700000000001e+03
"LYME",2.0020000000000000e+03,7.6000000000000000e+01,7.5000000000000000e+01,"NL",284752.0000,4667379.0000,5280855.0000,3587624.0000,0.0000,5107882.0000,0.0000,0.0000,53000.0000,53000.0000,119973.0000,236326.0000,119973.0000,3839040.3424,146355.0000,3985395.3424,85827.0000,566465.0000,1573110.0000,1487283.0000,,,4594095.0000,4540122.0000,9.8825165783467694e-01,4755499.0000,4619675.0000,9.7143853883682874e-01,2.0590000000000000e+03,,3.1850000000000001e+01,273911843.0000,512792246.0000,0.0000000000000000e+00,2.8156221616712079e-02,1.6750000000000000e+01,3.1668000000000001e+02
"MADISON",2.0020000000000000e+03,7.7000000000000000e+01,7.6000000000000000e+01,"NH",4254074.0000,38951360.0000,45608113.0000,32058531.0000,1732369.0000,44997877.0000,111293.0000,111293.0000,2003358.0000,2003358.0000,-1281829.0000,-590776.0000,-1281829.0000,,26510399.0000,26510399.0000,412674.0000,420000.0000,7922590.0000,7509916.0000,,495373.0000,38948337.0000,38627594.0000,9.9176491155450364e-01,39838305.0000,38971143.0000,9.7823295945949507e-01,1.8546000000000000e+04,"Aa1",3.6180000000000000e+01,1468447901.0000,2736944788.0000,1.4000000000000000e+01,2.8048023183605879e-02,2.6260000000000002e+01,3.6338499999999999e+03
"MANCHESTER",2.0020000000000000e+03,7.8000000000000000e+01,7.7000000000000000e+01,"H",35555000.0000,76549000.0000,116860000.0000,73008000.0000,3515000.0000,112573000.0000,661000.0000,661000.0000,2684000.0000,2684000.0000,2264000.0000,16979.0000,2264000.0000,,31701000.0000,31701000.0000,1582000.0000,2828000.0000,9535000.0000,7953000.0000,48081000.0000,847000.0000,82836000.0000,80899000.0000,9.7661644695543004e-01,86453000.0000,82513000.0000,9.5442610435728081e-01,5.5084000000000000e+04,"Aa2",2.7250000000000000e+01,2768237298.0000,4046242140.0000,7.9200000000000000e+02,4.3132028863030615e-02,2.7410000000000000e+01,7.9596800000000003e+03
"MANSFIELD",2.0020000000000000e+03,7.9000000000000000e+01,7.8000000000000000e+01,"T",14682418.0000,14378934.0000,30404300.0000,22120726.0000,1312352.0000,30230273.0000,75000.0000,75000.0000,701200.0000,701200.0000,-452173.0000,-472995.0000,-452173.0000,14590424.7324,7715000.0000,22305424.7324,64998.0000,0.0000,1120293.0000,1055295.0000,1421432.0000,2283889.0000,14333193.0000,14136410.0000,9.8627081907011227e-01,14676921.0000,14301594.0000,9.7442740204161349e-01,2.1554000000000000e+04,"Aa3",4.4460000000000001e+01,538044577.0000,769828843.0000,4.8000000000000000e+01,2.6994805415992505e-02,2.6350000000000001e+01,2.0648299999999999e+03
"MARLBOROUGH",2.0020000000000000e+03,8.0000000000000000e+01,7.9000000000000000e+01,"H",3260757.0000,10116426.0000,14003761.0000,9552216.0000,760050.0000,13207945.0000,257672.0000,257672.0000,394448.0000,394448.0000,659040.0000,63580.0000,659040.0000,9027197.6473,3405000.0000,12432197.6473,279891.0000,690000.0000,2658761.0000,2378870.0000,,,9976163.0000,9911136.0000,9.9348176247721698e-01,10190877.0000,10033560.0000,9.8456295763357760e-01,5.9790000000000000e+03,"A1",2.3280000000000001e+01,304288536.0000,548835703.0000,6.0000000000000000e+00,2.9482551143200964e-02,3.2500000000000000e+01,1.1561600000000001e+03
"MERIDEN",2.0020000000000000e+03,8.1000000000000000e+01,8.0000000000000000e+01,"NH",58856398.0000,79387699.0000,143767482.0000,69583833.0000,14799855.0000,141400431.0000,0.0000,0.0000,681000.0000,681000.0000,1686051.0000,3321761.0000,1686051.0000,,104935713.0000,104935713.0000,1888931.0000,0.0000,5034497.0000,3145566.0000,109434527.0000,-425508.0000,78381160.0000,75251524.0000,9.6007157842522362e-01,85009585.0000,78103179.0000,9.1875732601211968e-01,5.8675000000000000e+04,"Baa1",2.3740000000000002e+01,1941535686.0000,3159150656.0000,2.0360000000000000e+03,5.2076095947063687e-02,4.0399999999999999e+01,9.4683999999999996e+03
