Municipality,Initials,Fisc_Year_End,numbered,Comptroller Town Code,County_Identifier,Inter_Gov_Rev,Tax_Rev,Total_Revenue,Education,Debt_Service,Total_Expenditures,TOTAL_Trans_to_Genl_Fund,Other_Financing_Sources,TOTAL_Trans_from_Genl_Fund,Other_Financing_Uses,Operating_Surplus_(Deficit)_Including_Transfers,Prior_Yr_OP_Surplus_(Def)_including_sources_and_uses,Operating_Surplus_(Deficit)_Including_Sources_And_Uses,Special / Extraordinary Items,RSD_DEBT,TOWN_Bonded_Long_Term_Debt,Total_Bonded_Long_Term_Debt_(RSD_+_Town),Reserv_Fund_Bal,Design_Fund_Bal,Total_Fund_Bal,Unreserved_Fund_Bal,Fund_Equity_Enterprise,Fund_Equity_Internal_Service,Curr_Year_Adjusted_Taxes_Collectible,Curr_Year_Taxes_Collected,Curr_Year_Tax_Collection_Rate,Total_Adjusted_Taxes_Collectible,Total_Taxes_Collected,Overal_Total_Tax_Collection_Rate,2003 Population,Moody's_Bond_Ratings_July_2003,area lmt,ACGLFY03,EGL,TANF03 Recipients,empl,ACMR,enrollmt
"EAST GRANBY","JG",2.0030000000000000e+03,3.9000000000000000e+01,4.0000000000000000e+01,"H",2458657.0000,10817220.0000,13745822.0000,8866102.0000,1080088.0000,12766725.0000,140481.0000,140481.0000,814031.0000,814031.0000,305547.0000,-112309.0000,305547.0000,0.0000,,5615000.0000,5615000.0000,122201.0000,0.0000,1551694.0000,1429493.0000,,,10820929.0000,10726701.0000,9.9129206004401282e-01,10963875.0000,10762059.0000,9.8159263946369324e-01,4.9770000000000000e+03,"A1",1.7480000000000000e+01,357286522.0000,647950570.3325,2.0000000000000000e+01,4.2728904847396769e-02,3.0199999999999999e+01,8.9562000000000000e+02
"EAST HADDAM","BP",2.0030000000000000e+03,4.0000000000000000e+01,4.1000000000000000e+01,"M",4739945.0000,14681930.0000,20419315.0000,13598638.0000,1492392.0000,20746610.0000,543594.0000,3432008.0000,243773.0000,3132187.0000,-27474.0000,466090.0000,-27474.0000,0.0000,,8528302.0000,8528302.0000,0.0000,408995.0000,3168816.0000,3168816.0000,,16048.0000,14674589.0000,14450804.0000,9.8475016915294866e-01,14976927.0000,14571088.0000,9.7290238511545124e-01,8.7110000000000000e+03,"A1",5.4329999999999998e+01,469012372.0000,931751487.3075,2.3000000000000000e+01,4.4633799959423820e-02,3.0900000000000002e+01,1.4139800000000000e+03
"EAST HAMPTON","JG",2.0030000000000000e+03,4.1000000000000000e+01,4.2000000000000000e+01,"M",8779255.0000,18086418.0000,27726372.0000,18677585.0000,2585945.0000,27701528.0000,284216.0000,284216.0000,713500.0000,713500.0000,-404440.0000,-482106.0000,-404440.0000,0.0000,,14768695.0000,14768695.0000,115971.0000,0.0000,1728577.0000,1612606.0000,,,17983949.0000,17681790.0000,9.8319840653462709e-01,18264393.0000,17928497.0000,9.8160924373451663e-01,1.1660000000000000e+04,"A2",3.5590000000000003e+01,641126725.0000,996553646.6737,3.8000000000000000e+01,5.8657021544267968e-02,2.7699999999999999e+01,2.0591300000000001e+03
"EAST HARTFORD","JG",2.0030000000000000e+03,4.2000000000000000e+01,4.3000000000000000e+01,"H",38912000.0000,86570000.0000,129211000.0000,71335000.0000,8342000.0000,128238000.0000,878000.0000,878000.0000,76000.0000,76000.0000,1775000.0000,-1154000.0000,1775000.0000,0.0000,,52032000.0000,52032000.0000,487000.0000,1126000.0000,7750000.0000,7263000.0000,,586000.0000,86604000.0000,83534000.0000,9.6455129093344416e-01,91623000.0000,85500000.0000,9.3317180184014936e-01,4.9596000000000000e+04,"A1",1.8020000000000000e+01,2292817676.0000,3389738837.1429,1.0750000000000000e+03,7.3268598025840626e-02,3.7899999999999999e+01,8.1077300000000005e+03
"EAST HAVEN","JG",2.0030000000000000e+03,4.3000000000000000e+01,4.4000000000000000e+01,"NH",24368851.0000,41365222.0000,68212661.0000,36295992.0000,8352528.0000,66904292.0000,43418.0000,31542991.0000,552846.0000,32052419.0000,798941.0000,1803922.0000,798941.0000,0.0000,,63462637.0000,63462637.0000,106698.0000,3100436.0000,7934648.0000,7827950.0000,-2675039.0000,3852795.0000,40520242.0000,39490067.0000,9.7457628708140487e-01,42927983.0000,40800694.0000,9.5044516766604203e-01,2.8710000000000000e+04,"A3",1.2260000000000000e+01,1222689712.0000,2098279938.6439,2.7300000000000000e+02,5.7417494392822815e-02,3.3899999999999999e+01,4.1849600000000000e+03
"EAST LYME","JG",2.0030000000000000e+03,4.4000000000000000e+01,4.5000000000000000e+01,"NL",10097331.0000,29865962.0000,43553882.0000,30167583.0000,5210948.0000,44877706.0000,2463104.0000,2463104.0000,658770.0000,658770.0000,480510.0000,98779.0000,480510.0000,0.0000,,45701071.0000,45701071.0000,1103478.0000,293762.0000,4749016.0000,3645538.0000,59171144.0000,1044522.0000,29493836.0000,29085484.0000,9.8615466635130133e-01,30402098.0000,29463179.0000,9.6911663793728975e-01,1.8537000000000000e+04,"A1",3.4030000000000001e+01,1276361798.0000,1830118560.0000,5.1000000000000000e+01,4.1036488630354313e-02,2.2900000000000002e+01,3.0711199999999999e+03
"EAST WINDSOR","BP",2.0030000000000000e+03,4.5000000000000000e+01,4.7000000000000000e+01,"H",6113566.0000,16768406.0000,23489750.0000,13462340.0000,1569719.0000,23505376.0000,470000.0000,470000.0000,597050.0000,597050.0000,-142676.0000,657526.0000,-142676.0000,0.0000,,12987990.0000,12987990.0000,0.0000,600000.0000,3430141.0000,3430141.0000,,,16766734.0000,16364603.0000,9.7601614005446735e-01,17633961.0000,16614797.0000,9.4220447691814679e-01,1.0185000000000000e+04,"A1",2.6280000000000001e+01,560497898.0000,1008897397.7444,9.5000000000000000e+01,6.1957446808510640e-02,2.9580000000000002e+01,1.6277300000000000e+03
"EASTFORD","BP",2.0030000000000000e+03,4.6000000000000000e+01,3.9000000000000000e+01,"W",1313201.0000,2516759.0000,3961434.0000,2945375.0000,116590.0000,4232876.0000,0.0000,0.0000,32700.0000,32700.0000,-304142.0000,202004.0000,-304142.0000,0.0000,,165536.0000,165536.0000,21332.0000,0.0000,340319.0000,318987.0000,,,2505443.0000,2467184.0000,9.8472964661339335e-01,2562437.0000,2493158.0000,9.7296362798382940e-01,1.6760000000000000e+03,"A3",2.8879999999999999e+01,69138536.0000,140640211.4749,0.0000000000000000e+00,4.1712403951701428e-02,3.5899999999999999e+01,2.5966000000000003e+02
"EASTON","BP",2.0030000000000000e+03,4.7000000000000000e+01,4.6000000000000000e+01,"F",1176719.0000,23811721.0000,25979307.0000,16638327.0000,3074415.0000,26303614.0000,0.0000,0.0000,384952.0000,384952.0000,-709259.0000,-112258.0000,-709259.0000,0.0000,8873896.2976,23100000.0000,31973896.2976,0.0000,291200.0000,2360389.0000,2360389.0000,,201507.0000,23723806.0000,23461546.0000,9.8894528137685833e-01,24203791.0000,23636957.0000,9.7658077612717775e-01,7.4820000000000000e+03,"Aa1",2.7420000000000002e+01,777445631.0000,1762123897.2427,1.0000000000000000e+00,3.4963124829281614e-02,3.0500000000000000e+01,1.4595699999999999e+03
"ELLINGTON","JG",2.0030000000000000e+03,4.8000000000000000e+01,4.8000000000000000e+01,"T",9740922.0000,20665840.0000,31929017.0000,21389083.0000,1704199.0000,31842970.0000,0.0000,0.0000,193156.0000,193156.0000,-107109.0000,1427569.0000,-107109.0000,0.0000,,18791044.0000,18791044.0000,32144.0000,2464662.0000,4189125.0000,4156981.0000,11336353.0000,,20752759.0000,20444622.0000,9.8515199834393108e-01,21567607.0000,20667621.0000,9.5827140210779993e-01,1.3952000000000000e+04,"A2",3.4049999999999997e+01,671701066.0000,1101318381.4083,3.1000000000000000e+01,4.0570445045488075e-02,3.0400000000000002e+01,2.3938699999999999e+03
"ENFIELD","JG",2.0030000000000000e+03,4.9000000000000000e+01,4.9000000000000000e+01,"H",30767270.0000,64766397.0000,98086474.0000,63189741.0000,3302723.0000,93770131.0000,260548.0000,260548.0000,4970575.0000,4970575.0000,-393684.0000,2013761.0000,-393684.0000,0.0000,,34500000.0000,34500000.0000,4669806.0000,6697260.0000,17257322.0000,12587516.0000,,,63963795.0000,62366374.0000,9.7502616910081708e-01,66546668.0000,63632260.0000,9.5620504996583755e-01,4.5539000000000000e+04,"Aa3",3.3380000000000003e+01,1992050726.0000,2884323894.2857,3.1900000000000000e+02,5.6783003265340741e-02,3.2149999999999999e+01,6.9543000000000002e+03
"ESSEX","JG",2.0030000000000000e+03,5.0000000000000000e+01,5.0000000000000000e+01,"M",927575.0000,12223722.0000,13833347.0000,9313388.0000,635681.0000,13605209.0000,0.0000,0.0000,149680.0000,149680.0000,78458.0000,-255862.0000,78458.0000,0.0000,3958094.9386,3667602.0000,7625696.9386,354572.0000,0.0000,1274231.0000,919659.0000,,,12117191.0000,12002866.0000,9.9056505752859714e-01,12390811.0000,12165579.0000,9.8182265874283770e-01,6.8000000000000000e+03,"Aa3",1.0359999999999999e+01,659813608.0000,1239252030.7853,6.0000000000000000e+00,3.8346478107152568e-02,1.8250000000000000e+01,9.0388000000000000e+02
"FAIRFIELD","BP",2.0030000000000000e+03,5.1000000000000000e+01,5.1000000000000000e+01,"F",11762000.0000,146606000.0000,170208000.0000,96108000.0000,13442000.0000,168177000.0000,371000.0000,371000.0000,165000.0000,165000.0000,2237000.0000,423000.0000,2237000.0000,0.0000,,122887000.0000,122887000.0000,2182000.0000,6996000.0000,17010000.0000,14828000.0000,,5911000.0000,144836000.0000,143482000.0000,9.9065149548454801e-01,147628000.0000,145174000.0000,9.8337713712845798e-01,5.8407000000000000e+04,"Aaa",3.0030000000000001e+01,7154369530.0000,10250034298.5714,6.8000000000000000e+01,4.4637681159420288e-02,2.0300000000000001e+01,8.5700699999999997e+03
"FARMINGTON","JG",2.0030000000000000e+03,5.2000000000000000e+01,5.2000000000000000e+01,"H",8910393.0000,54321294.0000,67978008.0000,39815352.0000,6847061.0000,66404401.0000,454291.0000,454291.0000,2199500.0000,2199500.0000,-171602.0000,120541.0000,-171602.0000,0.0000,,76401834.0000,76401834.0000,191273.0000,1500000.0000,7934281.0000,7743008.0000,1347173.0000,305410.0000,54752675.0000,54468343.0000,9.9480697518431749e-01,55126149.0000,54759840.0000,9.9335507727920558e-01,2.4507000000000000e+04,"Aa1",2.8060000000000002e+01,2047943700.0000,3992532575.5737,4.8000000000000000e+01,4.4278040045580336e-02,2.6500000000000000e+01,4.2356800000000003e+03
"FRANKLIN","BP",2.0030000000000000e+03,5.3000000000000000e+01,5.3000000000000000e+01,"NL",1246779.0000,4203568.0000,5662415.0000,3364878.0000,785399.0000,5098442.0000,0.0000,250000.0000,488823.0000,488823.0000,75150.0000,323686.0000,325150.0000,0.0000,,1950000.0000,1950000.0000,707746.0000,0.0000,1176498.0000,468752.0000,,,3339235.0000,3225563.0000,9.6595867017445614e-01,4138189.0000,3833283.0000,9.2631897673112562e-01,1.9060000000000000e+03,"A3",1.9510000000000002e+01,120564076.0000,218657723.8719,4.0000000000000000e+00,4.1379310344827586e-02,2.7300000000000001e+01,3.2931000000000000e+02
"GLASTONBURY","JG",2.0030000000000000e+03,5.4000000000000000e+01,5.4000000000000000e+01,"H",8943978.0000,79308388.0000,93036345.0000,59161701.0000,6075799.0000,92571252.0000,1721602.0000,1721602.0000,1586780.0000,1586780.0000,599915.0000,1483278.0000,599915.0000,0.0000,,46175000.0000,46175000.0000,296722.0000,2142068.0000,9197179.0000,8900457.0000,,,79366296.0000,78778105.0000,9.9258890700909108e-01,79630109.0000,79031133.0000,9.9247802109626648e-01,3.2789000000000000e+04,"Aa1",5.1370000000000005e+01,2140435400.0000,4214628515.4134,4.5000000000000000e+01,3.8426297102279232e-02,3.6700000000000003e+01,6.5549899999999998e+03
"GOSHEN","JG",2.0030000000000000e+03,5.5000000000000000e+01,5.5000000000000000e+01,"L",304797.0000,5863651.0000,6456733.0000,4978769.0000,168023.0000,7156861.0000,62925.0000,62925.0000,100000.0000,100000.0000,-737203.0000,83019.0000,-737203.0000,0.0000,3401969.7492,538750.0000,3940719.7492,0.0000,7692.0000,368123.0000,368123.0000,,,5844217.0000,5770774.0000,9.8743321817105700e-01,6007523.0000,5838532.0000,9.7187010353518410e-01,2.9280000000000000e+03,"A2",4.3660000000000004e+01,235184785.0000,465777415.9783,5.0000000000000000e+00,4.4058744993324434e-02,2.4500000000000000e+01,4.2297000000000003e+02
"GRANBY","JG",2.0030000000000000e+03,5.6000000000000000e+01,5.6000000000000000e+01,"H",5710350.0000,21882254.0000,28611683.0000,19464353.0000,3044474.0000,28921838.0000,1518145.0000,1518145.0000,1588966.0000,1588966.0000,-380976.0000,1027707.0000,-380976.0000,0.0000,,24272087.0000,24272087.0000,460670.0000,958000.0000,3585527.0000,3124857.0000,,266327.0000,21818221.0000,21551982.0000,9.8779740108050051e-01,22109909.0000,21710058.0000,9.8191530322445020e-01,1.0869000000000000e+04,"A1",4.0689999999999998e+01,583540540.0000,1079962058.0507,9.0000000000000000e+00,4.0047114252061249e-02,3.7060000000000002e+01,2.1513400000000001e+03
"GREENWICH","JG",2.0030000000000000e+03,5.7000000000000000e+01,5.7000000000000000e+01,"F",22586397.0000,206073921.0000,260275425.0000,100147739.0000,7004998.0000,242124998.0000,2281313.0000,2281313.0000,17406373.0000,17406373.0000,3025367.0000,-4006319.0000,3025367.0000,0.0000,,48975236.0000,48975236.0000,5572788.0000,0.0000,16372819.0000,10800031.0000,13893069.0000,,205041253.0000,202967627.0000,9.8988678634342919e-01,207593306.0000,204898397.0000,9.8701832418430679e-01,6.1972000000000000e+04,"Aaa",4.7829999999999998e+01,20586916618.0000,29431808438.5714,8.0000000000000000e+01,3.4521537622682660e-02,1.0430000000000000e+01,9.0105100000000002e+03
"GRISWOLD","JG",2.0030000000000000e+03,5.8000000000000000e+01,5.8000000000000000e+01,"NL",12741355.0000,10690573.0000,25832460.0000,19938256.0000,2434546.0000,26248638.0000,1225020.0000,1225020.0000,1018273.0000,1018273.0000,-209431.0000,517123.0000,-209431.0000,0.0000,,12010000.0000,12010000.0000,581664.0000,1310000.0000,3181640.0000,2599976.0000,240131.0000,,10538820.0000,10089593.0000,9.5737407034184097e-01,11430890.0000,10593235.0000,9.2672005416901049e-01,1.1087000000000000e+04,,3.4950000000000003e+01,438982216.0000,632796367.1429,8.2000000000000000e+01,5.3924418604651164e-02,2.4000000000000000e+01,1.9564200000000001e+03
"GROTON","JG",2.0030000000000000e+03,5.9000000000000000e+01,5.9000000000000000e+01,"NL",41109827.0000,50881334.0000,94506999.0000,62544160.0000,3364390.0000,97307704.0000,705018.0000,705018.0000,2529293.0000,2529293.0000,-4624980.0000,-871162.0000,-4624980.0000,0.0000,,20535000.0000,20535000.0000,1868182.0000,0.0000,6759019.0000,4890837.0000,,5462005.0000,50225742.0000,49200236.0000,9.7958206371545486e-01,52422634.0000,50494035.0000,9.6321056664188220e-01,4.0020000000000000e+04,"Aa3",3.1300000000000001e+01,2425039882.0000,3891265661.4286,3.8600000000000000e+02,5.0015794461408865e-02,2.0570000000000000e+01,5.9178299999999999e+03
"GROTON (City of)","BP",2.0030000000000000e+03,6.0000000000000000e+01,5.0100000000000000e+02,,1070206.0000,4396254.0000,10952892.0000,0.0000,934378.0000,11348562.0000,1409400.0000,1409400.0000,583676.0000,583676.0000,430054.0000,-21075.0000,430054.0000,0.0000,,7134200.0000,7134200.0000,107605.0000,223585.0000,2313128.0000,2205523.0000,41003045.0000,2784002.0000,4244111.0000,4197758.0000,9.8907827811289573e-01,4445824.0000,4327488.0000,9.7338266202170842e-01,,"Aa3",,,,,,,
"GUILFORD","JG",2.0030000000000000e+03,6.1000000000000000e+01,6.0000000000000000e+01,"NH",6349011.0000,49313938.0000,57603221.0000,37637941.0000,4315408.0000,57814213.0000,30100.0000,11518668.0000,268262.0000,11614617.0000,-449154.0000,-1066377.0000,-306941.0000,0.0000,,32165000.0000,32165000.0000,2158272.0000,1300000.0000,7055829.0000,4897557.0000,1812461.0000,-383673.0000,47580866.0000,47376264.0000,9.9569991012773917e-01,47989850.0000,47554910.0000,9.9093683351792095e-01,2.2082000000000000e+04,"Aa2",4.7050000000000004e+01,1497635396.0000,3330374704.2571,4.7000000000000000e+01,3.4446510875717637e-02,3.2469999999999999e+01,3.9507400000000002e+03
"HADDAM","BP",2.0030000000000000e+03,6.2000000000000000e+01,6.1000000000000000e+01,"M",909023.0000,18073739.0000,19421314.0000,12887547.0000,2258068.0000,19392836.0000,0.0000,0.0000,39800.0000,39800.0000,-11322.0000,-685472.0000,-11322.0000,0.0000,6824873.9291,0.0000,6824873.9291,423792.0000,566000.0000,3059673.0000,2635881.0000,,,17212863.0000,17040423.0000,9.8998191062114416e-01,18562616.0000,17544701.0000,9.4516317096685076e-01,7.4590000000000000e+03,"Baa1",4.4030000000000001e+01,545974370.0000,781368022.8571,1.1000000000000000e+01,3.9228723404255317e-02,3.1500000000000000e+01,1.2893900000000001e+03
"HAMDEN","JG",2.0030000000000000e+03,6.3000000000000000e+01,6.2000000000000000e+01,"NH",28986704.0000,92989819.0000,126385345.0000,74007606.0000,8261434.0000,129931653.0000,586416.0000,586416.0000,868.0000,868.0000,-2960760.0000,1431246.0000,-2960760.0000,0.0000,,87925273.0000,87925273.0000,1649225.0000,0.0000,5845231.0000,4196006.0000,-2963284.0000,-2057178.0000,92046434.0000,90301823.0000,9.8104640316647140e-01,94604832.0000,91792660.0000,9.7027454157944071e-01,5.8476000000000000e+04,"A1",3.2780000000000001e+01,2571890487.0000,4502690644.4805,5.1800000000000000e+02,5.0251423623830296e-02,3.5590000000000003e+01,7.0967300000000005e+03
"HAMPTON","BP",2.0030000000000000e+03,6.4000000000000000e+01,6.3000000000000000e+01,"W",1631568.0000,3147901.0000,4905748.0000,3585416.0000,466386.0000,4860160.0000,0.0000,68570.0000,85000.0000,85000.0000,-39412.0000,-42317.0000,29158.0000,0.0000,0.0000,1396070.0000,1396070.0000,0.0000,0.0000,427276.0000,427276.0000,,,3026984.0000,2928271.0000,9.6738899181495508e-01,3246932.0000,3032381.0000,9.3392192999422219e-01,1.9120000000000000e+03,,2.5000000000000000e+01,79233790.0000,134629587.3924,6.0000000000000000e+00,5.6429232192414434e-02,3.8000000000000000e+01,3.1415000000000003e+02
"HARTFORD","JG",2.0030000000000000e+03,6.5000000000000000e+01,6.4000000000000000e+01,"H",227324000.0000,172279000.0000,421549000.0000,208525000.0000,22420000.0000,410870000.0000,12055000.0000,12055000.0000,28724000.0000,28724000.0000,-5990000.0000,-12952000.0000,-5990000.0000,0.0000,,149015000.0000,149015000.0000,1453000.0000,3900000.0000,25793000.0000,24340000.0000,53949000.0000,-20019000.0000,170342000.0000,158888000.0000,9.3275880287891422e-01,186177000.0000,165985000.0000,8.9154406827911070e-01,1.2438700000000000e+05,"A1",1.7309999999999999e+01,3553165224.0000,6226723655.0573,9.5490000000000000e+03,1.1190620240752717e-01,4.8000000000000000e+01,2.4181230000000000e+04
"HARTLAND","BP",2.0030000000000000e+03,6.6000000000000000e+01,6.5000000000000000e+01,"H",1725767.0000,3322359.0000,5198860.0000,3883467.0000,276411.0000,5281859.0000,107802.0000,107802.0000,108500.0000,108500.0000,-83697.0000,101830.0000,-83697.0000,0.0000,,2767010.0000,2767010.0000,0.0000,254564.0000,511749.0000,511749.0000,,,3287838.0000,3222076.0000,9.7999840624750978e-01,3441538.0000,3291391.0000,9.5637212199894350e-01,2.0680000000000000e+03,"A3",3.3020000000000003e+01,120106000.0000,186576516.0930,0.0000000000000000e+00,3.8994800693240898e-02,2.7250000000000000e+01,3.8700000000000000e+02
"HARWINTON","BP",2.0030000000000000e+03,6.7000000000000000e+01,6.6000000000000000e+01,"L",2502679.0000,9895315.0000,12841779.0000,8959591.0000,172750.0000,12303483.0000,103576.0000,103576.0000,592839.0000,592839.0000,49033.0000,564312.0000,49033.0000,0.0000,3486319.8728,629441.0000,4115760.8728,0.0000,0.0000,1742378.0000,1742378.0000,146179.0000,,9831349.0000,9678066.0000,9.8440875204409894e-01,10307640.0000,9833355.0000,9.5398704262081335e-01,5.4950000000000000e+03,"A2",3.0740000000000002e+01,321586074.0000,555888959.5228,8.0000000000000000e+00,4.5892916528101096e-02,3.0300000000000001e+01,9.7092000000000007e+02
"HEBRON","BP",2.0030000000000000e+03,6.8000000000000000e+01,6.7000000000000000e+01,"T",6025834.0000,15515740.0000,22662939.0000,15412069.0000,1773776.0000,21891003.0000,797639.0000,797639.0000,1861783.0000,1861783.0000,-292208.0000,-338598.0000,-292208.0000,0.0000,16393605.2798,12079419.0000,28473024.2798,62330.0000,250000.0000,2500650.0000,2438320.0000,,,15217997.0000,14990901.0000,9.8507714254379208e-01,15852192.0000,15305773.0000,9.6553038217049103e-01,9.0470000000000000e+03,"A1",3.6890000000000001e+01,544134019.0000,778224891.4286,1.0000000000000000e+01,4.0478026214340788e-02,2.7690000000000001e+01,1.9278299999999999e+03
"KENT","JG",2.0030000000000000e+03,6.9000000000000000e+01,6.8000000000000000e+01,"L",2366636.0000,6776420.0000,9913485.0000,4654201.0000,838068.0000,7589804.0000,489017.0000,489017.0000,986500.0000,986500.0000,1826198.0000,745694.0000,1826198.0000,0.0000,745224.6864,7671623.0000,8416847.6864,0.0000,2892959.0000,4011238.0000,4011238.0000,1950307.0000,,6709962.0000,6605537.0000,9.8443731872103002e-01,6916609.0000,6710315.0000,9.7017411277694021e-01,2.9200000000000000e+03,"A1",4.8469999999999999e+01,314427484.0000,618835450.0644,2.0000000000000000e+00,3.7747920665387076e-02,2.1330000000000002e+01,4.0098000000000002e+02
"KILLINGLY","JG",2.0030000000000000e+03,7.0000000000000000e+01,6.9000000000000000e+01,"W",17586641.0000,14830379.0000,35331979.0000,26653720.0000,2230458.0000,35416505.0000,282408.0000,282408.0000,773215.0000,773215.0000,-575333.0000,-863568.0000,-575333.0000,0.0000,,18321289.0000,18321289.0000,430554.0000,368440.0000,2571091.0000,2140537.0000,,80534.0000,14455541.0000,13827238.0000,9.5653549043927166e-01,15416982.0000,14296260.0000,9.2730600580580558e-01,1.6940000000000000e+04,"A1",4.8520000000000003e+01,600503372.0000,1208247967.4184,2.9300000000000000e+02,7.5333333333333335e-02,2.2900000000000002e+01,2.7728099999999999e+03
"KILLINGWORTH","BP",2.0030000000000000e+03,7.1000000000000000e+01,7.0000000000000000e+01,"M",2370473.0000,11647475.0000,14552956.0000,11377367.0000,1182740.0000,15190736.0000,0.0000,948605.0000,329978.0000,329978.0000,-967758.0000,404695.0000,-19153.0000,0.0000,6025126.0709,1215914.0000,7241040.0709,0.0000,627623.0000,2129571.0000,2129571.0000,,,11551332.0000,11424239.0000,9.8899754591072264e-01,11705146.0000,11523160.0000,9.8445247927706325e-01,6.3730000000000000e+03,,3.5320000000000000e+01,537360172.0000,769143974.2857,7.0000000000000000e+00,3.6659877800407331e-02,2.1300000000000001e+01,1.1423800000000001e+03
"LEBANON","BP",2.0030000000000000e+03,7.2000000000000000e+01,7.1000000000000000e+01,"NL",6030871.0000,8943587.0000,17083337.0000,13347487.0000,1105826.0000,16483574.0000,6449.0000,6449.0000,760438.0000,760438.0000,-154226.0000,-33849.0000,-154226.0000,0.0000,,5939913.0000,5939913.0000,101580.0000,0.0000,2060967.0000,1959387.0000,,,8827670.0000,8619834.0000,9.7645630160619956e-01,9207767.0000,8835712.0000,9.5959335200380291e-01,7.1450000000000000e+03,"A1",5.4100000000000001e+01,332781228.0000,581437915.0151,1.4000000000000000e+01,4.4930027007120059e-02,2.6199999999999999e+01,1.2692200000000000e+03
"LEDYARD","JG",2.0030000000000000e+03,7.3000000000000000e+01,7.2000000000000000e+01,"NL",14393923.0000,22886653.0000,39537003.0000,24408259.0000,699578.0000,37456147.0000,448387.0000,448387.0000,1456916.0000,1456916.0000,1072327.0000,286543.0000,1072327.0000,0.0000,,5250590.0000,5250590.0000,0.0000,475061.0000,3193498.0000,3193498.0000,9801155.0000,-238239.0000,22641223.0000,22414831.0000,9.9000089350297027e-01,23094469.0000,22686455.0000,9.8233282609788519e-01,1.5003000000000000e+04,"A1",3.8140000000000001e+01,770888662.0000,1113114997.1429,4.6000000000000000e+01,4.0491684743311641e-02,2.8969999999999999e+01,2.9353299999999999e+03
"LISBON","BP",2.0030000000000000e+03,7.4000000000000000e+01,7.3000000000000000e+01,"NL",4053655.0000,3909873.0000,9336342.0000,6981677.0000,4974425.0000,13928162.0000,0.0000,4582000.0000,221575.0000,221575.0000,-4813395.0000,-1025459.0000,-231395.0000,0.0000,,6885000.0000,6885000.0000,948021.0000,0.0000,2366416.0000,1418395.0000,,,3860213.0000,3806437.0000,9.8606916250476329e-01,3963395.0000,3864561.0000,9.7506329800587632e-01,4.2040000000000000e+03,"A3",1.6250000000000000e+01,231959470.0000,332465614.2857,1.3000000000000000e+01,4.6955829685634699e-02,1.6500000000000000e+01,8.1250999999999999e+02
"LITCHFIELD","JG",2.0030000000000000e+03,7.5000000000000000e+01,7.4000000000000000e+01,"L",2293180.0000,16412138.0000,19248550.0000,13216500.0000,820840.0000,19358596.0000,228244.0000,2663244.0000,45081.0000,2437511.0000,73117.0000,-543744.0000,115687.0000,0.0000,,9747757.0000,9747757.0000,60710.0000,0.0000,1936660.0000,1875950.0000,,-343837.0000,16128121.0000,15776893.0000,9.7822263362235440e-01,16894592.0000,16103647.0000,9.5318353944268086e-01,8.5310000000000000e+03,"Aa3",5.6060000000000002e+01,629029864.0000,1189272194.1332,1.2000000000000000e+01,4.3010752688172046e-02,2.5410000000000000e+01,1.4264000000000001e+03
"LYME","BP",2.0030000000000000e+03,7.6000000000000000e+01,7.5000000000000000e+01,"NL",211742.0000,5105444.0000,5688690.0000,4056275.0000,0.0000,5832999.0000,3766.0000,101891.0000,88000.0000,88000.0000,-228543.0000,119973.0000,-130418.0000,0.0000,3829320.4437,175900.0000,4005220.4437,21383.0000,650664.0000,1442692.0000,1421309.0000,,,4977160.0000,4921573.0000,9.8883158266963489e-01,5119235.0000,5006609.0000,9.7799944718302634e-01,2.0940000000000000e+03,,3.1850000000000001e+01,279033025.0000,519430791.3945,0.0000000000000000e+00,3.8800705467372132e-02,1.7750000000000000e+01,3.2087000000000000e+02
"MADISON","BP",2.0030000000000000e+03,7.7000000000000000e+01,7.6000000000000000e+01,"NH",3910764.0000,41565696.0000,47758407.0000,32242788.0000,2252652.0000,45808593.0000,139770.0000,139770.0000,2084275.0000,2084275.0000,5309.0000,-1281829.0000,5309.0000,0.0000,,33363790.0000,33363790.0000,222917.0000,850000.0000,7927899.0000,7704982.0000,,66247.0000,41661364.0000,41295853.0000,9.9122661946449953e-01,42445444.0000,41564778.0000,9.7925181322169697e-01,1.8698000000000000e+04,"Aa1",3.6180000000000000e+01,1493512745.0000,3150800023.7640,1.9000000000000000e+01,3.2981803143093465e-02,2.7710000000000001e+01,3.7617200000000003e+03
"MANCHESTER","BP",2.0030000000000000e+03,7.8000000000000000e+01,7.7000000000000000e+01,"H",34189000.0000,80046000.0000,118148000.0000,75992000.0000,4188000.0000,117505000.0000,652000.0000,652000.0000,2904000.0000,2904000.0000,-1609000.0000,2264000.0000,-1609000.0000,0.0000,,33616000.0000,33616000.0000,2007000.0000,1104000.0000,7926000.0000,5919000.0000,48070000.0000,1204000.0000,88084000.0000,86032000.0000,9.7670405522001724e-01,90824000.0000,86727000.0000,9.5489077776799081e-01,5.5390000000000000e+04,"Aa2",2.7250000000000000e+01,2777389140.0000,4486068345.4749,7.7800000000000000e+02,5.4408762435594157e-02,3.2899999999999999e+01,7.9975900000000001e+03
