Municipality,2006 LABOR FORCE,2006 UNEMPLOYED,2006 Unemp Rate,2005 LABOR FORCE,2005 UNEMPLOYED,2005 Unemp Rate,2004 LABOR FORCE,2004 UNEMPLOYED,2004 Unemp Rate,2003 LABOR FORCE,2003 UNEMPLOYED,2003 Unemp Rate
"NEW CANAAN",8.8550000000000000e+03,2.4400000000000000e+02,2.7555053642010163e-02,8.7110000000000000e+03,2.7300000000000000e+02,3.1339685455171622e-02,8.6220000000000000e+03,2.4900000000000000e+02,2.8879610299234516e-02,8.6140000000000000e+03,2.7400000000000000e+02,3.1808683538425815e-02
"NEW FAIRFIELD",7.5150000000000000e+03,2.4500000000000000e+02,3.2601463739188291e-02,7.4770000000000000e+03,2.7400000000000000e+02,3.6645713521465825e-02,7.4170000000000000e+03,2.5200000000000000e+02,3.3976001078603206e-02,7.4490000000000000e+03,2.8800000000000000e+02,3.8662907772855415e-02
"NEW HARTFORD",3.7660000000000000e+03,1.3100000000000000e+02,3.4784917684545939e-02,3.6840000000000000e+03,1.4000000000000000e+02,3.8002171552660155e-02,3.6420000000000000e+03,1.7100000000000000e+02,4.6952224052718289e-02,3.5670000000000000e+03,1.6000000000000000e+02,4.4855620970002806e-02
"NEW HAVEN",5.4836000000000000e+04,3.6940000000000000e+03,6.7364505069662267e-02,5.4293000000000000e+04,3.8900000000000000e+03,7.1648278783636929e-02,5.3917000000000000e+04,3.8410000000000000e+03,7.1239126806016656e-02,5.3967000000000000e+04,4.1930000000000000e+03,7.7695628810198827e-02
"NEW LONDON",1.3578000000000000e+04,7.2900000000000000e+02,5.3689792311091472e-02,1.3509000000000000e+04,8.0600000000000000e+02,5.9663927751869121e-02,1.3370000000000000e+04,8.2100000000000000e+02,6.1406133133881824e-02,1.3456000000000000e+04,8.4700000000000000e+02,6.2945897740784781e-02
"NEW MILFORD",1.6202000000000000e+04,5.4500000000000000e+02,3.3637822491050490e-02,1.6072000000000000e+04,6.0400000000000000e+02,3.7580886012941760e-02,1.5945000000000000e+04,6.0600000000000000e+02,3.8005644402634056e-02,1.5847000000000000e+04,6.3700000000000000e+02,4.0196882690730108e-02
"NEWINGTON",1.6349000000000000e+04,6.2300000000000000e+02,3.8106306196097624e-02,1.6191000000000000e+04,6.9400000000000000e+02,4.2863319127910568e-02,1.6046000000000000e+04,6.9600000000000000e+02,4.3375296023931198e-02,1.6140000000000000e+04,7.9000000000000000e+02,4.8946716232961589e-02
"NEWTOWN",1.4208000000000000e+04,4.3600000000000000e+02,3.0686936936936936e-02,1.3976000000000000e+04,5.0700000000000000e+02,3.6276473955352030e-02,1.3769000000000000e+04,4.8600000000000000e+02,3.5296680949960052e-02,1.3611000000000000e+04,5.1300000000000000e+02,3.7690103592682392e-02
"NORFOLK",9.5300000000000000e+02,3.7000000000000000e+01,3.8824763903462747e-02,9.3700000000000000e+02,3.7000000000000000e+01,3.9487726787620067e-02,9.4900000000000000e+02,4.2000000000000000e+01,4.4257112750263436e-02,9.4200000000000000e+02,3.7000000000000000e+01,3.9278131634819531e-02
"NORTH BRANFORD",8.3470000000000000e+03,3.3500000000000000e+02,4.0134179944890380e-02,8.1770000000000000e+03,3.5900000000000000e+02,4.3903632138926257e-02,8.0390000000000000e+03,3.2900000000000000e+02,4.0925488244806567e-02,7.9930000000000000e+03,3.6700000000000000e+02,4.5915175778806452e-02
"NORTH CANAAN",1.7260000000000000e+03,6.6000000000000000e+01,3.8238702201622246e-02,1.7080000000000000e+03,7.4000000000000000e+01,4.3325526932084309e-02,1.7090000000000000e+03,7.0000000000000000e+01,4.0959625511995321e-02,1.7140000000000000e+03,7.5000000000000000e+01,4.3757292882147025e-02
"NORTH HAVEN",1.3082000000000000e+04,5.1100000000000000e+02,3.9061305610762882e-02,1.2798000000000000e+04,5.5000000000000000e+02,4.2975464916393188e-02,1.2555000000000000e+04,5.0100000000000000e+02,3.9904420549581841e-02,1.2478000000000000e+04,5.3400000000000000e+02,4.2795319762782495e-02
"NORTH STONINGTON",3.2790000000000000e+03,1.1200000000000000e+02,3.4156755108264714e-02,3.2280000000000000e+03,1.1400000000000000e+02,3.5315985130111527e-02,3.1690000000000000e+03,1.1800000000000000e+02,3.7235721047649099e-02,3.1660000000000000e+03,1.2100000000000000e+02,3.8218572331017053e-02
"NORWALK",4.8145000000000000e+04,1.7490000000000000e+03,3.6327759891992939e-02,4.7429000000000000e+04,1.9360000000000000e+03,4.0818908262877145e-02,4.7192000000000000e+04,2.0370000000000000e+03,4.3164095609425329e-02,4.7398000000000000e+04,2.2600000000000000e+03,4.7681336765264357e-02
"NORWICH",2.0640000000000000e+04,1.0290000000000000e+03,4.9854651162790697e-02,2.0451000000000000e+04,1.1030000000000000e+03,5.3933792968558998e-02,2.0119000000000000e+04,1.1180000000000000e+03,5.5569362294348626e-02,2.0145000000000000e+04,1.2240000000000000e+03,6.0759493670886074e-02
"OLD LYME",4.2220000000000000e+03,1.3000000000000000e+02,3.0791094268119375e-02,4.1930000000000000e+03,1.4300000000000000e+02,3.4104459813975675e-02,4.1380000000000000e+03,1.3500000000000000e+02,3.2624456259062351e-02,4.1720000000000000e+03,1.5700000000000000e+02,3.7631831255992329e-02
"OLD SAYBROOK",5.4680000000000000e+03,1.9500000000000000e+02,3.5662033650329189e-02,5.3430000000000000e+03,2.0700000000000000e+02,3.8742279618192030e-02,5.2860000000000000e+03,1.9900000000000000e+02,3.7646613696556940e-02,5.3170000000000000e+03,2.3000000000000000e+02,4.3257476020312206e-02
"ORANGE",7.2270000000000000e+03,2.4300000000000000e+02,3.3623910336239106e-02,7.1620000000000000e+03,2.6400000000000000e+02,3.6861211951968724e-02,6.8900000000000000e+03,2.3800000000000000e+02,3.4542815674891147e-02,6.8620000000000000e+03,2.5500000000000000e+02,3.7161177499271350e-02
"OXFORD",7.2020000000000000e+03,2.4000000000000000e+02,3.3324076645376281e-02,6.7280000000000000e+03,2.5400000000000000e+02,3.7752675386444709e-02,6.3510000000000000e+03,2.4100000000000000e+02,3.7946780034640214e-02,6.1910000000000000e+03,2.9600000000000000e+02,4.7811339040542723e-02
"PLAINFIELD",8.2390000000000000e+03,4.5200000000000000e+02,5.4861026823643647e-02,8.2110000000000000e+03,5.1200000000000000e+02,6.2355376933382049e-02,8.0270000000000000e+03,5.2000000000000000e+02,6.4781362900211789e-02,8.1180000000000000e+03,5.6900000000000000e+02,7.0091155457009113e-02
"PLAINVILLE",9.9250000000000000e+03,4.4000000000000000e+02,4.4332493702770780e-02,9.8620000000000000e+03,5.0700000000000000e+02,5.1409450415737176e-02,9.7560000000000000e+03,5.0300000000000000e+02,5.1558015580155804e-02,9.8260000000000000e+03,5.9700000000000000e+02,6.0757174842255242e-02
"PLYMOUTH",6.7640000000000000e+03,3.4300000000000000e+02,5.0709639266706089e-02,6.6880000000000000e+03,3.7500000000000000e+02,5.6070574162679424e-02,6.5730000000000000e+03,3.5600000000000000e+02,5.4160961509204318e-02,6.6160000000000000e+03,4.3400000000000000e+02,6.5598548972188628e-02
"POMFRET",2.2540000000000000e+03,9.7000000000000000e+01,4.3034605146406391e-02,2.2090000000000000e+03,9.2000000000000000e+01,4.1647804436396561e-02,2.1350000000000000e+03,8.6000000000000000e+01,4.0281030444964873e-02,2.1290000000000000e+03,9.2000000000000000e+01,4.3212775951150778e-02
"PORTLAND",5.2960000000000000e+03,1.9100000000000000e+02,3.6064954682779454e-02,5.2050000000000000e+03,2.1900000000000000e+02,4.2074927953890492e-02,5.0310000000000000e+03,2.1800000000000000e+02,4.3331345656927055e-02,5.0380000000000000e+03,2.5500000000000000e+02,5.0615323541087734e-02
"PRESTON",2.8660000000000000e+03,1.0400000000000000e+02,3.6287508722958828e-02,2.8070000000000000e+03,1.1100000000000000e+02,3.9543997149982191e-02,2.7440000000000000e+03,1.0400000000000000e+02,3.7900874635568516e-02,2.7500000000000000e+03,1.1800000000000000e+02,4.2909090909090911e-02
"PROSPECT",5.2590000000000000e+03,2.0300000000000000e+02,3.8600494390568549e-02,5.1900000000000000e+03,2.1700000000000000e+02,4.1811175337186895e-02,5.1370000000000000e+03,2.1700000000000000e+02,4.2242554019855945e-02,5.1450000000000000e+03,2.6300000000000000e+02,5.1117589893100099e-02
"PUTNAM",5.1370000000000000e+03,2.7300000000000000e+02,5.3143858283044576e-02,5.0370000000000000e+03,2.6400000000000000e+02,5.2412150089338895e-02,5.0170000000000000e+03,2.7500000000000000e+02,5.4813633645604945e-02,4.9700000000000000e+03,2.9800000000000000e+02,5.9959758551307848e-02
"REDDING",4.6680000000000000e+03,1.3200000000000000e+02,2.8277634961439587e-02,4.4430000000000000e+03,1.3700000000000000e+02,3.0835021381949133e-02,4.4250000000000000e+03,1.4400000000000000e+02,3.2542372881355933e-02,4.4160000000000000e+03,1.6200000000000000e+02,3.6684782608695655e-02
"RIDGEFIELD",1.1604000000000000e+04,3.3100000000000000e+02,2.8524646673560840e-02,1.1482000000000000e+04,3.6500000000000000e+02,3.1788886953492426e-02,1.1441000000000000e+04,3.7200000000000000e+02,3.2514640328642604e-02,1.1428000000000000e+04,3.8600000000000000e+02,3.3776688834441723e-02
"ROCKY HILL",1.0594000000000000e+04,3.7800000000000000e+02,3.5680573909760240e-02,1.0417000000000000e+04,4.2100000000000000e+02,4.0414706729384658e-02,1.0262000000000000e+04,4.3000000000000000e+02,4.1902163320990060e-02,1.0264000000000000e+04,4.9300000000000000e+02,4.8031956352299301e-02
"ROXBURY",1.3700000000000000e+03,3.4000000000000000e+01,2.4817518248175182e-02,1.3450000000000000e+03,4.1000000000000000e+01,3.0483271375464683e-02,1.3390000000000000e+03,3.8000000000000000e+01,2.8379387602688575e-02,1.3230000000000000e+03,3.5000000000000000e+01,2.6455026455026454e-02
"SALEM",2.6200000000000000e+03,8.9000000000000000e+01,3.3969465648854960e-02,2.5770000000000000e+03,9.6000000000000000e+01,3.7252619324796274e-02,2.5060000000000000e+03,8.6000000000000000e+01,3.4317637669592976e-02,2.5130000000000000e+03,1.0700000000000000e+02,4.2578591325109431e-02
"SALISBURY",1.9780000000000000e+03,6.7000000000000000e+01,3.3872598584428718e-02,1.9720000000000000e+03,7.6000000000000000e+01,3.8539553752535496e-02,1.9770000000000000e+03,7.3000000000000000e+01,3.6924633282751647e-02,1.9560000000000000e+03,5.8000000000000000e+01,2.9652351738241309e-02
"SCOTLAND",9.9700000000000000e+02,2.7000000000000000e+01,2.7081243731193579e-02,9.7100000000000000e+02,3.2000000000000000e+01,3.2955715756951595e-02,9.3700000000000000e+02,2.5000000000000000e+01,2.6680896478121666e-02,9.2500000000000000e+02,2.9000000000000000e+01,3.1351351351351350e-02
"SEYMOUR",9.1500000000000000e+03,4.0400000000000000e+02,4.4153005464480873e-02,8.9290000000000000e+03,4.1700000000000000e+02,4.6701758315600854e-02,8.8700000000000000e+03,4.1100000000000000e+02,4.6335963923337088e-02,8.9020000000000000e+03,4.8700000000000000e+02,5.4706807458997975e-02
"SHARON",1.5610000000000000e+03,4.0000000000000000e+01,2.5624599615631006e-02,1.5400000000000000e+03,4.8000000000000000e+01,3.1168831168831169e-02,1.5330000000000000e+03,4.3000000000000000e+01,2.8049575994781473e-02,1.5320000000000000e+03,4.4000000000000000e+01,2.8720626631853787e-02
"SHELTON",2.2782000000000000e+04,8.4700000000000000e+02,3.7178474234044419e-02,2.2029000000000000e+04,9.3900000000000000e+02,4.2625629851559307e-02,2.1897000000000000e+04,9.7400000000000000e+02,4.4480979129561130e-02,2.1972000000000000e+04,1.1380000000000000e+03,5.1793191334425635e-02
"SHERMAN",2.1380000000000000e+03,6.2000000000000000e+01,2.8999064546304958e-02,2.1170000000000000e+03,7.0000000000000000e+01,3.3065658951346243e-02,2.0870000000000000e+03,6.1000000000000000e+01,2.9228557738380449e-02,2.0710000000000000e+03,5.9000000000000000e+01,2.8488652824722356e-02
"SIMSBURY",1.1923000000000000e+04,3.6200000000000000e+02,3.0361486203136796e-02,1.1762000000000000e+04,4.0600000000000000e+02,3.4517939125998980e-02,1.1577000000000000e+04,4.0100000000000000e+02,3.4637643603696984e-02,1.1599000000000000e+04,4.2900000000000000e+02,3.6985947064402107e-02
"SOMERS",4.6640000000000000e+03,2.0100000000000000e+02,4.3096054888507720e-02,4.6120000000000000e+03,2.1600000000000000e+02,4.6834345186470075e-02,4.5700000000000000e+03,2.0600000000000000e+02,4.5076586433260395e-02,4.5600000000000000e+03,2.3800000000000000e+02,5.2192982456140354e-02
"SOUTH WINDSOR",1.4600000000000000e+04,4.8500000000000000e+02,3.3219178082191783e-02,1.4357000000000000e+04,5.1400000000000000e+02,3.5801351257226437e-02,1.4035000000000000e+04,5.1500000000000000e+02,3.6693979337370862e-02,1.3889000000000000e+04,5.7300000000000000e+02,4.1255669954640362e-02
"SOUTHBURY",9.0080000000000000e+03,3.1600000000000000e+02,3.5079928952042629e-02,8.8530000000000000e+03,3.5800000000000000e+02,4.0438269513159382e-02,8.7350000000000000e+03,3.5400000000000000e+02,4.0526617057813394e-02,8.6560000000000000e+03,3.7300000000000000e+02,4.3091497227356744e-02
"SOUTHINGTON",2.3844000000000000e+04,8.8400000000000000e+02,3.7074316389867475e-02,2.3461000000000000e+04,9.9500000000000000e+02,4.2410809428413111e-02,2.3119000000000000e+04,1.0450000000000000e+03,4.5200916994679700e-02,2.3026000000000000e+04,1.1560000000000000e+03,5.0204117085034312e-02
"SPRAGUE",1.8060000000000000e+03,9.8000000000000000e+01,5.4263565891472867e-02,1.7820000000000000e+03,1.0200000000000000e+02,5.7239057239057242e-02,1.7660000000000000e+03,1.0800000000000000e+02,6.1155152887882216e-02,1.7750000000000000e+03,1.1300000000000000e+02,6.3661971830985917e-02
"STAFFORD",6.7340000000000000e+03,2.9900000000000000e+02,4.4401544401544403e-02,6.6900000000000000e+03,3.5000000000000000e+02,5.2316890881913304e-02,6.5660000000000000e+03,3.2300000000000000e+02,4.9192811452939383e-02,6.5320000000000000e+03,3.4500000000000000e+02,5.2816901408450703e-02
"STAMFORD",6.5813000000000000e+04,2.3670000000000000e+03,3.5965538723352529e-02,6.5186000000000000e+04,2.7510000000000000e+03,4.2202313380173655e-02,6.4787000000000000e+04,2.6670000000000000e+03,4.1165665951502617e-02,6.5155000000000000e+04,2.9760000000000000e+03,4.5675696416238198e-02
"STERLING",2.0180000000000000e+03,9.3000000000000000e+01,4.6085232903865216e-02,1.9370000000000000e+03,1.0500000000000000e+02,5.4207537429013943e-02,1.8190000000000000e+03,9.0000000000000000e+01,4.9477735019241340e-02,1.8100000000000000e+03,1.0900000000000000e+02,6.0220994475138123e-02
"STONINGTON",1.0489000000000000e+04,3.0200000000000000e+02,2.8792067880636856e-02,1.0377000000000000e+04,3.3800000000000000e+02,3.2572034306639686e-02,1.0210000000000000e+04,3.2400000000000000e+02,3.1733594515181193e-02,1.0243000000000000e+04,3.7700000000000000e+02,3.6805623352533436e-02
"STRATFORD",2.5714000000000000e+04,1.1890000000000000e+03,4.6239402660029558e-02,2.5517000000000000e+04,1.3330000000000000e+03,5.2239683348355999e-02,2.5493000000000000e+04,1.3300000000000000e+03,5.2171184246655948e-02,2.5669000000000000e+04,1.5040000000000000e+03,5.8592076045034865e-02
"SUFFIELD",7.4310000000000000e+03,2.7700000000000000e+02,3.7276275063921407e-02,7.1520000000000000e+03,2.9600000000000000e+02,4.1387024608501119e-02,7.0590000000000000e+03,3.1100000000000000e+02,4.4057231902535771e-02,6.9640000000000000e+03,3.2000000000000000e+02,4.5950603101665710e-02
"THOMASTON",4.5870000000000000e+03,2.1900000000000000e+02,4.7743623283191629e-02,4.5340000000000000e+03,2.3700000000000000e+02,5.2271724746360826e-02,4.4680000000000000e+03,2.3400000000000000e+02,5.2372426141450316e-02,4.4690000000000000e+03,2.6500000000000000e+02,5.9297381964645332e-02
"THOMPSON",5.2620000000000000e+03,2.4700000000000000e+02,4.6940326871911818e-02,5.2170000000000000e+03,2.6400000000000000e+02,5.0603795284646348e-02,5.1740000000000000e+03,2.6400000000000000e+02,5.1024352531890221e-02,5.1580000000000000e+03,3.0100000000000000e+02,5.8355951919348586e-02
"TOLLAND",8.2780000000000000e+03,2.6000000000000000e+02,3.1408552790529114e-02,8.0900000000000000e+03,2.8100000000000000e+02,3.4734239802224967e-02,7.9480000000000000e+03,2.8800000000000000e+02,3.6235530951182690e-02,7.8390000000000000e+03,3.0400000000000000e+02,3.8780456690904450e-02
"TORRINGTON",1.9330000000000000e+04,9.7500000000000000e+02,5.0439730988101394e-02,1.9162000000000000e+04,1.0980000000000000e+03,5.7300908047176705e-02,1.9040000000000000e+04,1.1590000000000000e+03,6.0871848739495797e-02,1.8911000000000000e+04,1.2190000000000000e+03,6.4459838189413574e-02
"TRUMBULL",1.7676000000000000e+04,6.0400000000000000e+02,3.4170626838651276e-02,1.7525000000000000e+04,6.7300000000000000e+02,3.8402282453637658e-02,1.7460000000000000e+04,6.8500000000000000e+02,3.9232531500572737e-02,1.7396000000000000e+04,7.5700000000000000e+02,4.3515750747298229e-02
"UNION",4.6900000000000000e+02,1.6000000000000000e+01,3.4115138592750532e-02,4.5400000000000000e+02,1.4000000000000000e+01,3.0837004405286344e-02,4.4900000000000000e+02,1.4000000000000000e+01,3.1180400890868598e-02,4.4500000000000000e+02,1.6000000000000000e+01,3.5955056179775284e-02
"VERNON",1.7109000000000000e+04,7.2300000000000000e+02,4.2258460459407329e-02,1.6756000000000000e+04,7.5400000000000000e+02,4.4998806397708285e-02,1.6516000000000000e+04,7.7500000000000000e+02,4.6924194720271255e-02,1.6442000000000000e+04,8.5100000000000000e+02,5.1757693711227341e-02
"VOLUNTOWN",1.6060000000000000e+03,6.5000000000000000e+01,4.0473225404732256e-02,1.6090000000000000e+03,8.4000000000000000e+01,5.2206339341205721e-02,1.5790000000000000e+03,7.7000000000000000e+01,4.8765041165294488e-02,1.5710000000000000e+03,7.8000000000000000e+01,4.9649904519414388e-02
"WALLINGFORD",2.5069000000000000e+04,9.6900000000000000e+02,3.8653316845506401e-02,2.4664000000000000e+04,1.0650000000000000e+03,4.3180343820953614e-02,2.4375000000000000e+04,1.0260000000000000e+03,4.2092307692307693e-02,2.4277000000000000e+04,1.1890000000000000e+03,4.8976397413189439e-02
"WARREN",7.4300000000000000e+02,2.6000000000000000e+01,3.4993270524899055e-02,7.2000000000000000e+02,2.8000000000000000e+01,3.8888888888888890e-02,7.0700000000000000e+02,2.2000000000000000e+01,3.1117397454031116e-02,7.0000000000000000e+02,2.3000000000000000e+01,3.2857142857142856e-02
"WASHINGTON",1.9390000000000000e+03,6.3000000000000000e+01,3.2490974729241874e-02,1.9090000000000000e+03,7.0000000000000000e+01,3.6668412781561029e-02,1.9220000000000000e+03,7.4000000000000000e+01,3.8501560874089492e-02,1.9270000000000000e+03,7.7000000000000000e+01,3.9958484691229888e-02
"WATERBURY",4.9424000000000000e+04,3.4490000000000000e+03,6.9783910650696016e-02,4.9532000000000000e+04,3.8780000000000000e+03,7.8292820802713395e-02,4.9394000000000000e+04,3.7770000000000000e+03,7.6466777341377495e-02,4.9789000000000000e+04,4.3230000000000000e+03,8.6826407439394238e-02
"WATERFORD",1.0453000000000000e+04,4.0500000000000000e+02,3.8744857935520904e-02,1.0377000000000000e+04,4.4600000000000000e+02,4.2979666570299703e-02,1.0267000000000000e+04,4.2700000000000000e+02,4.1589558780559074e-02,1.0338000000000000e+04,4.6800000000000000e+02,4.5269878119558911e-02
"WATERTOWN",1.2340000000000000e+04,5.2300000000000000e+02,4.2382495948136145e-02,1.2247000000000000e+04,5.8400000000000000e+02,4.7685147383032582e-02,1.2174000000000000e+04,5.8300000000000000e+02,4.7888943650402499e-02,1.2168000000000000e+04,6.5700000000000000e+02,5.3994082840236685e-02
"WEST HARTFORD",2.8837000000000000e+04,1.1230000000000000e+03,3.8943024586468776e-02,2.8627000000000000e+04,1.2300000000000000e+03,4.2966430293079956e-02,2.8379000000000000e+04,1.2410000000000000e+03,4.3729518305789493e-02,2.8562000000000000e+04,1.3630000000000000e+03,4.7720747846789438e-02
"WEST HAVEN",2.9233000000000000e+04,1.4360000000000000e+03,4.9122566961995004e-02,2.8916000000000000e+04,1.5900000000000000e+03,5.4986858486650990e-02,2.8814000000000000e+04,1.5730000000000000e+03,5.4591518012077463e-02,2.8748000000000000e+04,1.6800000000000000e+03,5.8438847919855291e-02
"WESTBROOK",3.6510000000000000e+03,1.3100000000000000e+02,3.5880580662832104e-02,3.5870000000000000e+03,1.4600000000000000e+02,4.0702536938946196e-02,3.5480000000000000e+03,1.4200000000000000e+02,4.0022547914317926e-02,3.5520000000000000e+03,1.6400000000000000e+02,4.6171171171171171e-02
"WESTON",4.8840000000000000e+03,1.3000000000000000e+02,2.6617526617526619e-02,4.8090000000000000e+03,1.5000000000000000e+02,3.1191515907673113e-02,4.7750000000000000e+03,1.4700000000000000e+02,3.0785340314136125e-02,4.7830000000000000e+03,1.5900000000000000e+02,3.3242734685343923e-02
"WESTPORT",1.2603000000000000e+04,3.6600000000000000e+02,2.9040704594144252e-02,1.2385000000000000e+04,4.1100000000000000e+02,3.3185304804198630e-02,1.2264000000000000e+04,4.0600000000000000e+02,3.3105022831050226e-02,1.2209000000000000e+04,4.3700000000000000e+02,3.5793267261856006e-02
"WETHERSFIELD",1.3163000000000000e+04,5.5900000000000000e+02,4.2467522601230726e-02,1.3060000000000000e+04,5.9900000000000000e+02,4.5865237366003064e-02,1.2981000000000000e+04,6.0300000000000000e+02,4.6452507510977584e-02,1.3052000000000000e+04,6.4800000000000000e+02,4.9647563591786702e-02
"WILLINGTON",3.8580000000000000e+03,1.2300000000000000e+02,3.1881804043545882e-02,3.8200000000000000e+03,1.4400000000000000e+02,3.7696335078534031e-02,3.7700000000000000e+03,1.4100000000000000e+02,3.7400530503978777e-02,3.7600000000000000e+03,1.5200000000000000e+02,4.0425531914893620e-02
"WILTON",8.2670000000000000e+03,2.4500000000000000e+02,2.9635901778154106e-02,8.1550000000000000e+03,2.6600000000000000e+02,3.2618025751072963e-02,8.1160000000000000e+03,2.6800000000000000e+02,3.3021192705766388e-02,8.1310000000000000e+03,2.9800000000000000e+02,3.6649858565982046e-02
"WINCHESTER",5.9810000000000000e+03,3.0300000000000000e+02,5.0660424678147464e-02,5.9270000000000000e+03,3.5000000000000000e+02,5.9051796861818794e-02,5.9850000000000000e+03,3.8300000000000000e+02,6.3993316624895574e-02,6.0050000000000000e+03,4.2500000000000000e+02,7.0774354704412984e-02
"WINDHAM",1.1623000000000000e+04,7.9100000000000000e+02,6.8054719091456592e-02,1.1369000000000000e+04,7.6700000000000000e+02,6.7464156917934739e-02,1.1230000000000000e+04,7.4500000000000000e+02,6.6340160284951030e-02,1.1311000000000000e+04,7.6000000000000000e+02,6.7191229776323927e-02
"WINDSOR",1.5870000000000000e+04,6.6800000000000000e+02,4.2091997479521109e-02,1.5692000000000000e+04,7.1700000000000000e+02,4.5692072393576345e-02,1.5528000000000000e+04,7.5900000000000000e+02,4.8879443585780523e-02,1.5590000000000000e+04,8.7200000000000000e+02,5.5933290570878771e-02
"WINDSOR LOCKS",6.9830000000000000e+03,2.9600000000000000e+02,4.2388658169841040e-02,6.9060000000000000e+03,3.2900000000000000e+02,4.7639733565015926e-02,6.8280000000000000e+03,3.4700000000000000e+02,5.0820152314001173e-02,6.8070000000000000e+03,3.8000000000000000e+02,5.5824886146613781e-02
"WOLCOTT",8.9580000000000000e+03,3.6600000000000000e+02,4.0857334226389819e-02,8.8600000000000000e+03,4.0100000000000000e+02,4.5259593679458240e-02,8.7810000000000000e+03,4.0600000000000000e+02,4.6236191777701857e-02,8.7540000000000000e+03,4.6700000000000000e+02,5.3347041352524563e-02
"WOODBRIDGE",4.8430000000000000e+03,1.3200000000000000e+02,2.7255833161263680e-02,4.7890000000000000e+03,1.6500000000000000e+02,3.4453956984756735e-02,4.7660000000000000e+03,1.5900000000000000e+02,3.3361309274024337e-02,4.7520000000000000e+03,1.6300000000000000e+02,3.4301346801346805e-02
"WOODBURY",5.4710000000000000e+03,1.6600000000000000e+02,3.0341802229939683e-02,5.4080000000000000e+03,2.0800000000000000e+02,3.8461538461538464e-02,5.3850000000000000e+03,1.8900000000000000e+02,3.5097493036211701e-02,5.3610000000000000e+03,2.1500000000000000e+02,4.0104458123484427e-02
"WOODSTOCK",4.6040000000000000e+03,1.7900000000000000e+02,3.8879235447437009e-02,4.4610000000000000e+03,1.8300000000000000e+02,4.1022192333557500e-02,4.3600000000000000e+03,1.7600000000000000e+02,4.0366972477064222e-02,4.3050000000000000e+03,2.0800000000000000e+02,4.8315911730545877e-02
