Municipality,Initials,Fisc_Year_End,numbered,Comptroller Town Code,County_Identifier,Invested In Capital Assets Net of Related Debt,Unrestricted Net Assets,Total Net Assets,Change In Net Assets,Inter_Gov_Rev,Tax_Rev,Total_Revenue,Education,Debt_Service,Total_Expenditures,TOTAL_Trans_to_Genl_Fund,Other_Financing_Sources,TOTAL_Trans_from_Genl_Fund,Other_Financing_Uses,Operating_Surplus_(Deficit)_Including_Transfers,Prior_Yr_OP_Surplus_(Def)_including_sources_and_uses,Operating_Surplus_(Deficit)_Including_Sources_And_Uses,Special / Extraordinary Items,RSD_DEBT,TOWN_Bonded_Long_Term_Debt,Total_Bonded_Long_Term_Debt_(RSD_+_Town),On-Behalf Payments (OBP) - Teachers Retirement Plan,OBP Allocation From POB Contribution,Reserv_Fund_Bal,Design_Fund_Bal,Total_Fund_Bal,Restatement (Y or N),Unreserved_Fund_Bal,Deficit - Individual Enterprise Funds (Y or N),Deficit - Individual Internal Service Funds (Y or N),Curr_Year_Adjusted_Taxes_Collectible,Curr_Year_Taxes_Collected,Curr_Year_Tax_Collection_Rate,Total_Adjusted_Taxes_Collectible,Total_Taxes_Collected,Overal_Total_Tax_Collection_Rate,2008 Population,Moody's_Bond_Ratings_July_2008,area lmt,EGL,TANF08 Recipients,empl,ACMR,enrollmt,RPA Identifier,ACGLFY08
"CROMWELL","VR",2.0080000000000000e+03,3.3000000000000000e+01,3.3000000000000000e+01,"M",83060826.0000,11425727.0000,94496371.0000,1099707.0000,13374918.0000,33037472.0000,48234073.0000,32372132.0000,3135897.0000,47045789.0000,935155.0000,935155.0000,944446.0000,944446.0000,1178993.0000,1129000.0000,1178993.0000,0.0000,,31150000.0000,31150000.0000,8641849.0000,6862531.0476,670645.0000,307750.0000,5739373.0000,"N",5068728.0000,"N ","N",32897376.0000,32669608.0000,9.9307640828253296e-01,33621964.0000,32897535.0000,9.7845369770784363e-01,1.3600000000000000e+04,"A1",1.2390000000000001e+01,1980706009.5963,3.3000000000000000e+01,4.7715479053284396e-02,3.1140000000000001e+01,1.9834900000000000e+03,"Midstate RPA",1048183897.0000
"DANBURY","VR",2.0080000000000000e+03,3.4000000000000000e+01,3.4000000000000000e+01,"F",140360414.0000,13679477.0000,155434037.0000,-8396289.0000,42719455.0000,139210955.0000,197369401.0000,114914158.0000,10455772.0000,203282937.0000,0.0000,5296150.0000,721184.0000,721184.0000,-6634720.0000,2978061.0000,-1338570.0000,0.0000,,120860789.0000,120860789.0000,8767000.0000,0.0000,2205086.0000,3000000.0000,26981103.0000,"N",24776017.0000,"N","N",139630959.0000,137492791.0000,9.8468700626771455e-01,144834201.0000,139147566.0000,9.6073693257022907e-01,7.9256000000000000e+04,"Aa2",4.2109999999999999e+01,12671862277.4584,3.7900000000000000e+02,4.6548455447752872e-02,2.2199999999999999e+01,9.9647800000000007e+03,"Housatonic Council of Elected Ofcls",6248162780.0000
"DARIEN","VR",2.0080000000000000e+03,3.5000000000000000e+01,3.5000000000000000e+01,"F",84591426.0000,32028030.0000,116619456.0000,39139.0000,29590967.0000,90532664.0000,126548548.0000,89629028.0000,9980921.0000,121408510.0000,1668248.0000,1843680.0000,6442847.0000,6442847.0000,365439.0000,3182132.0000,540871.0000,0.0000,,97939665.0000,97939665.0000,24671119.0000,19591446.2421,177432.0000,1100000.0000,17587819.0000,"N",17410387.0000,"N","N",90029920.0000,89494121.0000,9.9404865626893812e-01,91118320.0000,90030820.0000,9.8806496871320715e-01,2.0177000000000000e+04,"Aaa",1.2859999999999999e+01,12768925522.1590,2.0000000000000000e+00,3.8172920065252858e-02,1.3870000000000001e+01,4.6651599999999999e+03,"South Western RPA",6503668837.0000
"DEEP RIVER","VR",2.0080000000000000e+03,3.6000000000000000e+01,3.6000000000000000e+01,"M",9314491.0000,-476953.0000,9231046.0000,379976.0000,2853312.0000,10861841.0000,14939511.0000,10083786.0000,1038773.0000,14801779.0000,14562.0000,14562.0000,38496.0000,38496.0000,113798.0000,-654204.0000,113798.0000,0.0000,6582049.0245,702054.0000,7284103.0245,873000.0000,693253.2152,104259.0000,0.0000,707698.0000,"N",603439.0000,"N","N",10793153.0000,10621369.0000,9.8408398361442662e-01,11014062.0000,10746478.0000,9.7570523935674236e-01,4.6680000000000000e+03,"Baa1",1.3550000000000001e+01,764690796.4781,2.0000000000000000e+00,4.6736191579760528e-02,2.1250000000000000e+01,6.8952999999999997e+02,"CT River Estuary RPA",506593747.0000
"DERBY","VR",2.0080000000000000e+03,3.7000000000000000e+01,3.7000000000000000e+01,"NH",21737079.0000,9653149.0000,31393781.0000,2433087.0000,17123121.0000,22881651.0000,41232372.0000,23663301.0000,2233164.0000,40071458.0000,0.0000,0.0000,0.0000,0.0000,1160914.0000,-1198134.0000,1160914.0000,0.0000,,14838838.0000,14838838.0000,5901713.0000,4686576.7611,281442.0000,0.0000,3343922.0000,"N",3062480.0000,"N","N",22938175.0000,22247064.0000,9.6987070680208864e-01,23866604.0000,22626302.0000,9.4803190265359916e-01,1.2393000000000000e+04,"A2",4.9800000000000004e+00,1397512195.7538,1.5500000000000000e+02,6.5597457014882246e-02,2.5500000000000000e+01,1.5538700000000001e+03,"Valley COG",896693573.0000
"DURHAM","VR",2.0080000000000000e+03,3.8000000000000000e+01,3.8000000000000000e+01,"M",41334758.0000,5191079.0000,46565153.0000,-431702.0000,4311970.0000,19796973.0000,24859142.0000,19506284.0000,0.0000,24644737.0000,568538.0000,568538.0000,348400.0000,348400.0000,434543.0000,343360.0000,434543.0000,0.0000,11112592.7368,0.0000,11112592.7368,0.0000,0.0000,402793.0000,0.0000,3244034.0000,"N",2841241.0000,"N","N",19685093.0000,19473351.0000,9.8924353570491130e-01,20009551.0000,19683138.0000,9.8368714020619452e-01,7.4560000000000000e+03,,2.3600000000000001e+01,1110472228.3188,0.0000000000000000e+00,3.8408463661453542e-02,2.6250000000000000e+01,1.4293099999999999e+03,"Midstate RPA",750305725.0000
"EAST GRANBY","VR",2.0080000000000000e+03,3.9000000000000000e+01,4.0000000000000000e+01,"H",19124783.0000,2927016.0000,23320282.0000,1730386.0000,2764573.0000,13822264.0000,17258041.0000,11887509.0000,827138.0000,16444319.0000,100000.0000,100000.0000,461078.0000,461078.0000,452644.0000,174957.0000,452644.0000,0.0000,,1915000.0000,1915000.0000,0.0000,0.0000,449798.0000,0.0000,2608118.0000,"N",2158320.0000,"N","N",13812181.0000,13575753.0000,9.8288264539829007e-01,14175434.0000,13741710.0000,9.6940312374210202e-01,5.1550000000000000e+03,"A1",1.7480000000000000e+01,871556066.6804,1.2000000000000000e+01,4.1722296395193592e-02,2.8000000000000000e+01,9.2388999999999999e+02,"Capital Region COG",489583623.0000
"EAST HADDAM","KE",2.0080000000000000e+03,4.0000000000000000e+01,4.1000000000000000e+01,"M",43830231.0000,21719688.0000,65990909.0000,12684479.0000,11649505.0000,19615568.0000,32601192.0000,23363965.0000,1802200.0000,31490544.0000,597901.0000,1097901.0000,1555652.0000,1555652.0000,152897.0000,938695.0000,652897.0000,0.0000,,20457417.0000,20457417.0000,5934578.0000,4712675.0050,0.0000,879533.0000,6875583.0000,"N",6875583.0000,"N","N",19513888.0000,19324721.0000,9.9030603229863778e-01,19680988.0000,19450054.0000,9.8826613785852624e-01,8.8960000000000000e+03,"A1",5.4329999999999998e+01,1468673777.2242,1.5000000000000000e+01,4.3237038454180220e-02,2.7780000000000001e+01,1.4632000000000000e+03,"Midstate RPA",699785210.0000
"EAST HAMPTON","VR",2.0080000000000000e+03,4.1000000000000000e+01,4.2000000000000000e+01,"M",58473214.0000,16721792.0000,75211111.0000,1890258.0000,18124172.0000,25728961.0000,44900647.0000,32650534.0000,2081470.0000,42760007.0000,0.0000,0.0000,1513973.0000,1513973.0000,626667.0000,332765.0000,626667.0000,0.0000,,9196063.0000,9196063.0000,8765188.0000,6960475.1006,1888.0000,0.0000,4571431.0000,"N",4569543.0000,"N","N",25714934.0000,25357394.0000,9.8609601720152185e-01,26018341.0000,25536173.0000,9.8146814971792395e-01,1.2685000000000000e+04,"A2",3.5590000000000003e+01,1723486912.4203,2.8000000000000000e+01,5.6582788822466284e-02,2.3300000000000001e+01,2.0851999999999998e+03,"Midstate RPA",1095774779.0000
"EAST HARTFORD","VR",2.0080000000000000e+03,4.2000000000000000e+01,4.3000000000000000e+01,"H",130943000.0000,-7683000.0000,123487000.0000,-9668000.0000,79733000.0000,97595000.0000,186077000.0000,114773000.0000,8783000.0000,185074000.0000,655000.0000,655000.0000,2234000.0000,2234000.0000,-576000.0000,4013000.0000,-576000.0000,0.0000,,60166000.0000,60166000.0000,32301000.0000,25650368.9624,867000.0000,0.0000,15209000.0000,"N",14342000.0000,"N","N",98607000.0000,94616000.0000,9.5952619996551969e-01,101879000.0000,96684000.0000,9.4900813710381926e-01,4.8571000000000000e+04,"A1",1.8020000000000000e+01,4051722914.2857,1.1320000000000000e+03,7.0809703843730309e-02,3.6160000000000004e+01,8.0620100000000002e+03,"Capital Region COG",2724513537.0000
"EAST HAVEN","VR",2.0080000000000000e+03,4.3000000000000000e+01,4.4000000000000000e+01,"NH",37516717.0000,15914574.0000,55494787.0000,-6313145.0000,33042178.0000,50312609.0000,85892338.0000,52792124.0000,8061545.0000,88415684.0000,0.0000,0.0000,664024.0000,664024.0000,-3187370.0000,-1854536.0000,-3187370.0000,0.0000,,52537000.0000,52537000.0000,10439512.0000,8290063.2980,0.0000,750000.0000,903656.0000,"N",903656.0000,"N","Y",50233868.0000,49154950.0000,9.7852209987094763e-01,51950951.0000,49766895.0000,9.5795926815661181e-01,2.8590000000000000e+04,"A3",1.2260000000000000e+01,3177700767.1429,2.2700000000000000e+02,5.9637846857425375e-02,2.2850000000000001e+01,3.8883600000000001e+03,"South Central Regional COG",2219442486.0000
"EAST LYME","VR",2.0080000000000000e+03,4.4000000000000000e+01,4.5000000000000000e+01,"NL",39684085.0000,20675169.0000,60359254.0000,1571887.0000,11736954.0000,41888394.0000,59274050.0000,40271673.0000,6070937.0000,60748487.0000,2073987.0000,2152902.0000,697383.0000,697383.0000,-97833.0000,-750910.0000,-18918.0000,0.0000,,47238794.0000,47238794.0000,2512000.0000,0.0000,610186.0000,350000.0000,4342892.0000,"Y",3732706.0000,"N","N",41811304.0000,41255567.0000,9.8670845090122039e-01,42508674.0000,41634994.0000,9.7944701827208258e-01,1.9022000000000000e+04,"Aa3",3.4030000000000001e+01,3210848344.2857,4.1000000000000000e+01,4.5535537517323303e-02,1.8550000000000001e+01,3.0264299999999998e+03,"Southeastern CT COG",2245262203.0000
"EAST WINDSOR","VR",2.0080000000000000e+03,4.5000000000000000e+01,4.7000000000000000e+01,"H",38537125.0000,9404240.0000,47955846.0000,1547336.0000,12388137.0000,21914851.0000,35574223.0000,23401901.0000,2080785.0000,35701976.0000,576556.0000,576556.0000,339128.0000,339128.0000,109675.0000,1355620.0000,109675.0000,0.0000,,12020907.0000,12020907.0000,5905142.0000,4689299.7454,0.0000,600000.0000,5308263.0000,"N",5308263.0000,"N","N",21980310.0000,21334963.0000,9.7063976804694752e-01,23074461.0000,21787700.0000,9.4423440703555328e-01,1.0822000000000000e+04,"A1",2.6280000000000001e+01,1481295786.3637,6.1000000000000000e+01,5.9984338292873925e-02,2.7911300000000001e+01,1.5606700000000001e+03,"Capital Region COG",781020863.0000
"EASTFORD","KE",2.0080000000000000e+03,4.6000000000000000e+01,3.9000000000000000e+01,"W",2185839.0000,1458646.0000,3683777.0000,305398.0000,1500622.0000,3236177.0000,4894181.0000,3519454.0000,0.0000,4663173.0000,0.0000,0.0000,32978.0000,32978.0000,198030.0000,181158.0000,198030.0000,0.0000,,0.0000,0.0000,112504.0000,0.0000,223331.0000,0.0000,1021289.0000,"N",797958.0000,"N","N",3232042.0000,3150396.0000,9.7473857084777982e-01,3329589.0000,3207570.0000,9.6335313457606930e-01,1.7980000000000000e+03,,2.8879999999999999e+01,236095835.9442,3.0000000000000000e+00,4.5053868756121447e-02,3.1199999999999999e+01,2.6855000000000001e+02,"Northeastern CT COG",103862711.0000
"EASTON","VR",2.0080000000000000e+03,4.7000000000000000e+01,4.6000000000000000e+01,"F",48297338.0000,8150832.0000,56448170.0000,2431654.0000,6195139.0000,34821666.0000,42357042.0000,27632800.0000,4389475.0000,42012378.0000,0.0000,11200.0000,175735.0000,175735.0000,168929.0000,888650.0000,180129.0000,0.0000,10960664.2518,34070000.0000,45030664.2518,5072264.0000,4027907.5903,0.0000,645200.0000,5543793.0000,"N",5543793.0000,"N","Y",34717656.0000,34478448.0000,9.9310990350270190e-01,35175517.0000,34619970.0000,9.8420642971644168e-01,7.3400000000000000e+03,"Aa1",2.7420000000000002e+01,2369351530.0000,3.0000000000000000e+00,4.1666666666666664e-02,2.1000000000000000e+01,1.6024200000000001e+03,"Greater Bridgeport RPA",1657914665.0000
"ELLINGTON","VR",2.0080000000000000e+03,4.8000000000000000e+01,4.8000000000000000e+01,"T",41963983.0000,5521205.0000,48188274.0000,1028555.0000,21870263.0000,29168625.0000,53258994.0000,37596600.0000,2863300.0000,52308852.0000,90253.0000,359049.0000,141532.0000,141532.0000,898863.0000,-354082.0000,1167659.0000,0.0000,,18398077.0000,18398077.0000,10435667.0000,8287009.9662,24975.0000,3032194.0000,6594585.0000,"N",6569610.0000,"Y","N",29301643.0000,28990155.0000,9.8936960633913940e-01,30096546.0000,29197763.0000,9.7013667282617744e-01,1.4568000000000000e+04,"A2",3.4049999999999997e+01,1859058264.4139,3.0000000000000000e+01,4.5816063627198388e-02,2.4500000000000000e+01,2.6281100000000001e+03,"Capital Region COG",1182837571.0000
"ENFIELD","VR",2.0080000000000000e+03,4.9000000000000000e+01,4.9000000000000000e+01,"H",182424000.0000,36178000.0000,218666000.0000,1141000.0000,62303000.0000,75714000.0000,143045000.0000,97560000.0000,3934000.0000,135155000.0000,23000.0000,403000.0000,6480000.0000,6480000.0000,1433000.0000,1472000.0000,1813000.0000,0.0000,,38507000.0000,38507000.0000,28004000.0000,22238101.9914,931000.0000,7799000.0000,21708000.0000,"N",20777000.0000,"N","N",75097000.0000,73463000.0000,9.7824147435982800e-01,78814000.0000,74847000.0000,9.4966630294110188e-01,4.4895000000000000e+04,"Aa3",3.3380000000000003e+01,4551499194.2857,3.3900000000000000e+02,5.5894351684400892e-02,2.3879999999999999e+01,6.4370200000000004e+03,"Capital Region COG",3160585342.0000
"ESSEX","VR",2.0080000000000000e+03,5.0000000000000000e+01,5.0000000000000000e+01,"M",13896369.0000,3410796.0000,17307165.0000,2643811.0000,2684878.0000,17239184.0000,21201837.0000,14444605.0000,781037.0000,20610558.0000,0.0000,0.0000,214498.0000,214498.0000,376781.0000,570154.0000,376781.0000,0.0000,7863007.5385,11005631.0000,18868638.5385,1720214.0000,1366029.6522,433760.0000,0.0000,2964851.0000,"N",2531091.0000,"N","N",17156725.0000,16970572.0000,9.8914985231738572e-01,17453833.0000,17131317.0000,9.8152176659419166e-01,6.7840000000000000e+03,"Aa3",1.0359999999999999e+01,1842671127.4949,8.0000000000000000e+00,4.1382922996333157e-02,1.6899999999999999e+01,9.6053999999999996e+02,"CT River Estuary RPA",1015529592.0000
"FAIRFIELD","VR",2.0080000000000000e+03,5.1000000000000000e+01,5.1000000000000000e+01,"F",229184000.0000,7972000.0000,237608000.0000,4650000.0000,46542000.0000,202652000.0000,266152000.0000,169304000.0000,24141000.0000,263366000.0000,463000.0000,463000.0000,3911000.0000,3911000.0000,-662000.0000,670000.0000,-662000.0000,0.0000,,222833000.0000,222833000.0000,37297000.0000,29617714.9683,1989000.0000,500000.0000,11538000.0000,"N",9549000.0000,"N","Y",202188000.0000,200151000.0000,9.8992521811383460e-01,204526000.0000,201170000.0000,9.8359132824188611e-01,5.7345000000000000e+04,"Aaa",3.0030000000000001e+01,17072416749.8529,6.2000000000000000e+01,4.5998806137855966e-02,1.7410000000000000e+01,9.7687199999999993e+03,"Greater Bridgeport RPA",11764998496.0000
"FARMINGTON","VR",2.0080000000000000e+03,5.2000000000000000e+01,5.2000000000000000e+01,"H",60678758.0000,16512931.0000,77191689.0000,3722406.0000,25838504.0000,71041430.0000,102187196.0000,67005030.0000,9038857.0000,99064635.0000,0.0000,0.0000,2576500.0000,2576500.0000,546061.0000,196021.0000,546061.0000,0.0000,,74873732.0000,74873732.0000,18890643.0000,15001144.3264,455676.0000,1034000.0000,9039967.0000,"N",8584291.0000,"N","N",70881292.0000,70661980.0000,9.9690592547325463e-01,71164506.0000,70844911.0000,9.9550906739941403e-01,2.5116000000000000e+04,"Aa1",2.8060000000000002e+01,5722469042.2247,3.9000000000000000e+01,4.2906309751434037e-02,2.5949999999999999e+01,4.1788900000000003e+03,"Capital Region COG",2722923331.0000
"FRANKLIN","VR",2.0080000000000000e+03,5.3000000000000000e+01,5.3000000000000000e+01,"NL",7392600.0000,1395754.0000,8796851.0000,-80461.0000,2498936.0000,4053021.0000,6732919.0000,5059150.0000,495874.0000,6826905.0000,102775.0000,102775.0000,228250.0000,228250.0000,-219461.0000,183323.0000,-219461.0000,0.0000,,2287750.0000,2287750.0000,1118390.0000,888118.5147,0.0000,466411.0000,758562.0000,"N",758562.0000,"N","N",4000162.0000,3937259.0000,9.8427488686708187e-01,4142193.0000,4003451.0000,9.6650518215833980e-01,1.8930000000000000e+03,"A3",1.9510000000000002e+01,329800656.5215,1.0000000000000000e+00,5.0580431177446102e-02,2.3000000000000000e+01,3.0744999999999999e+02,"Southeastern CT COG",173535778.0000
"GLASTONBURY","VR",2.0080000000000000e+03,5.4000000000000000e+01,5.4000000000000000e+01,"H",159396788.0000,39598307.0000,198995095.0000,11945486.0000,38838059.0000,111269404.0000,158361353.0000,108065783.0000,10869423.0000,153102764.0000,1582299.0000,1582299.0000,2935000.0000,2935000.0000,3905888.0000,1461930.0000,3905888.0000,0.0000,,89020000.0000,89020000.0000,28791494.0000,22863454.5085,532947.0000,3479000.0000,19570120.0000,"N",19037173.0000,"N","N",111163102.0000,110641815.0000,9.9531061124940545e-01,111431635.0000,110910348.0000,9.9532191195076691e-01,3.3263000000000000e+04,"Aa1",5.1370000000000005e+01,6104015650.2856,3.8000000000000000e+01,3.8336229365768894e-02,3.5800000000000004e+01,7.0237200000000003e+03,"Capital Region COG",3089507170.0000
"GOSHEN","VR",2.0080000000000000e+03,5.5000000000000000e+01,5.5000000000000000e+01,"L",3443098.0000,2998488.0000,6767891.0000,847381.0000,443038.0000,8688156.0000,9551777.0000,6317579.0000,49589.0000,8744034.0000,101200.0000,101200.0000,460530.0000,460530.0000,448413.0000,434681.0000,448413.0000,0.0000,2509977.0861,0.0000,2509977.0861,0.0000,0.0000,0.0000,545855.0000,2369672.0000,"N",2369672.0000,"N","N",8654315.0000,8597049.0000,9.9338295405240040e-01,8748971.0000,8648967.0000,9.8856962721673214e-01,3.2030000000000000e+03,,4.3660000000000004e+01,798524152.5278,1.0000000000000000e+00,4.4497895369813592e-02,2.1699999999999999e+01,4.3706000000000000e+02,"Litchfield Hills Cncl of Elected Ofcls",395975233.0000
"GRANBY","VR",2.0080000000000000e+03,5.6000000000000000e+01,5.6000000000000000e+01,"H",43701103.0000,11175749.0000,56201761.0000,1094557.0000,16102098.0000,30076452.0000,47452641.0000,34128755.0000,3843747.0000,46089174.0000,10171.0000,10171.0000,1089817.0000,1089817.0000,283821.0000,865072.0000,283821.0000,0.0000,,34605769.0000,34605769.0000,9099553.0000,7225995.8467,313584.0000,1858000.0000,5693238.0000,"N",5379654.0000,"N","N",30088347.0000,29750069.0000,9.8875717566006538e-01,30369398.0000,29939211.0000,9.8583485257099923e-01,1.1219000000000000e+04,"A1",4.0689999999999998e+01,1571154394.9537,3.0000000000000000e+00,3.8334642576590729e-02,3.5969999999999999e+01,2.2656100000000001e+03,"Capital Region COG",836217340.0000
"GREENWICH","VR",2.0080000000000000e+03,5.7000000000000000e+01,5.7000000000000000e+01,"F",283915641.0000,72935153.0000,356850794.0000,36251020.0000,79654147.0000,259714914.0000,379263069.0000,172854916.0000,7820508.0000,348428881.0000,2394004.0000,2394004.0000,19915000.0000,19915000.0000,13313192.0000,-29504697.0000,13313192.0000,0.0000,,46528983.0000,46528983.0000,55302678.0000,43916104.6193,6213334.0000,0.0000,-24018580.0000,"N",-30231914.0000,"N","N",258669464.0000,257557302.0000,9.9570045113635830e-01,260464143.0000,257888623.0000,9.9011180590796333e-01,6.1937000000000000e+04,"Aaa",4.7829999999999998e+01,52350613342.6713,5.0000000000000000e+01,3.9534883720930232e-02,7.7629999999999999e+00,8.9451299999999992e+03,"South Western RPA",33296870358.0000
"GRISWOLD","VR",2.0080000000000000e+03,5.8000000000000000e+01,5.8000000000000000e+01,"NL",39272870.0000,7334833.0000,49291386.0000,-867466.0000,18817209.0000,13686842.0000,35848248.0000,28912467.0000,1893850.0000,34721710.0000,10879.0000,10879.0000,973200.0000,973200.0000,164217.0000,869356.0000,164217.0000,0.0000,,3670000.0000,3670000.0000,6192000.0000,4917094.9697,1254038.0000,630000.0000,7266036.0000,"N",6011998.0000,"N","N",13360704.0000,13051472.0000,9.7685511182644269e-01,14231784.0000,13420688.0000,9.4300812884737428e-01,1.1398000000000000e+04,,3.4950000000000003e+01,1138013358.5714,9.3000000000000000e+01,5.7352541451481380e-02,1.6750000000000000e+01,1.9285400000000000e+03,"Southeastern CT COG",789444063.0000
"GROTON","VR",2.0080000000000000e+03,5.9000000000000000e+01,5.9000000000000000e+01,"NL",132233487.0000,44189337.0000,176752317.0000,31904721.0000,66139757.0000,68736649.0000,139332690.0000,95600470.0000,4798804.0000,136594450.0000,630992.0000,630992.0000,2463007.0000,2463007.0000,906225.0000,1800850.0000,906225.0000,0.0000,,46315000.0000,46315000.0000,26158636.0000,20772690.1629,2655295.0000,2665505.0000,15732892.0000,"N",13077597.0000,"N","N",68586440.0000,67314792.0000,9.8145919222516875e-01,69965017.0000,68053482.0000,9.7267870312959404e-01,3.9167000000000000e+04,"Aa3",3.1300000000000001e+01,4839951708.5714,3.3900000000000000e+02,5.5584361713159808e-02,2.1210000000000001e+01,5.3238400000000001e+03,"Southeastern CT COG",3206653512.0000
"GROTON (City of)","VR",2.0080000000000000e+03,6.0000000000000000e+01,5.0100000000000000e+02,,17644455.0000,8604464.0000,26319507.0000,995478.0000,671035.0000,5220845.0000,12332192.0000,0.0000,1074372.0000,14053487.0000,2835900.0000,2835900.0000,614500.0000,614500.0000,500105.0000,27383.0000,500105.0000,0.0000,,5169500.0000,5169500.0000,0.0000,0.0000,122172.0000,690208.0000,3962534.0000,"N",3840362.0000,"N","N",5192653.0000,5146799.0000,9.9116944652377115e-01,5236856.0000,5174272.0000,9.8804931814050267e-01,,"Aa3",,,,,,,,
"GUILFORD","VR",2.0080000000000000e+03,6.1000000000000000e+01,6.0000000000000000e+01,"NH",17018157.0000,1381155.0000,18399312.0000,2110173.0000,21744756.0000,61967123.0000,87260374.0000,62540034.0000,4814656.0000,87349815.0000,0.0000,0.0000,224635.0000,224635.0000,-314076.0000,-924897.0000,-314076.0000,0.0000,,21840002.0000,21840002.0000,15977116.0000,12687499.4692,923796.0000,1200000.0000,4682989.0000,"N",3759193.0000,"N","Y",57853239.0000,57581265.0000,9.9529889761228407e-01,58118291.0000,57707099.0000,9.9292491239978131e-01,2.2398000000000000e+04,"Aa3",4.7050000000000004e+01,4993873042.8229,4.5000000000000000e+01,4.0820998016175794e-02,2.4320000000000000e+01,3.8457300000000000e+03,"South Central Regional COG",2555387176.0000
"HADDAM","VR",2.0080000000000000e+03,6.2000000000000000e+01,6.1000000000000000e+01,"M",15916877.0000,5667297.0000,21584174.0000,85182.0000,2311486.0000,22035328.0000,25348773.0000,18488983.0000,231170.0000,24760188.0000,0.0000,0.0000,10000.0000,10000.0000,578585.0000,893264.0000,578585.0000,0.0000,12510696.0248,807420.0000,13318116.0248,0.0000,0.0000,10131.0000,1092903.0000,4551117.0000,"N",4540986.0000,"N","N",21607722.0000,21272155.0000,9.8447004270047533e-01,23018960.0000,21662642.0000,9.4107822421169329e-01,7.8850000000000000e+03,,4.4030000000000001e+01,1373074517.7794,8.0000000000000000e+00,3.8864277084172373e-02,2.5000000000000000e+01,1.3996100000000001e+03,"Midstate RPA",864175238.0000
"HAMDEN","VR",2.0080000000000000e+03,6.3000000000000000e+01,6.2000000000000000e+01,"NH",133708899.0000,-138586952.0000,-4878053.0000,-42837715.0000,39629141.0000,125272842.0000,176359723.0000,80448243.0000,13491417.0000,176573319.0000,677747.0000,873375.0000,0.0000,0.0000,464151.0000,-5453973.0000,659779.0000,0.0000,,96413252.0000,96413252.0000,5521000.0000,0.0000,0.0000,0.0000,7744188.0000,"N",7744188.0000,"N","Y",124608733.0000,122986700.0000,9.8698299099149012e-01,126164629.0000,123184928.0000,9.7638243758478460e-01,5.7862000000000000e+04,"A2",3.2780000000000001e+01,6872361697.8407,4.0500000000000000e+02,5.3641700535449324e-02,2.9100000000000001e+01,7.1002900000000000e+03,"South Central Regional COG",4263465204.0000
"HAMPTON","VR",2.0080000000000000e+03,6.4000000000000000e+01,6.3000000000000000e+01,"W",4167852.0000,2039771.0000,7624892.0000,485159.0000,1848778.0000,3629008.0000,5722302.0000,3866292.0000,248140.0000,5311265.0000,0.0000,0.0000,807270.0000,807270.0000,-396233.0000,265243.0000,-396233.0000,0.0000,0.0000,319981.0000,319981.0000,129400.0000,0.0000,163881.0000,0.0000,856567.0000,"Y",692686.0000,"N","N",3598831.0000,3551261.0000,9.8678181887396210e-01,3704838.0000,3582853.0000,9.6707413387575925e-01,2.1490000000000000e+03,,2.5000000000000000e+01,221931393.2650,5.0000000000000000e+00,5.9842519685039369e-02,2.9900000000000002e+01,2.4553000000000000e+02,"Windham Region COG",120054837.0000
"HARTFORD","VR",2.0080000000000000e+03,6.5000000000000000e+01,6.4000000000000000e+01,"H",877583000.0000,-5966000.0000,935715000.0000,10874000.0000,341042000.0000,232955000.0000,598966000.0000,374467000.0000,32901000.0000,577562000.0000,14715000.0000,14715000.0000,42686000.0000,42686000.0000,-6567000.0000,1252000.0000,-6567000.0000,0.0000,,290088000.0000,290088000.0000,102800000.0000,81633941.0339,0.0000,0.0000,27900000.0000,"N",27900000.0000,"N","Y",221445000.0000,213260000.0000,9.6303822619612089e-01,237736000.0000,219078000.0000,9.2151798633778648e-01,1.2406200000000000e+05,"A2",1.7309999999999999e+01,5617517672.2788,6.8670000000000000e+03,1.0651043247728331e-01,6.3390000000000001e+01,2.2342549999999999e+04,"Capital Region COG",3334666569.0000
"HARTLAND","VR",2.0080000000000000e+03,6.6000000000000000e+01,6.5000000000000000e+01,"H",6020517.0000,1279784.0000,7311721.0000,312697.0000,2643244.0000,4313720.0000,7118025.0000,5286532.0000,386746.0000,6893995.0000,420.0000,75285.0000,181644.0000,181644.0000,42806.0000,-317908.0000,117671.0000,0.0000,,2277339.0000,2277339.0000,923597.0000,733432.5198,0.0000,76118.0000,732983.0000,"N",732983.0000,"N","N",4302470.0000,4259387.0000,9.8998644964404170e-01,4351876.0000,4298607.0000,9.8775953175136422e-01,2.0790000000000000e+03,"A3",3.3020000000000003e+01,299244219.4141,5.0000000000000000e+00,3.8939519469759737e-02,2.2250000000000000e+01,3.3906999999999999e+02,"Litchfield Hills Cncl of Elected Ofcls",191130386.0000
