Municipality,numbered,Comptroller Town Code,County,Total Permits,1 Unit,2 Unit,3 and 4 Units,5 Units or More,Demolitions,Net Gain,Net Gain Ranking
"NORTH HAVEN",1.0200000000000000e+02,1.0100000000000000e+02,"New Haven",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"2","-2","45"
"NORTH STONINGTON",1.0300000000000000e+02,1.0200000000000000e+02,"New London",1.0000000000000000e+01,1.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00," "," ","NR"
"NORWALK",1.0400000000000000e+02,1.0300000000000000e+02,"Fairfield",4.4800000000000000e+02,1.1000000000000000e+01,2.0000000000000000e+00,4.0000000000000000e+00,4.3100000000000000e+02,"9","439","1"
"NORWICH",1.0500000000000000e+02,1.0400000000000000e+02,"New London",1.8100000000000000e+02,2.1000000000000000e+01,0.0000000000000000e+00,7.0000000000000000e+00,1.5300000000000000e+02,"2","179","3"
"OLD LYME",1.0600000000000000e+02,1.0500000000000000e+02,"New London",4.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"0","4","39"
"OLD SAYBROOK",1.0700000000000000e+02,1.0600000000000000e+02,"Middlesex",1.3000000000000000e+01,1.3000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"7","6","37"
"ORANGE",1.0800000000000000e+02,1.0700000000000000e+02,"New Haven",1.1000000000000000e+01,6.0000000000000000e+00,2.0000000000000000e+00,3.0000000000000000e+00,0.0000000000000000e+00,"2","9","34"
"OXFORD",1.0900000000000000e+02,1.0800000000000000e+02,"New Haven",3.1000000000000000e+01,3.1000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"2","29","18"
"PLAINFIELD",1.1000000000000000e+02,1.0900000000000000e+02,"Windham",9.0000000000000000e+00,9.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"5","4","39"
"PLAINVILLE",1.1100000000000000e+02,1.1000000000000000e+02,"Hartford",2.1000000000000000e+01,2.1000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"5","16","28"
"PLYMOUTH",1.1200000000000000e+02,1.1100000000000000e+02,"Litchfield",6.0000000000000000e+00,6.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"4","2","41"
"POMFRET",1.1300000000000000e+02,1.1200000000000000e+02,"Windham",8.0000000000000000e+00,8.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00," "," ","NR"
"PORTLAND",1.1400000000000000e+02,1.1300000000000000e+02,"Middlesex",7.0000000000000000e+00,7.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"0","7","36"
"PRESTON",1.1500000000000000e+02,1.1400000000000000e+02,"New London",9.0000000000000000e+00,9.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00," "," ","NR"
"PROSPECT",1.1600000000000000e+02,1.1500000000000000e+02,"New Haven",3.6000000000000000e+01,3.6000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"1","35","16"
"PUTNAM",1.1700000000000000e+02,1.1600000000000000e+02,"Windham",1.0000000000000000e+01,1.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"0","10","33"
"REDDING",1.1800000000000000e+02,1.1700000000000000e+02,"Fairfield",3.0000000000000000e+00,3.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"5","-2","45"
"RIDGEFIELD",1.1900000000000000e+02,1.1800000000000000e+02,"Fairfield",1.5000000000000000e+01,1.5000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"8","7","36"
"ROCKY HILL",1.2000000000000000e+02,1.1900000000000000e+02,"Hartford",2.4000000000000000e+01,2.4000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00," "," ","NR"
"ROXBURY",1.2100000000000000e+02,1.2000000000000000e+02,"Litchfield",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"1","-1","44"
"SALEM",1.2200000000000000e+02,1.2100000000000000e+02,"New London",9.0000000000000000e+00,9.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"0","9","34"
"SALISBURY",1.2300000000000000e+02,1.2200000000000000e+02,"Litchfield",3.0000000000000000e+00,3.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00," "," ","NR"
"SCOTLAND",1.2400000000000000e+02,1.2300000000000000e+02,"Windham",3.0000000000000000e+00,3.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00," "," ","NR"
"SEYMOUR",1.2500000000000000e+02,1.2400000000000000e+02,"New Haven",1.5000000000000000e+01,1.5000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00," "," ","NR"
"SHARON",1.2600000000000000e+02,1.2500000000000000e+02,"Litchfield",6.0000000000000000e+00,6.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"2","4","39"
"SHELTON",1.2700000000000000e+02,1.2600000000000000e+02,"Fairfield",1.7000000000000000e+01,1.7000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"10","7","36"
"SHERMAN",1.2800000000000000e+02,1.2700000000000000e+02,"Fairfield",4.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"0","4","39"
"SIMSBURY",1.2900000000000000e+02,1.2800000000000000e+02,"Hartford",3.0000000000000000e+00,3.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"2","1","42"
