Municipality,Initials,Fisc_Year_End,numbered,Comptroller Town Code,County_Identifier,Invested In Capital Assets Net of Related Debt,Unrestricted Net Assets,Total Net Assets,Change In Net Assets,Inter_Gov_Rev,Tax_Rev,Total_Revenue,Education,Debt_Service,Total_Expenditures,TOTAL_Trans_to_Genl_Fund,Other_Financing_Sources,TOTAL_Trans_from_Genl_Fund,Other_Financing_Uses,Operating_Surplus_(Deficit)_Including_Transfers,Prior_Yr_OP_Surplus_(Def)_including_sources_and_uses,Operating_Surplus_(Deficit)_Including_Sources_And_Uses,Special / Extraordinary Items,RSD_DEBT,TOWN_Bonded_Long_Term_Debt,Total_Bonded_Long_Term_Debt_(RSD_+_Town),Reserv_Fund_Bal,Design_Fund_Bal,Total_Fund_Bal,Restatement (Y or N),Unreserved_Fund_Bal,Deficit - Individual Enterprise Funds (Y or N),Deficit - Individual Internal Service Funds (Y or N),Curr_Year_Adjusted_Taxes_Collectible,Curr_Year_Taxes_Collected,Curr_Year_Tax_Collection_Rate,Total_Adjusted_Taxes_Collectible,Total_Taxes_Collected,Overal_Total_Tax_Collection_Rate,2007 Population,Moody's_Bond_Ratings_July_2007,area lmt,EGL,TANF07 Recipients,empl,ACMR,enrollmt,RPA Identifier,ACGLFY07
"KILLINGLY","VR",2.0070000000000000e+03,7.0000000000000000e+01,6.9000000000000000e+01,"W",38554712.0000,19614192.0000,60909048.0000,1591427.0000,19913330.0000,22938282.0000,45975603.0000,34059233.0000,2433937.0000,44505653.0000,652115.0000,12790869.0000,6733543.0000,12997126.0000,-4611478.0000,1838913.0000,1263693.0000,0.0000,,16569289.0000,16569289.0000,496465.0000,959429.0000,7317070.0000,"N",6820605.0000,"N","N",22687607.0000,22084125.0000,9.7340036787484907e-01,23446843.0000,22510195.0000,9.6005227654742264e-01,1.7710000000000000e+04,"A1",4.8520000000000003e+01,1980051493.8596,2.1400000000000000e+02,5.8429831084670140e-02,2.5800000000000001e+01,2.6425000000000000e+03,"Northeastern CT COG",822372318.0000
"KILLINGWORTH","KE",2.0070000000000000e+03,7.1000000000000000e+01,7.0000000000000000e+01,"M",28143755.0000,3665824.0000,31809579.0000,-298523.0000,2545854.0000,16157113.0000,19578414.0000,14853727.0000,3659070.0000,21773204.0000,0.0000,3300714.0000,530125.0000,530125.0000,-2724915.0000,-3246142.0000,575799.0000,0.0000,11246327.3114,3427999.0000,14674326.3114,0.0000,821658.0000,3509733.0000,"Y",3509733.0000,"N","N",16121697.0000,16033316.0000,9.9451788481076153e-01,16180475.0000,16064831.0000,9.9285286742200085e-01,6.4430000000000000e+03,"A1",3.5320000000000000e+01,1152086133.5811,6.0000000000000000e+00,3.1189083820662766e-02,2.7629999999999999e+01,1.1507300000000000e+03,"CT River Estuary RPA",578203893.0000
"LEBANON","KE",2.0070000000000000e+03,7.2000000000000000e+01,7.1000000000000000e+01,"NL",26567790.0000,4663875.0000,35722051.0000,1881803.0000,6780267.0000,12502732.0000,21619293.0000,15806516.0000,1475513.0000,19768254.0000,8660.0000,8660.0000,1448049.0000,1448049.0000,411650.0000,405276.0000,411650.0000,0.0000,,8345862.0000,8345862.0000,26964.0000,0.0000,3512343.0000,"N",3485379.0000,"N","N",12328300.0000,12028168.0000,9.7565503759642447e-01,12745481.0000,12289419.0000,9.6421774902022139e-01,7.3540000000000000e+03,"A1",5.4100000000000001e+01,945377954.7362,2.2000000000000000e+01,4.0157845868152277e-02,2.5300000000000001e+01,1.3571700000000001e+03,"Windham Region COG",484948361.0000
"LEDYARD","VR",2.0070000000000000e+03,7.3000000000000000e+01,7.2000000000000000e+01,"NL",68672419.0000,-11388125.0000,57357631.0000,820133.0000,14635741.0000,28413587.0000,46029460.0000,27661387.0000,935098.0000,44498427.0000,645056.0000,645056.0000,2161690.0000,2161690.0000,14399.0000,-39779.0000,14399.0000,0.0000,,8895880.0000,8895880.0000,203425.0000,0.0000,3609611.0000,"N",3406186.0000,"N","N",28308141.0000,27988116.0000,9.8869494821295401e-01,28618239.0000,28208437.0000,9.8568039074661440e-01,1.5097000000000000e+04,"A1",3.8140000000000001e+01,1622851875.7143,4.7000000000000000e+01,3.4808259587020648e-02,2.4980000000000000e+01,2.7891399999999999e+03,"Southeastern CT COG",1131338540.0000
"LISBON","KE",2.0070000000000000e+03,7.4000000000000000e+01,7.3000000000000000e+01,"NL",5834150.0000,2042677.0000,7881238.0000,-364398.0000,4298396.0000,5569660.0000,11399447.0000,9138497.0000,683386.0000,11908850.0000,0.0000,0.0000,7135.0000,7135.0000,-516538.0000,-282924.0000,-516538.0000,0.0000,,4955000.0000,4955000.0000,274328.0000,0.0000,1237752.0000,"N",963424.0000,"N","N",5552399.0000,5444329.0000,9.8053634113830801e-01,5671694.0000,5507414.0000,9.7103510873470955e-01,4.2050000000000000e+03,"A3",1.6250000000000000e+01,624130466.0154,1.5000000000000000e+01,4.0000000000000001e-02,2.1500000000000000e+01,8.3361000000000001e+02,"Southeastern CT COG",276185393.0000
"LITCHFIELD","VR",2.0070000000000000e+03,7.5000000000000000e+01,7.4000000000000000e+01,"L",26542000.0000,9661000.0000,36213000.0000,7441000.0000,2448000.0000,21115000.0000,25220000.0000,15836000.0000,2835000.0000,24519000.0000,473000.0000,473000.0000,586000.0000,586000.0000,588000.0000,594000.0000,588000.0000,0.0000,,31352000.0000,31352000.0000,247000.0000,0.0000,4260000.0000,"N",4013000.0000,"N","N",20962000.0000,20707000.0000,9.8783513023566449e-01,21395000.0000,20947000.0000,9.7906052816078526e-01,8.6710000000000000e+03,"Aa3",5.6060000000000002e+01,1723182546.2122,1.4000000000000000e+01,3.8724373576309798e-02,2.3899999999999999e+01,1.2867800000000000e+03,"Litchfield Hills Cncl of Elected Ofcls",851822988.0000
"LYME","VR",2.0070000000000000e+03,7.6000000000000000e+01,7.5000000000000000e+01,"NL",4171293.0000,1757991.0000,5935284.0000,384995.0000,291839.0000,7041409.0000,7704848.0000,5283567.0000,680497.0000,7739746.0000,0.0000,455000.0000,54700.0000,54700.0000,-89598.0000,-501778.0000,365402.0000,0.0000,3753792.7399,2204758.0000,5958550.7399,460919.0000,303847.0000,1344154.0000,"N",883235.0000,"N","N",6993056.0000,6919454.0000,9.8947498775928577e-01,7106847.0000,6966062.0000,9.8019023063251542e-01,2.0760000000000000e+03,,3.1850000000000001e+01,882222975.1416,2.0000000000000000e+00,3.5964912280701755e-02,1.3750000000000000e+01,3.0988999999999999e+02,"CT River Estuary RPA",507938634.0000
"MADISON","KE",2.0070000000000000e+03,7.7000000000000000e+01,7.6000000000000000e+01,"NH",67250116.0000,10540243.0000,78527127.0000,1163587.0000,4817458.0000,53907756.0000,62008771.0000,41242537.0000,4658276.0000,58833014.0000,124100.0000,124100.0000,2674000.0000,2674000.0000,625857.0000,188506.0000,625857.0000,0.0000,,41271474.0000,41271474.0000,618450.0000,300000.0000,7731990.0000,"N",7113540.0000,"N","N",54147022.0000,53891741.0000,9.9528541015607475e-01,54588315.0000,53877538.0000,9.8697931965842878e-01,1.8793000000000000e+04,"Aa1",3.6180000000000000e+01,4665396275.9512,1.0000000000000000e+01,3.0061716105912802e-02,2.2280000000000001e+01,3.9472000000000003e+03,"South Central Regional COG",2430548879.0000
"MANCHESTER","KE",2.0070000000000000e+03,7.8000000000000000e+01,7.7000000000000000e+01,"H",89227000.0000,-3330000.0000,90531000.0000,26986000.0000,38042000.0000,105521000.0000,149877000.0000,94437000.0000,5182000.0000,145401000.0000,1381000.0000,1479000.0000,4002000.0000,4002000.0000,1855000.0000,3452000.0000,1953000.0000,0.0000,,52956000.0000,52956000.0000,1045000.0000,6852000.0000,17343000.0000,"N",16298000.0000,"N","Y",114676000.0000,112401000.0000,9.8016149848268164e-01,117830000.0000,113812000.0000,9.6590002546040910e-01,5.5857000000000000e+04,"Aa2",2.7250000000000000e+01,6485396556.0911,7.1200000000000000e+02,4.4085346721054283e-02,4.0140000000000001e+01,7.6091400000000003e+03,"Capital Region COG",2931425460.0000
"MANSFIELD","VR",2.0070000000000000e+03,7.9000000000000000e+01,7.8000000000000000e+01,"T",64693077.0000,2797281.0000,68129529.0000,-285095.0000,17608330.0000,20551473.0000,39738868.0000,28212264.0000,981482.0000,38893733.0000,2500.0000,2500.0000,685375.0000,685375.0000,162260.0000,76926.0000,162260.0000,0.0000,10745280.0000,3165000.0000,13910280.0000,126765.0000,0.0000,1895889.0000,"N",1769124.0000,"N","N",20370550.0000,20062383.0000,9.8487193522020755e-01,20747744.0000,20241878.0000,9.7561826480989933e-01,2.4884000000000000e+04,"Aa3",4.4460000000000001e+01,1509256266.1419,4.1000000000000000e+01,3.9017672710580674e-02,2.2879999999999999e+01,2.0007100000000000e+03,"Windham Region COG",883719752.0000
"MARLBOROUGH","KE",2.0070000000000000e+03,8.0000000000000000e+01,7.9000000000000000e+01,"H",22461091.0000,1737378.0000,24198469.0000,-3881.0000,3445362.0000,15216950.0000,19462742.0000,13785208.0000,1584147.0000,19197623.0000,13200.0000,13200.0000,149045.0000,149045.0000,129274.0000,-52526.0000,129274.0000,0.0000,9560871.0711,12415000.0000,21975871.0711,428481.0000,737853.0000,2894000.0000,"N",2465519.0000,"N","N",15146318.0000,15062369.0000,9.9445746484393105e-01,15319824.0000,15145888.0000,9.8864634476218527e-01,6.3510000000000000e+03,"A1",2.3280000000000001e+01,867577130.0000,8.0000000000000000e+00,3.3977900552486187e-02,2.4710000000000001e+01,1.1700699999999999e+03,"Capital Region COG",607211001.0000
"MERIDEN","VR",2.0070000000000000e+03,8.1000000000000000e+01,8.0000000000000000e+01,"NH",94127356.0000,-30219646.0000,70403772.0000,12977637.0000,62904894.0000,103735166.0000,178681624.0000,99267133.0000,18063938.0000,176660066.0000,100000.0000,100000.0000,439612.0000,439612.0000,1681946.0000,199481.0000,1681946.0000,0.0000,,82722012.0000,82722012.0000,7849611.0000,0.0000,11493579.0000,"N",3643968.0000,"Y","N",103692551.0000,100818674.0000,9.7228463402351828e-01,110149136.0000,103634041.0000,9.4085205534431060e-01,5.9225000000000000e+04,"A3",2.3739999999999998e+01,5675975377.0265,1.4420000000000000e+03,5.5745019920318724e-02,4.2200000000000003e+01,9.6235100000000002e+03,"South Central Regional COG",2420649275.0000
"MIDDLEBURY","VR",2.0070000000000000e+03,8.2000000000000000e+01,8.1000000000000000e+01,"NH",36815853.0000,10826286.0000,47642139.0000,2966460.0000,656010.0000,22803736.0000,24591182.0000,14640597.0000,2352608.0000,26809715.0000,420701.0000,2920701.0000,634964.0000,634964.0000,-2432796.0000,264801.0000,67204.0000,0.0000,9331768.8302,4213299.0000,13545067.8302,0.0000,0.0000,3350117.0000,"Y",3350117.0000,"N","N",22597535.0000,22388339.0000,9.9074253010339397e-01,23170552.0000,22656798.0000,9.7782728698047416e-01,7.2520000000000000e+03,"A1",1.7750000000000000e+01,1573257836.9290,1.1000000000000000e+01,3.5558966487592734e-02,3.1320000000000000e+01,1.3143000000000000e+03,"COG of Central Naugatuck Valley",714921415.0000
"MIDDLEFIELD","KE",2.0070000000000000e+03,8.3000000000000000e+01,8.2000000000000000e+01,"M",4004138.0000,4681958.0000,8686096.0000,1112742.0000,2189476.0000,10124702.0000,12747578.0000,9544770.0000,326044.0000,12672058.0000,219915.0000,219915.0000,729665.0000,729665.0000,-434230.0000,94759.0000,-434230.0000,0.0000,6336598.1912,3405819.0000,9742417.1912,13387.0000,0.0000,738447.0000,"N",725060.0000,"N","N",10088729.0000,9922361.0000,9.8350951839423972e-01,10328851.0000,10037708.0000,9.7181264402013345e-01,4.2480000000000000e+03,,1.2699999999999999e+01,709670887.5767,8.0000000000000000e+00,4.1913632514817951e-02,3.2350000000000001e+01,7.4840999999999997e+02,"Midstate RPA",312812420.0000
"MIDDLETOWN","VR",2.0070000000000000e+03,8.4000000000000000e+01,8.3000000000000000e+01,"M",236816000.0000,35386000.0000,273097000.0000,27708000.0000,32495000.0000,84577000.0000,124019000.0000,66261000.0000,12908000.0000,106118000.0000,716000.0000,1267000.0000,14047000.0000,14047000.0000,4570000.0000,2732000.0000,5121000.0000,0.0000,,81280000.0000,81280000.0000,1667000.0000,2507000.0000,18323000.0000,"N",16656000.0000,"N","N",89555000.0000,87601000.0000,9.7818100608564573e-01,92477000.0000,89333000.0000,9.6600235734290685e-01,4.7778000000000000e+04,"Aa3",4.0899999999999999e+01,5612083176.6022,5.0000000000000000e+02,4.5346691273398368e-02,3.1800000000000001e+01,5.2440200000000004e+03,"Midstate RPA",2625362943.0000
"MILFORD","KE",2.0070000000000000e+03,8.5000000000000000e+01,8.4000000000000000e+01,"NH",113217000.0000,31938000.0000,145328000.0000,8771000.0000,21200000.0000,131265000.0000,164826000.0000,95431000.0000,9238000.0000,161842000.0000,149000.0000,159000.0000,2949000.0000,2949000.0000,184000.0000,-1095000.0000,194000.0000,0.0000,,68946000.0000,68946000.0000,1911000.0000,2500000.0000,15840000.0000,"N",13929000.0000,"N","N",131807000.0000,129553000.0000,9.8289923903889775e-01,137275000.0000,130974000.0000,9.5409943543981057e-01,5.5445000000000000e+04,"Aa2",2.2559999999999999e+01,10519748990.6532,1.8400000000000000e+02,2.8110066527157449e-02,3.4359999999999999e+01,7.5341500000000005e+03,"South Central Regional COG",3821450927.0000
"MONROE","VR",2.0070000000000000e+03,8.6000000000000000e+01,8.5000000000000000e+01,"F",49708563.0000,-4704937.0000,45186929.0000,-540946.0000,10069616.0000,54156712.0000,68360264.0000,47077818.0000,5214007.0000,67069237.0000,208971.0000,563219.0000,796322.0000,796322.0000,703676.0000,-1215816.0000,1057924.0000,0.0000,,49353793.0000,49353793.0000,1501972.0000,370000.0000,3643660.0000,"N",2141688.0000,"N","N",53915213.0000,53543525.0000,9.9310606451652150e-01,54399765.0000,53829740.0000,9.8952155399936015e-01,1.9402000000000000e+04,"Aa3",2.6129999999999999e+01,3849660841.3695,1.4000000000000000e+01,3.6837631056956643e-02,2.6079999999999998e+01,4.1917100000000000e+03,"Greater Bridgeport RPA",2069583020.0000
"MONTVILLE","KE",2.0070000000000000e+03,8.7000000000000000e+01,8.6000000000000000e+01,"NL",39638528.0000,-922842.0000,38715686.0000,-2466320.0000,18635799.0000,31240690.0000,54195321.0000,35226227.0000,3494681.0000,53475367.0000,0.0000,0.0000,793838.0000,793838.0000,-73884.0000,2263862.0000,-73884.0000,0.0000,,31741810.0000,31741810.0000,2861234.0000,1702800.0000,10544719.0000,"Y",7683485.0000,"N","N",30893938.0000,30259899.0000,9.7947691226673661e-01,32120251.0000,30751787.0000,9.5739560067572327e-01,1.9744000000000000e+04,"Aa3",4.2009999999999998e+01,2370496537.9506,9.0000000000000000e+01,4.3195157740278795e-02,2.9859999999999999e+01,3.0112300000000000e+03,"Southeastern CT COG",1028861890.0000
"MORRIS","VR",2.0070000000000000e+03,8.8000000000000000e+01,8.7000000000000000e+01,"L",5065373.0000,2058952.0000,7124325.0000,123301.0000,713584.0000,6903917.0000,7924913.0000,5686077.0000,0.0000,7769597.0000,0.0000,0.0000,0.0000,0.0000,155316.0000,213639.0000,155316.0000,0.0000,2576462.6967,0.0000,2576462.6967,13422.0000,200000.0000,854778.0000,"N",841356.0000,"N","N",6860057.0000,6812631.0000,9.9308664636460020e-01,6910166.0000,6850379.0000,9.9134796472327869e-01,2.3450000000000000e+03,"Baa1",1.7190000000000001e+01,563191616.1416,4.0000000000000000e+00,4.6403712296983757e-02,2.0510000000000002e+01,3.8215000000000003e+02,"Litchfield Hills Cncl of Elected Ofcls",333132106.0000
"NAUGATUCK","VR",2.0070000000000000e+03,8.9000000000000000e+01,8.8000000000000000e+01,"NH",106308617.0000,3342635.0000,111366290.0000,2633477.0000,33473809.0000,56471242.0000,99348415.0000,55174664.0000,10631995.0000,95317043.0000,346758.0000,394678.0000,3334131.0000,3334131.0000,1043999.0000,-3040020.0000,1091919.0000,0.0000,,101926134.0000,101926134.0000,441663.0000,650000.0000,9781205.0000,"Y",9339542.0000,"N","N",55606711.0000,53087905.0000,9.5470320120173979e-01,62266637.0000,55080403.0000,8.8458933473474732e-01,3.1931000000000000e+04,"A1",1.6390000000000001e+01,3091541653.6450,2.7000000000000000e+02,5.1414182818996311e-02,3.8799999999999997e+01,5.2590900000000001e+03,"COG of Central Naugatuck Valley",1420809290.0000
"NEW BRITAIN","VR",2.0070000000000000e+03,9.0000000000000000e+01,8.9000000000000000e+01,"H",121481000.0000,-32020000.0000,92195000.0000,12809000.0000,98569000.0000,96757000.0000,210670000.0000,120623000.0000,25485000.0000,180101000.0000,2692000.0000,2692000.0000,34374000.0000,34374000.0000,-1113000.0000,2946000.0000,-1113000.0000,0.0000,,183165000.0000,183165000.0000,1861000.0000,0.0000,10857000.0000,"N",8996000.0000,"N","N",95916000.0000,92550000.0000,9.6490679344426378e-01,104612000.0000,95194000.0000,9.0997208733223722e-01,7.0664000000000000e+04,"A3",1.3340000000000000e+01,4598120973.8600,2.7010000000000000e+03,7.0563162350743003e-02,4.5880000000000003e+01,1.1230130000000001e+04,"Central CT RPA",2076801701.0000
"NEW CANAAN","VR",2.0070000000000000e+03,9.1000000000000000e+01,9.0000000000000000e+01,"F",63674695.0000,29379102.0000,93053797.0000,12095687.0000,5597597.0000,96004593.0000,109274913.0000,65091068.0000,10337920.0000,106085357.0000,0.0000,400000.0000,2572500.0000,2572500.0000,617056.0000,2103008.0000,1017056.0000,0.0000,,148427801.0000,148427801.0000,1848630.0000,2392374.0000,14707171.0000,"N",12858541.0000,"N","N",96106161.0000,95462039.0000,9.9329780741111906e-01,96905741.0000,95615131.0000,9.8668180041056597e-01,1.9890000000000000e+04,"Aaa",2.2129999999999999e+01,12506007056.7501,6.0000000000000000e+00,2.8558629185799083e-02,1.4044000000000000e+01,4.1537300000000005e+03,"South Western RPA",6814008125.0000
"NEW FAIRFIELD","KE",2.0070000000000000e+03,9.2000000000000000e+01,9.1000000000000000e+01,"F",34794623.0000,17718029.0000,52784078.0000,3526954.0000,7408868.0000,35758558.0000,45319780.0000,28103170.0000,2555320.0000,42808477.0000,6613.0000,6613.0000,1574765.0000,1574765.0000,943151.0000,970551.0000,943151.0000,0.0000,,14393751.0000,14393751.0000,951966.0000,0.0000,7072869.0000,"N",6120903.0000,"N","N",35538763.0000,35332036.0000,9.9418305583680555e-01,35827379.0000,35535484.0000,9.9185273921377282e-01,1.4100000000000000e+04,"Aa2",2.0460000000000001e+01,2942648042.5761,2.4000000000000000e+01,3.4350132625994692e-02,1.9699999999999999e+01,3.0251799999999998e+03,"Housatonic Council of Elected Ofcls",1812538473.0000
"NEW HARTFORD","KE",2.0070000000000000e+03,9.3000000000000000e+01,9.2000000000000000e+01,"L",6495637.0000,4495772.0000,11001531.0000,538649.0000,3757718.0000,15370192.0000,19611422.0000,14007269.0000,739588.0000,19162250.0000,396309.0000,3583309.0000,255300.0000,4055300.0000,590181.0000,-2357382.0000,-22819.0000,0.0000,3870538.4480,6537000.0000,10407538.4480,0.0000,152710.0000,2364544.0000,"N",2364544.0000,"N","N",15290426.0000,15119089.0000,9.8879449140265940e-01,15517620.0000,15236414.0000,9.8187827772557901e-01,6.7360000000000000e+03,"A2",3.7020000000000003e+01,1035775413.7517,6.0000000000000000e+00,3.9205298013245037e-02,2.7100000000000001e+01,1.1562900000000000e+03,"Litchfield Hills Cncl of Elected Ofcls",560090348.0000
"NEW HAVEN","KE",2.0070000000000000e+03,9.4000000000000000e+01,9.3000000000000000e+01,"NH",590164856.0000,-70483768.0000,547502265.0000,106377787.0000,213875363.0000,180637982.0000,436041417.0000,179948440.0000,61153245.0000,434342544.0000,0.0000,0.0000,0.0000,0.0000,1698873.0000,44281.0000,1698873.0000,0.0000,,510692595.0000,510692595.0000,0.0000,0.0000,14722550.0000,"N",14722550.0000,"N","Y",179529208.0000,176093542.0000,9.8086291340404064e-01,183184502.0000,177301202.0000,9.6788320007551731e-01,1.2393200000000000e+05,"A3",1.8850000000000001e+01,9996146562.2689,5.1960000000000000e+03,7.2370205609504690e-02,4.4850000000000001e+01,1.8928270000000000e+04,"South Central Regional COG",3996816150.0000
"NEW LONDON","KE",2.0070000000000000e+03,9.5000000000000000e+01,9.5000000000000000e+01,"NL",163257915.0000,27925113.0000,191183028.0000,16151323.0000,36743503.0000,37209179.0000,79592864.0000,40042646.0000,3536876.0000,75873391.0000,52257.0000,52257.0000,1298379.0000,1298379.0000,2473351.0000,2684909.0000,2473351.0000,0.0000,,28725043.0000,28725043.0000,99038.0000,145758.0000,9412521.0000,"N",9313483.0000,"N","N",37641070.0000,36762469.0000,9.7665844780714262e-01,40895087.0000,37209323.0000,9.0987269448772656e-01,2.5923000000000000e+04,"A1",5.5400000000000000e+00,2777889281.2717,8.4600000000000000e+02,5.7140734135829992e-02,2.9930000000000000e+01,3.4533299999999999e+03,"Southeastern CT COG",1252862082.0000
"NEW MILFORD","KE",2.0070000000000000e+03,9.6000000000000000e+01,9.6000000000000000e+01,"L",90671907.0000,70670658.0000,161342565.0000,3742198.0000,18839620.0000,62962893.0000,88046737.0000,56479279.0000,6970577.0000,87640322.0000,784772.0000,810321.0000,2255699.0000,2255699.0000,-1064512.0000,1471071.0000,-1038963.0000,0.0000,,43401704.0000,43401704.0000,1569800.0000,2676047.0000,14222004.0000,"N",12652204.0000,"N","N",62565016.0000,61274088.0000,9.7936661600150476e-01,64794388.0000,62109736.0000,9.5856659684786283e-01,2.8439000000000000e+04,"Aa2",6.1579999999999998e+01,4310929064.2857,7.1000000000000000e+01,3.6129032258064520e-02,2.0870000000000001e+01,4.9445400000000000e+03,"Housatonic Council of Elected Ofcls",2990086720.0000
"NEWINGTON","KE",2.0070000000000000e+03,9.7000000000000000e+01,9.4000000000000000e+01,"H",48689000.0000,24232000.0000,73448000.0000,4362000.0000,15453000.0000,66863000.0000,88458000.0000,53590000.0000,3357000.0000,84109000.0000,82000.0000,82000.0000,3133000.0000,3133000.0000,1298000.0000,1648000.0000,1298000.0000,0.0000,,21048000.0000,21048000.0000,1763000.0000,2000000.0000,14706000.0000,"N",12943000.0000,"N","N",66006000.0000,65488000.0000,9.9215222858528007e-01,67506000.0000,66330000.0000,9.8257932628210831e-01,2.9619000000000000e+04,"Aa3",1.3170000000000000e+01,3714043661.4286,7.7000000000000000e+01,4.0665658093797276e-02,2.5760000000000002e+01,4.5779800000000005e+03,"Capital Region COG",2564267853.0000
"NEWTOWN","VR",2.0070000000000000e+03,9.8000000000000000e+01,9.7000000000000000e+01,"F",114736321.0000,20009514.0000,141006691.0000,7514186.0000,10233003.0000,82160198.0000,96878619.0000,62710766.0000,8573096.0000,96257409.0000,0.0000,0.0000,155000.0000,155000.0000,466210.0000,467737.0000,466210.0000,0.0000,,65498578.0000,65498578.0000,2125554.0000,3363961.0000,8108821.0000,"N",5983267.0000,"N","N",81644015.0000,80907427.0000,9.9097805270845629e-01,82707696.0000,81421980.0000,9.8445469935470087e-01,2.6790000000000000e+04,"Aa2",5.7759999999999998e+01,5624980765.0084,2.3000000000000000e+01,3.1497720098211154e-02,2.7300000000000001e+01,5.7844499999999998e+03,"Housatonic Council of Elected Ofcls",2988388836.0000
"NORFOLK","VR",2.0070000000000000e+03,9.9000000000000000e+01,9.8000000000000000e+01,"L",4118039.0000,1980677.0000,6098716.0000,91582.0000,855547.0000,5585095.0000,6716589.0000,4098774.0000,123218.0000,6758455.0000,2902.0000,2902.0000,157921.0000,157921.0000,-196885.0000,120627.0000,-196885.0000,0.0000,937377.2790,230000.0000,1167377.2790,0.0000,0.0000,903218.0000,"N",903218.0000,"N","N",5572508.0000,5454326.0000,9.7879195507660111e-01,5748149.0000,5521980.0000,9.6065359474850076e-01,1.6520000000000000e+03,"A3",4.5310000000000002e+01,443272352.1545,9.0000000000000000e+00,3.7115588547189819e-02,2.7250000000000000e+01,2.7563999999999999e+02,"Litchfield Hills Cncl of Elected Ofcls",204998796.0000
"NORTH BRANFORD","VR",2.0070000000000000e+03,1.0000000000000000e+02,9.9000000000000000e+01,"NH",40790915.0000,8459133.0000,53880872.0000,-492555.0000,9533827.0000,29698402.0000,40329905.0000,26964963.0000,3177676.0000,40327046.0000,347911.0000,351381.0000,102130.0000,102130.0000,248640.0000,677738.0000,252110.0000,0.0000,,30150812.0000,30150812.0000,698426.0000,350000.0000,4967811.0000,"N",4269385.0000,"N","N",28733762.0000,28437853.0000,9.8970169656169626e-01,29002760.0000,28609329.0000,9.8643470483498807e-01,1.4406000000000000e+04,"A1",2.4920000000000002e+01,1809274440.0000,2.8000000000000000e+01,4.0229885057471264e-02,2.2760000000000002e+01,2.5446199999999999e+03,"South Central Regional COG",1258616408.0000
"NORTH CANAAN","KE",2.0070000000000000e+03,1.0100000000000000e+02,1.0000000000000000e+02,"L",6473656.0000,1078285.0000,8968524.0000,537936.0000,2887860.0000,6284927.0000,9491938.0000,6878547.0000,383831.0000,9265032.0000,0.0000,0.0000,0.0000,0.0000,226906.0000,111548.0000,226906.0000,0.0000,1041352.6987,1024894.0000,2066246.6987,0.0000,0.0000,490479.0000,"N",490479.0000,"Y","N",6324534.0000,6204072.0000,9.8095322121756323e-01,6551488.0000,6293405.0000,9.6060696440259064e-01,3.3520000000000000e+03,"A3",1.9449999999999999e+01,542283303.4297,1.4000000000000000e+01,4.5638359329867130e-02,2.5500000000000000e+01,4.7460000000000002e+02,"Northwestern CT COG",246280400.0000
"NORTH HAVEN","KE",2.0070000000000000e+03,1.0200000000000000e+02,1.0100000000000000e+02,"NH",57375303.0000,24032618.0000,81624263.0000,4803229.0000,6534654.0000,64497427.0000,77989783.0000,41162636.0000,3868236.0000,74416364.0000,47945.0000,47945.0000,350000.0000,350000.0000,3271364.0000,2200732.0000,3271364.0000,0.0000,,69396544.0000,69396544.0000,697435.0000,3237472.0000,12672549.0000,"N",11975114.0000,"N","N",64768681.0000,63393779.0000,9.7877211672721887e-01,68464028.0000,64226864.0000,9.3811109098050727e-01,2.4002000000000000e+04,"Aa2",2.0770000000000000e+01,3270482531.4286,8.0000000000000000e+01,3.9704313366864807e-02,2.8699999999999999e+01,3.9846500000000001e+03,"South Central Regional COG",2251249022.0000
"NORTH STONINGTON","VR",2.0070000000000000e+03,1.0300000000000000e+02,1.0200000000000000e+02,"NL",5084647.0000,5026708.0000,10111355.0000,-11310.0000,5238396.0000,11219645.0000,17191184.0000,11367059.0000,905714.0000,17483787.0000,185000.0000,185000.0000,433000.0000,433000.0000,-540603.0000,71014.0000,-540603.0000,0.0000,,4095896.0000,4095896.0000,45450.0000,0.0000,1365535.0000,"N",1320085.0000,"N","N",11081447.0000,10890440.0000,9.8276335211457488e-01,11427503.0000,11099088.0000,9.7126100076280886e-01,5.2120000000000000e+03,"A3",5.4299999999999997e+01,847296935.7143,1.3000000000000000e+01,3.8320049049662783e-02,1.8600000000000001e+01,8.2069000000000005e+02,"Southeastern CT COG",592690695.0000
"NORWALK","VR",2.0070000000000000e+03,1.0400000000000000e+02,1.0300000000000000e+02,"F",215020453.0000,31587090.0000,246607543.0000,21306563.0000,28182974.0000,215669320.0000,263386839.0000,145969257.0000,20728101.0000,259410031.0000,0.0000,655082.0000,0.0000,0.0000,3976808.0000,1230146.0000,4631890.0000,0.0000,,183983249.0000,183983249.0000,1634117.0000,0.0000,37279871.0000,"N",35645754.0000,"N","N",216241703.0000,212638561.0000,9.8333743237307003e-01,219691266.0000,213671586.0000,9.7259936587556461e-01,8.3456000000000000e+04,"Aaa",2.2809999999999999e+01,18873044732.7997,5.3900000000000000e+02,3.7771423835571027e-02,2.3164000000000001e+01,1.0822430000000000e+04,"South Western RPA",9450742127.0000
